track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KESX20140217_143920_V06,15,0.073,537.23,465.546692,48.064201,-113.59,34.948018,24032.100677,20140217_063920
5,KESX20140217_144838_V06,24,0.086,536.22,464.606910,55.275177,-113.60,34.952312,27637.588733,20140217_064838
1,KESX20140217_142104_V06,-3,0.056,489.70,437.542786,12.152901,-113.85,35.076751,6076.450348,20140217_062104
2,KESX20140217_142104_V06,-3,0.050,535.55,463.058777,47.187355,-113.60,34.959328,23593.677521,20140217_062104
3,KESX20140217_143009_V06,6,0.385,163.42,178.940063,10.562538,-115.65,36.244237,5281.269073,20140217_063009
8,KESX20140217_151615_V06,52,0.096,170.94,231.430450,25.869629,-115.61,36.007978,12934.814453,20140217_071615
9,KESX20140217_151615_V06,52,0.084,223.91,397.833313,2.550003,-115.31,35.259491,1275.001526,20140217_071615
11,KESX20140217_154354_V06,79,0.171,170.03,233.028381,26.419487,-115.61,36.000748,13209.743500,20140217_074354
2,KESX20140218_143332_V06,11,0.056,223.89,397.927948,2.793510,-115.31,35.259064,1396.755219,20140218_063332
2,KESX20140218_144301_V06,21,0.069,224.49,397.608559,10.292900,-115.31,35.260515,5146.450183,20140218_064301
4,KESX20140218_151126_V06,49,0.098,220.40,398.081207,7.927826,-115.33,35.258305,3963.912964,20140218_071126
4,KESX20140218_152055_V06,58,0.062,220.25,397.630335,16.551000,-115.33,35.260334,8275.499780,20140218_072055
4,KESX20140218_153024_V06,68,0.058,223.84,397.918823,2.824738,-115.31,35.259104,1412.368774,20140218_073024
6,KESX20140218_152055_V06,58,0.080,535.46,466.769775,50.184319,-113.60,34.942611,25092.159271,20140218_072055
6,KESX20140218_153024_V06,68,0.051,536.58,466.663894,58.949324,-113.60,34.943022,29474.661887,20140218_073024
1,KESX20140218_141438_V06,-8,0.061,322.71,393.135132,9.588966,-114.77,35.281327,4794.483185,20140218_061438
1,KESX20140321_131632_V06,-25,0.074,162.52,227.471130,34.398048,-115.65,36.025532,17199.024200,20140321_061632
2,KESX20140321_132214_V06,-19,0.156,163.11,179.767059,12.198601,-115.65,36.240500,6099.300385,20140321_062214
4,KESX20140321_133338_V06,-8,0.108,223.92,397.852234,2.468437,-115.31,35.259406,1234.218597,20140321_063338
5,KESX20140321_133338_V06,-8,0.076,324.33,395.471466,7.806396,-114.76,35.270788,3903.198242,20140321_063338
8,KESX20140321_134458_V06,3,0.092,162.81,179.272736,11.972961,-115.65,36.242717,5986.480713,20140321_064458
10,KESX20140321_135039_V06,9,0.132,154.03,221.814423,40.833076,-115.70,36.050714,20416.538239,20140321_065039
11,KESX20140321_144709_V06,66,0.060,172.11,232.649506,25.261818,-115.60,36.002524,12630.908966,20140321_074709
12,KESX20140321_150405_V06,83,0.200,172.14,234.631317,25.472183,-115.60,35.993595,12736.091614,20140321_080405
13,KESX20140321_150405_V06,83,0.145,324.35,397.931580,5.485588,-114.76,35.259701,2742.794037,20140321_080405
7,KESX20140404_143851_V06,77,0.121,167.61,230.388062,28.559929,-115.63,36.012564,14279.964447,20140404_073851
7,KESX20140404_144834_V06,87,0.082,167.34,230.310123,35.985727,-115.63,36.012906,17992.863591,20140404_074834
1,KESX20140404_125211_V06,-29,0.073,33.71,165.239655,44.459629,-116.37,36.299260,22229.814529,20140404_055211
2,KESX20140404_135017_V06,29,0.120,170.36,231.399750,26.036217,-115.61,36.008097,13018.108368,20140404_065017
2,KESX20140404_135959_V06,38,-1.000,170.36,231.399750,40.346217,-115.61,36.008097,20173.108368,20140404_065959
2,KESX20140404_140942_V06,48,0.084,188.21,245.117126,8.069183,-115.51,35.946836,4034.591675,20140404_070942
6,KESX20140404_141925_V06,58,0.055,362.77,507.876282,37.589169,-114.55,34.763775,18794.584274,20140404_071925
8,KESX20140404_143851_V06,77,0.067,211.97,88.839233,35.368523,-115.38,36.651606,17684.261322,20140404_073851
4,KESX20140406_135705_V06,39,0.145,175.50,233.631805,21.166313,-115.58,35.998207,10583.156586,20140406_065705
4,KESX20140406_140651_V06,48,0.076,173.51,233.022837,30.745804,-115.59,36.000887,15372.902167,20140406_070651
1,KESX20140406_125819_V06,-20,0.124,171.54,232.731934,25.505074,-115.60,36.002134,12752.536774,20140406_055819
1,KESX20140406_130806_V06,-10,0.233,188.82,244.960358,7.467415,-115.51,35.947560,3733.707428,20140406_060806
6,KESX20140406_143615_V06,78,0.132,185.87,242.922913,10.161049,-115.52,35.956656,5080.524445,20140406_073615
8,KESX20140426_130525_V06,12,0.109,172.37,232.357117,24.391014,-115.60,36.003850,12195.507050,20140426_060525
8,KESX20140426_131102_V06,18,0.316,172.75,231.994687,30.018401,-115.60,36.005495,15009.200552,20140426_061102
8,KESX20140426_131641_V06,23,0.108,172.43,232.118225,23.361641,-115.60,36.004928,11680.820465,20140426_061641
5,KESX20140426_125410_V06,1,0.196,167.86,231.370880,28.051682,-115.62,36.008144,14025.840759,20140426_055410
6,KESX20140426_125410_V06,1,0.138,304.10,513.627441,35.279896,-114.87,34.738342,17639.947891,20140426_055410
15,KESX20140426_132757_V06,34,0.065,403.25,64.555664,7.740082,-114.31,36.760639,3870.040894,20140426_062757
22,KESX20140426_140726_V06,74,0.112,207.60,506.593201,41.062206,-115.40,34.768986,20531.103134,20140426_070726
24,KESX20140426_141301_V06,80,0.223,400.51,126.231293,36.144501,-114.33,36.482827,18072.250366,20140426_071301
1,KESX20140429_123414_V06,-15,0.075,173.28,232.907532,23.705933,-115.59,36.001399,11852.966309,20140429_053414
1,KESX20140429_124351_V06,-6,0.098,171.21,232.015539,33.438339,-115.61,36.005351,16719.169555,20140429_054351
1,KESX20140429_125329_V06,4,-1.000,169.07,231.092788,44.602898,-115.62,36.009438,22301.448775,20140429_055329
1,KESX20140429_130308_V06,14,0.101,170.49,233.692078,25.894402,-115.61,35.997772,12947.200775,20140429_060308
5,KESX20140429_131246_V06,23,0.073,185.65,242.425995,10.516853,-115.53,35.958889,5258.426666,20140429_061246
5,KESX20140429_132226_V06,33,-1.000,185.65,242.425995,26.416853,-115.53,35.958889,13208.426666,20140429_062226
5,KESX20140429_133206_V06,43,0.077,171.33,232.082214,28.116387,-115.60,36.005054,14058.193670,20140429_063206
6,KESX20140429_140116_V06,72,0.063,170.64,231.627625,26.028870,-115.61,36.007080,13014.434814,20140429_070116
6,KESX20140429_141100_V06,82,0.167,170.78,231.879385,32.910233,-115.61,36.005950,16455.116437,20140429_071100
2,KESX20140430_122629_V06,-22,0.058,185.80,242.926880,10.457047,-115.52,35.956636,5228.523254,20140430_052629
2,KESX20140430_123614_V06,-12,0.093,184.26,240.819026,19.980437,-115.53,35.966089,9990.218250,20140430_053614
2,KESX20140430_124557_V06,-3,0.120,172.05,233.236411,26.554673,-115.60,35.999877,13277.336337,20140430_054557
2,KESX20140430_125544_V06,7,0.140,170.21,231.630687,26.811165,-115.61,36.007052,13405.582454,20140430_055544
2,KESX20140430_130529_V06,17,-1.000,166.59,228.969109,28.437503,-115.63,36.018923,14218.751302,20140430_060529
