track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
9,KFTG20160430_114934_V06,-10,0.131,382.53,68.921204,2.329163,-104.06,40.826163,1164.581299,20160430_054934
9,KFTG20160430_115849_V06,-1,-1.000,382.53,68.921204,16.639163,-104.06,40.826163,8319.581299,20160430_055849
9,KFTG20160430_120809_V06,9,0.067,416.96,51.326955,35.641772,-103.85,40.904345,17820.886150,20160430_060809
7,KFTG20160430_114018_V06,-19,0.051,148.06,84.878540,48.684227,-105.44,40.751878,24342.113495,20160430_054018
14,KFTG20160430_114934_V06,-10,0.053,470.92,71.967224,50.605095,-103.53,40.809087,25302.547455,20160430_054934
16,KFTG20160430_115849_V06,-1,0.096,148.72,260.994110,8.721352,-105.43,39.958949,4360.675812,20160430_055849
17,KFTG20160430_115849_V06,-1,0.091,69.71,287.910034,40.237473,-105.89,39.833321,20118.736267,20160430_055849
22,KFTG20160430_120809_V06,9,0.053,548.06,510.873932,30.454453,-103.12,38.828119,15227.226257,20160430_060809
24,KFTG20160430_120809_V06,9,0.050,145.81,72.855164,43.856522,-105.46,40.805906,21928.260803,20160430_060809
27,KFTG20160430_121727_V06,18,0.073,129.61,150.374237,42.885658,-105.55,40.456112,21442.829132,20160430_061727
1,KFTG20160502_112826_V06,-28,0.313,384.20,60.130981,8.774841,-104.05,40.865698,4387.420654,20160502_052826
1,KFTG20160502_113743_V06,-19,0.428,385.19,59.300840,15.341253,-104.04,40.869410,7670.626550,20160502_053743
11,KFTG20160502_130122_V06,65,0.068,383.77,60.292053,7.639969,-104.05,40.864983,3819.984436,20160502_070122
11,KFTG20160502_131042_V06,74,0.264,384.33,60.771266,14.108844,-104.05,40.862812,7054.421857,20160502_071042
2,KFTG20160502_113743_V06,-19,0.281,261.09,87.839600,10.103802,-104.78,40.741779,5051.900864,20160502_053743
6,KFTG20160502_114702_V06,-9,0.069,254.04,69.420532,5.372139,-104.82,40.824620,2686.069489,20160502_054702
8,KFTG20160502_120533_V06,9,0.068,274.95,138.935303,2.201523,-104.69,40.511848,1100.761414,20160502_060533
2,KFTG20160512_113307_V06,-12,0.201,383.02,60.241211,8.102234,-104.05,40.865231,4051.116943,20160512_053307
2,KFTG20160512_114229_V06,-3,0.457,383.61,60.565222,13.269264,-104.05,40.863758,6634.632007,20160512_054229
1,KFTG20160512_112347_V06,-22,0.380,382.63,57.832458,11.437408,-104.06,40.876086,5718.704224,20160512_052347
2,KFTG20160514_114554_V06,2,0.124,384.59,62.794312,6.337280,-104.04,40.853697,3168.640137,20160514_054554
2,KFTG20160514_115517_V06,12,0.057,381.03,63.313332,15.611334,-104.06,40.851448,7805.666891,20160514_055517
1,KFTG20160514_113632_V06,-7,0.117,384.04,62.769287,7.327209,-104.05,40.853823,3663.604736,20160514_053632
2,KFTG20160516_121305_V06,31,0.167,382.18,62.665039,5.702911,-104.06,40.854339,2851.455688,20160516_061305
2,KFTG20160516_122225_V06,40,0.076,382.92,62.911520,14.004758,-104.05,40.853211,7002.378884,20160516_062225
4,KFTG20160516_121305_V06,31,0.060,513.99,114.934814,53.736450,-103.28,40.613165,26868.225098,20160516_061305
6,KFTG20160516_125026_V06,68,0.201,383.43,62.279724,6.266525,-104.05,40.856043,3133.262634,20160516_065026
