track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KGJX20200509_114519_V06,-20,0.061,380.86,278.057281,2.242279,-107.75,39.160108,1121.139526,20200509_054519
3,KGJX20200509_120436_V06,-1,0.152,360.49,236.152170,17.457429,-107.86,39.349246,8728.714643,20200509_060436
3,KGJX20200509_121415_V06,9,0.151,352.70,221.211407,17.775988,-107.91,39.416659,8887.994202,20200509_061415
3,KGJX20200509_122354_V06,18,0.059,352.36,219.180673,18.652920,-107.91,39.425810,9326.459965,20200509_062354
3,KGJX20200509_123333_V06,28,0.077,351.94,219.572447,19.375984,-107.91,39.424052,9687.991824,20200509_063333
3,KGJX20200509_124312_V06,38,-1.000,351.24,218.949255,20.170193,-107.92,39.426869,10085.096464,20200509_064312
3,KGJX20200509_130231_V06,57,0.085,352.83,214.107074,24.605372,-107.91,39.448652,12302.686050,20200509_070231
3,KGJX20200509_131210_V06,67,-1.000,353.22,212.111326,26.497510,-107.90,39.457633,13248.754891,20200509_071210
3,KGJX20200509_132149_V06,76,0.067,351.87,229.329468,10.085327,-107.91,39.380112,5042.663574,20200509_072149
3,KGJX20200509_133127_V06,86,0.092,352.40,225.254031,21.199705,-107.91,39.398458,10599.852609,20200509_073127
1,KGJX20200509_113539_V06,-30,0.109,351.44,229.407257,9.061523,-107.91,39.379768,4530.761719,20200509_053539
1,KGJX20200509_114519_V06,-20,0.094,353.29,225.162243,20.960543,-107.90,39.398857,10480.271673,20200509_054519
4,KGJX20200509_121415_V06,9,0.088,340.48,264.224060,38.262741,-107.98,39.223111,19131.370544,20200509_061415
4,KGJX20200509_122354_V06,18,0.124,340.19,263.402748,45.815420,-107.98,39.226813,22907.710193,20200509_062354
4,KGJX20200509_123333_V06,28,0.091,375.48,287.311401,10.259933,-107.78,39.118551,5129.966736,20200509_063333
4,KGJX20200509_124312_V06,38,0.170,357.99,275.236864,30.842263,-107.88,39.173266,15421.131397,20200509_064312
6,KGJX20200509_123333_V06,28,0.097,30.50,429.005005,45.410858,-109.76,38.470910,22705.429077,20200509_063333
6,KGJX20200509_124312_V06,38,0.156,31.51,433.815634,51.993471,-109.75,38.449323,25996.735502,20200509_064312
