track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KGRK20140422_112643_V06,-28,0.152,243.88,347.305908,3.643524,-97.68,30.507988,1821.762085,20140422_062643
3,KGRK20140422_113624_V06,-18,0.145,243.32,348.863098,11.383203,-97.68,30.500958,5691.601486,20140422_063624
6,KGRK20140422_113624_V06,-18,0.275,300.05,183.206482,12.100784,-97.38,31.248388,6050.392151,20140422_063624
9,KGRK20140422_124416_V06,50,0.065,452.42,215.425568,2.579132,-96.58,31.100632,1289.566040,20140422_074416
11,KGRK20140422_124416_V06,50,0.057,418.10,226.429840,5.903656,-96.76,31.051989,2951.828003,20140422_074416
12,KGRK20140422_131322_V06,79,0.068,443.20,264.571869,1.791122,-96.63,30.879290,895.561218,20140422_081322
6,KGRK20140624_110601_V06,-21,0.053,252.98,380.556732,13.509937,-97.63,30.358118,6754.968643,20140624_060601
6,KGRK20140624_110913_V06,-18,0.207,253.34,379.827181,18.242711,-97.63,30.361412,9121.355252,20140624_060913
6,KGRK20140624_111226_V06,-15,0.450,253.43,372.282860,24.043310,-97.63,30.395440,12021.655023,20140624_061226
6,KGRK20140624_111553_V06,-12,0.566,246.33,366.176333,24.243263,-97.66,30.422907,12121.631446,20140624_061553
6,KGRK20140624_111905_V06,-8,0.627,246.79,365.734143,23.963717,-97.66,30.424907,11981.858530,20140624_061905
6,KGRK20140624_112218_V06,-5,0.577,246.49,366.655838,23.464731,-97.66,30.420746,11732.365748,20140624_062218
6,KGRK20140624_112530_V06,-2,-1.000,245.89,366.403580,23.386137,-97.66,30.421877,11693.068557,20140624_062530
6,KGRK20140624_112843_V06,1,0.066,247.50,374.022998,24.728485,-97.66,30.387530,12364.242720,20140624_062843
6,KGRK20140624_113210_V06,5,-1.000,248.05,378.506902,25.493812,-97.65,30.367313,12746.906058,20140624_063210
6,KGRK20140624_113522_V06,8,0.566,236.52,380.307526,13.554199,-97.71,30.359053,6777.099609,20140624_063522
6,KGRK20140624_113834_V06,11,-1.000,236.52,380.307526,18.324199,-97.71,30.359053,9162.099609,20140624_063834
6,KGRK20140624_114147_V06,14,0.125,237.91,376.983209,21.907017,-97.71,30.374064,10953.508464,20140624_064147
6,KGRK20140624_114500_V06,18,0.069,240.35,371.074241,25.091377,-97.69,30.400746,12545.688638,20140624_064500
44,KGRK20140624_123317_V06,66,0.148,292.32,364.051208,2.911453,-97.42,30.432786,1455.726624,20140624_073317
