track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
15,KHNX20220323_143042_V06,33,0.087,32.25,408.272278,51.128532,-121.11,35.817081,25564.266205,20220323_073042
15,KHNX20220323_143744_V06,40,-1.000,32.25,408.272278,62.258532,-121.11,35.817081,31129.266205,20220323_073744
15,KHNX20220323_144445_V06,47,0.457,32.66,402.276869,59.403207,-121.11,35.844121,29701.603717,20220323_074445
15,KHNX20220323_145148_V06,54,0.120,29.71,402.644827,58.523650,-121.13,35.842259,29261.825036,20220323_075148
15,KHNX20220323_150552_V06,68,0.111,42.28,436.791984,56.511897,-121.05,35.689260,28255.948700,20220323_080552
15,KHNX20220323_151253_V06,75,0.106,39.27,439.910151,57.555290,-121.07,35.675011,28777.644796,20220323_081253
15,KHNX20220323_151955_V06,82,0.077,36.54,425.614200,52.972059,-121.09,35.739239,26486.029499,20220323_081955
15,KHNX20220323_152658_V06,89,0.089,33.54,421.578599,50.568053,-121.10,35.757218,25284.026544,20220323_082658
3,KHNX20220323_134830_V06,-9,0.159,88.54,112.217621,9.888042,-120.82,37.154345,4944.021225,20220323_064830
3,KHNX20220323_140234_V06,5,0.927,88.40,111.010067,21.430363,-120.82,37.159777,10715.181259,20220323_070234
3,KHNX20220323_140935_V06,12,0.905,88.39,109.669341,27.889029,-120.82,37.165816,13944.514635,20220323_070935
3,KHNX20220323_141638_V06,19,0.860,94.06,109.250092,35.838276,-120.79,37.168017,17919.138037,20220323_071638
3,KHNX20220323_142340_V06,26,0.572,97.44,106.565049,42.184068,-120.77,37.180295,21092.033796,20220323_072340
3,KHNX20220323_143042_V06,33,0.129,102.34,94.345910,52.099772,-120.74,37.235598,26049.885855,20220323_073042
1,KHNX20220323_134128_V06,-16,0.168,182.03,210.972839,7.771744,-120.29,36.713488,3885.871887,20220323_064128
1,KHNX20220323_134830_V06,-9,0.396,183.29,205.107818,17.778848,-120.28,36.739951,8889.424213,20220323_064830
11,KHNX20220323_140935_V06,12,0.066,243.32,446.911072,8.681885,-119.94,35.651751,4340.942383,20220323_070935
11,KHNX20220323_141638_V06,19,0.482,243.85,447.595542,15.797079,-119.94,35.648674,7898.539395,20220323_071638
2,KHNX20220323_134830_V06,-9,0.761,302.33,424.324127,15.397934,-119.62,35.753947,7698.966980,20220323_064830
6,KHNX20220323_134830_V06,-9,0.118,292.67,336.750763,9.485462,-119.67,36.148564,4742.731094,20220323_064830
7,KHNX20220323_134830_V06,-9,0.061,330.51,413.893890,4.766655,-119.46,35.800830,2383.327484,20220323_064830
9,KHNX20220323_140935_V06,12,0.114,424.57,383.588867,11.402824,-118.94,35.935516,5701.412201,20220323_070935
12,KHNX20220323_140935_V06,12,0.053,420.32,319.889191,6.337036,-118.96,36.222677,3168.518066,20220323_070935
14,KHNX20220323_143042_V06,33,0.107,364.50,457.668762,14.766449,-119.28,35.603151,7383.224487,20220323_073042
17,KHNX20220323_144445_V06,47,0.076,166.65,393.589142,23.377838,-120.37,35.890163,11688.919067,20220323_074445
18,KHNX20220323_145148_V06,54,0.087,367.92,459.050293,12.144569,-119.26,35.596868,6072.284698,20220323_075148
6,KHNX20220330_133625_V06,-11,0.127,306.14,422.635681,5.613174,-119.60,35.761552,2806.587219,20220330_063625
6,KHNX20220330_134327_V06,-4,0.153,306.19,421.976798,13.856069,-119.60,35.764521,6928.034345,20220330_064327
6,KHNX20220330_135029_V06,3,0.701,307.34,412.740458,13.894275,-119.59,35.806141,6947.137454,20220330_065029
6,KHNX20220330_140433_V06,17,0.071,299.90,410.890895,13.121083,-119.63,35.814482,6560.541298,20220330_070433
5,KHNX20220330_133625_V06,-11,0.145,304.72,376.563049,12.846512,-119.60,35.969169,6423.255920,20220330_063625
5,KHNX20220330_134327_V06,-4,0.170,307.94,386.292291,24.595963,-119.59,35.925322,12297.981445,20220330_064327
5,KHNX20220330_135029_V06,3,0.113,317.69,401.911343,25.445627,-119.53,35.854907,12722.813723,20220330_065029
16,KHNX20220330_141135_V06,24,0.051,339.48,206.558777,18.276184,-119.41,36.734991,9138.092041,20220330_071135
16,KHNX20220330_141838_V06,31,0.068,341.12,200.785840,29.172786,-119.40,36.760984,14586.392902,20220330_071838
1,KHNX20220330_132111_V06,-26,0.082,160.26,403.905945,35.690971,-120.40,35.843451,17845.485687,20220330_062111
2,KHNX20220330_132812_V06,-19,0.185,247.90,260.193817,6.392151,-119.92,36.493178,3196.075439,20220330_062812
10,KHNX20220330_135029_V06,3,0.065,299.55,519.798218,5.342655,-119.63,35.323692,2671.327591,20220330_065029
10,KHNX20220330_140433_V06,17,-1.000,299.55,519.798218,27.602655,-119.63,35.323692,13801.327591,20220330_070433
10,KHNX20220330_141135_V06,24,0.201,297.95,518.051941,6.305248,-119.64,35.331562,3152.624130,20220330_071135
14,KHNX20220330_141135_V06,24,0.080,38.35,96.069275,46.277058,-121.11,37.223951,23138.528824,20220330_071135
17,KHNX20220330_142539_V06,38,0.123,309.69,117.530701,18.764328,-119.58,37.136295,9382.164001,20220330_072539
2,KHNX20220403_132827_V06,-13,0.170,307.21,423.554138,2.936035,-119.59,35.757411,1468.017578,20220403_062827
2,KHNX20220403_133529_V06,-6,0.655,305.18,423.901977,12.770718,-119.60,35.755847,6385.358881,20220403_063529
2,KHNX20220403_134230_V06,1,0.087,310.18,416.227697,16.169170,-119.57,35.790420,8084.585135,20220403_064230
2,KHNX20220403_134932_V06,8,0.285,299.70,415.922288,19.381101,-119.63,35.791809,9690.550547,20220403_064932
2,KHNX20220403_140335_V06,22,0.284,298.60,405.382363,24.470061,-119.64,35.839305,12235.030268,20220403_070335
2,KHNX20220403_141037_V06,29,0.075,291.97,413.280995,32.279226,-119.68,35.803703,16139.613192,20220403_071037
11,KHNX20220403_134932_V06,8,0.101,316.56,343.970276,11.125690,-119.54,36.116004,5562.845230,20220403_064932
11,KHNX20220403_140335_V06,22,0.057,317.33,378.702433,23.172592,-119.54,35.959493,11586.295870,20220403_070335
6,KHNX20220403_132827_V06,-13,0.058,345.02,272.396790,9.074997,-119.38,36.438283,4537.498474,20220403_062827
9,KHNX20220403_134230_V06,1,0.113,395.16,399.011902,12.175850,-119.10,35.866849,6087.924957,20220403_064230
12,KHNX20220403_140335_V06,22,0.075,322.89,194.339966,14.942230,-119.50,36.790179,7471.115112,20220403_070335
13,KHNX20220403_141739_V06,36,0.079,204.96,435.683350,14.037544,-120.16,35.701602,7018.772125,20220403_071739
3,KHNX20220411_131739_V06,-13,0.081,298.28,338.505737,15.261765,-119.64,36.140663,7630.882263,20220411_061739
3,KHNX20220411_132204_V06,-8,-1.000,298.28,338.505737,23.211765,-119.64,36.140663,11605.882263,20220411_062204
3,KHNX20220411_132628_V06,-4,0.180,297.56,341.924407,25.247126,-119.64,36.125258,12623.562894,20220411_062628
1,KHNX20220411_130849_V06,-22,0.053,170.96,380.829285,13.862061,-120.35,35.947805,6931.030273,20220411_060849
2,KHNX20220411_130849_V06,-22,0.051,249.92,261.838379,5.153702,-119.91,36.485795,2576.850891,20220411_060849
4,KHNX20220411_131739_V06,-13,0.066,400.01,269.041504,17.609283,-119.07,36.452365,8804.641724,20220411_061739
5,KHNX20220411_132204_V06,-8,0.081,308.71,339.157776,9.926346,-119.58,36.137715,4963.172913,20220411_062204
6,KHNX20220411_132628_V06,-4,0.398,302.87,391.250153,38.332352,-119.62,35.902988,19166.175842,20220411_062628
3,KHNX20220421_130212_V06,-15,0.483,317.24,415.695068,11.569710,-119.54,35.792795,5784.854889,20220421_060212
3,KHNX20220421_130648_V06,-11,0.308,317.39,414.775417,17.251689,-119.53,35.796939,8625.844338,20220421_060648
3,KHNX20220421_131124_V06,-6,0.758,309.25,402.317103,17.740397,-119.58,35.853107,8870.198708,20220421_061124
3,KHNX20220421_131600_V06,-1,0.219,310.32,403.220800,17.041089,-119.57,35.849032,8520.544561,20220421_061600
3,KHNX20220421_132036_V06,3,0.153,306.24,409.896622,24.569343,-119.60,35.818958,12284.671589,20220421_062036
3,KHNX20220421_132513_V06,8,0.060,317.80,412.117112,23.870721,-119.53,35.808916,11935.360323,20220421_062513
1,KHNX20220421_125259_V06,-25,0.317,408.66,344.804626,18.127098,-119.03,36.110755,9063.549042,20220421_055259
8,KHNX20220421_130648_V06,-11,0.113,34.90,369.970642,25.745510,-121.10,35.989827,12872.755051,20220421_060648
9,KHNX20220421_130648_V06,-11,0.107,461.43,338.063812,5.953522,-118.73,36.139288,2976.760864,20220421_060648
16,KHNX20220421_133902_V06,22,0.056,340.03,389.371277,4.714142,-119.41,35.911250,2357.070923,20220421_063902
17,KHNX20220421_134815_V06,31,0.088,287.01,110.760223,47.667362,-119.70,37.166788,23833.681107,20220421_064815
