track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
34,KJAX20190102_130051_V06,36,0.052,342.46,99.906494,16.948112,-81.48,31.386641,8474.056244,20190102_080051
34,KJAX20190102_131029_V06,46,0.065,344.84,110.581115,27.009911,-81.47,31.338482,13504.955626,20190102_081029
34,KJAX20190102_132008_V06,56,0.329,345.44,125.705569,29.242710,-81.46,31.270271,14621.355239,20190102_082008
34,KJAX20190102_132945_V06,65,0.616,323.00,135.665497,47.821534,-81.58,31.225518,23910.766898,20190102_082945
34,KJAX20190102_133924_V06,75,0.472,318.37,107.889990,64.281326,-81.61,31.350795,32140.662794,20190102_083924
5,KJAX20190102_121237_V06,-12,0.687,350.18,116.472107,12.702698,-81.44,31.311862,6351.348877,20190102_071237
5,KJAX20190102_122217_V06,-2,0.881,352.04,113.010290,23.298917,-81.43,31.327453,11649.458663,20190102_072217
5,KJAX20190102_123155_V06,7,0.443,346.53,116.224770,30.202674,-81.46,31.313015,15101.336861,20190102_073155
5,KJAX20190102_124133_V06,17,0.258,344.23,105.691157,40.534635,-81.47,31.360539,20267.317742,20190102_074133
13,KJAX20190102_121237_V06,-12,0.085,71.70,307.456299,11.300850,-82.89,30.445395,5650.424957,20190102_071237
13,KJAX20190102_122217_V06,-2,0.466,73.74,303.236103,19.840836,-82.88,30.464523,9920.417955,20190102_072217
13,KJAX20190102_123155_V06,7,0.419,72.43,299.801689,27.769549,-82.89,30.479950,13884.774675,20190102_073155
13,KJAX20190102_124133_V06,17,-1.000,71.42,295.963701,36.598758,-82.89,30.497210,18299.379149,20190102_074133
13,KJAX20190102_130051_V06,36,-1.000,69.51,288.671524,53.374255,-82.90,30.530004,26687.127650,20190102_080051
13,KJAX20190102_131029_V06,46,0.132,71.34,272.840572,56.990479,-82.89,30.601483,28495.239624,20190102_081029
21,KJAX20190102_123155_V06,7,0.209,191.00,163.557831,23.279411,-82.27,31.098537,11639.705658,20190102_073155
21,KJAX20190102_124133_V06,17,0.123,191.81,152.372192,30.984833,-82.27,31.148998,15492.416315,20190102_074133
21,KJAX20190102_130051_V06,36,0.059,172.48,94.390108,53.818428,-82.37,31.409986,26909.213947,20190102_080051
22,KJAX20190102_123155_V06,7,0.146,158.57,310.799438,16.688301,-82.44,30.433655,8344.150543,20190102_073155
22,KJAX20190102_124133_V06,17,0.130,162.37,305.981941,26.812371,-82.42,30.455492,13406.185542,20190102_074133
22,KJAX20190102_130051_V06,36,0.070,190.25,241.312608,41.132684,-82.28,30.747865,20566.341833,20190102_080051
