track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KLOT20220401_110534_V06,-30,0.116,263.44,360.125183,12.658070,-88.30,41.333552,6329.034805,20220401_060534
2,KLOT20220401_111954_V06,-16,0.075,238.55,302.352875,2.254257,-88.45,41.593257,1127.128601,20220401_061954
3,KLOT20220401_111954_V06,-16,0.054,544.94,471.703766,32.426208,-86.63,40.822174,16213.104248,20220401_061954
4,KLOT20220401_111954_V06,-16,0.052,213.79,387.842346,18.621941,-88.60,41.207821,9310.970306,20220401_061954
16,KLOT20220415_113618_V06,24,0.280,200.35,396.386200,16.379295,-88.68,41.168969,8189.647675,20220415_063618
16,KLOT20220415_114328_V06,31,0.054,203.07,395.012535,23.944937,-88.66,41.175236,11972.468740,20220415_064328
19,KLOT20220415_114328_V06,31,0.080,291.12,334.422272,7.462341,-88.14,41.449462,3731.170654,20220415_064328
19,KLOT20220415_115038_V06,38,-1.000,291.12,334.422272,18.592341,-88.14,41.449462,9296.170654,20220415_065038
19,KLOT20220415_120458_V06,52,0.180,329.49,349.542709,20.687280,-87.91,41.381267,10343.640006,20220415_070458
2,KLOT20220415_110030_V06,-12,0.105,40.87,447.368988,41.329678,-89.62,40.930615,20664.838791,20220415_060030
4,KLOT20220415_110030_V06,-12,0.053,95.76,291.136536,40.214325,-89.31,41.637810,20107.162476,20220415_060030
9,KLOT20220415_111449_V06,2,0.161,158.52,267.220551,4.647659,-88.94,41.748864,2323.829651,20220415_061449
13,KLOT20220415_111449_V06,2,0.052,176.12,244.217896,12.814804,-88.83,41.853142,6407.402039,20220415_061449
31,KLOT20220415_121208_V06,60,0.123,396.72,328.961151,25.499588,-87.51,41.472601,12749.794006,20220415_071208
37,KLOT20220415_122628_V06,74,0.117,171.85,342.421753,33.817703,-88.85,41.410902,16908.851624,20220415_072628
38,KLOT20220415_122628_V06,74,0.066,287.11,337.074677,13.525894,-88.16,41.437507,6762.947083,20220415_072628
39,KLOT20220415_123338_V06,81,0.138,217.19,336.849396,20.422623,-88.58,41.437478,10211.311340,20220415_073338
