track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KMAF20150423_114731_V06,-24,0.110,301.17,540.507812,18.865995,-102.18,30.858754,9432.997704,20150423_064731
2,KMAF20150423_115708_V06,-14,0.089,300.23,540.537570,27.941421,-102.19,30.858620,13970.710711,20150423_065708
3,KMAF20150423_114731_V06,-24,0.109,383.06,128.757660,10.398544,-101.75,32.714668,5199.272156,20150423_064731
3,KMAF20150423_115708_V06,-14,0.219,382.26,128.399803,16.986529,-101.75,32.716296,8493.264445,20150423_065708
7,KMAF20150423_120643_V06,-5,0.337,93.66,415.846252,46.977539,-103.27,31.416303,23488.769531,20150423_070643
7,KMAF20150423_121616_V06,5,0.086,96.24,408.057820,57.424506,-103.26,31.451537,28712.253200,20150423_071616
7,KMAF20150423_122552_V06,14,0.226,103.75,424.305573,45.116661,-103.22,31.378601,22558.330536,20150423_072552
10,KMAF20150423_121616_V06,5,0.155,299.15,457.372772,14.100243,-102.19,31.233674,7050.121307,20150423_071616
10,KMAF20150423_122552_V06,14,0.324,299.53,461.811829,19.914496,-102.19,31.213656,9957.247961,20150423_072552
1,KMAF20150423_114731_V06,-24,0.125,398.22,76.367676,18.914848,-101.66,32.950556,9457.424164,20150423_064731
1,KMAF20150423_115708_V06,-14,0.066,407.33,84.749451,11.714325,-101.62,32.912558,5857.162476,20150423_065708
4,KMAF20150423_115708_V06,-14,0.125,257.30,529.024231,13.550011,-102.41,30.910347,6775.005341,20150423_065708
5,KMAF20150423_115708_V06,-14,0.070,327.02,516.814575,22.857048,-102.05,30.965528,11428.524017,20150423_065708
8,KMAF20150423_120643_V06,-5,0.079,212.16,289.356140,14.130974,-102.65,31.990474,7065.486908,20150423_070643
9,KMAF20150423_120643_V06,-5,0.071,158.88,391.099243,39.804031,-102.93,31.530363,19902.015686,20150423_070643
11,KMAF20150423_121616_V06,5,0.078,169.17,57.800659,45.050308,-102.89,33.033421,22525.154114,20150423_071616
15,KMAF20150423_122552_V06,14,0.075,246.08,47.956543,33.730534,-102.48,33.079400,16865.266800,20150423_072552
18,KMAF20150423_123526_V06,24,0.478,196.42,418.587128,45.054893,-102.73,31.407413,22527.446747,20150423_073526
18,KMAF20150423_125039_V06,39,-1.000,196.42,418.587128,68.904893,-102.73,31.407413,34452.446747,20150423_075039
18,KMAF20150423_130012_V06,49,0.136,155.03,421.632263,35.942093,-102.95,31.392560,17971.046448,20150423_080012
26,KMAF20150423_131919_V06,68,0.240,399.16,80.924866,17.990822,-101.66,32.929990,8995.410919,20150423_081919
27,KMAF20150423_131919_V06,68,0.181,237.50,566.795593,9.592482,-102.52,30.739777,4796.240807,20150423_081919
29,KMAF20150423_132851_V06,77,0.136,83.49,213.150177,36.374969,-103.34,32.329735,18187.484741,20150423_082851
