track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KOTX20190408_133320_V06,18,0.058,389.77,306.630005,8.750885,-117.03,47.649188,4375.442505,20190408_063320
7,KOTX20190408_133748_V06,22,0.067,388.15,306.291382,15.305984,-117.04,47.650767,7652.991770,20190408_063748
7,KOTX20190408_134215_V06,27,0.065,382.99,307.808688,18.029796,-117.07,47.644114,9014.897827,20190408_064215
7,KOTX20190408_134644_V06,31,0.090,374.18,302.740048,24.202412,-117.13,47.667175,12101.206175,20190408_064644
7,KOTX20190408_135113_V06,36,0.187,363.65,312.746127,27.000715,-117.20,47.622458,13500.357348,20190408_065113
7,KOTX20190408_140008_V06,45,-1.000,346.03,322.837941,34.004342,-117.32,47.577447,17002.171142,20190408_070008
7,KOTX20190408_140437_V06,49,0.177,382.81,311.312775,12.097488,-117.07,47.628362,6048.744202,20190408_070437
11,KOTX20190408_134644_V06,31,0.121,231.20,193.998871,17.832588,-118.09,48.156307,8916.294098,20190408_064644
11,KOTX20190408_135113_V06,36,0.090,227.39,196.122375,26.561113,-118.11,48.146653,13280.556367,20190408_065113
11,KOTX20190408_140008_V06,45,0.173,220.89,196.273155,29.597650,-118.16,48.145782,14798.824805,20190408_070008
3,KOTX20190408_131526_V06,0,0.132,235.12,194.173767,14.813919,-118.06,48.155623,7406.959534,20190408_061526
3,KOTX20190408_131954_V06,4,-1.000,235.12,194.173767,21.173919,-118.06,48.155623,10586.959534,20190408_061954
3,KOTX20190408_132424_V06,9,0.055,226.76,191.269866,26.860581,-118.12,48.168454,13430.290289,20190408_062424
3,KOTX20190408_132852_V06,13,-1.000,221.51,189.449910,31.802083,-118.15,48.176482,15901.041361,20190408_062852
3,KOTX20190408_133320_V06,18,0.057,220.64,197.390808,27.147583,-118.16,48.140749,13573.791504,20190408_063320
3,KOTX20190408_133748_V06,22,-1.000,220.64,197.390808,33.507583,-118.16,48.140749,16753.791504,20190408_063748
3,KOTX20190408_134215_V06,27,0.051,223.64,190.781525,26.005676,-118.14,48.170559,13002.838135,20190408_064215
5,KOTX20190408_132852_V06,13,0.085,364.54,285.732391,6.427078,-117.20,47.743916,3213.539124,20190408_062852
5,KOTX20190408_133320_V06,18,0.182,369.28,289.451342,15.203564,-117.16,47.727069,7601.782190,20190408_063320
1,KOTX20190408_125307_V06,-22,0.085,369.64,253.037994,7.882324,-117.16,47.890805,3941.162109,20190408_055307
4,KOTX20190408_132424_V06,9,0.081,340.97,299.730011,27.765991,-117.35,47.681450,13882.995605,20190408_062424
6,KOTX20190408_133320_V06,18,0.311,326.18,323.849792,18.959045,-117.45,47.573173,9479.522705,20190408_063320
17,KOTX20190408_140437_V06,49,0.058,415.41,282.068848,27.442184,-116.86,47.758618,13721.092224,20190408_070437
20,KOTX20190408_141803_V06,63,0.148,225.98,194.602386,23.349876,-118.12,48.153447,11674.938202,20190408_071803
20,KOTX20190408_142330_V06,68,-1.000,225.98,194.602386,31.299876,-118.12,48.153447,15649.938202,20190408_072330
20,KOTX20190408_142813_V06,73,0.066,221.26,195.582123,25.870049,-118.15,48.148901,12935.024261,20190408_072813
21,KOTX20190408_142330_V06,68,0.280,374.09,306.992126,19.631119,-117.13,47.648056,9815.559387,20190408_072330
21,KOTX20190408_142813_V06,73,0.321,382.28,306.823303,15.403625,-117.08,47.648568,7701.812744,20190408_072813
