track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KPUX20150524_120746_V06,29,0.095,111.42,230.402863,61.506386,-105.27,38.767904,30753.192902,20150524_060746
3,KPUX20150524_121211_V06,34,0.086,112.25,229.929448,67.561922,-105.26,38.770081,33780.961238,20150524_061211
3,KPUX20150524_121637_V06,38,0.103,111.55,226.354502,68.686861,-105.27,38.786143,34343.430656,20150524_061637
3,KPUX20150524_122102_V06,43,0.055,109.15,226.121466,69.850605,-105.28,38.787065,34925.302478,20150524_062102
2,KPUX20150524_115433_V06,16,0.136,116.21,224.933411,60.018566,-105.24,38.792788,30009.283066,20150524_055433
2,KPUX20150524_115857_V06,20,0.090,116.32,225.356307,65.836990,-105.24,38.790889,32918.495048,20150524_055857
4,KPUX20150524_124734_V06,69,0.065,30.16,412.291382,42.286911,-105.72,37.943536,21143.455505,20150524_064734
4,KPUX20150524_125159_V06,73,-1.000,30.16,412.291382,48.646911,-105.72,37.943536,24323.455505,20150524_065159
4,KPUX20150524_125624_V06,78,0.079,33.22,410.848101,53.816670,-105.70,37.950263,26908.335222,20150524_065624
1,KPUX20150524_114542_V06,7,0.085,115.41,221.202026,63.750671,-105.24,38.809551,31875.335693,20150524_054542
