track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KTBW20140103_120824_V06,-12,0.579,263.68,184.432556,10.635983,-82.59,28.226581,5317.991257,20140103_070824
1,KTBW20140103_121808_V06,-2,0.624,267.65,180.786020,26.319029,-82.57,28.243059,13159.514693,20140103_071808
2,KTBW20140103_120824_V06,-12,0.327,324.74,422.106506,9.782310,-82.28,27.154253,4891.155243,20140103_070824
2,KTBW20140103_121808_V06,-2,0.770,328.62,431.355498,20.962638,-82.26,27.112499,10481.319028,20140103_071808
9,KTBW20140103_123233_V06,12,0.062,363.95,512.305420,31.744614,-82.08,26.746912,15872.306824,20140103_073233
9,KTBW20140103_123715_V06,17,-1.000,363.95,512.305420,39.694614,-82.08,26.746912,19847.306824,20140103_073715
9,KTBW20140103_124157_V06,21,0.089,370.76,511.768661,39.569013,-82.05,26.749251,19784.506343,20140103_074157
9,KTBW20140103_124640_V06,26,-1.000,376.50,511.316160,42.051500,-82.02,26.751216,21025.750123,20140103_074640
9,KTBW20140103_125122_V06,31,0.086,405.81,517.685730,21.516167,-81.87,26.721986,10758.083344,20140103_075122
7,KTBW20140103_123233_V06,12,0.232,305.65,300.216675,63.997822,-82.37,27.704299,31998.910904,20140103_073233
7,KTBW20140103_123715_V06,17,0.055,283.74,351.013184,6.716141,-82.48,27.475078,3358.070374,20140103_073715
8,KTBW20140103_123233_V06,12,0.163,357.45,250.483978,26.381699,-82.11,27.928387,13190.849304,20140103_073233
11,KTBW20140103_123715_V06,17,0.119,279.13,176.069733,13.952118,-82.51,28.264394,6976.058960,20140103_073715
7,KTBW20140104_121159_V06,-10,0.078,490.31,385.253418,9.016373,-81.44,27.317267,4508.186340,20140104_071159
7,KTBW20140104_121641_V06,-5,0.569,488.82,384.492097,15.589004,-81.45,27.320755,7794.502203,20140104_071641
7,KTBW20140104_122125_V06,0,0.757,486.96,383.684914,22.544516,-81.46,27.324461,11272.257919,20140104_072125
7,KTBW20140104_122607_V06,5,0.899,481.07,383.666394,27.321921,-81.49,27.324744,13660.960316,20140104_072607
7,KTBW20140104_123049_V06,9,0.955,479.94,380.162261,34.289458,-81.49,27.340592,17144.728974,20140104_073049
7,KTBW20140104_123532_V06,14,0.960,474.50,379.573264,39.388539,-81.52,27.343428,19694.269729,20140104_073532
7,KTBW20140104_124116_V06,20,0.970,463.23,379.316914,42.023795,-81.58,27.344935,21011.897519,20140104_074116
7,KTBW20140104_124701_V06,26,0.971,449.59,379.286124,44.285420,-81.65,27.345467,22142.710162,20140104_074701
7,KTBW20140104_125244_V06,31,0.955,446.12,376.703640,49.151799,-81.66,27.357214,24575.899420,20140104_075244
7,KTBW20140104_125828_V06,37,0.209,454.41,383.612750,62.056842,-81.62,27.325810,31028.420969,20140104_075828
12,KTBW20140104_122607_V06,5,0.093,309.40,346.340088,23.380508,-82.35,27.496181,11690.254211,20140104_072607
12,KTBW20140104_123049_V06,9,0.240,308.69,346.980418,29.376338,-82.36,27.493292,14688.168950,20140104_073049
12,KTBW20140104_123532_V06,14,0.064,303.23,342.596802,36.423057,-82.39,27.513078,18211.528336,20140104_073532
