track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KVNX20160528_105356_V06,-23,0.399,377.20,358.135437,21.974773,-97.70,36.478108,10987.386703,20160528_055356
1,KVNX20160528_110327_V06,-13,0.499,379.67,335.810958,25.765350,-97.68,36.578645,12882.674914,20160528_060327
6,KVNX20160528_105356_V06,-23,0.062,438.62,240.853760,30.196854,-97.35,37.004770,15098.426819,20160528_055356
6,KVNX20160528_110327_V06,-13,0.419,439.51,240.739607,35.280574,-97.34,37.005251,17640.287214,20160528_060327
10,KVNX20160528_111258_V06,-4,0.097,425.75,276.588135,5.960739,-97.42,36.844227,2980.369568,20160528_061258
10,KVNX20160528_112230_V06,6,0.120,425.99,276.072962,12.997316,-97.42,36.846540,6498.658146,20160528_062230
4,KVNX20160528_105356_V06,-23,0.127,381.69,257.155212,12.635086,-97.67,36.932986,6317.543030,20160528_055356
4,KVNX20160528_110327_V06,-13,-1.000,381.69,257.155212,28.535086,-97.67,36.932986,14267.543030,20160528_060327
4,KVNX20160528_111258_V06,-4,0.215,381.27,255.609955,12.570984,-97.67,36.939957,6285.491943,20160528_061258
12,KVNX20160528_112230_V06,6,0.204,280.63,326.447449,9.167084,-98.24,36.621618,4583.541870,20160528_062230
23,KVNX20160528_120040_V06,44,0.085,425.69,275.881500,5.999466,-97.42,36.847413,2999.732971,20160528_070040
26,KVNX20160528_121942_V06,63,0.066,287.37,347.900940,5.537483,-98.20,36.524982,2768.741608,20160528_071942
27,KVNX20160528_122913_V06,73,0.149,425.62,277.185303,5.396439,-97.42,36.841541,2698.219299,20160528_072913
