track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
6,KBUF20020102_125308,7,-0.312,373.35,196.900000,9.100000,-79.37,42.616738,4550.000000
6,KBUF20020102_130259,16,-0.505,376.41,200.226008,24.574293,-79.34,42.603056,12287.146297
6,KBUF20020102_131249,26,-0.565,386.98,213.687605,30.556843,-79.26,42.555902,15278.421673
9,KBUF20020104_130039,14,-0.040,214.10,30.200000,30.000000,-80.40,43.323178,15000.000000
10,KBUF20020105_122254,-24,0.015,278.50,60.000000,53.000000,-80.21,43.035913,26500.000000
10,KBUF20020105_122846,-18,0.040,275.31,66.257951,62.348410,-80.17,43.050758,31174.204947
11,KBUF20020105_122846,-18,-0.121,194.90,90.800000,63.200000,-80.03,43.414372,31600.000000
11,KBUF20020105_123437,-12,-0.402,196.15,89.870356,72.792885,-80.03,43.408705,36396.442688
12,KBUF20020105_122846,-18,-0.198,261.55,251.700000,17.700000,-79.03,43.121279,8850.000000
12,KBUF20020105_123437,-12,-0.495,260.76,250.047958,30.246445,-79.04,43.124826,15123.222390
13,KBUF20020105_123437,-12,0.227,273.20,89.600000,51.400000,-80.03,43.061953,25700.000000
13,KBUF20020105_124029,-6,0.057,278.30,93.035484,64.261290,-80.01,43.039217,32130.645161
13,KBUF20020105_124620,0,-0.142,280.62,104.876745,63.412844,-79.93,43.029583,31706.422239
14,KBUF20020105_125801,12,0.031,264.35,117.750000,49.650000,-79.86,43.103596,24825.000000
14,KBUF20020105_130352,17,-0.208,263.52,121.063897,58.751555,-79.84,43.107521,29375.777454
15,KBUF20020105_130352,17,0.579,224.20,34.450000,30.650000,-80.37,43.278111,15325.000000
15,KBUF20020105_130943,23,0.549,226.35,40.279545,44.225000,-80.34,43.268953,22112.500000
15,KBUF20020105_131533,29,0.466,226.23,52.066911,43.565102,-80.26,43.270457,21782.551000
16,KBUF20020105_130352,17,0.891,165.70,75.600000,64.600000,-80.13,43.544665,32300.000000
16,KBUF20020105_130943,23,0.952,164.56,77.487640,65.698876,-80.11,43.549937,32849.438202
16,KBUF20020105_131533,29,0.976,169.07,83.845622,61.057226,-80.07,43.530100,30528.613198
16,KBUF20020105_132124,35,0.942,164.65,97.391699,60.454438,-79.99,43.550924,30227.218915
16,KBUF20020105_132715,41,0.881,166.50,112.529397,62.554824,-79.90,43.543609,31277.411863
16,KBUF20020105_133305,47,0.905,171.62,121.848017,60.520770,-79.84,43.521134,30260.385233
16,KBUF20020105_133856,52,0.000,175.34,130.384721,59.350365,-79.79,43.504892,29675.182593
16,KBUF20020105_134448,58,0.645,169.07,140.508064,60.058839,-79.72,43.533655,30029.419580
16,KBUF20020105_135038,64,0.680,169.83,155.548598,58.949329,-79.63,43.530976,29474.664581
16,KBUF20020105_135629,70,0.898,172.08,170.246657,58.384136,-79.54,43.521537,29192.067957
16,KBUF20020105_140220,76,0.819,173.13,176.879047,53.172349,-79.50,43.517076,26586.174384
16,KBUF20020105_140813,82,0.664,182.80,188.231196,58.064195,-79.43,43.474009,29032.097333
18,KBUF20020106_123153,-15,0.333,446.65,308.700000,58.000000,-78.68,42.288519,29000.000000
18,KBUF20020106_123742,-9,0.356,434.92,307.229183,60.145525,-78.69,42.341304,30072.762646
18,KBUF20020106_124332,-3,0.202,428.75,309.718219,59.978003,-78.68,42.369101,29989.001314
18,KBUF20020106_124923,3,0.098,425.01,323.920762,60.411657,-78.59,42.385854,30205.828535
18,KBUF20020106_125514,9,-0.075,414.68,331.362979,59.225574,-78.55,42.432265,29612.787166
18,KBUF20020106_130105,15,-0.108,409.23,341.087323,55.479509,-78.49,42.456704,27739.754574
18,KBUF20020106_130656,20,0.000,403.85,348.888601,53.082356,-78.44,42.480792,26541.178168
18,KBUF20020106_131247,26,0.000,397.40,358.250134,50.205773,-78.38,42.509672,25102.886479
18,KBUF20020106_131838,32,0.000,390.95,367.611667,47.329190,-78.33,42.538523,23664.594791
18,KBUF20020106_132430,38,0.021,389.35,366.308027,57.666161,-78.33,42.545733,28833.080509
19,KBUF20020107_121708,-28,0.016,286.65,190.400000,60.000000,-79.41,43.006723,30000.000000
21,KBUF20020107_122259,-23,-0.390,265.10,211.700000,47.000000,-79.28,43.104402,23500.000000
21,KBUF20020107_122851,-17,-0.602,266.97,215.922915,58.027747,-79.25,43.096124,29013.873733
21,KBUF20020107_123443,-11,-0.621,274.12,221.072721,57.183503,-79.22,43.064074,28591.751546
22,KBUF20020107_125217,7,0.000,474.30,292.450000,38.650000,-78.78,42.164060,19325.000000
22,KBUF20020107_125808,13,0.000,474.30,292.450000,54.850000,-78.78,42.164060,27425.000000
22,KBUF20020107_130359,18,0.030,485.86,292.800375,53.459066,-78.78,42.112014,26729.533061
22,KBUF20020107_130951,24,-0.198,488.02,295.085550,57.310979,-78.77,42.102328,28655.489407
27,KBUF20020108_123352,-12,0.026,81.25,151.650000,45.250000,-79.66,43.929383,22625.000000
27,KBUF20020108_124344,-2,-0.018,84.48,147.270115,55.375561,-79.69,43.914648,27687.780269
28,KBUF20020108_124344,-2,0.206,87.70,204.100000,66.400000,-79.33,43.902506,33200.000000
28,KBUF20020108_125336,8,0.148,88.91,194.535017,77.125253,-79.39,43.896723,38562.626263
30,KBUF20020108_130328,18,0.259,87.00,195.300000,67.700000,-79.39,43.905360,33850.000000
30,KBUF20020108_131320,28,0.162,87.99,195.405859,75.327830,-79.39,43.900918,37663.914780
33,KBUF20020108_130328,18,-0.126,155.20,271.300000,52.500000,-78.91,43.600149,26250.000000
33,KBUF20020108_131320,28,-0.307,155.20,281.196878,64.521739,-78.85,43.600228,32260.869565
34,KBUF20020108_131320,28,0.461,440.85,74.400000,44.400000,-80.11,42.306412,22200.000000
34,KBUF20020108_132312,38,0.457,454.58,84.032637,52.175715,-80.05,42.245299,26087.857695
36,KBUF20020109_122117,-24,0.012,314.00,424.400000,28.200000,-77.98,42.883065,14100.000000
41,KBUF20020109_123258,-13,0.158,513.20,161.050000,63.050000,-79.58,41.985863,31525.000000
42,KBUF20020109_123258,-13,0.035,482.40,56.450000,33.350000,-80.21,42.118058,16675.000000
43,KBUF20020109_123849,-7,0.496,487.45,75.700000,25.800000,-80.09,42.096780,12900.000000
44,KBUF20020109_123849,-7,0.318,557.55,190.300000,57.000000,-79.40,41.787392,28500.000000
46,KBUF20020109_124439,-1,0.721,556.40,230.550000,60.450000,-79.15,41.793721,30225.000000
46,KBUF20020109_125030,5,0.726,561.51,239.979412,61.208824,-79.10,41.770931,30604.411765
48,KBUF20020109_124439,-1,0.415,557.40,364.400000,30.600000,-78.35,41.789328,15300.000000
49,KBUF20020109_124439,-1,-0.048,523.55,131.650000,26.850000,-79.75,41.937826,13425.000000
50,KBUF20020109_124439,-1,-0.300,439.65,265.900000,18.500000,-78.94,42.319853,9250.000000
50,KBUF20020109_125030,5,-0.507,442.46,269.878774,29.400472,-78.92,42.307261,14700.235849
51,KBUF20020109_125030,5,0.574,563.50,396.200000,22.600000,-78.16,41.761052,11300.000000
52,KBUF20020109_125030,5,0.507,427.90,280.000000,30.500000,-78.86,42.372866,15250.000000
53,KBUF20020109_125030,5,0.258,496.65,117.100000,26.400000,-79.84,42.058084,13200.000000
54,KBUF20020109_125030,5,0.230,565.40,372.250000,52.950000,-78.30,41.753143,26475.000000
55,KBUF20020109_125030,5,0.117,446.95,36.850000,28.150000,-80.33,42.275994,14075.000000
56,KBUF20020109_125030,5,0.037,519.35,90.150000,57.950000,-80.00,41.954213,28975.000000
57,KBUF20020109_125030,5,-0.197,266.25,437.100000,16.200000,-77.89,43.097417,8100.000000
57,KBUF20020109_125622,11,-0.370,266.96,442.736749,29.608298,-77.86,43.093957,14804.149026
58,KBUF20020109_125622,11,0.696,562.95,251.800000,35.100000,-79.03,41.764635,17550.000000
59,KBUF20020109_125622,11,0.538,501.20,145.800000,25.600000,-79.67,42.039159,12800.000000
59,KBUF20020109_130213,17,0.596,503.40,156.493015,29.562868,-79.60,42.029766,14781.433824
60,KBUF20020109_125622,11,0.237,434.80,297.150000,33.250000,-78.75,42.341871,16625.000000
61,KBUF20020109_125622,11,-0.027,562.10,415.450000,22.050000,-78.04,41.766703,11025.000000
62,KBUF20020109_125622,11,-0.036,485.90,279.950000,39.250000,-78.86,42.111788,19625.000000
63,KBUF20020109_130213,17,0.459,573.35,262.100000,25.300000,-78.96,41.717959,12650.000000
63,KBUF20020109_130805,23,0.404,578.04,269.355618,31.117978,-78.92,41.696927,15558.988764
64,KBUF20020109_130213,17,0.142,460.85,77.550000,28.150000,-80.08,42.216629,14075.000000
65,KBUF20020109_130213,17,0.069,489.20,62.800000,55.500000,-80.17,42.087946,27750.000000
66,KBUF20020109_130213,17,0.005,432.50,319.800000,34.400000,-78.62,42.352161,17200.000000
67,KBUF20020109_130805,23,0.642,513.95,182.250000,26.250000,-79.45,41.983360,13125.000000
68,KBUF20020109_130805,23,0.271,516.35,82.050000,33.350000,-80.05,41.967160,16675.000000
69,KBUF20020109_130805,23,-0.270,499.25,290.950000,26.150000,-78.79,42.051745,13075.000000
69,KBUF20020109_131357,28,-0.454,499.04,293.798350,38.930999,-78.77,42.052686,19465.499554
70,KBUF20020109_131357,28,0.100,578.80,182.100000,26.400000,-79.45,41.691436,13200.000000
71,KBUF20020109_131357,28,-0.201,499.40,310.050000,18.750000,-78.68,42.051067,9375.000000
71,KBUF20020109_131948,34,-0.332,500.36,315.027093,28.788767,-78.65,42.046716,14394.383260
72,KBUF20020109_131357,28,0.158,516.95,205.350000,26.950000,-79.31,41.970644,13475.000000
72,KBUF20020109_131948,34,0.345,522.07,216.258629,30.820051,-79.24,41.947923,15410.025381
73,KBUF20020110_122736,-18,0.453,260.30,252.900000,23.700000,-79.03,43.126923,11850.000000
74,KBUF20020110_122736,-18,-0.293,258.35,253.300000,10.100000,-79.02,43.135706,5050.000000
74,KBUF20020110_123728,-8,-0.530,256.69,248.687745,26.811123,-79.05,43.143124,13405.561277
75,KBUF20020110_123728,-8,0.023,45.15,253.000000,34.100000,-79.03,44.095148,17050.000000
75,KBUF20020110_124720,2,0.004,51.78,263.468709,42.477445,-78.96,44.065445,21238.722295
76,KBUF20020110_130704,22,0.250,127.75,197.500000,35.400000,-79.37,43.722065,17700.000000
