track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
2,KCLE20140101_123237_V06,-21,0.008,299.00,365.600000,16.000000,-81.47,41.416893,8000.000000
2,KCLE20140101_123821_V06,-15,-0.373,295.65,364.399543,26.998018,-81.47,41.431978,13499.009146
25,KCLE20140104_122746_V06,-26,-0.186,295.55,370.750000,12.050000,-81.44,41.432316,6025.000000
25,KCLE20140104_123733_V06,-16,-0.567,297.35,371.152532,24.585696,-81.43,41.424212,12292.848101
25,KCLE20140104_130659_V06,13,-0.591,309.26,301.864218,33.576336,-81.85,41.371351,16788.167864
26,KCLE20140104_122746_V06,-26,0.099,357.45,333.850000,11.550000,-81.66,41.154238,5775.000000
28,KCLE20140105_123042_V06,-23,-0.173,290.50,363.900000,12.000000,-81.48,41.455194,6000.000000
28,KCLE20140105_124029_V06,-13,-0.030,290.63,366.056977,21.876246,-81.46,41.454555,10938.122924
28,KCLE20140105_125017_V06,-3,-0.477,289.94,373.286865,22.798689,-81.42,41.457531,11399.344338
28,KCLE20140105_130005_V06,7,0.000,289.28,380.241092,24.247679,-81.38,41.460301,12123.839604
28,KCLE20140105_130952_V06,16,-0.454,292.29,356.323491,23.949048,-81.52,41.447277,11974.524128
28,KCLE20140105_131939_V06,26,-0.439,292.33,356.033088,27.594649,-81.52,41.447094,13797.324432
28,KCLE20140105_132926_V06,36,0.000,292.59,354.171511,30.744072,-81.54,41.445975,15372.035953
28,KCLE20140105_134152_V06,48,-0.492,310.15,353.855531,41.341906,-81.54,41.366915,20670.953085
29,KCLE20140105_124029_V06,-13,0.052,48.10,269.400000,53.700000,-82.05,42.546851,26850.000000
29,KCLE20140105_125017_V06,-3,0.091,62.90,262.401376,69.181431,-82.09,42.480162,34590.715268
45,KCLE20140109_122800_V06,-25,-0.193,293.40,368.950000,13.050000,-81.45,41.442034,6525.000000
45,KCLE20140109_123800_V06,-15,-0.503,292.81,355.964721,32.247687,-81.53,41.444920,16123.843323
45,KCLE20140109_124800_V06,-5,-0.557,306.12,332.698877,36.494447,-81.66,41.385364,18247.223728
46,KCLE20140109_124800_V06,-5,-0.010,292.80,356.650000,8.750000,-81.52,41.444975,4375.000000
46,KCLE20140109_125800_V06,5,-0.071,292.10,358.506160,23.088336,-81.51,41.448076,11544.168230
57,KCLE20140112_131033_V06,18,-0.322,308.50,243.700000,22.900000,-82.20,41.374301,11450.000000
57,KCLE20140112_132020_V06,28,-0.525,309.77,249.113236,35.096456,-82.16,41.368671,17548.228244
58,KCLE20140113_123755_V06,-15,0.050,288.35,371.650000,24.150000,-81.43,41.464709,12075.000000
59,KCLE20140113_124742_V06,-5,-0.245,58.70,300.850000,29.750000,-81.85,42.499288,14875.000000
59,KCLE20140113_125729_V06,5,-0.543,65.66,288.500226,51.655385,-81.93,42.467931,25827.692501
60,KCLE20140113_125729_V06,5,0.029,59.25,303.550000,24.350000,-81.84,42.496810,12175.000000
62,KCLE20140114_123116_V06,-20,0.284,297.65,371.300000,16.600000,-81.43,41.422849,8300.000000
62,KCLE20140114_124102_V06,-10,0.239,287.49,376.674126,34.074825,-81.40,41.468443,17037.412587
63,KCLE20140114_123116_V06,-20,-0.131,292.50,364.300000,8.800000,-81.48,41.446182,4400.000000
63,KCLE20140114_124102_V06,-10,-0.197,295.52,368.912845,21.452461,-81.45,41.432481,10726.230492
64,KCLE20140115_122515_V06,-26,-0.053,291.80,371.300000,23.500000,-81.43,41.449186,11750.000000
64,KCLE20140115_123502_V06,-16,-0.427,286.09,368.510526,46.744939,-81.45,41.474966,23372.469636
66,KCLE20140115_123502_V06,-16,0.505,288.35,373.450000,20.150000,-81.42,41.464669,10075.000000
68,KCLE20140116_122230_V06,-28,0.347,299.45,371.900000,12.300000,-81.43,41.414733,6150.000000
68,KCLE20140116_123218_V06,-18,0.365,293.15,372.543539,24.958283,-81.43,41.443069,12479.141370
68,KCLE20140116_124204_V06,-8,-0.128,288.86,370.855403,26.378358,-81.44,41.462435,13189.179193
69,KCLE20140116_123218_V06,-18,-0.124,292.45,372.200000,10.000000,-81.43,41.446239,5000.000000
71,KCLE20140117_122935_V06,-21,0.247,292.05,372.450000,10.050000,-81.43,41.448034,5025.000000
71,KCLE20140117_123922_V06,-11,-0.018,292.27,373.667314,26.968139,-81.42,41.447023,13484.069494
72,KCLE20140117_123922_V06,-11,-0.083,293.35,379.250000,8.850000,-81.39,41.442021,4425.000000
84,KCLE20140118_122242_V06,-27,0.598,293.25,368.800000,19.000000,-81.45,41.442712,9500.000000
84,KCLE20140118_123230_V06,-17,0.536,293.25,366.252713,24.224806,-81.46,41.442766,12112.403101
85,KCLE20140118_122242_V06,-27,0.393,292.30,372.100000,8.700000,-81.43,41.446917,4350.000000
85,KCLE20140118_123230_V06,-17,0.259,292.80,372.028136,16.584068,-81.43,41.444654,8292.033898
86,KCLE20140118_122242_V06,-27,-0.299,286.35,364.550000,9.250000,-81.47,41.473863,4625.000000
86,KCLE20140118_123230_V06,-17,-0.488,286.17,364.461863,20.590909,-81.47,41.474659,10295.454545
86,KCLE20140118_124219_V06,-7,-0.583,291.77,374.971931,30.246665,-81.41,41.449225,15123.332729
86,KCLE20140118_125208_V06,3,-0.560,289.59,390.426289,32.428674,-81.32,41.458639,16214.337063
89,KCLE20140119_123109_V06,-18,0.612,291.95,370.950000,19.250000,-81.44,41.448518,9625.000000
90,KCLE20140120_122852_V06,-20,0.002,290.95,365.700000,12.500000,-81.47,41.453131,6250.000000
90,KCLE20140120_123839_V06,-10,-0.359,292.07,366.550414,38.484990,-81.46,41.448050,19242.494824
91,KCLE20140120_123839_V06,-10,0.001,291.65,372.450000,20.350000,-81.43,41.449835,10175.000000
91,KCLE20140120_124827_V06,0,-0.369,293.04,368.401389,31.353739,-81.45,41.443678,15676.869658
91,KCLE20140120_125814_V06,10,-0.397,280.81,375.877184,44.716855,-81.41,41.498576,22358.427339
93,KCLE20140122_123432_V06,-13,-0.041,291.55,369.700000,19.900000,-81.44,41.450346,9950.000000
93,KCLE20140122_124420_V06,-3,-0.408,288.71,358.943243,37.332432,-81.51,41.463337,18666.216216
94,KCLE20140124_121805_V06,-27,-0.119,294.05,370.500000,12.400000,-81.44,41.439074,6200.000000
94,KCLE20140124_122754_V06,-18,-0.085,297.92,371.466667,20.885333,-81.43,41.421645,10442.666667
94,KCLE20140124_124732_V06,2,-0.484,292.53,356.626498,23.696749,-81.52,41.446202,11848.374344
94,KCLE20140124_125722_V06,12,-0.442,282.75,364.801768,27.266112,-81.47,41.490063,13633.056233
94,KCLE20140124_130712_V06,22,0.000,274.42,369.936887,30.460889,-81.44,41.527478,15230.444567
94,KCLE20140124_131701_V06,32,0.000,266.08,375.072007,33.655666,-81.41,41.564884,16827.832902
94,KCLE20140124_132650_V06,41,0.000,258.58,379.693615,36.530965,-81.38,41.598542,18265.482402
94,KCLE20140124_134629_V06,61,-0.484,291.19,394.634808,55.309705,-81.29,41.451331,27654.852310
97,KCLE20140126_121845_V06,-26,0.183,291.95,365.850000,16.150000,-81.47,41.448626,8075.000000
97,KCLE20140126_122431_V06,-20,0.038,291.71,368.840576,25.489267,-81.45,41.449653,12744.633508
103,KCLE20140127_121515_V06,-28,-0.334,291.55,366.100000,12.300000,-81.46,41.450422,6150.000000
103,KCLE20140127_122059_V06,-23,-0.436,291.50,367.222736,21.527364,-81.46,41.450609,10763.682093
103,KCLE20140127_122644_V06,-17,-0.577,296.53,364.420142,25.385760,-81.47,41.428042,12692.880051
106,KCLE20140129_121912_V06,-22,0.050,284.65,370.650000,12.450000,-81.44,41.481388,6225.000000
106,KCLE20140129_122901_V06,-12,0.055,290.02,373.453821,28.078949,-81.42,41.457132,14039.474651
106,KCLE20140129_124839_V06,7,-0.318,286.14,398.212945,54.751590,-81.27,41.473948,27375.795191
107,KCLE20140130_121915_V06,-21,-0.115,291.10,370.000000,22.900000,-81.44,41.452365,11450.000000
107,KCLE20140130_122903_V06,-11,-0.548,290.89,372.915000,36.014000,-81.42,41.453255,18007.000000
107,KCLE20140130_123852_V06,-2,-0.546,284.41,392.814653,51.176065,-81.30,41.481917,25588.032487
108,KCLE20140130_121915_V06,-21,-0.016,292.35,370.750000,9.150000,-81.44,41.446722,4575.000000
109,KCLE20140131_122026_V06,-19,0.237,291.25,363.050000,16.450000,-81.48,41.451834,8225.000000
109,KCLE20140131_123015_V06,-9,0.015,288.75,362.281420,32.625831,-81.49,41.463094,16312.915408
130,KCLE20140203_121849_V06,-18,0.031,292.90,357.600000,13.000000,-81.52,41.444508,6500.000000
131,KCLE20140203_123018_V06,-6,-0.263,293.35,323.400000,12.600000,-81.72,41.442913,6300.000000
