track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
24,KBUF20160107_121946_V06,-26,0.685,267.65,357.450000,15.450000,-78.38,43.093666,7725.000000
30,KBUF20160107_123931_V06,-6,-0.025,260.30,236.300000,24.500000,-79.13,43.126620,12250.000000
30,KBUF20160107_124427_V06,-1,-0.383,258.90,238.547695,34.842833,-79.11,43.132982,17421.416597
31-32,KBUF20160107_124427_V06,-1,0.606,236.80,350.500000,12.400000,-78.43,43.232632,6200.000000
31-32,KBUF20160107_124923_V06,4,-0.044,235.85,349.750000,9.950000,-78.43,43.236920,4975.000000
33,KBUF20160108_122505_V06,-20,-0.214,261.30,251.750000,15.750000,-79.03,43.122405,7875.000000
33,KBUF20160108_122843_V06,-17,-0.475,261.12,251.823529,22.570588,-79.03,43.123200,11285.294118
34,KBUF20160108_123934_V06,-6,0.420,220.95,423.700000,12.600000,-77.97,43.301857,6300.000000
34,KBUF20160108_124312_V06,-2,0.435,219.79,422.260000,15.160000,-77.98,43.307136,7580.000000
34,KBUF20160108_124649_V06,1,0.000,219.16,421.474545,18.765455,-77.99,43.310015,9382.727273
34,KBUF20160108_125026_V06,5,0.000,218.31,420.427273,23.572727,-77.99,43.313854,11786.363636
34,KBUF20160108_125404_V06,9,-0.069,219.89,413.920222,27.155463,-78.03,43.307005,13577.731524
35,KBUF20160108_123934_V06,-6,0.034,254.55,237.450000,24.050000,-79.12,43.152523,12025.000000
35,KBUF20160108_124312_V06,-2,-0.332,255.41,237.866821,33.233549,-79.12,43.148642,16616.774492
37,KBUF20160108_124312_V06,-2,0.326,238.15,342.800000,12.100000,-78.47,43.226675,6050.000000
37,KBUF20160108_124649_V06,1,0.377,237.88,340.573973,14.960274,-78.49,43.227938,7480.136986
37,KBUF20160108_125026_V06,5,-0.125,235.75,339.642805,21.902415,-78.49,43.237520,10951.207551
63,KBUF20160111_122017_V06,-25,-0.304,262.45,253.150000,12.550000,-79.02,43.117251,6275.000000
63,KBUF20160111_122356_V06,-22,-0.519,262.53,252.824235,20.250197,-79.03,43.116879,10125.098717
104,KBUF20160114_125003_V06,7,-0.160,262.90,253.450000,16.150000,-79.02,43.115230,8075.000000
104,KBUF20160114_125341_V06,10,-0.202,262.62,253.280317,22.338235,-79.02,43.116500,11169.117647
104,KBUF20160114_125719_V06,14,-0.416,262.43,248.263594,28.525079,-79.05,43.117280,14262.539688
107,KBUF20160115_122419_V06,-19,-0.118,277.65,230.600000,22.500000,-79.16,43.048410,11250.000000
107,KBUF20160115_123410_V06,-9,-0.094,255.95,240.527245,26.691950,-79.10,43.146286,13345.975232
107,KBUF20160115_124403_V06,1,-0.508,262.20,254.536333,26.356791,-79.02,43.118376,13178.395747
107,KBUF20160115_125354_V06,10,0.000,266.10,266.843258,26.432588,-78.94,43.101002,13216.294047
107,KBUF20160115_130345_V06,20,-0.491,264.68,255.178898,24.560147,-79.01,43.107259,12280.073295
107,KBUF20160115_131336_V06,30,0.000,265.76,254.577559,23.541993,-79.02,43.102354,11770.996680
107,KBUF20160115_132327_V06,40,-0.337,242.96,238.103057,26.425508,-79.12,43.204714,13212.753823
107,KBUF20160115_133319_V06,50,-0.490,244.01,240.596532,25.396118,-79.10,43.200044,12698.058849
107,KBUF20160115_134311_V06,60,0.000,243.36,241.559953,24.644956,-79.10,43.202948,12322.478011
107,KBUF20160115_135302_V06,70,0.000,242.72,242.523375,23.893794,-79.09,43.205852,11946.897174
107,KBUF20160115_141243_V06,89,0.000,241.50,244.353875,22.466587,-79.08,43.211368,11233.293582
107,KBUF20160115_142234_V06,99,0.000,240.86,245.317297,21.715425,-79.07,43.214271,10857.712745
107,KBUF20160115_143225_V06,109,0.000,240.22,246.280718,20.964264,-79.07,43.217174,10482.131907
107,KBUF20160115_144215_V06,119,0.000,239.58,247.244139,20.213102,-79.06,43.220076,10106.551069
107,KBUF20160115_145206_V06,129,-0.498,263.88,248.899323,24.195365,-79.05,43.110766,12097.682274
107,KBUF20160115_150157_V06,138,-0.489,266.68,249.387142,24.249621,-79.05,43.098138,12124.810532
108,KBUF20160115_123410_V06,-9,0.383,238.05,347.150000,11.950000,-78.45,43.227060,5975.000000
108,KBUF20160115_124403_V06,1,0.193,230.50,352.676554,22.782254,-78.41,43.260956,11391.126943
111,KBUF20160116_125606_V06,14,-0.018,268.15,318.050000,25.750000,-78.63,43.091905,12875.000000
111,KBUF20160116_130554_V06,23,-0.348,268.30,328.608498,40.251106,-78.56,43.091140,20125.552969
139,KBUF20160119_124351_V06,2,-0.079,261.45,254.600000,12.500000,-79.02,43.121773,6250.000000
139,KBUF20160119_125343_V06,12,-0.113,262.54,254.930630,23.695883,-79.01,43.116868,11847.941360
141,KBUF20160120_123030_V06,-10,-0.222,262.60,251.700000,12.300000,-79.03,43.116553,6150.000000
141,KBUF20160120_124022_V06,0,-0.438,261.90,252.065905,26.042963,-79.03,43.119726,13021.481678
169,KBUF20160124_122139_V06,-16,0.052,269.25,237.400000,24.800000,-79.12,43.086363,12400.000000
170-172,KBUF20160124_122503_V06,-12,0.130,259.95,245.300000,23.400000,-79.07,43.128371,11700.000000
170-172,KBUF20160124_122827_V06,-9,-0.060,258.43,244.946134,29.809305,-79.08,43.135222,14904.652687
170-172,KBUF20160124_123151_V06,-6,0.009,247.25,235.150000,31.050000,-79.14,43.185328,15525.000000
170-172,KBUF20160124_123515_V06,-2,-0.401,246.87,234.448690,39.707642,-79.14,43.187043,19853.820961
231,KBUF20160130_121853_V06,-14,0.213,275.60,231.350000,23.450000,-79.16,43.057654,11725.000000
233,KBUF20160130_122610_V06,-6,-0.190,247.65,239.600000,23.200000,-79.11,43.183620,11600.000000
233,KBUF20160130_122949_V06,-3,-0.480,246.99,240.249038,30.001923,-79.10,43.186586,15000.961538
234,KBUF20160130_122949_V06,-3,-0.194,234.90,355.100000,12.200000,-78.40,43.241103,6100.000000
234,KBUF20160130_123326_V06,1,-0.418,233.72,353.996818,20.836066,-78.40,43.246421,10418.032787
239,KBUF20160201_120914_V06,-21,0.020,267.10,366.300000,19.200000,-78.33,43.095961,9600.000000
241,KBUF20160202_121048_V06,-19,0.548,276.40,229.050000,16.750000,-79.17,43.054000,8375.000000
241,KBUF20160202_122038_V06,-9,0.600,258.57,234.993508,26.813238,-79.14,43.134381,13406.618887
243,KBUF20160202_122038_V06,-9,0.200,248.25,352.650000,23.450000,-78.41,43.181064,11725.000000
243,KBUF20160202_123029_V06,1,0.354,247.23,350.397394,26.861387,-78.43,43.185693,13430.693665
249,KBUF20160203_121801_V06,-10,0.164,253.65,260.950000,13.250000,-78.98,43.156966,6625.000000
280,KBUF20160205_122521_V06,0,-0.018,238.95,348.900000,11.700000,-78.44,43.222982,5850.000000
285,KBUF20160207_120240_V06,-21,0.511,266.00,356.950000,14.850000,-78.39,43.101101,7425.000000
287,KBUF20160207_122219_V06,-1,0.546,236.20,354.600000,12.200000,-78.40,43.235261,6100.000000
292,KBUF20160208_122346_V06,1,0.566,237.50,348.150000,11.650000,-78.44,43.229520,5825.000000
292,KBUF20160208_123334_V06,11,0.550,236.53,354.240982,16.231804,-78.40,43.233795,8115.901836
317,KBUF20160209_120541_V06,-16,0.166,268.95,237.350000,23.350000,-79.12,43.087712,11675.000000
332,KBUF20160209_122011_V06,-1,0.132,245.20,236.450000,30.350000,-79.13,43.194582,15175.000000
335,KBUF20160209_122349_V06,2,-0.068,303.30,328.100000,21.600000,-78.56,42.933628,10800.000000
335,KBUF20160209_122727_V06,6,-0.107,303.03,329.181258,29.156225,-78.56,42.934851,14578.112713
367,KBUF20160212_115458_V06,-23,-0.324,262.25,251.350000,12.250000,-79.04,43.118123,6125.000000
367,KBUF20160212_115835_V06,-19,-0.564,262.17,250.155014,20.792804,-79.04,43.118471,10396.402043
367,KBUF20160212_120212_V06,-15,-0.581,261.46,249.171614,27.398889,-79.05,43.121652,13699.444723
377,KBUF20160214_120813_V06,-6,-0.227,262.95,246.400000,12.200000,-79.07,43.114889,6100.000000
377,KBUF20160214_121802_V06,4,-0.515,261.17,249.606406,26.778546,-79.05,43.122947,13389.273005
397,KBUF20160218_115127_V06,-17,0.080,373.25,286.350000,16.150000,-78.82,42.618888,8075.000000
398,KBUF20160218_120116_V06,-7,0.529,244.00,347.750000,12.550000,-78.44,43.200272,6275.000000
406,KBUF20160221_114435_V06,-20,-0.104,267.00,363.000000,10.300000,-78.35,43.096481,5150.000000
406,KBUF20160221_115425_V06,-10,-0.478,254.34,354.953886,23.157513,-78.40,43.153613,11578.756477
406,KBUF20160221_120413_V06,0,-0.499,247.88,358.975992,25.398341,-78.37,43.182611,12699.170732
