track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
10711,KOKX20110709_092139_V03,-6,1.000,381.0,207.5,6.242055418018382,40500.0,-45750.0,3121.027709009191
10711,KOKX20110709_092705_V03,-1,1.000,384.0,206.5,15.775593519606673,42000.0,-46250.0,7887.7967598033365
10711,KOKX20110709_093230_V03,5,1.000,388.0,208.5,23.33151251253162,44000.0,-45250.0,11665.756256265811
10711,KOKX20110709_093754_V03,10,1.000,387.0,209.5,26.933942642628754,43500.0,-44750.0,13466.971321314379
10712,KOKX20110710_090645_V03,-22,1.000,382.444,194.66699999999997,4.449681188731365,41222.0,-52166.5,2224.840594365682
10712,KOKX20110710_091549_V03,-13,1.000,379.444,196.66699999999997,9.71448816880332,39722.0,-51166.5,4857.244084401659
10712,KOKX20110710_092453_V03,-4,1.000,374.444,199.66699999999997,23.41645997251728,37222.0,-49666.5,11708.22998625864
10712,KOKX20110710_093358_V03,5,1.000,374.444,200.66699999999997,31.092517025248583,37222.0,-49166.5,15546.258512624292
10712,KOKX20110710_094302_V03,14,1.000,373.444,203.66699999999997,41.66058707576809,36722.0,-47666.5,20830.29353788405
10713,KOKX20110713_090657_V03,-24,1.000,389.611,195.389,3.47578499594623,44805.5,-51805.5,1737.8924979731148
10713,KOKX20110713_091536_V03,-15,1.000,389.611,199.389,12.223726290882833,44805.5,-49805.5,6111.863145441417
10714,KOKX20110714_091109_V03,-21,1.000,384.056,205.611,4.489833393975892,42028.0,-46694.5,2244.9166969879457
10714,KOKX20110714_091509_V03,-17,1.000,384.056,205.611,8.378815024352978,42028.0,-46694.5,4189.40751217649
10714,KOKX20110714_091910_V03,-13,1.000,385.056,208.611,11.369306292353212,42528.0,-45194.5,5684.653146176606
10714,KOKX20110714_092310_V03,-9,1.000,385.056,208.611,13.049973989737081,42528.0,-45194.5,6524.986994868541
10715,KOKX20110715_090819_V03,-25,1.000,386.0,196.0,2.12229799315559,43000.0,-51500.0,1061.1489965777948
10715,KOKX20110715_091725_V03,-16,1.000,389.0,202.0,6.90991172091769,44500.0,-48500.0,3454.955860458845
10715,KOKX20110715_092631_V03,-6,1.000,388.0,204.0,17.111033622846207,44000.0,-47500.0,8555.516811423106
10715,KOKX20110715_093537_V03,3,1.000,390.0,212.0,26.25217446268656,45000.0,-43500.0,13126.087231343281
10716,KOKX20110716_091025_V03,-23,1.000,385.75,195.0,1.913485131574986,42875.0,-52000.0,956.742565787493
10716,KOKX20110716_091931_V03,-13,1.000,386.75,191.0,7.685326400063108,43375.0,-54000.0,3842.663200031555
10716,KOKX20110716_092836_V03,-4,1.000,393.75,193.0,17.28292586219181,46875.0,-53000.0,8641.462931095906
10716,KOKX20110716_093740_V03,5,1.000,394.75,202.0,23.75837667342411,47375.0,-48500.0,11879.188336712057
10717,KOKX20110717_090443_V03,-29,1.000,389.0,194.5,4.375362410447506,44500.0,-52250.0,2187.6812052237538
10717,KOKX20110717_091346_V03,-20,1.000,392.0,193.5,8.555632428579823,46000.0,-52750.0,4277.816214289912
10718,KOKX20110720_091945_V03,-17,1.000,387.722,195.08300000000003,4.06141015774274,43861.0,-51958.5,2030.7050788713702
10718,KOKX20110720_092837_V03,-8,1.000,389.722,195.08300000000003,15.506619401279814,44861.0,-51958.5,7753.309700639907
10718,KOKX20110720_093729_V03,0,1.000,389.722,195.08300000000003,24.758069165275206,44861.0,-51958.5,12379.034582637603
10718,KOKX20110720_094617_V03,9,1.000,389.722,195.08300000000003,32.45286154267976,44861.0,-51958.5,16226.430771339885
10719,KOKX20110725_091650_V03,-24,1.000,384.0,194.0,4.839731163130228,42000.0,-52500.0,2419.865581565114
10719,KOKX20110725_092525_V03,-16,1.000,384.0,194.0,6.711499564664333,42000.0,-52500.0,3355.749782332167
10719,KOKX20110725_093400_V03,-7,1.000,375.0,191.0,16.135539303955735,37500.0,-54000.0,8067.769651977868
10719,KOKX20110725_094234_V03,2,1.000,371.0,186.0,24.696129768524106,35500.0,-56500.0,12348.06488426205
10719,KOKX20110725_095109_V03,10,1.000,368.0,182.0,34.300950332862655,34000.0,-58500.0,17150.475166431326
10719,KOKX20110725_095942_V03,19,1.000,365.0,179.0,43.671186680127974,32500.0,-60000.0,21835.593340063988
10720,KOKX20110726_093122_V03,-11,1.000,386.679,194.036,5.8647939623025,43339.5,-52482.0,2932.3969811512497
10720,KOKX20110726_093647_V03,-5,1.000,385.679,192.036,12.137848070819894,42839.5,-53482.0,6068.9240354099475
10721,KOKX20110726_093647_V03,-5,1.000,430.056,240.94400000000002,3.849749848049674,65028.0,-29028.0,1924.8749240248374
10722,KOKX20110726_093647_V03,-5,1.000,393.7,290.7,3.3666328183018237,46850.0,-4150.0,1683.3164091509116
10723,KOKX20110726_093647_V03,-5,1.000,364.955,267.591,2.4592460197970185,32477.5,-15704.5,1229.623009898509
10724,KOKX20110726_093647_V03,-5,1.000,296.5,184.0,5.9464208081931,-1750.0,-57500.0,2973.2104040965496
10720,KOKX20110726_094214_V03,0,1.000,387.679,192.036,17.603288129489002,43839.5,-53482.0,8801.6440647445
10721,KOKX20110726_094214_V03,0,1.000,435.056,241.94400000000002,6.591107551547454,67528.0,-28528.0,3295.553775773727
10722,KOKX20110726_094214_V03,0,1.000,394.7,289.7,8.349278099732887,47350.0,-4650.0,4174.639049866443
10723,KOKX20110726_094214_V03,0,1.000,363.955,269.591,6.5252418440746105,31977.5,-14704.5,3262.6209220373057
10724,KOKX20110726_094214_V03,0,1.000,296.5,184.0,10.537268056379112,-1750.0,-57500.0,5268.6340281895555
10720,KOKX20110726_094740_V03,6,1.000,387.679,192.036,25.669293967295243,43839.5,-53482.0,12834.646983647623
10722,KOKX20110726_094740_V03,6,1.000,394.7,289.7,12.117184507739067,47350.0,-4650.0,6058.592253869533
10720,KOKX20110726_095305_V03,11,1.000,388.679,191.036,30.569894581124966,44339.5,-53982.0,15284.947290562484
10720,KOKX20110726_095830_V03,17,1.000,388.679,191.036,37.184837111163816,44339.5,-53982.0,18592.41855558191
10725,KOKX20110727_091957_V03,-23,1.000,388.9,197.10000000000002,5.852489193453795,44450.0,-50950.0,2926.2445967268977
10725,KOKX20110727_092957_V03,-13,1.000,399.9,204.10000000000002,16.264000588706775,49950.0,-47450.0,8132.000294353387
10726,KOKX20110727_092957_V03,-13,1.000,343.912,274.882,4.747645152846269,21956.0,-12059.0,2373.822576423135
10727,KOKX20110727_092957_V03,-13,1.000,432.0,248.25,3.0847354551680084,66000.0,-25375.0,1542.3677275840041
10729,KOKX20110727_092957_V03,-13,1.000,404.233,241.10000000000002,5.284863696730914,52116.5,-28950.0,2642.431848365457
10725,KOKX20110727_093900_V03,-4,1.000,405.9,212.10000000000002,25.743128725601157,52950.0,-43450.0,12871.564362800578
10726,KOKX20110727_093900_V03,-4,1.000,343.912,274.882,7.975434401928635,21956.0,-12059.0,3987.7172009643177
10727,KOKX20110727_093900_V03,-4,1.000,438.0,248.25,6.580179528951794,69000.0,-25375.0,3290.0897644758966
10728,KOKX20110727_093900_V03,-4,1.000,346.0,86.31299999999999,5.388320978150395,23000.0,-106343.5,2694.160489075198
10728,KOKX20110727_094803_V03,5,1.000,351.0,99.31299999999999,14.565282964391546,25500.0,-99843.5,7282.6414821957715
10730,KOKX20110728_092312_V03,-21,1.000,383.167,198.0,8.613858108167335,41583.5,-50500.0,4306.929054083668
