track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
1,KBUF20140101_123725_V06,-9,0.093,236.85,354.850000,11.750000,-78.40,43.232331,5875.000000
1,KBUF20140101_124203_V06,-4,0.075,236.68,355.057219,19.613636,-78.40,43.233073,9806.818182
15,KBUF20140103_123755_V06,-9,-0.001,371.40,285.750000,12.450000,-78.82,42.627212,6225.000000
18,KBUF20140104_123024_V06,-16,0.303,234.40,356.700000,12.300000,-78.39,43.243323,6150.000000
24,KBUF20140105_122129_V06,-25,-0.213,34.15,286.700000,50.800000,-78.82,44.144988,25400.000000
24,KBUF20140105_123105_V06,-15,-0.433,32.86,280.226288,60.180244,-78.86,44.150778,30090.122146
98,KBUF20140112_122927_V06,-15,0.301,250.45,244.450000,12.450000,-79.08,43.171111,6225.000000
99,KBUF20140113_122332_V06,-21,0.119,242.25,241.700000,16.200000,-79.10,43.207964,8100.000000
100,KBUF20140113_122332_V06,-21,-0.128,252.15,225.050000,30.150000,-79.20,43.163043,15075.000000
109,KBUF20140114_123743_V06,-6,0.646,250.25,253.400000,32.400000,-79.02,43.172162,16200.000000
111,KBUF20140114_123743_V06,-6,-0.064,262.25,255.050000,18.150000,-79.01,43.118180,9075.000000
150,KBUF20140120_124314_V06,3,0.227,245.00,246.850000,18.350000,-79.06,43.195682,9175.000000
150,KBUF20140120_125250_V06,12,0.304,247.41,257.714593,23.709809,-79.00,43.184987,11854.904306
150,KBUF20140120_130228_V06,22,-0.006,237.82,264.598083,31.057433,-78.95,43.228249,15528.716633
156,KBUF20140120_125250_V06,12,-0.128,204.90,274.500000,9.200000,-78.89,43.376511,4600.000000
214,KBUF20140129_124329_V06,11,-0.328,372.40,285.450000,12.550000,-78.83,42.622709,6275.000000
214,KBUF20140129_125306_V06,21,-0.589,372.16,285.103421,25.126962,-78.83,42.623788,12563.480885
251,KBUF20140211_120443_V06,-13,-0.068,243.05,232.150000,26.450000,-79.15,43.204165,13225.000000
251,KBUF20140211_121419_V06,-3,-0.310,246.72,232.678825,37.702772,-79.15,43.187649,18851.385809
251,KBUF20140211_122356_V06,6,-0.302,261.71,228.012084,50.418812,-79.18,43.120074,25209.405868
255,KBUF20140213_123712_V06,22,-0.360,251.15,238.900000,26.600000,-79.11,43.167854,13300.000000
255,KBUF20140213_124649_V06,31,-0.613,247.49,238.683102,41.862604,-79.11,43.184336,20931.301939
269,KBUF20140220_121937_V06,14,-0.023,262.70,251.950000,11.950000,-79.03,43.116107,5975.000000
334,KBUF20140223_120502_V06,5,0.153,266.75,260.350000,8.450000,-78.98,43.098001,4225.000000
334,KBUF20140223_121438_V06,14,0.062,267.09,260.350000,16.475643,-78.98,43.096475,8237.821512
334,KBUF20140223_122414_V06,24,0.000,267.44,260.350000,26.640101,-78.98,43.094896,13320.050663
334,KBUF20140223_123347_V06,33,-0.158,276.66,263.499002,25.044578,-78.96,43.053419,12522.289206
334,KBUF20140223_124322_V06,43,-0.004,269.75,263.659425,23.764199,-78.96,43.084554,11882.099395
334,KBUF20140223_125257_V06,52,0.058,264.32,256.840689,21.568077,-79.00,43.108912,10784.038442
334,KBUF20140223_130233_V06,62,-0.175,279.56,246.828999,28.437302,-79.06,43.040135,14218.650774
334,KBUF20140223_131208_V06,72,-0.148,272.30,262.676514,26.413431,-78.97,43.073046,13206.715694
335,KBUF20140223_120502_V06,5,-0.129,266.20,259.800000,15.900000,-78.98,43.100469,7950.000000
335,KBUF20140223_121438_V06,14,-0.093,268.81,261.935191,27.280283,-78.97,43.088769,13640.141431
335,KBUF20140223_122414_V06,24,-0.390,267.42,262.043428,27.608742,-78.97,43.095006,13804.371008
335,KBUF20140223_123347_V06,33,0.000,266.50,262.307481,28.959957,-78.97,43.099165,14479.978383
335,KBUF20140223_124322_V06,43,0.000,265.47,262.600874,30.461306,-78.97,43.103785,15230.653245
