track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
1,KCLE20060101_123418,-19,0.413,284.15,366.050000,12.750000,-81.46,41.483737,6375.000000
1,KCLE20060101_124008,-13,0.337,285.31,366.686364,24.661462,-81.46,41.478493,12330.731225
3,KCLE20060101_124559,-8,0.233,285.75,371.950000,20.650000,-81.43,41.476407,10325.000000
5,KCLE20060102_124939,-4,0.054,72.25,408.750000,64.450000,-81.20,42.436417,32225.000000
6,KCLE20060102_125528,2,-0.186,74.75,423.050000,56.150000,-81.11,42.424638,28075.000000
6,KCLE20060102_130118,8,-0.478,73.69,426.448473,67.540840,-81.09,42.429266,33770.419847
7,KCLE20060103_122755,-26,0.153,156.95,402.800000,50.800000,-81.24,42.055368,25400.000000
8,KCLE20060103_123755,-16,0.412,283.95,363.700000,16.800000,-81.48,41.484685,8400.000000
8,KCLE20060103_124256,-11,0.291,283.15,365.203566,26.231526,-81.47,41.488238,13115.763195
9,KCLE20060103_124256,-11,-0.074,277.15,371.700000,8.700000,-81.43,41.515129,4350.000000
9,KCLE20060103_124756,-6,-0.261,280.79,368.811593,21.058072,-81.45,41.498787,10529.035753
9,KCLE20060103_125256,-1,-0.452,279.87,373.672429,31.672767,-81.42,41.502856,15836.383673
10,KCLE20060103_132025,27,0.140,198.80,288.550000,31.750000,-81.93,41.868623,15875.000000
11,KCLE20060104_123151,-22,0.003,44.05,189.250000,29.050000,-82.53,42.563274,14525.000000
12,KCLE20060105_123539,-18,-0.003,293.55,365.100000,18.800000,-81.47,41.441439,9400.000000
12,KCLE20060105_124130,-12,-0.036,290.55,368.512784,29.903575,-81.45,41.454888,14951.787649
13,KCLE20060105_124130,-12,0.276,289.80,365.400000,12.800000,-81.47,41.458315,6400.000000
13,KCLE20060105_124719,-6,0.340,290.29,369.935019,24.955253,-81.44,41.456012,12477.626459
13,KCLE20060105_125310,0,-0.135,280.93,378.463802,31.148471,-81.39,41.497937,15574.235493
14,KCLE20060106_122803,-25,-0.285,169.75,364.900000,30.200000,-81.47,41.998752,15100.000000
14,KCLE20060106_123353,-20,-0.536,170.48,365.285892,42.465145,-81.47,41.995443,21232.572614
15,KCLE20060106_125125,-2,-0.131,242.90,251.400000,57.700000,-82.15,41.669749,28850.000000
15,KCLE20060106_125715,4,-0.392,246.17,247.088853,69.824619,-82.18,41.654973,34912.309543
16,KCLE20060106_125715,4,-0.148,348.10,499.800000,32.700000,-80.67,41.190335,16350.000000
16,KCLE20060106_130305,10,-0.442,347.26,500.563341,42.777030,-80.66,41.194090,21388.515081
17,KCLE20060106_130305,10,-0.087,355.20,521.150000,55.650000,-80.54,41.156985,27825.000000
18,KCLE20060107_123204,-21,0.067,283.85,365.150000,16.550000,-81.47,41.485106,8275.000000
18,KCLE20060107_123754,-16,-0.353,285.07,365.086319,29.527814,-81.47,41.479603,14763.907149
19,KCLE20060107_123754,-16,0.048,545.00,176.300000,59.600000,-82.59,40.307643,29800.000000
20,KCLE20060107_131845,25,0.027,81.05,162.150000,33.950000,-82.70,42.395669,16975.000000
21,KCLE20060107_131845,25,-0.237,236.45,139.550000,11.950000,-82.82,41.695129,5975.000000
21,KCLE20060107_132434,31,-0.396,237.03,142.967369,22.324536,-82.80,41.692668,11162.268128
22,KCLE20060108_123803,-15,0.134,277.90,365.350000,15.650000,-81.47,41.511888,7825.000000
22,KCLE20060108_124754,-6,-0.323,280.12,368.471076,32.391143,-81.45,41.501834,16195.571749
23,KCLE20060108_124754,-6,-0.115,281.80,365.450000,12.250000,-81.47,41.494329,6125.000000
24,KCLE20060110_123130,-22,0.749,285.20,365.150000,12.150000,-81.47,41.479029,6075.000000
24,KCLE20060110_124121,-12,0.753,287.02,368.410105,28.345079,-81.45,41.470784,14172.539543
25,KCLE20060110_125309,0,0.085,281.50,372.200000,22.400000,-81.43,41.495535,11200.000000
26,KCLE20060111_122342,-29,0.524,141.00,337.450000,37.150000,-81.63,42.128611,18575.000000
27,KCLE20060111_122342,-29,0.235,459.45,241.600000,25.900000,-82.21,40.694650,12950.000000
29,KCLE20060111_122342,-29,-0.124,485.85,447.450000,65.650000,-80.99,40.572985,32825.000000
31,KCLE20060111_122932,-23,0.398,331.80,239.000000,22.300000,-82.22,41.269318,11150.000000
32,KCLE20060111_122932,-23,0.040,393.75,333.500000,28.400000,-81.66,40.990810,14200.000000
32,KCLE20060111_123523,-17,-0.100,390.32,337.551819,39.297905,-81.64,41.006193,19648.952591
32,KCLE20060111_124113,-11,-0.355,390.58,341.265806,47.319480,-81.61,41.004979,23659.739778
33,KCLE20060111_122932,-23,0.114,307.80,489.850000,35.450000,-80.73,41.372347,17725.000000
34,KCLE20060111_122932,-23,0.282,118.35,347.400000,36.500000,-81.57,42.230433,18250.000000
34,KCLE20060111_123523,-17,0.380,112.17,352.641653,46.590302,-81.54,42.258152,23295.151033
36,KCLE20060111_122932,-23,-0.048,331.85,243.600000,9.300000,-82.20,41.269177,4650.000000
37,KCLE20060111_122932,-23,-0.048,324.85,236.300000,9.300000,-82.24,41.300555,4650.000000
38,KCLE20060111_122932,-23,-0.057,316.90,568.150000,30.850000,-80.26,41.325821,15425.000000
39,KCLE20060111_122932,-23,-0.094,79.90,463.100000,49.400000,-80.87,42.399638,24700.000000
40,KCLE20060111_123523,-17,0.430,283.10,365.300000,16.300000,-81.47,41.488479,8150.000000
40,KCLE20060111_124113,-11,0.271,283.17,365.747337,26.535503,-81.47,41.488135,13267.751479
41,KCLE20060111_123523,-17,-0.079,213.80,32.450000,27.950000,-83.47,41.789900,13975.000000
42,KCLE20060111_124113,-11,0.353,96.15,361.450000,37.450000,-81.49,42.330119,18725.000000
43,KCLE20060111_124113,-11,0.011,277.15,169.250000,24.750000,-82.64,41.513267,12375.000000
43,KCLE20060111_124703,-5,-0.107,275.78,168.980503,37.239240,-82.64,41.519415,18619.619941
44,KCLE20060111_124113,-11,0.035,365.35,352.400000,26.800000,-81.55,41.118423,13400.000000
45,KCLE20060111_124703,-5,0.435,259.00,179.050000,17.150000,-82.59,41.595356,8575.000000
45,KCLE20060111_125254,0,0.329,256.63,182.550743,27.517756,-82.56,41.606165,13758.878158
46,KCLE20060111_124703,-5,0.323,338.15,365.750000,25.350000,-81.47,41.240637,12675.000000
47,KCLE20060111_124703,-5,-0.057,188.15,270.550000,27.750000,-82.04,41.916450,13875.000000
47,KCLE20060111_125254,0,-0.408,188.11,271.479226,37.326603,-82.03,41.916632,18663.301415
49,KCLE20060111_125843,6,0.191,372.00,292.650000,21.450000,-81.90,41.088899,10725.000000
49,KCLE20060111_130432,12,0.177,375.84,298.606140,35.623684,-81.87,41.071629,17811.842105
49,KCLE20060111_131022,18,-0.160,387.42,295.282394,51.023977,-81.89,41.019495,25511.988606
50,KCLE20060111_125843,6,-0.343,234.90,196.100000,23.300000,-82.48,41.704444,11650.000000
50,KCLE20060111_130432,12,-0.621,232.62,194.510480,35.434498,-82.49,41.714643,17717.248908
53,KCLE20060111_130432,12,-0.217,477.60,159.750000,32.450000,-82.69,40.610446,16225.000000
53,KCLE20060111_131022,18,-0.449,474.23,161.870032,43.324881,-82.68,40.625718,21662.440382
55,KCLE20060111_131022,18,0.158,568.70,278.700000,39.800000,-81.99,40.203178,19900.000000
55,KCLE20060111_131611,24,0.113,562.66,282.457895,47.771930,-81.96,40.230407,23885.964912
56,KCLE20060111_131022,18,0.084,141.20,298.100000,26.200000,-81.87,42.127931,13100.000000
58,KCLE20060111_132201,30,0.035,513.45,285.100000,46.500000,-81.95,40.451995,23250.000000
59,KCLE20060111_132201,30,-0.042,481.50,276.850000,24.550000,-82.00,40.595808,12275.000000
60,KCLE20060112_122738,-25,0.331,331.20,243.900000,15.300000,-82.19,41.272108,7650.000000
61,KCLE20060112_123328,-19,0.028,281.60,370.800000,20.100000,-81.44,41.495116,10050.000000
61,KCLE20060112_123917,-13,-0.394,283.56,366.596887,33.124314,-81.46,41.486375,16562.157153
63,KCLE20060113_122924,-23,0.196,327.45,238.850000,15.550000,-82.23,41.288899,7775.000000
63,KCLE20060113_123515,-17,-0.191,324.48,242.370033,29.191537,-82.20,41.302338,14595.768602
65,KCLE20060113_122924,-23,-0.093,556.40,160.550000,33.950000,-82.68,40.255685,16975.000000
66,KCLE20060113_123515,-17,0.263,284.20,364.600000,12.700000,-81.47,41.483541,6350.000000
66,KCLE20060113_124104,-11,0.324,284.58,369.670270,24.889189,-81.44,41.481732,12444.594595
66,KCLE20060113_124655,-6,-0.075,282.33,370.913798,37.097194,-81.44,41.491810,18548.597211
69,KCLE20060113_124104,-11,0.325,365.95,317.400000,32.800000,-81.76,41.116099,16400.000000
69,KCLE20060113_124655,-6,0.276,366.46,323.679367,38.526657,-81.72,41.113747,19263.328313
70,KCLE20060113_124104,-11,-0.162,284.00,371.600000,9.100000,-81.43,41.484293,4550.000000
70,KCLE20060113_124655,-6,-0.133,282.70,370.723448,21.338621,-81.44,41.490184,10669.310345
70,KCLE20060113_125243,0,-0.429,285.60,361.834171,29.496670,-81.49,41.477275,14748.335135
72,KCLE20060113_132152,29,-0.021,150.40,548.050000,27.550000,-80.36,42.076815,13775.000000
73,KCLE20060114_122708,-24,0.529,464.25,347.350000,34.350000,-81.58,40.673217,17175.000000
73,KCLE20060114_123256,-19,0.544,464.66,348.209343,40.816119,-81.57,40.671341,20408.059548
75,KCLE20060114_122708,-24,0.208,446.70,350.500000,17.200000,-81.56,40.752189,8600.000000
75,KCLE20060114_123256,-19,0.145,449.95,352.699324,25.316892,-81.55,40.737536,12658.445946
76,KCLE20060114_122708,-24,0.139,362.05,473.250000,53.350000,-80.83,41.129068,26675.000000
76,KCLE20060114_123256,-19,0.196,361.13,472.789124,59.694288,-80.83,41.133242,29847.143975
78,KCLE20060114_123845,-13,0.404,471.60,350.300000,34.700000,-81.56,40.640079,17350.000000
78,KCLE20060114_124435,-7,0.437,473.99,354.527723,39.533663,-81.54,40.629245,19766.831683
78,KCLE20060114_125025,-1,0.262,476.63,357.488945,49.098359,-81.52,40.617326,24549.179290
79,KCLE20060114_123845,-13,0.452,355.00,476.650000,53.450000,-80.81,41.160621,26725.000000
79,KCLE20060114_124435,-7,0.319,356.84,481.163158,62.465789,-80.78,41.152079,31232.894737
79,KCLE20060114_125025,-1,0.109,359.77,490.534115,60.994804,-80.73,41.138371,30497.402130
79,KCLE20060114_125613,5,0.000,362.46,498.939497,61.544115,-80.68,41.125758,30772.057579
79,KCLE20060114_130203,11,0.087,371.32,503.819570,58.522417,-80.65,41.085577,29261.208311
79,KCLE20060114_130754,16,0.321,367.39,509.482320,53.646788,-80.61,41.102885,26823.393869
79,KCLE20060114_131344,22,0.339,369.49,512.496655,54.542397,-80.60,41.093239,27271.198269
79,KCLE20060114_131934,28,0.304,376.56,518.605134,58.615714,-80.56,41.060995,29307.857164
79,KCLE20060114_132524,34,0.212,374.67,526.716850,56.165607,-80.51,41.068940,28082.803574
79,KCLE20060114_133113,40,0.111,378.83,519.148650,57.839115,-80.56,41.050750,28919.557536
79,KCLE20060114_133704,46,0.154,375.04,531.509268,56.594591,-80.48,41.066947,28297.295432
79,KCLE20060114_134253,51,0.275,378.40,533.522363,56.821232,-80.47,41.051693,28410.615952
