track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
1,KTYX20090102_120759_V04,-29,0.301,149.25,345.500000,67.400000,-75.39,44.433832,33700.000000
1,KTYX20090102_121339_V04,-23,0.132,147.63,350.465293,75.537093,-75.36,44.441027,37768.546638
3,KTYX20090102_121918_V04,-17,-0.004,220.55,147.150000,66.450000,-76.63,44.109384,33225.000000
4,KTYX20090102_123037_V04,-6,0.343,100.75,404.050000,61.050000,-75.02,44.650551,30525.000000
4,KTYX20090102_123617_V04,0,0.041,106.66,405.387452,73.397338,-75.02,44.623917,36698.669202
5,KTYX20090102_125852_V04,22,0.527,554.15,228.100000,60.800000,-76.12,42.611153,30400.000000
5,KTYX20090102_130430_V04,28,0.471,550.10,235.058763,63.855670,-76.08,42.629545,31927.835052
6,KTYX20090102_130430_V04,28,-0.049,228.25,63.500000,63.500000,-77.16,44.069207,31750.000000
6,KTYX20090102_131011_V04,34,-0.178,228.99,67.795455,77.075000,-77.13,44.066239,38537.500000
7,KTYX20090103_122543_V04,-11,-0.193,309.75,422.800000,56.100000,-74.92,43.709413,28050.000000
7,KTYX20090103_123121_V04,-5,-0.481,310.13,422.735878,67.811450,-74.92,43.707685,33905.725191
10,KTYX20090106_120723_V04,-29,0.573,358.75,161.500000,59.800000,-76.54,43.488225,29900.000000
10,KTYX20090106_121659_V04,-20,0.677,357.54,168.027235,59.421686,-76.50,43.493953,29710.842754
10,KTYX20090106_122635_V04,-10,0.660,353.76,184.708111,57.043764,-76.39,43.511660,28521.881919
10,KTYX20090106_123611_V04,0,0.399,350.23,189.992579,58.108650,-76.36,43.527731,29054.324829
10,KTYX20090106_124547_V04,9,0.248,345.34,195.560388,56.360115,-76.33,43.549950,28180.057613
10,KTYX20090106_125521_V04,19,0.262,354.43,179.927941,61.399944,-76.42,43.508467,30699.971927
10,KTYX20090106_130458_V04,28,0.405,353.94,194.969763,63.009870,-76.33,43.511224,31504.935159
10,KTYX20090106_131433_V04,38,0.192,353.82,211.330009,62.358296,-76.23,43.512287,31179.147934
10,KTYX20090106_132409_V04,48,0.000,353.85,226.945823,62.104827,-76.13,43.512617,31052.413421
10,KTYX20090106_133344_V04,57,0.000,353.86,241.000056,61.876705,-76.04,43.512844,30938.352359
10,KTYX20090106_134319_V04,67,0.614,359.98,261.736183,58.059617,-75.92,43.485643,29029.808268
10,KTYX20090106_134859_V04,72,0.612,364.53,269.507141,58.292781,-75.87,43.465272,29146.390669
10,KTYX20090106_135440_V04,78,0.000,369.44,279.013697,58.391040,-75.81,43.443238,29195.520207
10,KTYX20090106_140021_V04,84,0.486,361.61,280.440364,57.968708,-75.80,43.478513,28984.354145
10,KTYX20090106_140957_V04,93,0.551,361.27,285.526235,60.464016,-75.77,43.480076,30232.008179
13,KTYX20090107_121912_V04,-17,0.168,270.15,415.250000,29.250000,-74.96,43.887911,14625.000000
14,KTYX20090107_121912_V04,-17,0.031,297.20,418.900000,55.300000,-74.94,43.766046,27650.000000
19,KTYX20090111_123436_V04,-1,0.046,398.85,561.950000,34.450000,-74.07,43.299519,17225.000000
25,KTYX20090112_124106_V04,7,-0.023,431.35,173.300000,61.300000,-76.46,43.162034,30650.000000
26,KTYX20090112_124645_V04,12,0.297,268.15,393.500000,70.800000,-75.10,43.897679,35400.000000
28,KTYX20090112_124645_V04,12,0.049,409.45,187.550000,59.650000,-76.37,43.261159,29825.000000
