filename,local_time
KDAX20150502_022955_V06,20150501_192955
KDAX20150502_023932_V06,20150501_193932
KDAX20150502_024909_V06,20150501_194909
KDAX20150502_025847_V06,20150501_195847
KDAX20150502_030824_V06,20150501_200824
KDAX20150502_031802_V06,20150501_201802
KDAX20150502_032740_V06,20150501_202740
KDAX20150502_033717_V06,20150501_203717
KDAX20150502_034655_V06,20150501_204655
KDAX20150502_035633_V06,20150501_205633
KDAX20150503_023853_V06,20150502_193853
KDAX20150503_024844_V06,20150502_194844
KDAX20150503_025839_V06,20150502_195839
KDAX20150503_032912_V06,20150502_202912
KDAX20150503_033901_V06,20150502_203901
KDAX20150503_034851_V06,20150502_204851
KDAX20150503_035840_V06,20150502_205840
KDAX20150504_023226_V06,20150503_193226
KDAX20150504_024205_V06,20150503_194205
KDAX20150504_025144_V06,20150503_195144
KDAX20150504_030124_V06,20150503_200124
KDAX20150504_031104_V06,20150503_201104
KDAX20150504_032044_V06,20150503_202044
KDAX20150504_033023_V06,20150503_203023
KDAX20150504_034002_V06,20150503_204002
KDAX20150504_034942_V06,20150503_204942
KDAX20150504_035923_V06,20150503_205923
KDAX20150505_023357_V06,20150504_193357
KDAX20150505_023744_V06,20150504_193744
KDAX20150505_024130_V06,20150504_194130
KDAX20150505_024515_V06,20150504_194515
KDAX20150505_024901_V06,20150504_194901
KDAX20150505_025246_V06,20150504_195246
KDAX20150505_025633_V06,20150504_195633
KDAX20150505_030020_V06,20150504_200020
KDAX20150505_030406_V06,20150504_200406
KDAX20150505_030752_V06,20150504_200752
KDAX20150505_031139_V06,20150504_201139
KDAX20150505_031524_V06,20150504_201524
KDAX20150505_031910_V06,20150504_201910
KDAX20150505_032256_V06,20150504_202256
KDAX20150505_032643_V06,20150504_202643
KDAX20150505_033029_V06,20150504_203029
KDAX20150505_033417_V06,20150504_203417
KDAX20150505_033804_V06,20150504_203804
KDAX20150505_034151_V06,20150504_204151
KDAX20150505_034536_V06,20150504_204536
KDAX20150505_034924_V06,20150504_204924
KDAX20150505_035325_V06,20150504_205325
KDAX20150505_035712_V06,20150504_205712
KDAX20150506_023601_V06,20150505_193601
KDAX20150506_024540_V06,20150505_194540
KDAX20150506_025520_V06,20150505_195520
KDAX20150506_030459_V06,20150505_200459
KDAX20150506_031438_V06,20150505_201438
KDAX20150506_032418_V06,20150505_202418
KDAX20150506_033358_V06,20150505_203358
KDAX20150506_034338_V06,20150505_204338
KDAX20150506_035317_V06,20150505_205317
KDAX20150507_023310_V06,20150506_193310
KDAX20150507_023659_V06,20150506_193659
KDAX20150507_024047_V06,20150506_194047
KDAX20150507_024432_V06,20150506_194432
KDAX20150507_024818_V06,20150506_194818
KDAX20150507_025205_V06,20150506_195205
KDAX20150507_025551_V06,20150506_195551
KDAX20150507_025939_V06,20150506_195939
KDAX20150507_030325_V06,20150506_200325
KDAX20150507_030712_V06,20150506_200712
KDAX20150507_031059_V06,20150506_201059
KDAX20150507_031447_V06,20150506_201447
KDAX20150507_031831_V06,20150506_201831
KDAX20150507_032218_V06,20150506_202218
KDAX20150507_032604_V06,20150506_202604
KDAX20150507_032951_V06,20150506_202951
KDAX20150507_033337_V06,20150506_203337
KDAX20150507_033724_V06,20150506_203724
KDAX20150507_034111_V06,20150506_204111
KDAX20150507_034514_V06,20150506_204514
KDAX20150507_034955_V06,20150506_204955
KDAX20150507_035343_V06,20150506_205343
KDAX20150507_035855_V06,20150506_205855
KDAX20150508_023517_V06,20150507_193517
KDAX20150508_023859_V06,20150507_193859
KDAX20150508_024242_V06,20150507_194242
KDAX20150508_024626_V06,20150507_194626
KDAX20150508_025010_V06,20150507_195010
KDAX20150508_025352_V06,20150507_195352
KDAX20150508_025736_V06,20150507_195736
KDAX20150508_030119_V06,20150507_200119
KDAX20150508_030502_V06,20150507_200502
KDAX20150508_030846_V06,20150507_200846
KDAX20150508_031229_V06,20150507_201229
KDAX20150508_031611_V06,20150507_201611
KDAX20150508_031955_V06,20150507_201955
KDAX20150508_032337_V06,20150507_202337
KDAX20150508_032720_V06,20150507_202720
KDAX20150508_033105_V06,20150507_203105
KDAX20150508_033449_V06,20150507_203449
KDAX20150508_033832_V06,20150507_203832
KDAX20150508_034215_V06,20150507_204215
KDAX20150508_034558_V06,20150507_204558
KDAX20150508_034942_V06,20150507_204942
KDAX20150508_035326_V06,20150507_205326
KDAX20150508_035709_V06,20150507_205709
KDAX20150508_040051_V06,20150507_210051
KDAX20150509_023800_V06,20150508_193800
KDAX20150509_024147_V06,20150508_194147
KDAX20150509_024534_V06,20150508_194534
KDAX20150509_024920_V06,20150508_194920
KDAX20150509_025308_V06,20150508_195308
KDAX20150509_025654_V06,20150508_195654
KDAX20150509_030040_V06,20150508_200040
KDAX20150509_030427_V06,20150508_200427
KDAX20150510_024505_V06,20150509_194505
KDAX20150510_025443_V06,20150509_195443
KDAX20150510_030423_V06,20150509_200423
KDAX20150510_031403_V06,20150509_201403
KDAX20150510_032341_V06,20150509_202341
KDAX20150510_033321_V06,20150509_203321
KDAX20150510_034300_V06,20150509_204300
KDAX20150510_035238_V06,20150509_205238
KDAX20150510_040218_V06,20150509_210218
KDAX20150511_024303_V06,20150510_194303
KDAX20150511_025242_V06,20150510_195242
KDAX20150511_030221_V06,20150510_200221
KDAX20150511_031201_V06,20150510_201201
KDAX20150511_032140_V06,20150510_202140
KDAX20150511_033120_V06,20150510_203120
KDAX20150511_034059_V06,20150510_204059
KDAX20150511_035039_V06,20150510_205039
KDAX20150511_040019_V06,20150510_210019
KDAX20150512_024010_V06,20150511_194010
KDAX20150512_024320_V06,20150511_194320
KDAX20150512_024631_V06,20150511_194631
KDAX20150512_024941_V06,20150511_194941
KDAX20150512_025251_V06,20150511_195251
KDAX20150512_025601_V06,20150511_195601
KDAX20150512_025912_V06,20150511_195912
KDAX20150512_030223_V06,20150511_200223
KDAX20150512_030533_V06,20150511_200533
KDAX20150512_030843_V06,20150511_200843
KDAX20150512_031154_V06,20150511_201154
KDAX20150512_031504_V06,20150511_201504
KDAX20150512_031814_V06,20150511_201814
KDAX20150512_032125_V06,20150511_202125
KDAX20150512_032436_V06,20150511_202436
KDAX20150512_032746_V06,20150511_202746
KDAX20150512_033057_V06,20150511_203057
KDAX20150512_033406_V06,20150511_203406
KDAX20150512_033716_V06,20150511_203716
KDAX20150512_034026_V06,20150511_204026
KDAX20150512_034337_V06,20150511_204337
KDAX20150512_034646_V06,20150511_204646
KDAX20150512_034956_V06,20150511_204956
KDAX20150512_035307_V06,20150511_205307
KDAX20150512_035616_V06,20150511_205616
KDAX20150512_035926_V06,20150511_205926
KDAX20150512_040237_V06,20150511_210237
KDAX20150512_040547_V06,20150511_210547
KDAX20150513_024449_V06,20150512_194449
KDAX20150513_025428_V06,20150512_195428
KDAX20150513_030408_V06,20150512_200408
KDAX20150513_031348_V06,20150512_201348
KDAX20150513_032327_V06,20150512_202327
KDAX20150513_033307_V06,20150512_203307
KDAX20150513_034246_V06,20150512_204246
KDAX20150513_035225_V06,20150512_205225
KDAX20150513_040205_V06,20150512_210205
KDAX20150514_023934_V06,20150513_193934
KDAX20150514_024246_V06,20150513_194246
KDAX20150514_024557_V06,20150513_194557
KDAX20150514_024909_V06,20150513_194909
KDAX20150514_025220_V06,20150513_195220
KDAX20150514_025532_V06,20150513_195532
KDAX20150514_025844_V06,20150513_195844
KDAX20150514_030155_V06,20150513_200155
KDAX20150514_030507_V06,20150513_200507
KDAX20150514_030818_V06,20150513_200818
KDAX20150514_031129_V06,20150513_201129
KDAX20150514_031441_V06,20150513_201441
KDAX20150514_031752_V06,20150513_201752
KDAX20150514_032103_V06,20150513_202103
KDAX20150514_032414_V06,20150513_202414
KDAX20150514_032727_V06,20150513_202727
KDAX20150514_033038_V06,20150513_203038
KDAX20150514_033350_V06,20150513_203350
KDAX20150514_033702_V06,20150513_203702
KDAX20150514_034013_V06,20150513_204013
KDAX20150514_034324_V06,20150513_204324
KDAX20150514_034635_V06,20150513_204635
KDAX20150514_034946_V06,20150513_204946
KDAX20150514_035258_V06,20150513_205258
KDAX20150514_035609_V06,20150513_205609
KDAX20150514_035920_V06,20150513_205920
KDAX20150514_040231_V06,20150513_210231
KDAX20150514_040543_V06,20150513_210543
KDAX20150514_040854_V06,20150513_210854
KDAX20150515_024345_V06,20150514_194345
KDAX20150515_024758_V06,20150514_194758
KDAX20150515_025207_V06,20150514_195207
KDAX20150515_025611_V06,20150514_195611
KDAX20150515_025959_V06,20150514_195959
KDAX20150515_030347_V06,20150514_200347
KDAX20150515_030737_V06,20150514_200737
KDAX20150515_031320_V06,20150514_201320
KDAX20150515_031709_V06,20150514_201709
KDAX20150515_032100_V06,20150514_202100
KDAX20150515_032439_V06,20150514_202439
KDAX20150515_032816_V06,20150514_202816
KDAX20150515_033152_V06,20150514_203152
KDAX20150515_033528_V06,20150514_203528
KDAX20150515_033904_V06,20150514_203904
KDAX20150515_034240_V06,20150514_204240
KDAX20150515_034603_V06,20150514_204603
KDAX20150515_034926_V06,20150514_204926
KDAX20150515_035248_V06,20150514_205248
KDAX20150515_035559_V06,20150514_205559
KDAX20150515_035910_V06,20150514_205910
KDAX20150515_040219_V06,20150514_210219
KDAX20150515_040529_V06,20150514_210529
KDAX20150515_040839_V06,20150514_210839
KDAX20150516_024347_V06,20150515_194347
KDAX20150516_024657_V06,20150515_194657
KDAX20150516_025007_V06,20150515_195007
KDAX20150516_025317_V06,20150515_195317
KDAX20150516_025627_V06,20150515_195627
KDAX20150516_025936_V06,20150515_195936
KDAX20150516_030246_V06,20150515_200246
KDAX20150516_030557_V06,20150515_200557
KDAX20150516_030907_V06,20150515_200907
KDAX20150516_031218_V06,20150515_201218
KDAX20150516_031528_V06,20150515_201528
KDAX20150516_031839_V06,20150515_201839
KDAX20150516_032149_V06,20150515_202149
KDAX20150516_032459_V06,20150515_202459
KDAX20150516_032809_V06,20150515_202809
KDAX20150516_033118_V06,20150515_203118
KDAX20150516_033429_V06,20150515_203429
KDAX20150516_033738_V06,20150515_203738
KDAX20150516_034050_V06,20150515_204050
KDAX20150516_034400_V06,20150515_204400
KDAX20150516_034711_V06,20150515_204711
KDAX20150516_035021_V06,20150515_205021
KDAX20150516_035331_V06,20150515_205331
KDAX20150516_035642_V06,20150515_205642
KDAX20150516_035951_V06,20150515_205951
KDAX20150516_040301_V06,20150515_210301
KDAX20150516_040611_V06,20150515_210611
KDAX20150516_040921_V06,20150515_210921
KDAX20150519_024632_V06,20150518_194632
KDAX20150519_024943_V06,20150518_194943
KDAX20150519_025253_V06,20150518_195253
KDAX20150519_025602_V06,20150518_195602
KDAX20150519_025912_V06,20150518_195912
KDAX20150519_030223_V06,20150518_200223
KDAX20150519_030533_V06,20150518_200533
KDAX20150519_030843_V06,20150518_200843
KDAX20150519_031153_V06,20150518_201153
KDAX20150519_031503_V06,20150518_201503
KDAX20150519_031814_V06,20150518_201814
KDAX20150519_032124_V06,20150518_202124
KDAX20150519_032434_V06,20150518_202434
KDAX20150519_032744_V06,20150518_202744
KDAX20150519_033054_V06,20150518_203054
KDAX20150519_033404_V06,20150518_203404
KDAX20150519_033715_V06,20150518_203715
KDAX20150519_034026_V06,20150518_204026
KDAX20150519_034335_V06,20150518_204335
KDAX20150519_034647_V06,20150518_204647
KDAX20150519_034957_V06,20150518_204957
KDAX20150519_035308_V06,20150518_205308
KDAX20150519_035618_V06,20150518_205618
KDAX20150519_035929_V06,20150518_205929
KDAX20150519_040239_V06,20150518_210239
KDAX20150519_040549_V06,20150518_210549
KDAX20150519_040900_V06,20150518_210900
KDAX20150519_041210_V06,20150518_211210
KDAX20150520_024520_V06,20150519_194520
KDAX20150520_024830_V06,20150519_194830
KDAX20150520_025140_V06,20150519_195140
KDAX20150520_025452_V06,20150519_195452
KDAX20150520_025802_V06,20150519_195802
KDAX20150520_030112_V06,20150519_200112
KDAX20150520_030423_V06,20150519_200423
KDAX20150520_030734_V06,20150519_200734
KDAX20150520_031044_V06,20150519_201044
KDAX20150520_031354_V06,20150519_201354
KDAX20150520_031705_V06,20150519_201705
KDAX20150520_032015_V06,20150519_202015
KDAX20150520_032325_V06,20150519_202325
KDAX20150520_032634_V06,20150519_202634
KDAX20150520_032945_V06,20150519_202945
KDAX20150520_033256_V06,20150519_203256
KDAX20150520_033606_V06,20150519_203606
KDAX20150520_033916_V06,20150519_203916
KDAX20150520_034226_V06,20150519_204226
KDAX20150520_034535_V06,20150519_204535
KDAX20150520_034845_V06,20150519_204845
KDAX20150520_035155_V06,20150519_205155
KDAX20150520_035505_V06,20150519_205505
KDAX20150520_035816_V06,20150519_205816
KDAX20150520_040126_V06,20150519_210126
KDAX20150520_040436_V06,20150519_210436
KDAX20150520_040746_V06,20150519_210746
KDAX20150520_041057_V06,20150519_211057
KDAX20150520_041407_V06,20150519_211407
KDAX20150521_024609_V06,20150520_194609
KDAX20150521_025004_V06,20150520_195004
KDAX20150521_025349_V06,20150520_195349
KDAX20150521_025739_V06,20150520_195739
KDAX20150521_030142_V06,20150520_200142
KDAX20150521_030532_V06,20150520_200532
KDAX20150521_030922_V06,20150520_200922
KDAX20150521_031325_V06,20150520_201325
KDAX20150521_031708_V06,20150520_201708
KDAX20150521_032052_V06,20150520_202052
KDAX20150521_032446_V06,20150520_202446
KDAX20150521_032804_V06,20150520_202804
KDAX20150521_033147_V06,20150520_203147
KDAX20150521_033535_V06,20150520_203535
KDAX20150521_033928_V06,20150520_203928
KDAX20150521_034329_V06,20150520_204329
KDAX20150521_034721_V06,20150520_204721
KDAX20150521_035124_V06,20150520_205124
KDAX20150521_035507_V06,20150520_205507
KDAX20150521_035851_V06,20150520_205851
KDAX20150521_040235_V06,20150520_210235
KDAX20150521_040620_V06,20150520_210620
KDAX20150521_041101_V06,20150520_211101
KDAX20150522_024639_V06,20150521_194639
KDAX20150522_025022_V06,20150521_195022
KDAX20150522_025418_V06,20150521_195418
KDAX20150522_025836_V06,20150521_195836
KDAX20150522_030326_V06,20150521_200326
KDAX20150522_030729_V06,20150521_200729
KDAX20150522_031126_V06,20150521_201126
KDAX20150522_031513_V06,20150521_201513
KDAX20150522_031954_V06,20150521_201954
KDAX20150522_032338_V06,20150521_202338
KDAX20150522_032800_V06,20150521_202800
KDAX20150522_033143_V06,20150521_203143
KDAX20150522_033539_V06,20150521_203539
KDAX20150522_033944_V06,20150521_203944
KDAX20150522_034327_V06,20150521_204327
KDAX20150522_034722_V06,20150521_204722
KDAX20150522_035153_V06,20150521_205153
KDAX20150522_035644_V06,20150521_205644
KDAX20150522_040028_V06,20150521_210028
KDAX20150522_040412_V06,20150521_210412
KDAX20150522_040908_V06,20150521_210908
KDAX20150522_041412_V06,20150521_211412
KDAX20150523_025021_V06,20150522_195021
KDAX20150523_025406_V06,20150522_195406
KDAX20150523_025750_V06,20150522_195750
KDAX20150523_030134_V06,20150522_200134
KDAX20150523_030517_V06,20150522_200517
KDAX20150523_030901_V06,20150522_200901
KDAX20150523_031245_V06,20150522_201245
KDAX20150523_031629_V06,20150522_201629
KDAX20150523_032012_V06,20150522_202012
KDAX20150523_032356_V06,20150522_202356
KDAX20150523_032740_V06,20150522_202740
KDAX20150523_033124_V06,20150522_203124
KDAX20150523_033510_V06,20150522_203510
KDAX20150523_033853_V06,20150522_203853
KDAX20150523_034236_V06,20150522_204236
KDAX20150523_034619_V06,20150522_204619
KDAX20150523_035005_V06,20150522_205005
KDAX20150523_035348_V06,20150522_205348
KDAX20150523_035732_V06,20150522_205732
KDAX20150523_040117_V06,20150522_210117
KDAX20150523_040501_V06,20150522_210501
KDAX20150523_040845_V06,20150522_210845
KDAX20150523_041230_V06,20150522_211230
KDAX20150523_041615_V06,20150522_211615
KDAX20150524_024931_V06,20150523_194931
KDAX20150524_025315_V06,20150523_195315
KDAX20150524_025659_V06,20150523_195659
KDAX20150524_030043_V06,20150523_200043
KDAX20150524_030426_V06,20150523_200426
KDAX20150524_030810_V06,20150523_200810
KDAX20150524_031154_V06,20150523_201154
KDAX20150524_031538_V06,20150523_201538
KDAX20150524_031922_V06,20150523_201922
KDAX20150524_032306_V06,20150523_202306
KDAX20150524_032651_V06,20150523_202651
KDAX20150524_033035_V06,20150523_203035
KDAX20150524_033418_V06,20150523_203418
KDAX20150524_033803_V06,20150523_203803
KDAX20150524_034147_V06,20150523_204147
KDAX20150524_034532_V06,20150523_204532
KDAX20150524_034917_V06,20150523_204917
KDAX20150524_035301_V06,20150523_205301
KDAX20150524_035645_V06,20150523_205645
KDAX20150524_040031_V06,20150523_210031
KDAX20150524_040415_V06,20150523_210415
KDAX20150524_040759_V06,20150523_210759
KDAX20150524_041144_V06,20150523_211144
KDAX20150524_041528_V06,20150523_211528
KDAX20150525_025201_V06,20150524_195201
KDAX20150525_025544_V06,20150524_195544
KDAX20150525_025930_V06,20150524_195930
KDAX20150525_030312_V06,20150524_200312
KDAX20150525_030656_V06,20150524_200656
KDAX20150525_031040_V06,20150524_201040
KDAX20150525_031423_V06,20150524_201423
KDAX20150525_031807_V06,20150524_201807
KDAX20150525_032151_V06,20150524_202151
KDAX20150525_032534_V06,20150524_202534
KDAX20150525_032918_V06,20150524_202918
KDAX20150525_033302_V06,20150524_203302
KDAX20150525_033645_V06,20150524_203645
KDAX20150525_034028_V06,20150524_204028
KDAX20150525_034412_V06,20150524_204412
KDAX20150525_034755_V06,20150524_204755
KDAX20150525_035139_V06,20150524_205139
KDAX20150525_035522_V06,20150524_205522
KDAX20150525_035907_V06,20150524_205907
KDAX20150525_040251_V06,20150524_210251
KDAX20150525_040635_V06,20150524_210635
KDAX20150525_041019_V06,20150524_211019
KDAX20150525_041403_V06,20150524_211403
KDAX20150525_041747_V06,20150524_211747
KDAX20150526_025125_V06,20150525_195125
KDAX20150526_025509_V06,20150525_195509
KDAX20150526_025855_V06,20150525_195855
KDAX20150526_030239_V06,20150525_200239
KDAX20150526_030623_V06,20150525_200623
KDAX20150526_031007_V06,20150525_201007
KDAX20150526_031351_V06,20150525_201351
KDAX20150526_031736_V06,20150525_201736
KDAX20150526_032122_V06,20150525_202122
KDAX20150526_032506_V06,20150525_202506
KDAX20150526_032850_V06,20150525_202850
KDAX20150526_033236_V06,20150525_203236
KDAX20150526_033620_V06,20150525_203620
KDAX20150526_034004_V06,20150525_204004
KDAX20150526_034348_V06,20150525_204348
KDAX20150526_034732_V06,20150525_204732
KDAX20150526_035116_V06,20150525_205116
KDAX20150526_035500_V06,20150525_205500
KDAX20150526_035845_V06,20150525_205845
KDAX20150526_040229_V06,20150525_210229
KDAX20150526_040613_V06,20150525_210613
KDAX20150526_040959_V06,20150525_210959
KDAX20150526_041344_V06,20150525_211344
KDAX20150526_041729_V06,20150525_211729
KDAX20150527_025129_V06,20150526_195129
KDAX20150527_030108_V06,20150526_200108
KDAX20150527_031048_V06,20150526_201048
KDAX20150527_032027_V06,20150526_202027
KDAX20150527_033007_V06,20150526_203007
KDAX20150527_033946_V06,20150526_203946
KDAX20150527_034925_V06,20150526_204925
KDAX20150527_035905_V06,20150526_205905
KDAX20150527_040845_V06,20150526_210845
KDAX20150527_041824_V06,20150526_211824
KDAX20150528_025822_V06,20150527_195822
KDAX20150528_030758_V06,20150527_200758
