track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KAMX20100502_002112_V03,-1412,0.278,299.94,358.082031,32.196335,-80.41,25.348410,16098.167419,20100501_202112
1,KAMX20100502_003106_V03,-1402,0.156,282.14,314.245972,59.965733,-80.50,25.546235,29982.866287,20100501_203106
2,KAMX20100502_003106_V03,-1402,0.302,316.62,214.104431,36.553345,-80.33,25.998204,18276.672363,20100501_203106
2,KAMX20100502_004058_V03,-1393,0.514,317.81,196.439026,30.030075,-80.32,26.077926,15015.037537,20100501_204058
3,KAMX20100503_001555_V03,-1418,0.131,389.25,443.899231,37.102928,-79.97,24.960395,18551.464081,20100502_201555
4,KAMX20100503_002548_V03,-1408,0.290,282.79,304.342133,33.043930,-80.50,25.590937,16521.965027,20100502_202548
7,KAMX20100504_000102_V03,-1433,0.515,531.75,449.028961,61.688202,-79.27,24.933417,30844.100952,20100503_200102
7,KAMX20100504_001054_V03,-1424,0.378,529.00,445.279012,67.935975,-79.28,24.950448,33967.987415,20100503_201054
7,KAMX20100504_002046_V03,-1414,0.132,523.45,453.460222,73.661460,-79.31,24.913733,36830.730015,20100503_202046
5,KAMX20100503_234023_V03,-13,0.103,531.19,450.764282,55.931885,-79.27,24.925607,27965.942383,20100503_194023
5,KAMX20100503_235015_V03,-3,0.197,532.94,457.257991,65.466879,-79.26,24.896231,32733.439616,20100503_195015
6,KAMX20100503_235015_V03,-3,0.111,175.97,406.202393,15.079018,-81.03,25.129923,7539.508820,20100503_195015
10,KAMX20100504_003038_V03,-1404,0.239,276.67,314.216949,67.467621,-80.53,25.546347,33733.810425,20100503_203038
10,KAMX20100504_004031_V03,-1394,0.148,265.60,371.412689,45.027874,-80.58,25.288142,22513.936996,20100503_204031
9,KAMX20100505_001703_V03,-1417,0.602,294.40,332.911774,11.800434,-80.44,25.462013,5900.217056,20100504_201703
9,KAMX20100505_002654_V03,-1408,0.211,300.39,342.093619,27.003443,-80.41,25.420574,13501.721345,20100504_202654
9,KAMX20100505_003647_V03,-1398,0.135,251.05,374.415955,63.379543,-80.66,25.274484,31689.771652,20100504_203647
10,KAMX20100505_001703_V03,-1417,0.169,201.58,384.056946,3.106758,-80.90,25.230356,1553.379059,20100504_201703
35,KAMX20100506_001416_V03,-1421,0.372,139.71,241.027710,24.398863,-81.21,25.874529,12199.431419,20100505_201416
35,KAMX20100506_001932_V03,-1416,0.521,139.86,241.029627,29.225802,-81.21,25.874525,14612.900908,20100505_201932
35,KAMX20100506_002351_V03,-1412,0.452,142.48,238.784127,28.771614,-81.20,25.884730,14385.807189,20100505_202351
50,KAMX20100506_003650_V03,-1399,0.140,317.07,333.043610,28.701736,-80.33,25.461396,14350.868225,20100505_203650
50,KAMX20100506_004109_V03,-1394,0.224,317.47,331.500573,34.181185,-80.33,25.468359,17090.592565,20100505_204109
50,KAMX20100506_004530_V03,-1390,0.213,317.21,330.302854,33.762275,-80.33,25.473766,16881.137689,20100505_204530
12,KAMX20100505_232642_V03,-28,0.266,428.83,552.556152,32.870647,-79.78,24.469219,16435.323715,20100505_192642
12,KAMX20100505_233101_V03,-23,0.465,435.82,552.958084,41.714183,-79.74,24.467252,20857.091510,20100505_193101
12,KAMX20100505_233520_V03,-19,0.473,441.05,558.533142,36.555996,-79.72,24.441967,18277.997971,20100505_193520
12,KAMX20100505_233940_V03,-15,-1.000,441.05,558.533142,42.915996,-79.72,24.441967,21457.997971,20100505_193940
12,KAMX20100505_234359_V03,-11,0.285,447.64,558.130523,43.130624,-79.69,24.443626,21565.311974,20100505_194359
12,KAMX20100505_234819_V03,-6,0.675,439.96,551.843628,32.743507,-79.72,24.472188,16371.753693,20100505_194819
12,KAMX20100505_235237_V03,-2,0.448,442.87,552.561891,39.092040,-79.71,24.468877,19546.019850,20100505_195237
12,KAMX20100505_235657_V03,2,-1.000,444.99,553.084264,45.443700,-79.70,24.466469,22721.849783,20100505_195657
12,KAMX20100506_000117_V03,-1434,0.184,449.60,554.707092,37.962322,-79.68,24.459031,18981.161118,20100505_200117
14,KAMX20100505_232642_V03,-28,0.183,281.85,195.134399,30.371277,-80.50,26.083813,15185.638428,20100505_192642
14,KAMX20100505_233101_V03,-23,0.174,281.63,194.658690,36.348144,-80.50,26.085959,18174.071757,20100505_193101
20,KAMX20100505_233101_V03,-23,0.158,316.39,536.885071,10.624247,-80.33,24.541311,5312.123299,20100505_193101
20,KAMX20100505_233520_V03,-19,0.219,316.73,537.173851,16.444340,-80.33,24.540007,8222.169862,20100505_193520
20,KAMX20100505_233940_V03,-15,-1.000,316.99,537.383873,22.411680,-80.33,24.539058,11205.840090,20100505_193940
20,KAMX20100505_234359_V03,-11,0.265,319.91,535.496521,10.158405,-80.31,24.547569,5079.202652,20100505_194359
