track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
3,KBYX20000502_001851,-1419,0.530,361.78,269.748840,19.831146,-81.40,24.733182,9915.573120,20000501_201851
3,KBYX20000502_002841,-1409,0.736,347.80,273.642345,32.076825,-81.47,24.715732,16038.412477,20000501_202841
3,KBYX20000502_003831,-1399,0.742,333.36,269.507612,41.763565,-81.54,24.734491,20881.782600,20000501_203831
9,KBYX20000502_003831,-1399,0.406,196.61,308.565094,23.762375,-82.21,24.557413,11881.187439,20000501_203831
9,KBYX20000502_004821,-1389,0.133,187.01,309.620266,38.684210,-82.26,24.552482,19342.105005,20000501_204821
1,KBYX20000501_235911,3,0.415,332.00,302.138245,5.976791,-81.55,24.587205,2988.395691,20000501_195911
2,KBYX20000501_235911,3,0.197,340.60,300.725037,7.000351,-81.50,24.593534,3500.175476,20000501_195911
7,KBYX20000502_002841,-1409,0.253,376.30,59.825562,2.947449,-81.32,25.680523,1473.724365,20000501_202841
8,KBYX20000502_002841,-1409,0.219,371.48,59.137573,3.014282,-81.35,25.683687,1507.141113,20000501_202841
10,KBYX20000503_000801,-1429,0.137,356.20,265.818420,6.209915,-81.43,24.750977,3104.957581,20000502_200801
10,KBYX20000503_001352,-1424,-1.000,356.20,265.818420,14.159915,-81.43,24.750977,7079.957581,20000502_201352
10,KBYX20000503_001943,-1418,0.259,361.07,262.247907,16.873428,-81.40,24.767047,8436.714142,20000502_201943
10,KBYX20000503_002534,-1412,0.125,359.69,259.410509,24.134434,-81.41,24.779869,12067.216772,20000502_202534
10,KBYX20000503_003124,-1406,-1.000,359.79,256.579380,30.518372,-81.41,24.792647,15259.185862,20000502_203124
10,KBYX20000503_003716,-1400,-1.000,359.88,253.748252,36.902310,-81.41,24.805425,18451.154952,20000502_203716
10,KBYX20000503_004308,-1394,-1.000,359.98,250.917124,43.286248,-81.41,24.818203,21643.124043,20000502_204308
10,KBYX20000503_004858,-1389,0.246,352.49,251.670428,55.546431,-81.44,24.814872,27773.215506,20000502_204858
11,KBYX20000503_001352,-1424,0.843,388.34,279.124481,10.981186,-81.27,24.690538,5490.592957,20000502_201352
11,KBYX20000503_001943,-1418,0.331,384.40,273.004734,23.599866,-81.29,24.718217,11799.932978,20000502_201943
25,KBYX20000503_003716,-1400,0.130,239.25,309.747192,6.494087,-82.00,24.552643,3247.043610,20000502_203716
25,KBYX20000503_004308,-1394,0.192,237.83,309.704322,12.862484,-82.01,24.552822,6431.241969,20000502_204308
25,KBYX20000503_004858,-1389,0.465,260.38,256.467377,63.387028,-81.90,24.793315,31693.513870,20000502_204858
25,KBYX20000503_005449,-1383,0.670,259.18,253.408075,68.268182,-81.91,24.807117,34134.090957,20000502_205449
7,KBYX20000502_233847,-19,0.301,390.89,278.593750,10.820099,-81.25,24.692897,5410.049438,20000502_193847
8,KBYX20000502_235028,-7,0.174,337.30,261.280243,3.404617,-81.52,24.771605,1702.308655,20000502_195028
9,KBYX20000503_000209,-1435,0.111,119.01,304.470184,24.275234,-82.60,24.574111,12137.617111,20000502_200209
13,KBYX20000503_001352,-1424,0.204,368.03,402.066223,33.377136,-81.37,24.135830,16688.568115,20000502_201352
15,KBYX20000503_002534,-1412,0.839,212.22,310.697174,10.928955,-82.14,24.548030,5464.477539,20000502_202534
20,KBYX20000503_003124,-1406,0.408,405.78,158.599060,21.946320,-81.18,25.234276,10973.159790,20000502_203124
20,KBYX20000503_003716,-1400,0.245,401.08,145.161591,17.552948,-81.20,25.295006,8776.473999,20000502_203716
22,KBYX20000503_003124,-1406,0.124,440.12,282.442780,27.071503,-81.01,24.674601,13535.751343,20000502_203124
23,KBYX20000503_003716,-1400,0.394,316.62,259.706268,37.103378,-81.62,24.778801,18551.689148,20000502_203716
26,KBYX20000503_004308,-1394,0.393,158.90,210.318542,31.682808,-82.40,25.000125,15841.403961,20000502_204308
30,KBYX20000504_000605,-1432,0.253,389.73,279.856598,11.392654,-81.26,24.687213,5696.327209,20000503_200605
30,KBYX20000504_001156,-1427,0.120,387.40,275.657868,21.162618,-81.27,24.706199,10581.308833,20000503_201156
30,KBYX20000504_001746,-1421,0.875,387.58,283.869124,33.669664,-81.27,24.669132,16834.831754,20000503_201746
30,KBYX20000504_002337,-1415,0.614,386.23,275.814452,35.313462,-81.28,24.705509,17656.731038,20000503_202337
30,KBYX20000504_002929,-1409,0.731,381.15,285.666327,42.617820,-81.30,24.661108,21308.910090,20000503_202929
30,KBYX20000504_003520,-1403,-1.000,376.91,292.001278,48.965124,-81.32,24.632567,24482.562127,20000503_203520
