track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
23,KDAX20100502_033325_V03,34,0.101,357.59,527.728882,16.141926,-121.35,37.474814,8070.962906,20100501_203325
23,KDAX20100502_034309_V03,44,0.480,330.53,521.120127,34.732854,-121.50,37.504914,17366.426911,20100501_204309
23,KDAX20100502_035255_V03,53,0.607,314.75,511.742438,38.952142,-121.59,37.547259,19476.071106,20100501_205255
13,KDAX20100502_032339_V03,24,0.446,349.99,355.446075,11.288910,-121.39,38.251012,5644.454956,20100501_202339
13,KDAX20100502_033325_V03,34,0.320,363.79,358.421958,30.437071,-121.31,38.237389,15218.535442,20100501_203325
14,KDAX20100502_032339_V03,24,0.326,370.31,410.408264,14.843689,-121.28,38.003095,7421.844482,20100501_202339
14,KDAX20100502_033325_V03,34,0.331,374.14,409.013555,22.259394,-121.25,38.009301,11129.697233,20100501_203325
15,KDAX20100502_032339_V03,24,0.275,327.88,127.483124,11.237549,-121.52,39.278009,5618.774414,20100501_202339
15,KDAX20100502_033325_V03,34,0.254,315.88,147.290030,31.518274,-121.58,39.188879,15759.137217,20100501_203325
3,KDAX20100502_024342_V03,-16,0.103,299.38,261.987061,6.720154,-121.68,38.672328,3360.076904,20100501_194342
4,KDAX20100502_025327_V03,-6,0.106,302.87,472.352112,16.053019,-121.66,37.724738,8026.509285,20100501_195327
6,KDAX20100502_031355_V03,14,0.773,340.94,274.950226,15.396896,-121.44,38.613704,7698.448181,20100501_201355
7,KDAX20100502_031355_V03,14,0.546,362.73,245.813751,7.605194,-121.32,38.744619,3802.597046,20100501_201355
8,KDAX20100502_031355_V03,14,0.363,395.61,345.098145,42.563862,-121.13,38.296696,21281.930923,20100501_201355
9,KDAX20100502_031355_V03,14,0.200,446.48,342.161377,26.895222,-120.84,38.308203,13447.610855,20100501_201355
10,KDAX20100502_031355_V03,14,0.148,425.45,267.330078,41.375946,-120.96,38.646048,20687.973022,20100501_201355
11,KDAX20100502_031355_V03,14,0.145,397.74,215.067627,36.661270,-121.11,38.882304,18330.635071,20100501_201355
17,KDAX20100502_032339_V03,24,0.236,500.01,385.185333,46.950661,-120.54,38.111835,23475.330353,20100501_202339
19,KDAX20100502_033325_V03,34,0.237,238.41,401.307068,35.853714,-122.03,38.044252,17926.856995,20100501_203325
20,KDAX20100502_033325_V03,34,0.229,320.31,445.506653,6.401283,-121.56,37.845616,3200.641632,20100501_203325
21,KDAX20100502_033325_V03,34,0.216,276.23,205.031250,31.672256,-121.81,38.928778,15836.128235,20100501_203325
20,KDAX20100503_031913_V03,19,0.257,360.50,429.363770,6.557579,-121.33,37.917886,3278.789520,20100502_201913
20,KDAX20100503_032858_V03,28,0.119,360.68,424.544359,21.582376,-121.33,37.939592,10791.187786,20100502_202858
19,KDAX20100503_030928_V03,9,0.437,277.14,383.481995,10.753754,-121.81,38.125000,5376.876831,20100502_200928
19,KDAX20100503_031913_V03,19,-1.000,277.14,383.481995,26.653754,-121.81,38.125000,13326.876831,20100502_201913
19,KDAX20100503_032858_V03,28,-1.000,277.14,383.481995,40.963754,-121.81,38.125000,20481.876831,20100502_202858
19,KDAX20100503_033942_V03,39,0.235,305.26,419.607834,41.714501,-121.65,37.962336,20857.250364,20100502_203942
26,KDAX20100503_033942_V03,39,0.415,319.42,526.616089,38.773415,-121.57,37.480231,19386.707306,20100502_203942
26,KDAX20100503_034927_V03,49,0.537,317.13,524.230448,42.578844,-121.58,37.490990,21289.422118,20100502_204927
17,KDAX20100503_024014_V03,-20,0.511,444.15,324.502380,9.859085,-120.85,38.387836,4929.542542,20100502_194014
21,KDAX20100503_031913_V03,19,0.211,297.85,160.764191,14.980759,-121.69,39.128230,7490.379333,20100502_201913
23,KDAX20100503_032858_V03,28,0.256,341.05,368.830627,8.447380,-121.44,38.190836,4223.690033,20100502_202858
25,KDAX20100503_033942_V03,39,0.571,262.90,439.224670,11.954475,-121.89,37.873781,5977.237701,20100502_203942
27,KDAX20100503_033942_V03,39,0.358,282.49,297.410309,42.531719,-121.78,38.512732,21265.859604,20100502_203942
29,KDAX20100503_034927_V03,49,0.313,216.17,365.430847,19.416786,-122.16,38.205405,9708.393097,20100502_204927
30,KDAX20100503_034927_V03,49,0.208,333.97,165.332764,7.597366,-121.48,39.107491,3798.683167,20100502_204927
34,KDAX20100504_031504_V03,14,0.301,259.86,406.612183,6.789768,-121.91,38.020657,3394.884109,20100503_201504
34,KDAX20100504_032449_V03,23,0.297,263.00,409.647624,13.705344,-121.89,38.007017,6852.672126,20100503_202449
34,KDAX20100504_033433_V03,33,-1.000,266.25,412.787736,21.955940,-121.87,37.992904,10977.970074,20100503_203433
34,KDAX20100504_034417_V03,43,0.113,274.87,453.774183,22.415142,-121.82,37.808343,11207.570778,20100503_204417
47,KDAX20100504_032449_V03,23,0.107,352.10,351.406860,11.345863,-121.38,38.269177,5672.931671,20100503_202449
47,KDAX20100504_033433_V03,33,0.920,363.07,346.270108,16.431486,-121.32,38.292138,8215.742983,20100503_203433
47,KDAX20100504_034417_V03,43,0.274,380.64,341.950927,23.967991,-121.22,38.311241,11983.995644,20100503_204417
30,KDAX20100504_025536_V03,-6,0.194,264.83,405.593018,7.165535,-121.88,38.025300,3582.767487,20100503_195536
30,KDAX20100504_030519_V03,4,0.108,265.21,397.221362,22.846825,-121.87,38.063015,11423.412316,20100503_200519
30,KDAX20100504_031504_V03,14,-1.000,265.57,389.323575,38.540494,-121.87,38.098595,19270.247061,20100503_201504
30,KDAX20100504_032449_V03,23,0.866,281.58,389.250732,22.523445,-121.78,38.099040,11261.722565,20100503_202449
35,KDAX20100504_031504_V03,14,0.235,278.99,146.278992,10.999008,-121.80,39.193406,5499.504089,20100503_201504
35,KDAX20100504_032449_V03,23,0.577,278.80,148.686659,16.130150,-121.80,39.182561,8065.074969,20100503_202449
39,KDAX20100504_032449_V03,23,0.377,427.47,434.446594,56.006638,-120.95,37.893246,28003.318787,20100503_202449
39,KDAX20100504_033433_V03,33,0.144,426.80,432.635035,61.101091,-120.96,37.901429,30550.545566,20100503_203433
27,KDAX20100504_024552_V03,-16,0.435,408.89,196.542053,15.300201,-121.05,38.965414,7650.100708,20100503_194552
28,KDAX20100504_024552_V03,-16,0.318,308.36,470.129761,17.431746,-121.63,37.734741,8715.872765,20100503_194552
29,KDAX20100504_024552_V03,-16,0.209,505.88,406.409790,48.625229,-120.50,38.015907,24312.614441,20100503_194552
29,KDAX20100504_025536_V03,-6,0.164,501.22,400.531494,42.139297,-120.53,38.042647,21069.648743,20100503_195536
36,KDAX20100504_031504_V03,14,0.147,375.09,249.770508,33.521271,-121.24,38.726558,16760.635376,20100503_201504
37,KDAX20100504_031504_V03,14,0.127,373.04,210.659882,11.538361,-121.26,38.902753,5769.180298,20100503_201504
43,KDAX20100504_032449_V03,23,0.135,304.42,369.877563,11.292633,-121.65,38.186352,5646.316528,20100503_202449
44,KDAX20100504_032449_V03,23,0.128,366.07,408.765686,11.950386,-121.30,38.010574,5975.193024,20100503_202449
49,KDAX20100504_033433_V03,33,0.217,208.15,388.615051,7.848137,-122.20,38.100778,3924.068451,20100503_203433
50,KDAX20100504_033433_V03,33,0.125,502.67,407.381042,37.908325,-120.52,38.011715,18954.162598,20100503_203433
54,KDAX20100504_034417_V03,43,0.131,428.15,255.550720,63.798996,-120.94,38.699005,31899.497986,20100503_204417
46,KDAX20100505_032123_V03,19,0.369,350.08,354.813202,7.469246,-121.39,38.253862,3734.622955,20100504_202123
46,KDAX20100505_033107_V03,29,0.886,344.94,360.992683,14.428048,-121.42,38.226095,7214.023955,20100504_203107
46,KDAX20100505_034052_V03,38,0.894,358.74,360.131424,29.967707,-121.34,38.229775,14983.853266,20100504_204052
46,KDAX20100505_035037_V03,48,0.108,363.36,351.720703,15.662102,-121.31,38.267581,7831.050873,20100504_205037
49,KDAX20100505_032123_V03,19,0.206,339.53,284.803467,27.138641,-121.45,38.569339,13569.320679,20100504_202123
49,KDAX20100505_033107_V03,29,0.116,343.80,297.803336,39.519147,-121.43,38.510735,19759.573519,20100504_203107
60,KDAX20100505_034052_V03,38,0.119,343.33,110.466339,34.360291,-121.43,39.354489,17180.145264,20100504_204052
60,KDAX20100505_035037_V03,48,0.135,341.39,100.523417,57.896052,-121.44,39.399291,28948.026003,20100504_205037
42,KDAX20100505_023239_V03,-30,0.211,274.71,390.200134,15.306145,-121.82,38.094722,7653.072357,20100504_193239
43,KDAX20100505_024224_V03,-20,0.128,303.02,459.277679,11.352364,-121.66,37.783636,5676.181793,20100504_194224
44,KDAX20100505_032123_V03,19,0.392,272.95,397.917175,19.683647,-121.83,38.059947,9841.823578,20100504_202123
47,KDAX20100505_032123_V03,19,0.255,372.94,225.254303,17.431000,-121.26,38.837023,8715.499878,20100504_202123
51,KDAX20100505_032123_V03,19,0.141,220.22,249.286865,7.382942,-122.14,38.728634,3691.471100,20100504_202123
55,KDAX20100505_033107_V03,29,0.409,292.25,191.895264,42.112427,-121.72,38.988013,21056.213379,20100504_203107
59,KDAX20100505_034052_V03,38,0.393,324.58,527.943909,38.901253,-121.54,37.474218,19450.626373,20100504_204052
64,KDAX20100506_032836_V03,25,0.230,343.33,367.295990,4.100121,-121.43,38.197722,2050.060272,20100505_202836
64,KDAX20100506_033821_V03,35,0.102,338.76,372.307986,11.292594,-121.46,38.175198,5646.297075,20100505_203821
64,KDAX20100506_034806_V03,45,0.380,348.36,341.006243,14.538658,-121.40,38.316077,7269.328856,20100505_204806
64,KDAX20100506_035751_V03,54,0.278,336.77,319.728781,35.767031,-121.47,38.412056,17883.515340,20100505_205751
58,KDAX20100506_031851_V03,15,0.236,280.68,255.352966,4.437897,-121.79,38.702156,2218.948364,20100505_201851
58,KDAX20100506_032836_V03,25,0.326,286.51,259.150705,12.261862,-121.75,38.685077,6130.931188,20100505_202836
58,KDAX20100506_033821_V03,35,0.104,286.53,293.362581,32.417848,-121.75,38.530981,16208.923874,20100505_203821
53,KDAX20100506_023949_V03,-24,0.177,308.24,469.863770,18.864546,-121.63,37.735940,9432.272911,20100505_193949
56,KDAX20100506_030906_V03,6,0.145,367.83,286.036285,3.237030,-121.29,38.563360,1618.515015,20100505_200906
56,KDAX20100506_031851_V03,15,0.114,356.63,255.834900,34.431503,-121.35,38.699586,17215.751648,20100505_201851
63,KDAX20100506_032836_V03,25,0.353,295.69,160.516541,15.075653,-121.70,39.129344,7537.826538,20100505_202836
66,KDAX20100506_032836_V03,25,0.103,138.41,128.259094,11.904617,-122.61,39.270902,5952.308655,20100505_202836
66,KDAX20100507_032610_V03,22,0.238,341.93,363.341919,11.501228,-121.44,38.215549,5750.614166,20100506_202610
66,KDAX20100507_033555_V03,31,0.563,337.11,371.130351,18.204460,-121.46,38.180520,9102.229832,20100506_203555
58,KDAX20100507_024711_V03,-17,0.444,445.13,324.437408,10.178604,-120.85,38.388089,5089.302063,20100506_194711
59,KDAX20100507_024711_V03,-17,0.212,271.85,390.660706,19.219711,-121.84,38.092626,9609.855652,20100506_194711
63,KDAX20100507_031625_V03,12,0.102,282.44,254.413757,6.546753,-121.78,38.706395,3273.376465,20100506_201625
65,KDAX20100507_032610_V03,22,0.328,368.45,253.488586,3.990082,-121.28,38.709946,1995.040894,20100506_202610
69,KDAX20100507_033555_V03,31,0.112,297.29,259.696808,10.306900,-121.69,38.682642,5153.450012,20100506_203555
70,KDAX20100507_033555_V03,31,0.102,139.20,125.963959,6.972801,-122.61,39.281274,3486.400604,20100506_203555
71,KDAX20100507_034540_V03,41,0.117,255.35,453.801514,27.920696,-121.93,37.808031,13960.348129,20100506_204540
72,KDAX20100508_031344_V03,8,0.858,275.09,135.277283,12.055573,-121.82,39.242929,6027.786255,20100507_201344
72,KDAX20100508_032328_V03,18,0.128,277.13,134.323867,22.334906,-121.81,39.247236,11167.453235,20100507_202328
72,KDAX20100508_033313_V03,28,0.952,292.86,131.277579,35.127247,-121.72,39.261023,17563.623663,20100507_203313
72,KDAX20100508_034257_V03,37,0.219,296.32,127.376422,36.204034,-121.70,39.278598,18102.016812,20100507_204257
77,KDAX20100508_032328_V03,18,0.912,353.27,350.636230,11.206497,-121.37,38.272631,5603.248596,20100507_202328
77,KDAX20100508_033313_V03,28,0.855,363.27,345.274766,20.657118,-121.32,38.296618,10328.558780,20100507_203313
77,KDAX20100508_034257_V03,37,0.733,373.60,345.836514,30.378232,-121.26,38.293890,15189.115765,20100507_204257
74,KDAX20100508_031344_V03,8,0.163,314.70,152.336517,6.731644,-121.59,39.166156,3365.821838,20100507_201344
74,KDAX20100508_032328_V03,18,0.800,314.14,146.595033,10.717356,-121.59,39.192017,5358.677981,20100507_202328
74,KDAX20100508_033313_V03,28,-1.000,313.62,141.178539,15.377462,-121.60,39.216413,7688.730946,20100507_203313
74,KDAX20100508_034257_V03,37,-1.000,313.15,136.303694,19.571557,-121.60,39.238370,9785.778614,20100507_204257
74,KDAX20100508_035242_V03,47,-1.000,312.63,130.887199,24.231663,-121.60,39.262766,12115.831578,20100507_205242
74,KDAX20100508_040226_V03,57,0.132,295.80,92.676256,29.647371,-121.70,39.434873,14823.685569,20100507_210226
75,KDAX20100508_031344_V03,8,0.152,283.90,242.932709,6.692245,-121.77,38.758114,3346.122742,20100507_201344
75,KDAX20100508_032328_V03,18,0.135,273.00,246.591004,24.435292,-121.83,38.741570,12217.645900,20100507_202328
87,KDAX20100508_032328_V03,18,0.100,366.85,242.297333,7.000000,-121.29,38.760382,3500.000000,20100507_202328
87,KDAX20100508_033313_V03,28,0.362,367.33,238.389778,15.672641,-121.29,38.777972,7836.320684,20100507_203313
89,KDAX20100508_033313_V03,28,0.273,272.16,411.594604,7.125710,-121.84,37.998330,3562.854767,20100507_203313
89,KDAX20100508_034257_V03,37,-1.000,272.16,411.594604,21.435710,-121.84,37.998330,10717.854767,20100507_204257
89,KDAX20100508_035242_V03,47,0.105,273.84,430.668028,25.819220,-121.83,37.912423,12909.609777,20100507_205242
92,KDAX20100508_034257_V03,37,0.828,317.98,538.123352,44.649059,-121.58,37.428398,22324.529648,20100507_204257
92,KDAX20100508_035242_V03,47,0.607,321.58,532.737746,50.763674,-121.55,37.452641,25381.836987,20100507_205242
70,KDAX20100508_025413_V03,-11,0.343,216.25,485.447296,6.210800,-122.15,37.664781,3105.400085,20100507_195413
82,KDAX20100508_032328_V03,18,0.146,245.32,244.580017,8.047668,-121.99,38.750309,4023.834229,20100507_202328
88,KDAX20100508_033313_V03,28,0.384,280.70,202.099304,28.298859,-121.79,38.942011,14149.429321,20100507_203313
90,KDAX20100508_033313_V03,28,0.151,265.14,405.934570,6.902412,-121.88,38.023765,3451.206207,20100507_203313
93,KDAX20100508_034257_V03,37,0.223,324.97,263.125732,32.776367,-121.53,38.667111,16388.183594,20100507_204257
95,KDAX20100508_034257_V03,37,0.146,423.12,439.314789,57.888779,-120.98,37.871468,28944.389343,20100507_204257
96,KDAX20100508_034257_V03,37,0.142,157.83,294.326416,2.912834,-122.49,38.523829,1456.417084,20100507_204257
90,KDAX20100509_032047_V03,14,0.781,346.07,350.862579,7.269627,-121.41,38.271711,3634.813309,20100508_202047
90,KDAX20100509_033031_V03,24,0.783,353.05,348.695275,17.191722,-121.37,38.281377,8595.860951,20100508_203031
90,KDAX20100509_034016_V03,34,0.236,363.68,338.132037,20.838530,-121.31,38.328784,10419.264872,20100508_204016
105,KDAX20100509_033031_V03,24,0.144,272.62,128.817078,20.567310,-121.84,39.272005,10283.655167,20100508_203031
105,KDAX20100509_034016_V03,34,0.215,282.78,128.162203,38.164060,-121.78,39.275019,19082.029810,20100508_204016
105,KDAX20100509_035001_V03,44,0.396,296.61,106.335189,44.663001,-121.70,39.373360,22331.500618,20100508_205001
89,KDAX20100509_031103_V03,5,0.137,326.57,319.614075,10.229095,-121.52,38.412664,5114.547729,20100508_201103
