track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KBUF20120101_123029_V03,-16,0.681,256.45,256.300000,23.500000,-79.01,43.144301,11750.000000,20120101_073029
3,KBUF20120101_124011_V03,-6,-0.199,408.25,234.450000,11.050000,-79.14,42.460682,5525.000000,20120101_074011
3,KBUF20120101_124954_V03,3,-0.371,409.40,234.636695,24.601686,-79.13,42.455524,12300.843041,20120101_074954
4,KBUF20120101_130919_V03,23,-0.277,411.25,235.250000,11.550000,-79.13,42.447196,5775.000000,20120101_080919
4,KBUF20120101_131901_V03,33,-0.234,411.36,235.176947,22.332219,-79.13,42.446701,11166.109580,20120101_081901
4,KBUF20120101_132843_V03,42,-0.498,406.91,235.616312,23.896518,-79.13,42.466745,11948.259005,20120101_082843
4,KBUF20120101_133825_V03,52,-0.507,420.37,239.397124,29.646359,-79.11,42.406213,14823.179661,20120101_083825
4,KBUF20120101_134808_V03,62,-0.517,427.94,235.246590,28.809542,-79.13,42.372077,14404.770859,20120101_084808
4,KBUF20120101_135806_V03,72,0.000,435.99,232.424804,29.072870,-79.15,42.335796,14536.435009,20120101_085806
4,KBUF20120101_140352_V03,77,-0.511,429.28,241.056676,32.774629,-79.09,42.366169,16387.314365,20120101_090352
4,KBUF20120101_140938_V03,83,-0.503,424.92,236.298344,32.558526,-79.12,42.385692,16279.262923,20120101_090938
5-14,KBUF20120102_121816_V03,-28,0.511,266.95,254.600000,12.600000,-79.02,43.097020,6300.000000,20120102_071816
6-15,KBUF20120102_121816_V03,-28,0.263,123.15,90.300000,25.100000,-80.04,43.737179,12550.000000,20120102_071816
7,KBUF20120102_122401_V03,-22,-0.297,309.95,50.850000,26.250000,-80.26,42.893660,13125.000000,20120102_072401
7,KBUF20120102_122946_V03,-17,-0.573,310.44,54.190194,36.484867,-80.24,42.891736,18242.433414,20120102_072946
8,KBUF20120102_122401_V03,-22,-0.003,332.60,138.050000,36.250000,-79.73,42.797596,18125.000000,20120102_072401
8,KBUF20120102_122946_V03,-17,0.010,332.84,142.490210,44.780223,-79.70,42.796728,22390.111695,20120102_072946
9,KBUF20120102_122401_V03,-22,-0.214,349.65,519.150000,27.850000,-77.40,42.717307,13925.000000,20120102_072401
9,KBUF20120102_122946_V03,-17,-0.325,349.96,520.285644,37.666832,-77.39,42.715844,18833.415842,20120102_072946
10-23-22,KBUF20120102_122946_V03,-17,0.599,227.10,46.350000,46.350000,-80.30,43.266083,23175.000000,20120102_072946
10-23-22,KBUF20120102_123532_V03,-11,0.535,226.49,49.446774,52.550000,-80.28,43.269098,26275.000000,20120102_073532
12-20,KBUF20120102_122946_V03,-17,0.153,215.50,152.000000,26.200000,-79.65,43.325292,13100.000000,20120102_072946
12-20,KBUF20120102_123532_V03,-11,0.217,222.00,156.956344,36.011187,-79.62,43.296264,18005.593452,20120102_073532
13-27,KBUF20120102_122946_V03,-17,-0.057,475.70,77.900000,26.100000,-80.08,42.149820,13050.000000,20120102_072946
13-27,KBUF20120102_123532_V03,-11,-0.303,475.01,80.779285,38.669598,-80.06,42.153124,19334.798808,20120102_073532
13-27,KBUF20120102_124118_V03,-5,-0.053,479.03,70.525648,39.626946,-80.12,42.134297,19813.472761,20120102_074118
13-27,KBUF20120102_124703_V03,1,0.047,479.21,70.095216,47.267968,-80.13,42.133445,23633.984145,20120102_074703
5-14,KBUF20120102_123532_V03,-11,0.241,273.15,223.600000,30.100000,-79.21,43.068495,15050.000000,20120102_073532
6-15,KBUF20120102_123532_V03,-11,0.129,133.20,131.300000,33.600000,-79.78,43.694546,16800.000000,20120102_073532
18,KBUF20120102_124118_V03,-5,0.139,242.80,197.950000,59.750000,-79.36,43.204332,29875.000000,20120102_074118
18,KBUF20120102_124703_V03,1,0.058,244.40,204.563260,67.712431,-79.32,43.197341,33856.215470,20120102_074703
21,KBUF20120102_124118_V03,-5,0.282,265.30,262.800000,25.500000,-78.97,43.104557,12750.000000,20120102_074118
21,KBUF20120102_124703_V03,1,0.386,273.79,254.946067,30.677528,-79.01,43.066221,15338.764045,20120102_074703
10-23-22,KBUF20120102_124118_V03,-5,0.168,187.70,62.850000,49.650000,-80.20,43.444701,24825.000000,20120102_074118
10-23-22,KBUF20120102_124703_V03,1,0.344,182.13,68.564524,58.172204,-80.17,43.470226,29086.101836,20120102_074703
10-23-22,KBUF20120102_125248_V03,6,0.494,184.05,87.700000,55.300000,-80.05,43.462976,27650.000000,20120102_075248
10-23-22,KBUF20120102_125834_V03,12,0.466,185.13,97.820482,60.367470,-79.99,43.458833,30183.734940,20120102_075834
