track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KCLE19950314_112928,-12,0.243,378.05,346.600000,22.200000,-81.58,41.061334,11100.000000,19950314_062928
1,KCLE19950314_113908,-2,0.047,373.00,342.539374,43.585743,-81.61,41.084123,21792.871419,19950314_063908
1,KCLE19950314_114849,7,-0.205,392.73,331.231921,59.083796,-81.67,40.995424,29541.898052,19950314_064849
2,KCLE19950314_112928,-12,0.340,214.55,395.350000,19.950000,-81.29,41.796318,9975.000000,19950314_062928
2,KCLE19950314_113908,-2,0.271,210.17,397.870117,36.055340,-81.27,41.815963,18027.670080,19950314_063908
2,KCLE19950314_114849,7,0.089,204.45,401.110817,36.230426,-81.25,41.841595,18115.212776,19950314_064849
4,KCLE19950314_112928,-12,0.093,380.50,48.250000,44.750000,-83.36,41.040866,22375.000000,19950314_062928
5,KCLE19950314_115831,17,-0.070,246.75,146.350000,19.750000,-82.78,41.649098,9875.000000,19950314_065831
5,KCLE19950314_120812,27,-0.290,247.39,149.161050,34.978729,-82.77,41.646332,17489.364641,19950314_070812
6-9,KCLE19950315_111308,-26,-0.088,364.35,233.900000,34.400000,-82.25,41.122675,17200.000000,19950315_061308
6-9,KCLE19950315_112249,-17,0.036,369.13,234.014675,39.243497,-82.25,41.101165,19621.748682,19950315_062249
6-9,KCLE19950315_113229,-7,-0.318,359.78,243.546056,51.366833,-82.20,41.143426,25683.416333,19950315_063229
8,KCLE19950315_113229,-7,0.009,230.95,394.500000,28.500000,-81.29,41.722517,14250.000000,19950315_063229
8,KCLE19950315_114210,3,-0.368,225.53,394.173344,39.548279,-81.29,41.746912,19774.139702,19950315_064210
6-9,KCLE19950315_120130,22,-0.022,375.95,235.100000,31.900000,-82.25,41.070474,15950.000000,19950315_070130
6-9,KCLE19950315_121110,32,-0.385,380.90,231.724551,52.366872,-82.27,41.048099,26183.436055,19950315_071110
12,KCLE19950321_110714,-22,0.198,250.65,489.650000,56.050000,-80.72,41.629612,28025.000000,19950321_060714
15,KCLE19950321_111857,-11,-0.030,272.90,511.650000,51.750000,-80.59,41.528083,25875.000000,19950321_061857
15,KCLE19950321_112449,-5,-0.098,270.04,512.853685,62.232497,-80.58,41.540871,31116.248721,19950321_062449
17,KCLE19950321_112449,-5,0.239,427.50,236.100000,34.800000,-82.24,40.838400,17400.000000,19950321_062449
17,KCLE19950321_113040,1,0.207,423.72,233.760826,50.973717,-82.25,40.855394,25486.858573,19950321_063040
18,KCLE19950321_112449,-5,-0.175,114.05,207.900000,62.200000,-82.42,42.248802,31100.000000,19950321_062449
18,KCLE19950321_113040,1,-0.318,111.30,213.150000,73.297887,-82.39,42.261349,36648.943662,19950321_063040
20,KCLE19950321_113040,1,0.018,269.65,528.400000,49.300000,-80.49,41.541563,24650.000000,19950321_063040
20,KCLE19950321_113632,7,-0.101,264.58,533.889109,59.886139,-80.46,41.564002,29943.069307,19950321_063632
22,KCLE19950321_115407,25,-0.094,282.85,383.500000,17.500000,-81.36,41.489183,8750.000000,19950321_065407
22,KCLE19950321_115959,30,-0.095,283.03,386.927023,24.795520,-81.34,41.488286,12397.760116,19950321_065959
22,KCLE19950321_120551,36,-0.364,275.42,389.722351,33.532432,-81.32,41.522451,16766.215850,19950321_070551
22,KCLE19950321_121142,42,0.000,268.98,392.595728,42.487812,-81.31,41.551366,21243.906240,19950321_071142
22,KCLE19950321_121734,48,0.000,262.54,395.469105,51.443193,-81.29,41.580278,25721.596630,19950321_071734
22,KCLE19950321_122326,54,-0.359,255.42,400.985939,62.499096,-81.25,41.612179,31249.548151,19950321_072326
24,KCLE19950328_111045,-7,-0.001,147.35,468.550000,50.550000,-80.84,42.095766,25275.000000,19950328_061045
25,KCLE19950328_114004,23,-0.207,235.55,558.950000,33.650000,-80.30,41.692720,16825.000000,19950328_064004
25,KCLE19950328_114556,28,-0.519,235.16,559.816694,43.519935,-80.30,41.694402,21759.967585,19950328_064556
26,KCLE19950404_110648,0,0.134,468.00,333.600000,38.000000,-81.66,40.656503,19000.000000,19950404_070648
27,KCLE19950404_112423,18,0.338,549.80,189.600000,37.300000,-82.51,40.286503,18650.000000,19950404_072423
28,KCLE19950404_113015,24,0.343,547.05,212.500000,45.100000,-82.37,40.299573,22550.000000,19950404_073015
28,KCLE19950404_113606,30,0.472,546.98,223.690053,51.303552,-82.31,40.300187,25651.776199,19950404_073606
29,KCLE19950406_103753,-25,0.109,271.90,212.450000,23.550000,-82.38,41.538370,11775.000000,19950406_063753
29,KCLE19950406_104345,-19,0.037,275.32,214.573077,32.365385,-82.37,41.523052,16182.692308,19950406_064345
31-33-32,KCLE19950406_104937,-13,0.458,206.25,59.450000,27.250000,-83.31,41.826031,13625.000000,19950406_064937
31-33-32,KCLE19950406_105529,-7,0.472,203.93,69.651893,31.591956,-83.25,41.837220,15795.977918,19950406_065529
31-33-32,KCLE19950406_110121,-1,-0.117,175.50,79.400000,59.000000,-83.19,41.965875,29500.000000,19950406_070121
31-33-32,KCLE19950406_110713,5,0.078,174.45,100.450000,57.550000,-83.06,41.971992,28775.000000,19950406_070713
31-33-32,KCLE19950406_111304,11,-0.082,173.32,101.698538,67.261696,-83.06,41.977137,33630.847953,19950406_071304
34,KCLE19950406_110713,5,0.119,341.90,535.000000,55.900000,-80.46,41.215876,27950.000000,19950406_070713
35,KCLE19950406_111856,16,0.453,349.50,560.750000,36.750000,-80.31,41.179692,18375.000000,19950406_071856
36,KCLE19950406_112448,22,0.366,452.85,374.250000,30.450000,-81.42,40.724045,15225.000000,19950406_072448
37-38,KCLE19950406_112448,22,-0.021,163.40,172.250000,57.450000,-82.63,42.025429,28725.000000,19950406_072448
37-38,KCLE19950406_113040,28,-0.076,154.20,189.050000,57.650000,-82.53,42.067472,28825.000000,19950406_073040
