track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KTYX20000101_120729,-29,-0.380,222.30,547.850000,12.150000,-74.13,44.095041,6075.000000,20000101_070729
2,KTYX20000101_121321,-23,-0.629,223.27,547.973439,23.412454,-74.13,44.090658,11706.227039,20000101_071321
5,KTYX20000101_124232,6,-0.063,225.75,547.300000,16.200000,-74.14,44.079567,8100.000000,20000101_074232
6,KTYX20000101_130554,29,-0.316,222.20,547.850000,12.150000,-74.13,44.095491,6075.000000,20000101_080554
6,KTYX20000101_131144,35,-0.503,223.27,547.833294,24.223508,-74.13,44.090682,12111.754177,20000101_081144
7,KTYX20000102_120712,-29,0.144,222.90,547.250000,12.150000,-74.14,44.092393,6075.000000,20000102_070712
7,KTYX20000102_121301,-23,0.028,222.74,547.383616,22.738123,-74.14,44.093083,11369.061506,20000102_071301
8,KTYX20000102_123624,0,0.360,463.55,36.350000,34.650000,-77.30,43.008255,17325.000000,20000102_073624
8,KTYX20000102_124214,6,0.208,468.72,42.484021,47.843127,-77.26,42.985514,23921.563574,20000102_074214
9-13,KTYX20000102_124804,12,0.555,364.95,44.900000,26.300000,-77.26,43.452638,13150.000000,20000102_074804
9-13,KTYX20000102_125354,17,0.449,365.36,50.912275,36.324550,-77.22,43.451319,18162.274959,20000102_075354
10-15,KTYX20000102_124804,12,0.215,344.50,136.550000,40.150000,-76.69,43.551086,20075.000000,20000102_074804
10-15,KTYX20000102_125354,17,0.167,345.13,138.964465,50.847497,-76.68,43.548404,25423.748261,20000102_075354
9-13,KTYX20000102_125944,23,0.359,348.90,66.100000,28.200000,-77.13,43.526590,14100.000000,20000102_075944
9-13,KTYX20000102_130534,29,0.430,345.89,72.694203,33.409662,-77.09,43.540642,16704.830918,20000102_080534
14,KTYX20000102_125944,23,0.063,277.45,55.300000,55.300000,-77.20,43.847189,27650.000000,20000102_075944
14,KTYX20000102_130534,29,-0.026,283.42,57.985535,63.751572,-77.18,43.820571,31875.786164,20000102_080534
10-15,KTYX20000102_125944,23,-0.173,326.25,169.250000,33.550000,-76.49,43.634825,16775.000000,20000102_075944
10-15,KTYX20000102_130534,29,-0.377,326.63,175.284884,48.808140,-76.45,43.633358,24404.069767,20000102_080534
20,KTYX20000103_130652,30,0.380,572.60,260.600000,33.200000,-75.92,42.528703,16600.000000,20000103_080652
21,KTYX20000103_130652,30,-0.001,359.55,468.300000,34.200000,-74.64,43.483093,17100.000000,20000103_080652
24,KTYX20000104_122033,-16,-0.311,354.90,433.000000,35.800000,-74.86,43.505800,17900.000000,20000104_072033
24,KTYX20000104_122623,-10,-0.547,355.36,437.292906,51.359268,-74.83,43.503516,25679.633867,20000104_072623
27,KTYX20000104_124946,13,0.533,50.60,407.700000,27.200000,-75.00,44.876050,13600.000000,20000104_074946
28,KTYX20000104_124946,13,0.033,383.25,180.550000,32.950000,-76.42,43.378795,16475.000000,20000104_074946
30,KTYX20000105_121022,-26,-0.108,226.05,548.650000,15.850000,-74.13,44.078103,7925.000000,20000105_071022
31,KTYX20000105_122753,-9,-0.313,399.20,176.200000,68.100000,-76.44,43.306839,34050.000000,20000105_072753
31,KTYX20000105_123344,-3,-0.513,403.03,175.605193,78.550197,-76.45,43.289564,39275.098348,20000105_073344
34,KTYX20000105_130256,26,-0.048,439.50,221.300000,65.400000,-76.16,43.126995,32700.000000,20000105_080256
34,KTYX20000105_130847,32,-0.181,437.50,222.924528,73.715094,-76.15,43.136042,36857.547170,20000105_080847
35,KTYX20000107_120934,-27,-0.156,190.60,171.300000,11.900000,-76.49,44.245301,5950.000000,20000107_070934
35,KTYX20000107_121524,-21,-0.237,190.45,171.214373,21.121407,-76.49,44.245971,10560.703364,20000107_071524
35,KTYX20000107_122114,-15,-0.418,189.36,170.013158,24.463993,-76.49,44.250824,12231.996563,20000107_072114
37,KTYX20000107_121524,-21,-0.314,225.00,542.600000,22.900000,-74.17,44.083332,11450.000000,20000107_071524
37,KTYX20000107_122114,-15,-0.533,225.71,544.045476,33.301856,-74.16,44.079998,16650.928074,20000107_072114
39,KTYX20000107_122114,-15,-0.099,300.45,491.000000,8.900000,-74.49,43.747654,4450.000000,20000107_072114
39,KTYX20000107_122703,-9,-0.167,299.81,491.204767,17.796641,-74.49,43.750507,8898.320693,20000107_072703
39,KTYX20000107_123253,-4,0.021,300.50,485.871968,16.983565,-74.53,43.747748,8491.782611,20000107_073253
39,KTYX20000107_123842,2,-0.319,300.66,484.213719,28.719334,-74.54,43.747160,14359.667122,20000107_073842
39,KTYX20000107_124432,8,-0.373,299.45,490.856144,32.988117,-74.50,43.752174,16494.058395,20000107_074432
39,KTYX20000107_125021,14,0.000,298.64,495.008004,38.996807,-74.47,43.755528,19498.403389,20000107_075021
39,KTYX20000107_125611,20,-0.337,309.51,498.297420,41.540517,-74.45,43.706418,20770.258555,20000107_075611
39,KTYX20000107_130201,26,-0.397,302.25,496.574036,39.798551,-74.46,43.739205,19899.275331,20000107_080201
39,KTYX20000107_130751,31,-0.365,300.39,497.894953,39.430355,-74.45,43.747487,19715.177405,20000107_080751
39,KTYX20000107_131341,37,-0.427,293.60,503.101820,45.295221,-74.42,43.777680,22647.610588,20000107_081341
39,KTYX20000107_131932,43,0.000,287.93,507.120794,49.434444,-74.39,43.802901,24717.222101,20000107_081932
39,KTYX20000107_132523,49,0.000,282.26,511.139768,53.573667,-74.37,43.828116,26786.833614,20000107_082523
39,KTYX20000107_133113,55,0.000,276.60,515.158742,57.712890,-74.34,43.853325,28856.445127,20000107_083113
39,KTYX20000107_133704,61,0.000,270.93,519.177715,61.852113,-74.32,43.878528,30926.056640,20000107_083704
39,KTYX20000107_134253,66,-0.406,276.32,530.932708,61.133367,-74.24,43.853384,30566.683512,20000107_084253
45,KTYX20000107_130201,26,0.647,223.00,547.350000,12.350000,-74.14,44.091934,6175.000000,20000107_080201
45,KTYX20000107_130751,31,0.675,222.96,547.712998,16.194262,-74.13,44.092067,8097.131148,20000107_080751
45,KTYX20000107_131341,37,0.507,227.21,551.727221,22.754310,-74.11,44.072609,11377.155010,20000107_081341
45,KTYX20000107_131932,43,0.524,229.40,557.902421,25.191286,-74.07,44.062256,12595.642776,20000107_081932
45,KTYX20000107_132523,49,0.619,226.38,558.773347,29.579654,-74.06,44.075751,14789.826778,20000107_082523
49-54-57-58,KTYX20000108_121508,-21,0.366,318.25,204.150000,33.150000,-76.27,43.672155,16575.000000,20000108_071508
49-54-57-58,KTYX20000108_122058,-16,0.318,315.67,208.300530,41.420802,-76.25,43.683894,20710.400908,20000108_072058
49-54-57-58,KTYX20000108_122650,-10,0.316,321.19,221.788754,48.203196,-76.16,43.659441,24101.597821,20000108_072650
51,KTYX20000108_122058,-16,0.115,222.95,547.700000,12.100000,-74.13,44.092130,6050.000000,20000108_072058
52,KTYX20000108_122058,-16,0.042,300.95,490.750000,27.750000,-74.50,43.745421,13875.000000,20000108_072058
56,KTYX20000108_123240,-4,-0.150,301.75,484.500000,16.800000,-74.53,43.742216,8400.000000,20000108_073240
56,KTYX20000108_123829,2,-0.318,302.01,486.433970,30.044309,-74.52,43.740946,15022.154648,20000108_073829
59-61,KTYX20000108_124421,8,-0.023,221.70,546.750000,15.850000,-74.14,44.097833,7925.000000,20000108_074421
59-61,KTYX20000108_125011,14,-0.067,223.39,547.504757,24.813214,-74.13,44.090180,12406.606765,20000108_075011
59-61,KTYX20000108_125601,20,0.115,222.45,547.800000,15.800000,-74.13,44.094371,7900.000000,20000108_075601
66,KTYX20000109_121503,-20,-0.132,258.05,530.700000,54.800000,-74.24,43.935596,27400.000000,20000109_071503
67-74,KTYX20000109_122053,-15,0.492,298.60,471.350000,39.550000,-74.62,43.757179,19775.000000,20000109_072053
67-74,KTYX20000109_122644,-9,0.528,295.06,478.420140,48.764028,-74.57,43.772668,24382.014028,20000109_072644
67-74,KTYX20000109_123235,-3,0.210,294.09,486.650253,56.454894,-74.52,43.776567,28227.446961,20000109_073235
72,KTYX20000109_123826,3,-0.108,391.90,555.100000,32.600000,-74.11,43.331381,16300.000000,20000109_073826
67-74,KTYX20000109_125007,15,-0.129,325.45,469.050000,55.150000,-74.63,43.636494,27575.000000,20000109_075007
67-74,KTYX20000109_125558,20,-0.381,324.84,469.270249,64.079840,-74.63,43.639207,32039.920071,20000109_075558
75,KTYX20000109_125558,20,-0.063,222.50,547.350000,15.750000,-74.14,44.094184,7875.000000,20000109_075558
75,KTYX20000109_130149,26,-0.100,222.52,547.152920,24.877007,-74.14,44.094102,12438.503650,20000109_080149
77-81,KTYX20000113_120737,-27,0.031,300.40,484.300000,8.500000,-74.54,43.748303,4250.000000,20000113_070737
77-81,KTYX20000113_121328,-21,0.070,304.25,485.301445,21.695665,-74.53,43.730899,10847.832370,20000113_071328
77-81,KTYX20000113_121918,-15,-0.319,308.81,482.835064,34.620548,-74.55,43.710533,17310.274143,20000113_071918
79,KTYX20000113_121918,-15,0.407,224.70,547.600000,11.900000,-74.13,44.084265,5950.000000,20000113_071918
79,KTYX20000113_122508,-9,0.391,224.36,547.562567,16.009091,-74.13,44.085784,8004.545455,20000113_072508
79,KTYX20000113_123058,-4,0.354,223.04,546.170838,16.542018,-74.14,44.091871,8271.008801,20000113_073058
79,KTYX20000113_123649,2,0.039,225.26,551.658183,23.675687,-74.11,44.081410,11837.843299,20000113_073649
79,KTYX20000113_124240,8,0.145,231.11,551.061841,24.691591,-74.11,44.055139,12345.795291,20000113_074240
79,KTYX20000113_124830,14,0.186,227.71,550.536599,24.078221,-74.12,44.070488,12039.110266,20000113_074830
79,KTYX20000113_125421,20,0.109,224.99,554.458625,23.190378,-74.09,44.082374,11595.189085,20000113_075421
79,KTYX20000113_130012,26,-0.034,228.73,549.367218,25.269349,-74.12,44.066002,12634.674338,20000113_080012
79,KTYX20000113_130602,32,0.127,222.77,551.885631,23.575246,-74.11,44.092572,11787.622889,20000113_080602
79,KTYX20000113_131152,37,-0.013,220.73,555.926508,25.534190,-74.08,44.101396,12767.094963,20000113_081152
79,KTYX20000113_131742,43,0.000,217.95,559.551872,26.922292,-74.06,44.113593,13461.146066,20000113_081742
79,KTYX20000113_132331,49,-0.040,219.74,544.764819,25.370045,-74.15,44.106835,12685.022475,20000113_082331
79,KTYX20000113_132921,55,0.000,219.23,539.214079,25.292780,-74.19,44.109569,12646.390050,20000113_082921
79,KTYX20000113_133513,61,0.053,222.47,550.764397,23.103213,-74.11,44.094043,11551.606367,20000113_083513
79,KTYX20000113_134103,67,0.000,223.83,553.767007,21.969448,-74.10,44.087639,10984.724074,20000113_084103
79,KTYX20000113_134653,72,0.000,224.97,556.269182,21.024644,-74.08,44.082301,10512.322164,20000113_084653
79,KTYX20000113_135244,78,0.055,222.63,555.632966,24.837222,-74.08,44.092871,12418.611178,20000113_085244
79,KTYX20000113_135834,84,0.059,225.41,553.989326,23.265415,-74.09,44.080546,11632.707298,20000113_085834
79,KTYX20000113_140424,90,-0.063,232.33,561.051552,26.805165,-74.05,44.048799,13402.582392,20000113_090424
79,KTYX20000113_141014,96,-0.030,228.36,559.637116,36.139986,-74.06,44.066750,18069.993144,20000113_091014
77-81,KTYX20000113_122508,-9,0.138,301.40,486.050000,12.750000,-74.53,43.743694,6375.000000,20000113_072508
