filename,local_time
KCAE20170701_094742_V06,20170701_054742
KCAE20170701_095108_V06,20170701_055108
KCAE20170701_095435_V06,20170701_055435
KCAE20170701_100128_V06,20170701_060128
KCAE20170701_100455_V06,20170701_060455
KCAE20170701_100821_V06,20170701_060821
KCAE20170701_101149_V06,20170701_061149
KCAE20170701_101516_V06,20170701_061516
KCAE20170701_101842_V06,20170701_061842
KCAE20170701_102209_V06,20170701_062209
KCAE20170701_102537_V06,20170701_062537
KCAE20170701_102904_V06,20170701_062904
KCAE20170701_103231_V06,20170701_063231
KCAE20170701_103559_V06,20170701_063559
KCAE20170701_103927_V06,20170701_063927
KCAE20170701_104254_V06,20170701_064254
KCAE20170701_104621_V06,20170701_064621
KCAE20170701_104948_V06,20170701_064948
KCAE20170701_105315_V06,20170701_065315
KCAE20170701_110009_V06,20170701_070009
KCAE20170701_110336_V06,20170701_070336
KCAE20170701_110705_V06,20170701_070705
KCAE20170701_111032_V06,20170701_071032
KCAE20170701_111359_V06,20170701_071359
KCAE20170701_111726_V06,20170701_071726
KCAE20170701_112053_V06,20170701_072053
KCAE20170701_112435_V06,20170701_072435
KCAE20170701_112811_V06,20170701_072811
KCAE20170701_113147_V06,20170701_073147
KCAE20170701_113513_V06,20170701_073513
KCAE20170701_113840_V06,20170701_073840
KCAE20170701_114216_V06,20170701_074216
KCAE20170701_114543_V06,20170701_074543
KCAE20170702_094813_V06,20170702_054813
KCAE20170702_095128_V06,20170702_055128
KCAE20170702_095442_V06,20170702_055442
KCAE20170702_100110_V06,20170702_060110
KCAE20170702_100424_V06,20170702_060424
KCAE20170702_100739_V06,20170702_060739
KCAE20170702_101053_V06,20170702_061053
KCAE20170702_101407_V06,20170702_061407
KCAE20170702_101721_V06,20170702_061721
KCAE20170702_102036_V06,20170702_062036
KCAE20170702_102351_V06,20170702_062351
KCAE20170702_102705_V06,20170702_062705
KCAE20170702_103019_V06,20170702_063019
KCAE20170702_103333_V06,20170702_063333
KCAE20170702_103647_V06,20170702_063647
KCAE20170702_104002_V06,20170702_064002
KCAE20170702_104316_V06,20170702_064316
KCAE20170702_104630_V06,20170702_064630
KCAE20170702_104945_V06,20170702_064945
KCAE20170702_105300_V06,20170702_065300
KCAE20170702_105614_V06,20170702_065614
KCAE20170702_110242_V06,20170702_070242
KCAE20170702_110557_V06,20170702_070557
KCAE20170702_110911_V06,20170702_070911
KCAE20170702_111225_V06,20170702_071225
KCAE20170702_111539_V06,20170702_071539
KCAE20170702_111853_V06,20170702_071853
KCAE20170702_112208_V06,20170702_072208
KCAE20170702_113150_V06,20170702_073150
KCAE20170702_114132_V06,20170702_074132
KCAE20170703_095005_V06,20170703_055005
KCAE20170703_095321_V06,20170703_055321
KCAE20170703_095635_V06,20170703_055635
KCAE20170703_100304_V06,20170703_060304
KCAE20170703_100619_V06,20170703_060619
KCAE20170703_100934_V06,20170703_060934
KCAE20170703_101248_V06,20170703_061248
KCAE20170703_101603_V06,20170703_061603
KCAE20170703_101918_V06,20170703_061918
KCAE20170703_102233_V06,20170703_062233
KCAE20170703_102547_V06,20170703_062547
KCAE20170703_102901_V06,20170703_062901
KCAE20170703_103215_V06,20170703_063215
KCAE20170703_103529_V06,20170703_063529
KCAE20170703_103857_V06,20170703_063857
KCAE20170703_104211_V06,20170703_064211
KCAE20170703_104525_V06,20170703_064525
KCAE20170703_104839_V06,20170703_064839
KCAE20170703_105154_V06,20170703_065154
KCAE20170703_105508_V06,20170703_065508
KCAE20170703_110136_V06,20170703_070136
KCAE20170703_110450_V06,20170703_070450
KCAE20170703_110805_V06,20170703_070805
KCAE20170703_111120_V06,20170703_071120
KCAE20170703_111448_V06,20170703_071448
KCAE20170703_111803_V06,20170703_071803
KCAE20170703_112131_V06,20170703_072131
KCAE20170703_112445_V06,20170703_072445
KCAE20170703_112759_V06,20170703_072759
KCAE20170703_113113_V06,20170703_073113
KCAE20170703_113427_V06,20170703_073427
KCAE20170703_113742_V06,20170703_073742
KCAE20170703_114056_V06,20170703_074056
KCAE20170703_114410_V06,20170703_074410
KCAE20170703_114723_V06,20170703_074723
KCAE20170704_094836_V06,20170704_054836
KCAE20170704_095246_V06,20170704_055246
KCAE20170704_100106_V06,20170704_060106
KCAE20170704_100515_V06,20170704_060515
KCAE20170704_100919_V06,20170704_060919
KCAE20170704_101323_V06,20170704_061323
KCAE20170704_101727_V06,20170704_061727
KCAE20170704_102142_V06,20170704_062142
KCAE20170704_102607_V06,20170704_062607
KCAE20170704_103030_V06,20170704_063030
KCAE20170704_103454_V06,20170704_063454
KCAE20170704_103918_V06,20170704_063918
KCAE20170704_104343_V06,20170704_064343
KCAE20170704_104807_V06,20170704_064807
KCAE20170704_105230_V06,20170704_065230
KCAE20170704_110105_V06,20170704_070105
KCAE20170704_110515_V06,20170704_070515
KCAE20170704_110925_V06,20170704_070925
KCAE20170704_111336_V06,20170704_071336
KCAE20170704_111740_V06,20170704_071740
KCAE20170704_112149_V06,20170704_072149
KCAE20170704_112554_V06,20170704_072554
KCAE20170704_113004_V06,20170704_073004
KCAE20170704_113413_V06,20170704_073413
KCAE20170704_113823_V06,20170704_073823
KCAE20170704_114239_V06,20170704_074239
KCAE20170704_114649_V06,20170704_074649
KCAE20170705_095038_V06,20170705_055038
KCAE20170705_100031_V06,20170705_060031
KCAE20170705_100527_V06,20170705_060527
KCAE20170705_101024_V06,20170705_061024
KCAE20170705_101520_V06,20170705_061520
KCAE20170705_102016_V06,20170705_062016
KCAE20170705_102513_V06,20170705_062513
KCAE20170705_103009_V06,20170705_063009
KCAE20170705_103505_V06,20170705_063505
KCAE20170705_104002_V06,20170705_064002
KCAE20170705_104945_V06,20170705_064945
KCAE20170705_110910_V06,20170705_070910
KCAE20170705_111853_V06,20170705_071853
KCAE20170705_112835_V06,20170705_072835
KCAE20170705_113817_V06,20170705_073817
KCAE20170705_114758_V06,20170705_074758
KCAE20170706_100547_V06,20170706_060547
KCAE20170706_101529_V06,20170706_061529
KCAE20170706_102511_V06,20170706_062511
KCAE20170706_103452_V06,20170706_063452
KCAE20170706_104434_V06,20170706_064434
KCAE20170706_110357_V06,20170706_070357
KCAE20170706_111339_V06,20170706_071339
KCAE20170706_112321_V06,20170706_072321
KCAE20170706_113303_V06,20170706_073303
KCAE20170706_114245_V06,20170706_074245
KCAE20170707_095303_V06,20170707_055303
KCAE20170707_095651_V06,20170707_055651
KCAE20170707_100038_V06,20170707_060038
KCAE20170707_100425_V06,20170707_060425
KCAE20170707_100812_V06,20170707_060812
KCAE20170707_101159_V06,20170707_061159
KCAE20170707_101546_V06,20170707_061546
KCAE20170707_101934_V06,20170707_061934
KCAE20170707_102323_V06,20170707_062323
KCAE20170707_102709_V06,20170707_062709
KCAE20170707_103056_V06,20170707_063056
KCAE20170707_103443_V06,20170707_063443
KCAE20170707_103831_V06,20170707_063831
KCAE20170707_104218_V06,20170707_064218
KCAE20170707_104605_V06,20170707_064605
KCAE20170707_104952_V06,20170707_064952
KCAE20170707_105340_V06,20170707_065340
KCAE20170707_105727_V06,20170707_065727
KCAE20170707_110114_V06,20170707_070114
KCAE20170707_110501_V06,20170707_070501
KCAE20170707_110849_V06,20170707_070849
KCAE20170707_111236_V06,20170707_071236
KCAE20170707_111623_V06,20170707_071623
KCAE20170707_112010_V06,20170707_072010
KCAE20170707_112358_V06,20170707_072358
KCAE20170707_112745_V06,20170707_072745
KCAE20170707_113132_V06,20170707_073132
KCAE20170707_113519_V06,20170707_073519
KCAE20170707_113907_V06,20170707_073907
KCAE20170707_114254_V06,20170707_074254
KCAE20170707_114641_V06,20170707_074641
KCAE20170708_095332_V06,20170708_055332
KCAE20170708_095646_V06,20170708_055646
KCAE20170708_100316_V06,20170708_060316
KCAE20170708_100631_V06,20170708_060631
KCAE20170708_100946_V06,20170708_060946
KCAE20170708_101300_V06,20170708_061300
KCAE20170708_101614_V06,20170708_061614
KCAE20170708_102142_V06,20170708_062142
KCAE20170708_103124_V06,20170708_063124
KCAE20170708_104107_V06,20170708_064107
KCAE20170708_110030_V06,20170708_070030
KCAE20170708_111013_V06,20170708_071013
KCAE20170708_111955_V06,20170708_071955
KCAE20170708_112936_V06,20170708_072936
KCAE20170708_113918_V06,20170708_073918
KCAE20170708_114900_V06,20170708_074900
KCAE20170709_100053_V06,20170709_060053
KCAE20170709_101037_V06,20170709_061037
KCAE20170709_102018_V06,20170709_062018
KCAE20170709_103000_V06,20170709_063000
KCAE20170709_103942_V06,20170709_063942
KCAE20170709_104924_V06,20170709_064924
KCAE20170709_110849_V06,20170709_070849
KCAE20170709_111831_V06,20170709_071831
KCAE20170709_112814_V06,20170709_072814
KCAE20170709_113756_V06,20170709_073756
KCAE20170709_114739_V06,20170709_074739
KCAE20170710_095250_V06,20170710_055250
KCAE20170710_095604_V06,20170710_055604
KCAE20170710_100234_V06,20170710_060234
KCAE20170710_100548_V06,20170710_060548
KCAE20170710_100903_V06,20170710_060903
KCAE20170710_101218_V06,20170710_061218
KCAE20170710_101532_V06,20170710_061532
KCAE20170710_101846_V06,20170710_061846
KCAE20170710_102200_V06,20170710_062200
KCAE20170710_102514_V06,20170710_062514
KCAE20170710_102828_V06,20170710_062828
KCAE20170710_103143_V06,20170710_063143
KCAE20170710_103457_V06,20170710_063457
KCAE20170710_103811_V06,20170710_063811
KCAE20170710_104125_V06,20170710_064125
KCAE20170710_104440_V06,20170710_064440
KCAE20170710_104754_V06,20170710_064754
KCAE20170710_105108_V06,20170710_065108
KCAE20170710_105422_V06,20170710_065422
KCAE20170710_110051_V06,20170710_070051
KCAE20170710_110405_V06,20170710_070405
KCAE20170710_110719_V06,20170710_070719
KCAE20170710_111034_V06,20170710_071034
KCAE20170710_111348_V06,20170710_071348
KCAE20170710_111702_V06,20170710_071702
KCAE20170710_112016_V06,20170710_072016
KCAE20170710_112330_V06,20170710_072330
KCAE20170710_112643_V06,20170710_072643
KCAE20170710_112958_V06,20170710_072958
KCAE20170710_113312_V06,20170710_073312
KCAE20170710_113626_V06,20170710_073626
KCAE20170710_113941_V06,20170710_073941
KCAE20170710_114255_V06,20170710_074255
KCAE20170710_114610_V06,20170710_074610
KCAE20170710_114924_V06,20170710_074924
KCAE20170711_095233_V06,20170711_055233
KCAE20170711_095548_V06,20170711_055548
KCAE20170711_100218_V06,20170711_060218
KCAE20170711_100532_V06,20170711_060532
KCAE20170711_100847_V06,20170711_060847
KCAE20170711_101202_V06,20170711_061202
KCAE20170711_101516_V06,20170711_061516
KCAE20170711_101830_V06,20170711_061830
KCAE20170711_102144_V06,20170711_062144
KCAE20170711_102459_V06,20170711_062459
KCAE20170711_102813_V06,20170711_062813
KCAE20170711_103127_V06,20170711_063127
KCAE20170711_103442_V06,20170711_063442
KCAE20170711_103757_V06,20170711_063757
KCAE20170711_104111_V06,20170711_064111
KCAE20170711_104425_V06,20170711_064425
KCAE20170711_104738_V06,20170711_064738
KCAE20170711_105053_V06,20170711_065053
KCAE20170711_105408_V06,20170711_065408
KCAE20170711_110037_V06,20170711_070037
KCAE20170711_110352_V06,20170711_070352
KCAE20170711_110707_V06,20170711_070707
KCAE20170711_111022_V06,20170711_071022
KCAE20170711_111336_V06,20170711_071336
KCAE20170711_111650_V06,20170711_071650
KCAE20170711_112004_V06,20170711_072004
KCAE20170711_112319_V06,20170711_072319
KCAE20170711_112633_V06,20170711_072633
KCAE20170711_112947_V06,20170711_072947
KCAE20170711_113301_V06,20170711_073301
KCAE20170711_113616_V06,20170711_073616
KCAE20170711_113931_V06,20170711_073931
KCAE20170711_114245_V06,20170711_074245
KCAE20170711_114559_V06,20170711_074559
KCAE20170711_114913_V06,20170711_074913
KCAE20170712_095342_V06,20170712_055342
KCAE20170712_100228_V06,20170712_060228
KCAE20170712_100651_V06,20170712_060651
KCAE20170712_101115_V06,20170712_061115
KCAE20170712_101537_V06,20170712_061537
KCAE20170712_101959_V06,20170712_061959
KCAE20170712_102422_V06,20170712_062422
KCAE20170712_102845_V06,20170712_062845
KCAE20170712_103307_V06,20170712_063307
KCAE20170712_103730_V06,20170712_063730
KCAE20170712_104153_V06,20170712_064153
KCAE20170712_104616_V06,20170712_064616
KCAE20170712_105038_V06,20170712_065038
KCAE20170712_105501_V06,20170712_065501
KCAE20170712_110347_V06,20170712_070347
KCAE20170712_110809_V06,20170712_070809
KCAE20170712_111232_V06,20170712_071232
KCAE20170712_111655_V06,20170712_071655
KCAE20170712_112117_V06,20170712_072117
KCAE20170712_112540_V06,20170712_072540
KCAE20170712_113002_V06,20170712_073002
KCAE20170712_113424_V06,20170712_073424
KCAE20170712_113846_V06,20170712_073846
KCAE20170712_114310_V06,20170712_074310
KCAE20170712_114732_V06,20170712_074732
KCAE20170712_115154_V06,20170712_075154
KCAE20170713_100205_V06,20170713_060205
KCAE20170713_100701_V06,20170713_060701
KCAE20170713_101158_V06,20170713_061158
KCAE20170713_101654_V06,20170713_061654
KCAE20170713_102150_V06,20170713_062150
KCAE20170713_102647_V06,20170713_062647
KCAE20170713_103143_V06,20170713_063143
KCAE20170713_103639_V06,20170713_063639
KCAE20170713_104135_V06,20170713_064135
KCAE20170713_104632_V06,20170713_064632
KCAE20170713_105128_V06,20170713_065128
KCAE20170713_110121_V06,20170713_070121
KCAE20170713_110617_V06,20170713_070617
KCAE20170713_111113_V06,20170713_071113
KCAE20170713_111600_V06,20170713_071600
KCAE20170713_111654_V06,20170713_071654
KCAE20170713_112637_V06,20170713_072637
KCAE20170713_113619_V06,20170713_073619
KCAE20170713_114601_V06,20170713_074601
KCAE20170714_095533_V06,20170714_055533
