filename,local_time
KEMX20210901_122821_V06,20210901_052821
KEMX20210901_123255_V06,20210901_053255
KEMX20210901_123729_V06,20210901_053729
KEMX20210901_124202_V06,20210901_054202
KEMX20210901_124637_V06,20210901_054637
KEMX20210901_125117_V06,20210901_055117
KEMX20210901_130018_V06,20210901_060018
KEMX20210901_130452_V06,20210901_060452
KEMX20210901_130926_V06,20210901_060926
KEMX20210901_131400_V06,20210901_061400
KEMX20210901_132042_V06,20210901_062042
KEMX20210901_132516_V06,20210901_062516
KEMX20210901_132950_V06,20210901_062950
KEMX20210901_133425_V06,20210901_063425
KEMX20210901_133859_V06,20210901_063859
KEMX20210901_134332_V06,20210901_064332
KEMX20210901_134806_V06,20210901_064806
KEMX20210901_135240_V06,20210901_065240
KEMX20210901_140148_V06,20210901_070148
KEMX20210901_140622_V06,20210901_070622
KEMX20210901_141057_V06,20210901_071057
KEMX20210901_141532_V06,20210901_071532
KEMX20210901_142006_V06,20210901_072006
KEMX20210901_142444_V06,20210901_072444
KEMX20210902_122929_V06,20210902_052929
KEMX20210902_123243_V06,20210902_053243
KEMX20210902_123557_V06,20210902_053557
KEMX20210902_123912_V06,20210902_053912
KEMX20210902_124226_V06,20210902_054226
KEMX20210902_124541_V06,20210902_054541
KEMX20210902_124855_V06,20210902_054855
KEMX20210902_125208_V06,20210902_055208
KEMX20210902_125522_V06,20210902_055522
KEMX20210902_130150_V06,20210902_060150
KEMX20210902_130504_V06,20210902_060504
KEMX20210902_130818_V06,20210902_060818
KEMX20210902_131132_V06,20210902_061132
KEMX20210902_131446_V06,20210902_061446
KEMX20210902_131801_V06,20210902_061801
KEMX20210902_132323_V06,20210902_062323
KEMX20210902_132638_V06,20210902_062638
KEMX20210902_132952_V06,20210902_062952
KEMX20210902_133306_V06,20210902_063306
KEMX20210902_133620_V06,20210902_063620
KEMX20210902_133934_V06,20210902_063934
KEMX20210902_134249_V06,20210902_064249
KEMX20210902_134603_V06,20210902_064603
KEMX20210902_134917_V06,20210902_064917
KEMX20210902_135230_V06,20210902_065230
KEMX20210902_135544_V06,20210902_065544
KEMX20210902_140213_V06,20210902_070213
KEMX20210902_140527_V06,20210902_070527
KEMX20210902_140841_V06,20210902_070841
KEMX20210902_141155_V06,20210902_071155
KEMX20210902_141509_V06,20210902_071509
KEMX20210902_141824_V06,20210902_071824
KEMX20210902_142138_V06,20210902_072138
KEMX20210902_142452_V06,20210902_072452
KEMX20210902_142807_V06,20210902_072807
KEMX20210903_123300_V06,20210903_053300
KEMX20210903_123636_V06,20210903_053636
KEMX20210903_124012_V06,20210903_054012
KEMX20210903_124348_V06,20210903_054348
KEMX20210903_124724_V06,20210903_054724
KEMX20210903_125100_V06,20210903_055100
KEMX20210903_125435_V06,20210903_055435
KEMX20210903_130147_V06,20210903_060147
KEMX20210903_130523_V06,20210903_060523
KEMX20210903_130859_V06,20210903_060859
KEMX20210903_131235_V06,20210903_061235
KEMX20210903_131612_V06,20210903_061612
KEMX20210903_131948_V06,20210903_061948
KEMX20210903_132324_V06,20210903_062324
KEMX20210903_132902_V06,20210903_062902
KEMX20210903_133238_V06,20210903_063238
KEMX20210903_133614_V06,20210903_063614
KEMX20210903_133950_V06,20210903_063950
KEMX20210903_134327_V06,20210903_064327
KEMX20210903_134703_V06,20210903_064703
KEMX20210903_135039_V06,20210903_065039
KEMX20210903_135415_V06,20210903_065415
KEMX20210903_140126_V06,20210903_070126
KEMX20210903_140502_V06,20210903_070502
KEMX20210903_140838_V06,20210903_070838
KEMX20210903_141214_V06,20210903_071214
KEMX20210903_141550_V06,20210903_071550
KEMX20210903_141926_V06,20210903_071926
KEMX20210903_142302_V06,20210903_072302
KEMX20210903_142637_V06,20210903_072637
KEMX20210904_123252_V06,20210904_053252
KEMX20210904_123628_V06,20210904_053628
KEMX20210904_124004_V06,20210904_054004
KEMX20210904_124339_V06,20210904_054339
KEMX20210904_124716_V06,20210904_054716
KEMX20210904_125051_V06,20210904_055051
KEMX20210904_125427_V06,20210904_055427
KEMX20210904_130139_V06,20210904_060139
KEMX20210904_130515_V06,20210904_060515
KEMX20210904_130850_V06,20210904_060850
KEMX20210904_131226_V06,20210904_061226
KEMX20210904_131601_V06,20210904_061601
KEMX20210904_131937_V06,20210904_061937
KEMX20210904_132313_V06,20210904_062313
KEMX20210904_132649_V06,20210904_062649
KEMX20210904_133025_V06,20210904_063025
KEMX20210904_133600_V06,20210904_063600
KEMX20210904_133937_V06,20210904_063937
KEMX20210904_134313_V06,20210904_064313
KEMX20210904_134700_V06,20210904_064700
KEMX20210904_135036_V06,20210904_065036
KEMX20210904_135413_V06,20210904_065413
KEMX20210904_140125_V06,20210904_070125
KEMX20210904_140502_V06,20210904_070502
KEMX20210904_140838_V06,20210904_070838
KEMX20210904_141213_V06,20210904_071213
KEMX20210904_141550_V06,20210904_071550
KEMX20210904_141926_V06,20210904_071926
KEMX20210904_142302_V06,20210904_072302
KEMX20210904_142638_V06,20210904_072638
KEMX20210905_123417_V06,20210905_053417
KEMX20210905_124349_V06,20210905_054349
KEMX20210905_130253_V06,20210905_060253
KEMX20210905_131225_V06,20210905_061225
KEMX20210905_132156_V06,20210905_062156
KEMX20210905_133128_V06,20210905_063128
KEMX20210905_134300_V06,20210905_064300
KEMX20210905_140204_V06,20210905_070204
KEMX20210905_141135_V06,20210905_071135
KEMX20210905_142107_V06,20210905_072107
KEMX20210905_143037_V06,20210905_073037
KEMX20210906_123644_V06,20210906_053644
KEMX20210906_124616_V06,20210906_054616
KEMX20210906_124941_V06,20210906_054941
KEMX20210906_125318_V06,20210906_055318
KEMX20210906_130029_V06,20210906_060029
KEMX20210906_130405_V06,20210906_060405
KEMX20210906_130741_V06,20210906_060741
KEMX20210906_131117_V06,20210906_061117
KEMX20210906_131453_V06,20210906_061453
KEMX20210906_131829_V06,20210906_061829
KEMX20210906_132204_V06,20210906_062204
KEMX20210906_132540_V06,20210906_062540
KEMX20210906_132917_V06,20210906_062917
KEMX20210906_133254_V06,20210906_063254
KEMX20210906_133630_V06,20210906_063630
KEMX20210906_134006_V06,20210906_064006
KEMX20210906_134342_V06,20210906_064342
KEMX20210906_134919_V06,20210906_064919
KEMX20210906_135255_V06,20210906_065255
KEMX20210906_135631_V06,20210906_065631
KEMX20210906_140331_V06,20210906_070331
KEMX20210906_140656_V06,20210906_070656
KEMX20210906_141032_V06,20210906_071032
KEMX20210906_141408_V06,20210906_071408
KEMX20210906_141732_V06,20210906_071732
KEMX20210906_142055_V06,20210906_072055
KEMX20210906_142418_V06,20210906_072418
KEMX20210906_142744_V06,20210906_072744
KEMX20210906_143107_V06,20210906_073107
KEMX20210907_123920_V06,20210907_053920
KEMX20210907_124851_V06,20210907_054851
KEMX20210907_130754_V06,20210907_060754
KEMX20210907_131726_V06,20210907_061726
KEMX20210907_132659_V06,20210907_062659
KEMX20210907_133631_V06,20210907_063631
KEMX20210907_134602_V06,20210907_064602
KEMX20210907_140706_V06,20210907_070706
KEMX20210907_141637_V06,20210907_071637
KEMX20210907_142609_V06,20210907_072609
KEMX20210908_123543_V06,20210908_053543
KEMX20210908_123919_V06,20210908_053919
KEMX20210908_124248_V06,20210908_054248
KEMX20210908_124612_V06,20210908_054612
KEMX20210908_124948_V06,20210908_054948
KEMX20210908_125323_V06,20210908_055323
KEMX20210908_125647_V06,20210908_055647
KEMX20210908_130339_V06,20210908_060339
KEMX20210908_130703_V06,20210908_060703
KEMX20210908_131032_V06,20210908_061032
KEMX20210908_131401_V06,20210908_061401
KEMX20210908_131725_V06,20210908_061725
KEMX20210908_132101_V06,20210908_062101
KEMX20210908_132437_V06,20210908_062437
KEMX20210908_132800_V06,20210908_062800
KEMX20210908_133125_V06,20210908_063125
KEMX20210908_134057_V06,20210908_064057
KEMX20210908_135029_V06,20210908_065029
KEMX20210908_141133_V06,20210908_071133
KEMX20210908_142104_V06,20210908_072104
KEMX20210908_143035_V06,20210908_073035
KEMX20210909_123417_V06,20210909_053417
KEMX20210909_124350_V06,20210909_054350
KEMX20210909_130253_V06,20210909_060253
KEMX20210909_131225_V06,20210909_061225
KEMX20210909_132158_V06,20210909_062158
