filename,local_time
KLTX20170701_093713_V06,20170701_053713
KLTX20170701_094302_V06,20170701_054302
KLTX20170701_094852_V06,20170701_054852
KLTX20170701_100031_V06,20170701_060031
KLTX20170701_100620_V06,20170701_060620
KLTX20170701_101209_V06,20170701_061209
KLTX20170701_101758_V06,20170701_061758
KLTX20170701_102347_V06,20170701_062347
KLTX20170701_102935_V06,20170701_062935
KLTX20170701_103524_V06,20170701_063524
KLTX20170701_104114_V06,20170701_064114
KLTX20170701_104703_V06,20170701_064703
KLTX20170701_105253_V06,20170701_065253
KLTX20170701_110336_V06,20170701_070336
KLTX20170701_110926_V06,20170701_070926
KLTX20170701_111514_V06,20170701_071514
KLTX20170701_112103_V06,20170701_072103
KLTX20170701_112653_V06,20170701_072653
KLTX20170701_113242_V06,20170701_073242
KLTX20170702_094111_V06,20170702_054111
KLTX20170702_094605_V06,20170702_054605
KLTX20170702_095100_V06,20170702_055100
KLTX20170702_100051_V06,20170702_060051
KLTX20170702_100546_V06,20170702_060546
KLTX20170702_101041_V06,20170702_061041
KLTX20170702_101537_V06,20170702_061537
KLTX20170702_102031_V06,20170702_062031
KLTX20170702_102526_V06,20170702_062526
KLTX20170702_103022_V06,20170702_063022
KLTX20170702_103517_V06,20170702_063517
KLTX20170702_104011_V06,20170702_064011
KLTX20170702_104506_V06,20170702_064506
KLTX20170702_105054_V06,20170702_065054
KLTX20170702_110232_V06,20170702_070232
KLTX20170702_110821_V06,20170702_070821
KLTX20170702_111411_V06,20170702_071411
KLTX20170702_112000_V06,20170702_072000
KLTX20170702_112549_V06,20170702_072549
KLTX20170702_113137_V06,20170702_073137
KLTX20170703_093818_V06,20170703_053818
KLTX20170703_094314_V06,20170703_054314
KLTX20170703_094809_V06,20170703_054809
KLTX20170703_095303_V06,20170703_055303
KLTX20170703_100321_V06,20170703_060321
KLTX20170703_100815_V06,20170703_060815
KLTX20170703_101310_V06,20170703_061310
KLTX20170703_101805_V06,20170703_061805
KLTX20170703_102300_V06,20170703_062300
KLTX20170703_102755_V06,20170703_062755
KLTX20170703_103318_V06,20170703_063318
KLTX20170703_103813_V06,20170703_063813
KLTX20170703_104308_V06,20170703_064308
KLTX20170703_104830_V06,20170703_064830
KLTX20170703_105248_V06,20170703_065248
KLTX20170703_110016_V06,20170703_070016
KLTX20170703_110412_V06,20170703_070412
KLTX20170703_110810_V06,20170703_070810
KLTX20170703_111207_V06,20170703_071207
KLTX20170703_111551_V06,20170703_071551
KLTX20170703_111948_V06,20170703_071948
KLTX20170703_112346_V06,20170703_072346
KLTX20170703_112743_V06,20170703_072743
KLTX20170703_113153_V06,20170703_073153
KLTX20170703_113551_V06,20170703_073551
KLTX20170704_093956_V06,20170704_053956
KLTX20170704_094449_V06,20170704_054449
KLTX20170704_094941_V06,20170704_054941
KLTX20170704_095435_V06,20170704_055435
KLTX20170704_100421_V06,20170704_060421
KLTX20170704_100915_V06,20170704_060915
KLTX20170704_101407_V06,20170704_061407
KLTX20170704_101859_V06,20170704_061859
KLTX20170704_102352_V06,20170704_062352
KLTX20170704_102844_V06,20170704_062844
KLTX20170704_103338_V06,20170704_063338
KLTX20170704_103832_V06,20170704_063832
KLTX20170704_104324_V06,20170704_064324
KLTX20170704_104816_V06,20170704_064816
KLTX20170704_105310_V06,20170704_065310
KLTX20170704_110256_V06,20170704_070256
KLTX20170704_110749_V06,20170704_070749
KLTX20170704_111243_V06,20170704_071243
KLTX20170704_111736_V06,20170704_071736
KLTX20170704_112228_V06,20170704_072228
KLTX20170704_112706_V06,20170704_072706
KLTX20170704_113144_V06,20170704_073144
KLTX20170704_113621_V06,20170704_073621
KLTX20170705_093928_V06,20170705_053928
KLTX20170705_094423_V06,20170705_054423
KLTX20170705_094917_V06,20170705_054917
KLTX20170705_095413_V06,20170705_055413
KLTX20170705_100402_V06,20170705_060402
KLTX20170705_100858_V06,20170705_060858
KLTX20170705_101351_V06,20170705_061351
KLTX20170705_101845_V06,20170705_061845
KLTX20170705_102339_V06,20170705_062339
KLTX20170705_102835_V06,20170705_062835
KLTX20170705_103329_V06,20170705_063329
KLTX20170705_103824_V06,20170705_063824
KLTX20170705_104321_V06,20170705_064321
KLTX20170705_104842_V06,20170705_064842
