filename,local_time
KLWX20130701_091858_V06,20130701_051858
KLWX20130701_092209_V06,20130701_052209
KLWX20130701_092522_V06,20130701_052522
KLWX20130701_092833_V06,20130701_052833
KLWX20130701_093145_V06,20130701_053145
KLWX20130701_093456_V06,20130701_053456
KLWX20130701_093808_V06,20130701_053808
KLWX20130701_094121_V06,20130701_054121
KLWX20130701_094433_V06,20130701_054433
KLWX20130701_094745_V06,20130701_054745
KLWX20130701_095056_V06,20130701_055056
KLWX20130701_095422_V06,20130701_055422
KLWX20130701_095734_V06,20130701_055734
KLWX20130701_100045_V06,20130701_060045
KLWX20130701_100357_V06,20130701_060357
KLWX20130701_100709_V06,20130701_060709
KLWX20130701_101022_V06,20130701_061022
KLWX20130701_101334_V06,20130701_061334
KLWX20130701_101646_V06,20130701_061646
KLWX20130701_101958_V06,20130701_061958
KLWX20130701_102323_V06,20130701_062323
KLWX20130701_102634_V06,20130701_062634
KLWX20130701_102958_V06,20130701_062958
KLWX20130701_103322_V06,20130701_063322
KLWX20130701_103703_V06,20130701_063703
KLWX20130701_104042_V06,20130701_064042
KLWX20130701_104434_V06,20130701_064434
KLWX20130701_104814_V06,20130701_064814
KLWX20130701_105153_V06,20130701_065153
KLWX20130701_105532_V06,20130701_065532
KLWX20130701_105911_V06,20130701_065911
KLWX20130701_110249_V06,20130701_070249
KLWX20130701_110629_V06,20130701_070629
KLWX20130701_111008_V06,20130701_071008
KLWX20130701_111347_V06,20130701_071347
KLWX20130701_111726_V06,20130701_071726
KLWX20130702_091912_V06,20130702_051912
KLWX20130702_092503_V06,20130702_052503
KLWX20130702_093054_V06,20130702_053054
KLWX20130702_093644_V06,20130702_053644
KLWX20130702_094235_V06,20130702_054235
KLWX20130702_094825_V06,20130702_054825
KLWX20130702_095416_V06,20130702_055416
KLWX20130702_100007_V06,20130702_060007
KLWX20130702_100558_V06,20130702_060558
KLWX20130702_101149_V06,20130702_061149
KLWX20130702_101739_V06,20130702_061739
KLWX20130702_102331_V06,20130702_062331
KLWX20130702_102922_V06,20130702_062922
KLWX20130702_103512_V06,20130702_063512
KLWX20130702_104102_V06,20130702_064102
KLWX20130702_104654_V06,20130702_064654
KLWX20130702_105246_V06,20130702_065246
KLWX20130702_105837_V06,20130702_065837
KLWX20130702_110427_V06,20130702_070427
KLWX20130702_111019_V06,20130702_071019
KLWX20130702_111543_V06,20130702_071543
KLWX20130703_091928_V06,20130703_051928
KLWX20130703_092349_V06,20130703_052349
