filename,local_time
KMBX20171001_121435_V06,20171001_071435
KMBX20171001_121923_V06,20171001_071923
KMBX20171001_122411_V06,20171001_072411
KMBX20171001_122858_V06,20171001_072858
KMBX20171001_123345_V06,20171001_073345
KMBX20171001_123834_V06,20171001_073834
KMBX20171001_124322_V06,20171001_074322
KMBX20171001_124808_V06,20171001_074808
KMBX20171001_125256_V06,20171001_075256
KMBX20171001_130231_V06,20171001_080231
KMBX20171001_130720_V06,20171001_080720
KMBX20171001_131207_V06,20171001_081207
KMBX20171001_131655_V06,20171001_081655
KMBX20171001_132144_V06,20171001_082144
KMBX20171001_132630_V06,20171001_082630
KMBX20171001_133116_V06,20171001_083116
KMBX20171001_133604_V06,20171001_083604
KMBX20171001_134051_V06,20171001_084051
KMBX20171001_134538_V06,20171001_084538
KMBX20171001_135026_V06,20171001_085026
KMBX20171001_140938_V06,20171001_090938
KMBX20171002_122017_V06,20171002_072017
KMBX20171002_122954_V06,20171002_072954
KMBX20171002_123929_V06,20171002_073929
KMBX20171002_124906_V06,20171002_074906
KMBX20171002_130818_V06,20171002_080818
KMBX20171002_131755_V06,20171002_081755
KMBX20171002_132731_V06,20171002_082731
KMBX20171002_133706_V06,20171002_083706
KMBX20171002_134643_V06,20171002_084643
KMBX20171002_140556_V06,20171002_090556
KMBX20171003_121700_V06,20171003_071700
KMBX20171003_122635_V06,20171003_072635
KMBX20171003_123612_V06,20171003_073612
KMBX20171003_124548_V06,20171003_074548
KMBX20171003_130500_V06,20171003_080500
KMBX20171003_131436_V06,20171003_081436
KMBX20171003_132412_V06,20171003_082412
KMBX20171003_133348_V06,20171003_083348
KMBX20171003_134325_V06,20171003_084325
KMBX20171003_140239_V06,20171003_090239
KMBX20171003_141215_V06,20171003_091215
KMBX20171004_122328_V06,20171004_072328
KMBX20171004_123305_V06,20171004_073305
KMBX20171004_124241_V06,20171004_074241
KMBX20171004_130154_V06,20171004_080154
KMBX20171004_131130_V06,20171004_081130
KMBX20171004_132106_V06,20171004_082106
KMBX20171004_133043_V06,20171004_083043
KMBX20171004_134021_V06,20171004_084021
KMBX20171004_134957_V06,20171004_084957
KMBX20171004_140910_V06,20171004_090910
KMBX20171005_121952_V06,20171005_071952
KMBX20171005_122927_V06,20171005_072927
KMBX20171005_123903_V06,20171005_073903
KMBX20171005_124840_V06,20171005_074840
KMBX20171005_130752_V06,20171005_080752
KMBX20171005_131728_V06,20171005_081728
KMBX20171005_132703_V06,20171005_082703
KMBX20171005_133639_V06,20171005_083639
KMBX20171005_134615_V06,20171005_084615
KMBX20171005_140526_V06,20171005_090526
KMBX20171006_122412_V06,20171006_072412
KMBX20171006_123348_V06,20171006_073348
KMBX20171006_124324_V06,20171006_074324
KMBX20171006_130237_V06,20171006_080237
KMBX20171006_131212_V06,20171006_081212
KMBX20171006_132149_V06,20171006_082149
KMBX20171006_133126_V06,20171006_083126
KMBX20171006_134102_V06,20171006_084102
KMBX20171006_140015_V06,20171006_090015
KMBX20171006_140950_V06,20171006_090950
KMBX20171006_141927_V06,20171006_091927
KMBX20171007_123036_V06,20171007_073036
KMBX20171007_124013_V06,20171007_074013
KMBX20171007_124949_V06,20171007_074949
KMBX20171007_130901_V06,20171007_080901
KMBX20171007_131837_V06,20171007_081837
KMBX20171007_132813_V06,20171007_082813
KMBX20171007_133750_V06,20171007_083750
KMBX20171007_134727_V06,20171007_084727
KMBX20171007_140638_V06,20171007_090638
KMBX20171007_141614_V06,20171007_091614
KMBX20171008_122941_V06,20171008_072941
KMBX20171008_124119_V06,20171008_074119
KMBX20171008_130033_V06,20171008_080033
KMBX20171008_131010_V06,20171008_081010
KMBX20171008_131946_V06,20171008_081946
KMBX20171008_132921_V06,20171008_082921
KMBX20171008_133858_V06,20171008_083858
KMBX20171008_134835_V06,20171008_084835
KMBX20171008_140746_V06,20171008_090746
KMBX20171008_141723_V06,20171008_091723
KMBX20171009_122631_V06,20171009_072631
KMBX20171009_123606_V06,20171009_073606
KMBX20171009_124745_V06,20171009_074745
KMBX20171009_130659_V06,20171009_080659
KMBX20171009_131634_V06,20171009_081634
KMBX20171009_132611_V06,20171009_082611
KMBX20171009_133547_V06,20171009_083547
KMBX20171009_134522_V06,20171009_084522
KMBX20171009_140436_V06,20171009_090436
KMBX20171009_141411_V06,20171009_091411
KMBX20171009_142347_V06,20171009_092347
KMBX20171010_123301_V06,20171010_073301
KMBX20171010_124237_V06,20171010_074237
KMBX20171010_130352_V06,20171010_080352
KMBX20171010_131328_V06,20171010_081328
KMBX20171010_132303_V06,20171010_082303
KMBX20171010_133240_V06,20171010_083240
KMBX20171010_134216_V06,20171010_084216
KMBX20171010_140127_V06,20171010_090127
KMBX20171010_141103_V06,20171010_091103
KMBX20171010_142039_V06,20171010_092039
KMBX20171011_123007_V06,20171011_073007
KMBX20171011_123943_V06,20171011_073943
KMBX20171011_130058_V06,20171011_080058
KMBX20171011_131035_V06,20171011_081035
KMBX20171011_132010_V06,20171011_082010
KMBX20171011_132947_V06,20171011_082947
KMBX20171011_133923_V06,20171011_083923
KMBX20171011_134859_V06,20171011_084859
KMBX20171011_140813_V06,20171011_090813
KMBX20171011_141748_V06,20171011_091748
KMBX20171011_142725_V06,20171011_092725
KMBX20171012_123646_V06,20171012_073646
KMBX20171012_124622_V06,20171012_074622
KMBX20171012_130735_V06,20171012_080735
KMBX20171012_131711_V06,20171012_081711
KMBX20171012_132647_V06,20171012_082647
KMBX20171012_133623_V06,20171012_083623
KMBX20171012_134600_V06,20171012_084600
KMBX20171012_140512_V06,20171012_090512
KMBX20171012_141448_V06,20171012_091448
KMBX20171012_142423_V06,20171012_092423
KMBX20171013_123330_V06,20171013_073330
KMBX20171013_124306_V06,20171013_074306
KMBX20171013_130219_V06,20171013_080219
KMBX20171013_131357_V06,20171013_081357
KMBX20171013_132333_V06,20171013_082333
KMBX20171013_133310_V06,20171013_083310
KMBX20171013_134247_V06,20171013_084247
KMBX20171013_140158_V06,20171013_090158
KMBX20171013_141135_V06,20171013_091135
KMBX20171013_142111_V06,20171013_092111
KMBX20171014_123432_V06,20171014_073432
KMBX20171014_123918_V06,20171014_073918
KMBX20171014_124406_V06,20171014_074406
KMBX20171014_124854_V06,20171014_074854
KMBX20171014_125341_V06,20171014_075341
KMBX20171014_130318_V06,20171014_080318
KMBX20171014_130806_V06,20171014_080806
KMBX20171014_131253_V06,20171014_081253
KMBX20171014_131939_V06,20171014_081939
KMBX20171014_132426_V06,20171014_082426
KMBX20171014_132914_V06,20171014_082914
KMBX20171014_133402_V06,20171014_083402
KMBX20171014_133850_V06,20171014_083850
KMBX20171014_134338_V06,20171014_084338
KMBX20171014_134827_V06,20171014_084827
KMBX20171014_135314_V06,20171014_085314
KMBX20171014_140250_V06,20171014_090250
KMBX20171014_140736_V06,20171014_090736
KMBX20171014_141223_V06,20171014_091223
KMBX20171014_141711_V06,20171014_091711
KMBX20171014_142158_V06,20171014_092158
KMBX20171014_142644_V06,20171014_092644
KMBX20171014_143131_V06,20171014_093131
KMBX20171015_123545_V06,20171015_073545
KMBX20171015_124521_V06,20171015_074521
KMBX20171015_130434_V06,20171015_080434
KMBX20171015_131410_V06,20171015_081410
KMBX20171015_132547_V06,20171015_082547
KMBX20171015_133523_V06,20171015_083523
KMBX20171015_134459_V06,20171015_084459
KMBX20171015_140410_V06,20171015_090410
KMBX20171015_141346_V06,20171015_091346
KMBX20171015_142322_V06,20171015_092322
KMBX20171015_143258_V06,20171015_093258
KMBX20171016_124216_V06,20171016_074216
KMBX20171016_130128_V06,20171016_080128
KMBX20171016_131105_V06,20171016_081105
