track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
8,KCAE20170701_101842_V06,1,0.115,134.55,517.111206,19.206726,-82.00,32.966672,9603.363037,20170701_061842
8,KCAE20170701_102209_V06,5,0.668,138.11,517.405482,26.474120,-81.98,32.965481,13237.059951,20170701_062209
8,KCAE20170701_102537_V06,8,0.850,143.88,517.481595,29.476635,-81.95,32.965352,14738.317654,20170701_062537
8,KCAE20170701_102904_V06,12,0.798,149.20,516.750865,34.114786,-81.93,32.968836,17057.393097,20170701_062904
8,KCAE20170701_103231_V06,15,0.763,154.29,518.998388,38.156949,-81.90,32.958880,19078.474330,20170701_063231
8,KCAE20170701_103559_V06,18,0.740,157.41,518.542284,41.186981,-81.88,32.961041,20593.490358,20170701_063559
8,KCAE20170701_103927_V06,22,0.548,152.11,518.462813,41.282885,-81.91,32.961220,20641.442606,20170701_063927
8,KCAE20170701_104254_V06,25,0.685,156.83,516.919868,45.672222,-81.88,32.968336,22836.111007,20170701_064254
8,KCAE20170701_104621_V06,29,0.241,151.58,517.716119,45.086486,-81.91,32.964568,22543.242956,20170701_064621
1,KCAE20170701_095435_V06,-23,0.110,517.44,420.815125,12.884529,-79.95,33.398432,6442.264557,20170701_055435
1,KCAE20170701_100128_V06,-16,0.123,519.29,420.372482,22.535366,-79.94,33.400332,11267.683031,20170701_060128
1,KCAE20170701_100455_V06,-13,-1.000,520.00,420.203473,26.740595,-79.94,33.401057,13370.297358,20170701_060455
1,KCAE20170701_100821_V06,-9,0.295,527.94,414.976384,26.700837,-79.89,33.424201,13350.418677,20170701_060821
1,KCAE20170701_101149_V06,-6,0.441,531.00,414.609074,26.829166,-79.88,33.425691,13414.582835,20170701_061149
1,KCAE20170701_101516_V06,-2,0.397,532.02,411.715528,27.016291,-79.87,33.438678,13508.145431,20170701_061516
1,KCAE20170701_101842_V06,1,0.173,536.97,410.320145,30.639633,-79.84,33.444695,15319.816616,20170701_061842
1,KCAE20170701_102209_V06,5,0.114,529.42,412.734772,25.941864,-79.89,33.434225,12970.932007,20170701_062209
1,KCAE20170701_102537_V06,8,0.244,529.33,413.074080,29.766879,-79.89,33.432701,14883.439550,20170701_062537
2,KCAE20170701_100128_V06,-16,0.498,271.63,273.044586,10.213577,-81.27,34.070020,5106.788635,20170701_060128
2,KCAE20170701_100455_V06,-13,0.424,272.44,273.009090,15.220169,-81.27,34.070185,7610.084566,20170701_060455
2,KCAE20170701_100821_V06,-9,0.209,276.70,272.868975,20.364607,-81.24,34.070842,10182.303643,20170701_060821
5,KCAE20170701_100455_V06,-13,0.607,521.50,415.917389,20.154343,-79.93,33.420299,10077.171326,20170701_060455
3,KCAE20170702_094813_V06,-29,0.201,517.31,420.158997,13.808586,-79.95,33.401396,6904.293060,20170702_054813
3,KCAE20170702_095128_V06,-26,0.307,516.89,420.485891,18.038791,-79.95,33.399944,9019.395347,20170702_055128
3,KCAE20170702_095442_V06,-23,-1.000,516.64,420.682028,22.484913,-79.95,33.399073,11242.456718,20170702_055442
3,KCAE20170702_100110_V06,-16,0.595,533.76,426.894313,28.287296,-79.86,33.370164,14143.647775,20170702_060110
3,KCAE20170702_100424_V06,-13,0.579,535.08,424.402029,29.333976,-79.86,33.381326,14666.987998,20170702_060424
3,KCAE20170702_100739_V06,-10,0.484,537.17,427.504058,31.713741,-79.84,33.367227,15856.870281,20170702_060739
3,KCAE20170702_101053_V06,-7,0.536,537.82,426.702442,33.972097,-79.84,33.370805,16986.048541,20170702_061053
3,KCAE20170702_101407_V06,-3,0.687,541.98,429.413044,35.909064,-79.82,33.358352,17954.531835,20170702_061407
3,KCAE20170702_101721_V06,0,0.706,539.42,428.352170,35.622418,-79.83,33.363279,17811.209079,20170702_061721
3,KCAE20170702_102036_V06,3,0.728,542.21,428.526612,39.552399,-79.82,33.362335,19776.199336,20170702_062036
3,KCAE20170702_102351_V06,6,-1.000,543.82,428.607618,42.285322,-79.81,33.361877,21142.661084,20170702_062351
3,KCAE20170702_102705_V06,10,0.092,540.12,430.696204,48.020080,-79.83,33.352673,24010.039887,20170702_062705
26,KCAE20170702_102351_V06,6,0.197,106.15,512.846069,18.737465,-82.16,32.984711,9368.732452,20170702_062351
26,KCAE20170702_102705_V06,10,0.148,108.27,514.162448,26.382389,-82.14,32.978872,13191.194567,20170702_062705
26,KCAE20170702_103019_V06,13,0.531,114.73,517.902489,33.401990,-82.11,32.962295,16700.995198,20170702_063019
26,KCAE20170702_103333_V06,16,0.723,116.22,517.537972,35.034505,-82.10,32.964003,17517.252724,20170702_063333
26,KCAE20170702_103647_V06,19,0.748,119.68,517.136468,39.720593,-82.08,32.965959,19860.296667,20170702_063647
26,KCAE20170702_104002_V06,23,0.467,119.99,519.386468,42.498409,-82.08,32.955829,21249.204670,20170702_064002
26,KCAE20170702_104316_V06,26,0.087,115.84,518.824479,40.917572,-82.10,32.958187,20458.785796,20170702_064316
15,KCAE20170702_100110_V06,-16,0.097,325.98,410.290955,5.326805,-80.98,33.451353,2663.402557,20170702_060110
15,KCAE20170702_100424_V06,-13,0.321,326.22,410.211941,9.465358,-80.98,33.451707,4732.679080,20170702_060424
15,KCAE20170702_100739_V06,-10,0.159,322.34,409.533082,12.129467,-81.00,33.454790,6064.733640,20170702_060739
15,KCAE20170702_101053_V06,-7,0.121,314.56,412.710095,14.709231,-81.04,33.440501,7354.615744,20170702_061053
15,KCAE20170702_101407_V06,-3,0.088,309.87,412.522638,15.654841,-81.07,33.441360,7827.420736,20170702_061407
4,KCAE20170702_095128_V06,-26,0.229,419.50,156.570648,13.050949,-80.47,34.593392,6525.474548,20170702_055128
4,KCAE20170702_095442_V06,-23,0.199,420.15,156.687166,17.527925,-80.46,34.592849,8763.962280,20170702_055442
4,KCAE20170702_100110_V06,-16,0.070,427.04,166.790630,27.758846,-80.43,34.547107,13879.423080,20170702_060110
23,KCAE20170702_101407_V06,-3,0.326,335.18,292.855347,11.928680,-80.93,33.980669,5964.340210,20170702_061407
23,KCAE20170702_101721_V06,0,0.056,336.39,293.546931,16.999515,-80.92,33.977541,8499.757490,20170702_061721
23,KCAE20170702_102036_V06,3,0.199,334.85,295.780231,19.063041,-80.93,33.967487,9531.520569,20170702_062036
9,KCAE20170702_095442_V06,-23,0.061,364.36,325.752502,5.918793,-80.77,33.832034,2959.396362,20170702_055442
12,KCAE20170702_100110_V06,-16,0.256,270.31,275.776459,8.094711,-81.28,34.057696,4047.355652,20170702_060110
22,KCAE20170702_101053_V06,-7,0.078,332.51,293.643677,14.857666,-80.94,33.977137,7428.833008,20170702_061053
25,KCAE20170702_102351_V06,6,0.618,548.27,445.191315,52.121902,-79.79,33.286869,26060.951233,20170702_062351
28,KCAE20170702_103333_V06,16,0.142,339.69,301.455322,15.330841,-80.90,33.941863,7665.420532,20170702_063333
1,KCAE20170703_095321_V06,-25,0.190,515.18,426.800171,12.452728,-79.96,33.371569,6226.364136,20170703_055321
1,KCAE20170703_095635_V06,-22,0.126,514.87,426.417972,16.411143,-79.96,33.373307,8205.571482,20170703_055635
1,KCAE20170703_100304_V06,-15,0.817,533.61,420.730398,29.640029,-79.86,33.397957,14820.014501,20170703_060304
1,KCAE20170703_100619_V06,-12,0.823,539.46,423.870824,34.112806,-79.83,33.383476,17056.402876,20170703_060619
1,KCAE20170703_100934_V06,-9,0.836,535.78,421.321130,34.459397,-79.85,33.395174,17229.698412,20170703_060934
1,KCAE20170703_101248_V06,-6,0.767,537.48,422.748269,37.205203,-79.84,33.388647,18602.601300,20170703_061248
1,KCAE20170703_101603_V06,-2,0.775,539.55,420.589062,39.691713,-79.83,33.398263,19845.856586,20170703_061603
1,KCAE20170703_101918_V06,1,0.660,541.65,422.531658,41.450978,-79.82,33.389389,20725.488874,20170703_061918
1,KCAE20170703_102233_V06,4,0.641,541.63,421.293033,43.808068,-79.82,33.394973,21904.034071,20170703_062233
1,KCAE20170703_102547_V06,7,0.519,543.74,422.631611,46.118394,-79.81,33.388819,23059.196937,20170703_062547
1,KCAE20170703_102901_V06,11,0.343,543.24,422.235509,45.672998,-79.81,33.390633,22836.498951,20170703_062901
3,KCAE20170703_095635_V06,-22,0.123,266.90,274.767029,8.316971,-81.30,34.062221,4158.485413,20170703_055635
3,KCAE20170703_100304_V06,-15,0.520,266.77,274.306706,14.763659,-81.30,34.064295,7381.829372,20170703_060304
12,KCAE20170703_102901_V06,11,0.055,242.04,253.233856,27.542950,-81.43,34.159013,13771.474838,20170703_062901
12,KCAE20170703_103215_V06,14,0.058,241.79,252.820062,32.134172,-81.43,34.160875,16067.086133,20170703_063215
14,KCAE20170703_111448_V06,56,0.100,388.90,339.278992,12.819672,-80.64,33.770614,6409.835815,20170703_071448
14,KCAE20170703_111803_V06,60,0.136,389.74,340.364715,18.038082,-80.63,33.765702,9019.040819,20170703_071803
6,KCAE20170703_100934_V06,-9,0.216,336.25,293.210205,8.819595,-80.92,33.979060,4409.797668,20170703_060934
7,KCAE20170703_100934_V06,-9,0.112,311.09,412.366455,12.659149,-81.06,33.442061,6329.574585,20170703_060934
9,KCAE20170703_100934_V06,-9,0.088,325.48,409.823853,10.844749,-80.98,33.453461,5422.374725,20170703_060934
11,KCAE20170703_101918_V06,1,0.051,398.72,341.216003,5.381149,-80.59,33.761664,2690.574646,20170703_061918
13,KCAE20170703_104211_V06,24,0.055,398.24,193.992279,30.974136,-80.58,34.425284,15487.068176,20170703_064211
3,KCAE20170704_095246_V06,-26,0.115,515.19,420.084106,11.159218,-79.96,33.401841,5579.608917,20170704_055246
3,KCAE20170704_100106_V06,-17,-1.000,515.19,420.084106,25.469218,-79.96,33.401841,12734.608917,20170704_060106
3,KCAE20170704_100515_V06,-13,0.166,521.75,419.346763,25.640062,-79.93,33.404828,12820.030818,20170704_060515
3,KCAE20170704_100919_V06,-9,-1.000,525.09,418.972420,28.857875,-79.91,33.406340,14428.937321,20170704_060919
3,KCAE20170704_101323_V06,-5,0.863,540.09,424.527868,38.439230,-79.83,33.380479,19219.614918,20170704_061323
3,KCAE20170704_101727_V06,-1,0.894,537.30,421.640634,39.132837,-79.84,33.393650,19566.418713,20170704_061727
3,KCAE20170704_102142_V06,3,0.724,538.88,419.996386,42.936027,-79.83,33.400973,21468.013732,20170704_062142
3,KCAE20170704_102607_V06,8,0.838,545.11,426.566402,48.774445,-79.80,33.371004,24387.222331,20170704_062607
3,KCAE20170704_103030_V06,12,0.726,543.26,430.424100,49.514610,-79.81,33.353722,24757.305022,20170704_063030
3,KCAE20170704_103454_V06,16,0.471,542.14,436.462444,56.925009,-79.82,33.326568,28462.504503,20170704_063454
3,KCAE20170704_103918_V06,21,0.157,537.36,440.469100,54.073147,-79.84,33.308776,27036.573400,20170704_063918
4,KCAE20170704_100106_V06,-17,0.355,267.05,275.434509,12.361053,-81.30,34.059213,6180.526733,20170704_060106
4,KCAE20170704_100515_V06,-13,0.070,266.63,275.464676,18.128025,-81.30,34.059074,9064.012374,20170704_060515
10,KCAE20170704_102142_V06,3,0.796,255.29,261.191742,16.343040,-81.36,34.123305,8171.520233,20170704_062142
10,KCAE20170704_102607_V06,8,0.566,254.59,260.623737,21.921750,-81.36,34.125858,10960.875181,20170704_062607
5,KCAE20170704_100919_V06,-9,0.822,539.15,430.490906,37.508415,-79.83,33.353653,18754.207611,20170704_060919
6,KCAE20170704_101323_V06,-5,0.294,365.99,335.157074,6.592941,-80.76,33.789615,3296.470642,20170704_061323
9,KCAE20170704_101727_V06,-1,0.075,328.79,296.682281,11.516754,-80.96,33.963467,5758.377075,20170704_061727
3,KCAE20170705_100031_V06,-19,0.854,523.26,419.168640,23.301216,-79.92,33.405552,11650.608063,20170705_060031
3,KCAE20170705_100527_V06,-14,0.875,526.77,420.854643,29.134485,-79.90,33.397767,14567.242483,20170705_060527
3,KCAE20170705_101024_V06,-9,0.852,534.76,423.349312,33.244273,-79.86,33.386089,16622.136688,20170705_061024
3,KCAE20170705_101520_V06,-4,0.737,542.32,424.483873,37.775487,-79.82,33.380551,18887.743472,20170705_061520
3,KCAE20170705_102016_V06,1,0.823,540.25,422.811062,37.893595,-79.83,33.388209,18946.797722,20170705_062016
5,KCAE20170705_100031_V06,-19,0.472,270.54,275.482666,10.568069,-81.28,34.059022,5284.034729,20170705_060031
5,KCAE20170705_100527_V06,-14,0.847,271.91,275.410054,15.209781,-81.27,34.059359,7604.890493,20170705_060527
5,KCAE20170705_101024_V06,-9,0.723,274.05,273.464307,16.531180,-81.26,34.068143,8265.589760,20170705_061024
5,KCAE20170705_101520_V06,-4,0.227,275.11,271.584835,17.225130,-81.25,34.076622,8612.565239,20170705_061520
14,KCAE20170705_112835_V06,69,0.249,386.24,358.967743,21.711102,-80.65,33.681917,10855.550766,20170705_072835
14,KCAE20170705_113817_V06,79,0.747,383.50,360.854911,27.829091,-80.67,33.673465,13914.545371,20170705_073817
14,KCAE20170705_114758_V06,88,0.128,383.12,362.650846,26.877127,-80.67,33.665376,13438.563611,20170705_074758
1,KCAE20170705_095038_V06,-29,0.130,439.14,307.182281,6.334915,-80.37,33.913935,3167.457581,20170705_055038
7,KCAE20170705_100527_V06,-14,0.111,322.19,407.109375,2.288330,-81.00,33.465717,1144.165039,20170705_060527
9,KCAE20170705_101520_V06,-4,0.182,367.29,343.167664,30.153595,-80.76,33.753484,15076.797485,20170705_061520
10,KCAE20170705_102513_V06,6,0.073,361.41,375.975220,7.776848,-80.79,33.605682,3888.423920,20170705_062513
11,KCAE20170705_103009_V06,11,0.082,329.75,311.081787,17.559082,-80.96,33.898551,8779.541016,20170705_063009
12,KCAE20170705_110910_V06,50,0.061,391.01,367.858704,27.621849,-80.63,33.641738,13810.924530,20170705_070910
1,KCAE20170706_100547_V06,-14,0.671,533.90,417.190216,26.959297,-79.86,33.413898,13479.648590,20170706_060547
1,KCAE20170706_101529_V06,-4,0.662,541.38,422.643775,40.255044,-79.82,33.388898,20127.521761,20170706_061529
1,KCAE20170706_102511_V06,6,0.585,551.42,435.898322,51.256232,-79.77,33.328573,25628.115784,20170706_062511
1,KCAE20170706_103452_V06,15,0.618,552.81,430.648297,52.701694,-79.76,33.352155,26350.847146,20170706_063452
2,KCAE20170706_100547_V06,-14,0.633,273.15,268.139832,11.842072,-81.26,34.092138,5921.035767,20170706_060547
2,KCAE20170706_101529_V06,-4,0.059,261.77,262.919981,27.539717,-81.33,34.115579,13769.858562,20170706_061529
4,KCAE20170706_100547_V06,-14,0.082,414.61,149.709442,14.729431,-80.49,34.624454,7364.715576,20170706_060547
5,KCAE20170706_102511_V06,6,0.104,362.44,329.402405,26.230530,-80.78,33.815609,13115.264893,20170706_062511
2,KCAE20170707_095303_V06,-27,0.116,527.56,429.687256,23.414253,-79.90,33.357911,11707.126617,20170707_055303
2,KCAE20170707_095651_V06,-24,0.250,528.04,428.652624,27.111462,-79.89,33.362549,13555.731239,20170707_055651
2,KCAE20170707_100038_V06,-20,0.640,538.73,427.210346,28.762853,-79.84,33.368464,14381.426285,20170707_060038
2,KCAE20170707_100425_V06,-16,0.641,549.66,428.800022,32.548200,-79.78,33.360672,16274.100169,20170707_060425
2,KCAE20170707_100812_V06,-12,0.613,555.68,429.524606,37.464905,-79.75,33.357049,18732.452621,20170707_060812
2,KCAE20170707_101159_V06,-9,0.413,556.23,427.238716,38.922628,-79.74,33.367319,19461.313854,20170707_061159
2,KCAE20170707_101546_V06,-5,0.455,555.24,428.078451,44.829946,-79.75,33.363594,22414.972959,20170707_061546
2,KCAE20170707_101934_V06,-1,0.690,555.26,423.602299,45.269766,-79.75,33.383768,22634.882970,20170707_061934
2,KCAE20170707_102323_V06,3,0.229,555.29,424.228462,46.563539,-79.75,33.380944,23281.769653,20170707_062323
2,KCAE20170707_102709_V06,7,0.055,552.57,427.741187,47.715498,-79.76,33.365273,23857.749075,20170707_062709
2,KCAE20170707_103056_V06,10,0.064,552.60,431.590759,49.831936,-79.76,33.347919,24915.968027,20170707_063056
4,KCAE20170707_100038_V06,-20,0.171,270.70,272.657104,8.532272,-81.28,34.071760,4266.136169,20170707_060038
4,KCAE20170707_100425_V06,-16,0.442,271.07,272.454403,13.720263,-81.28,34.072676,6860.131334,20170707_060425
4,KCAE20170707_100812_V06,-12,0.724,272.43,271.180366,13.810985,-81.27,34.078428,6905.492393,20170707_060812
4,KCAE20170707_101159_V06,-9,0.584,273.52,269.731095,14.031862,-81.26,34.084968,7015.931103,20170707_061159
4,KCAE20170707_101546_V06,-5,0.169,273.36,267.171212,15.152993,-81.26,34.096506,7576.496629,20170707_061546
10,KCAE20170707_104605_V06,26,0.130,204.12,383.462280,10.924522,-81.63,33.571292,5462.261200,20170707_064605
10,KCAE20170707_104952_V06,29,-1.000,204.12,383.462280,15.694522,-81.63,33.571292,7847.261200,20170707_064952
10,KCAE20170707_105340_V06,33,0.067,206.46,381.052495,18.241983,-81.62,33.582207,9120.991718,20170707_065340
10,KCAE20170707_105727_V06,37,0.466,207.97,374.768549,18.533126,-81.61,33.610567,9266.562904,20170707_065727
5,KCAE20170707_101546_V06,-5,0.052,184.38,326.617584,14.585854,-81.74,33.827040,7292.926788,20170707_061546
6,KCAE20170707_102323_V06,3,0.178,327.50,312.560974,19.525070,-80.97,33.891899,9762.535095,20170707_062323
7,KCAE20170707_102323_V06,3,0.141,292.79,331.487366,7.708908,-81.16,33.806667,3854.454041,20170707_062323
8,KCAE20170707_103831_V06,18,0.135,33.34,413.828979,55.231842,-82.55,33.427120,27615.921021,20170707_063831
9,KCAE20170707_103831_V06,18,0.066,318.40,343.548676,8.130787,-81.02,33.752263,4065.393448,20170707_063831
11,KCAE20170707_104952_V06,29,0.066,333.33,341.798462,6.354931,-80.94,33.760061,3177.465439,20170707_064952
2,KCAE20170708_095332_V06,-27,0.151,522.01,428.246277,17.780304,-79.93,33.364699,8890.151978,20170708_055332
2,KCAE20170708_095646_V06,-24,-1.000,522.01,428.246277,22.550304,-79.93,33.364699,11275.151978,20170708_055646
2,KCAE20170708_100316_V06,-17,0.687,533.95,426.009596,26.915989,-79.86,33.374142,13457.994357,20170708_060316
2,KCAE20170708_100631_V06,-14,-1.000,538.47,425.161416,29.120869,-79.84,33.377714,14560.434584,20170708_060631
2,KCAE20170708_100946_V06,-11,0.644,546.10,428.234878,36.040621,-79.80,33.363426,18020.310450,20170708_060946
2,KCAE20170708_101300_V06,-7,0.814,549.78,427.236961,38.067123,-79.78,33.367710,19033.561731,20170708_061300
2,KCAE20170708_101614_V06,-4,0.785,553.18,424.493662,41.928163,-79.76,33.379874,20964.081338,20170708_061614
2,KCAE20170708_102142_V06,1,0.910,555.02,420.637839,43.289245,-79.75,33.397145,21644.622324,20170708_062142
2,KCAE20170708_103124_V06,11,0.798,556.43,423.768917,47.892143,-79.74,33.382947,23946.071674,20170708_063124
3,KCAE20170708_095646_V06,-24,0.484,268.85,274.234253,9.934113,-81.29,34.064637,4967.056274,20170708_055646
