track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KDAX20201001_140233_V06,-1,0.100,303.19,519.490845,11.657494,-121.66,37.512381,5828.746796,20201001_070233
4,KDAX20201001_141207_V06,9,0.141,299.22,521.440084,18.990414,-121.68,37.503601,9495.207135,20201001_071207
4,KDAX20201001_142142_V06,18,0.601,322.38,526.171417,27.702400,-121.55,37.482217,13851.200183,20201001_072142
4,KDAX20201001_143117_V06,28,0.181,326.99,526.405547,32.820172,-121.52,37.481131,16410.086236,20201001_073117
9,KDAX20201001_151139_V06,68,0.053,277.01,380.851624,13.059540,-121.81,38.136848,6529.769897,20201001_081139
9,KDAX20201001_152114_V06,78,0.053,277.31,380.348338,20.654867,-121.81,38.139117,10327.433362,20201001_082114
1,KDAX20201001_133345_V06,-30,0.059,277.19,383.449097,13.748688,-121.81,38.125149,6874.343872,20201001_063345
2,KDAX20201001_134321_V06,-20,0.093,292.94,188.825409,39.098797,-121.72,39.001841,19549.398422,20201001_064321
5,KDAX20201001_140233_V06,-1,0.076,457.92,68.659546,13.049957,-120.76,39.539459,6524.978638,20201001_070233
8,KDAX20201001_143117_V06,28,0.130,282.79,373.191620,20.802597,-121.77,38.171385,10401.298523,20201001_073117
10,KDAX20201001_152114_V06,78,0.111,213.66,435.658020,13.082565,-122.17,37.889006,6541.282654,20201001_082114
1,KDAX20201002_133759_V06,-27,0.075,286.03,359.803040,17.053619,-121.76,38.231708,8526.809692,20201002_063759
2,KDAX20201002_133759_V06,-27,0.057,307.54,36.658203,11.956039,-121.63,39.687141,5978.019714,20201002_063759
3,KDAX20201002_140647_V06,2,0.077,469.65,380.766418,7.771828,-120.71,38.133300,3885.913849,20201002_070647
4,KDAX20201002_141622_V06,12,0.054,302.94,521.929932,15.522053,-121.66,37.501393,7761.026382,20201002_071622
5,KDAX20201002_143532_V06,31,0.051,415.87,65.411682,7.204056,-121.00,39.555736,3602.027893,20201002_073532
6,KDAX20201002_150617_V06,62,0.072,241.35,425.310883,20.293964,-122.01,37.936173,10146.982193,20201002_080617
1,KDAX20201003_140130_V06,-3,0.587,387.28,477.965057,17.514997,-121.18,37.698403,8757.498741,20201003_070130
2,KDAX20201003_140130_V06,-3,0.245,394.02,91.486359,14.571564,-121.13,39.438970,7285.781860,20201003_070130
4,KDAX20201003_141105_V06,7,0.247,222.45,144.148132,17.049492,-122.13,39.202209,8524.745941,20201003_071105
4,KDAX20201003_142039_V06,16,0.099,221.57,133.163849,12.938507,-122.13,39.251659,6469.253540,20201003_072039
5,KDAX20201003_141105_V06,7,0.067,405.21,518.823730,15.113667,-121.08,37.513867,7556.833267,20201003_071105
8,KDAX20201003_143015_V06,26,0.058,141.48,469.297485,31.681299,-122.58,37.735031,15840.649605,20201003_073015
9,KDAX20201003_150102_V06,57,0.226,292.68,520.428894,9.525444,-121.72,37.508149,4762.722015,20201003_080102
10,KDAX20201003_150102_V06,57,0.134,388.91,229.164490,13.213943,-121.16,38.819047,6606.971741,20201003_080102
13,KDAX20201003_151038_V06,66,0.060,231.85,453.211670,6.339737,-122.06,37.810322,3169.868469,20201003_081038
2,KDAX20201004_141533_V06,10,0.068,433.89,79.881348,29.688034,-120.90,39.489930,14844.017029,20201004_071533
2,KDAX20201004_142509_V06,20,0.206,436.05,76.522767,39.549409,-120.89,39.504971,19774.704503,20201004_072509
