track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KRTX20210703_132142_V06,54,0.072,428.07,167.610901,5.034103,-122.13,46.307532,2517.051697,20210703_062142
1,KRTX20210703_132845_V06,61,0.338,428.12,163.921035,14.416705,-122.13,46.324126,7208.352641,20210703_062845
1,KRTX20210703_133548_V06,68,0.059,429.71,167.526489,4.654175,-122.12,46.307835,2327.087402,20210703_063548
2,KRTX20210703_132845_V06,61,0.081,351.83,85.797180,9.429108,-122.63,46.678035,4714.553833,20210703_062845
1,KRTX20210704_123934_V06,11,0.064,405.96,311.230042,13.924957,-122.28,45.662456,6962.478638,20210704_053934
1,KRTX20210705_123501_V06,6,0.119,282.78,398.175903,2.100357,-123.07,45.273276,1050.178528,20210705_053501
1,KRTX20210706_132615_V06,57,0.103,434.84,239.864044,6.836029,-122.09,45.982219,3418.014526,20210706_062615
1,KRTX20210708_122543_V06,-6,0.063,349.21,83.577881,8.134163,-122.64,46.688066,4067.081451,20210708_052543
2,KRTX20210708_131740_V06,46,0.176,429.81,167.129913,5.617142,-122.12,46.309614,2808.570862,20210708_061740
2,KRTX20210708_132606_V06,55,0.094,430.36,167.193726,4.697266,-122.12,46.309300,2348.632812,20210708_062606
2,KRTX20210708_133448_V06,63,-1.000,430.36,167.193726,17.417266,-122.12,46.309300,8708.632812,20210708_063448
2,KRTX20210708_134330_V06,72,0.321,427.69,156.988770,14.469757,-122.13,46.355326,7234.878540,20210708_064330
1,KRTX20210709_130846_V06,36,0.075,345.89,86.181641,12.748451,-122.66,46.676413,6374.225616,20210709_060846
5,KRTX20210710_133521_V06,63,0.258,290.79,390.267883,6.622597,-123.02,45.308891,3311.298370,20210710_063521
5,KRTX20210710_134403_V06,72,0.067,291.39,389.501634,14.887102,-123.02,45.312341,7443.550800,20210710_064403
1,KRTX20210710_121707_V06,-15,0.070,492.29,375.485596,5.027832,-121.74,45.368790,2513.916016,20210710_051707
2,KRTX20210710_130035_V06,28,0.057,492.44,376.011719,5.326248,-121.74,45.366413,2663.124084,20210710_060035
3,KRTX20210710_131758_V06,45,0.072,375.23,364.493347,4.101883,-122.48,45.423848,2050.941467,20210710_061758
2,KRTX20210711_121739_V06,-16,0.123,324.09,386.591919,6.385925,-122.81,45.325341,3192.962646,20210711_051739
2,KRTX20210711_122621_V06,-7,0.067,323.14,389.128632,13.558442,-122.82,45.313936,6779.221174,20210711_052621
1,KRTX20210711_120858_V06,-25,0.050,350.91,86.637512,12.475571,-122.63,46.674273,6237.785339,20210711_050858
4,KRTX20210711_132713_V06,54,0.060,297.88,389.710815,5.369606,-122.98,45.311412,2684.803009,20210711_062713
1,KRTX20210712_120935_V06,-25,0.070,346.93,88.563538,15.745316,-122.66,46.665681,7872.657776,20210712_050935
2,KRTX20210712_121818_V06,-16,0.078,301.56,355.819519,47.382675,-122.95,45.463884,23691.337585,20210712_051818
3,KRTX20210712_122700_V06,-7,0.052,271.23,418.261963,67.283661,-123.15,45.182815,33641.830444,20210712_052700
1,KRTX20210713_132825_V06,53,0.053,351.03,85.349548,9.344353,-122.63,46.680063,4672.176361,20210713_062825
1,KRTX20210713_133707_V06,62,0.098,350.08,84.779211,17.705983,-122.64,46.682646,8852.991606,20210713_063707
1,KRTX20210714_122800_V06,-8,0.081,317.12,357.432007,6.258087,-122.85,45.456578,3129.043579,20210714_052800
1,KRTX20210717_122707_V06,-12,0.055,330.50,322.750580,15.519363,-122.77,45.612486,7759.681702,20210717_052707
1,KRTX20210718_131903_V06,39,0.066,412.50,316.483032,4.990982,-122.24,45.638569,2495.491028,20210718_061903
1,KRTX20210719_130212_V06,21,0.085,339.87,364.322083,4.774406,-122.71,45.425348,2387.203217,20210719_060212
1,KRTX20210720_121911_V06,-23,0.055,351.85,85.390320,9.059967,-122.63,46.679864,4529.983521,20210720_051911
2,KRTX20210720_130323_V06,21,0.084,492.33,376.182343,5.187500,-121.74,45.365654,2593.750000,20210720_060323
2,KRTX20210720_131024_V06,28,-1.000,492.33,376.182343,16.317500,-121.74,45.365654,8158.750000,20210720_061024
2,KRTX20210720_131727_V06,35,0.127,491.97,375.032349,6.420769,-121.74,45.370851,3210.384369,20210720_061727
6,KRTX20210720_132429_V06,42,0.081,352.06,84.252930,7.801651,-122.62,46.684976,3900.825500,20210720_062429
1,KRTX20210721_131941_V06,36,0.132,349.54,82.726562,9.630470,-122.64,46.691889,4815.235138,20210721_061941
1,KRTX20210722_134331_V06,59,0.060,349.02,87.124817,12.079025,-122.64,46.672116,6039.512634,20210722_064331
2,KRTX20210723_131059_V06,25,0.066,492.22,375.232605,7.927177,-121.74,45.369933,3963.588715,20210723_061059
3,KRTX20210723_132503_V06,40,0.168,348.66,86.120117,12.504997,-122.65,46.676641,6252.498627,20210723_062503
1,KRTX20210724_140254_V06,76,0.080,292.57,388.521606,9.645569,-123.01,45.316753,4822.784424,20210724_070254
4,KRTX20210725_134346_V06,56,0.196,351.20,83.235046,9.718376,-122.63,46.689571,4859.188080,20210725_064346
4,KRTX20210725_135049_V06,63,0.116,351.33,83.841787,16.532431,-122.63,46.686839,8266.215690,20210725_065049
1,KRTX20210725_123129_V06,-16,0.120,313.56,358.053223,7.849579,-122.88,45.453803,3924.789429,20210725_053129
2,KRTX20210725_130835_V06,21,0.056,492.06,374.761658,6.482521,-121.74,45.372063,3241.260529,20210725_060835
3,KRTX20210725_131539_V06,28,0.068,351.53,84.853271,9.101799,-122.63,46.682286,4550.899506,20210725_061539
1,KRTX20210726_123240_V06,-16,0.110,349.36,87.563843,14.639648,-122.64,46.670135,7319.824219,20210726_053240
2,KRTX20210726_131603_V06,28,0.123,294.96,389.135986,6.722572,-123.00,45.313994,3361.286163,20210726_061603
4,KRTX20210727_131558_V06,26,0.070,353.00,82.300781,10.193726,-122.62,46.693738,5096.862793,20210727_061558
4,KRTX20210727_132131_V06,32,0.063,352.66,82.743085,17.145755,-122.62,46.691755,8572.877630,20210727_062131
4,KRTX20210727_132655_V06,37,-1.000,352.42,83.059016,23.247205,-122.62,46.690339,11623.602513,20210727_062655
4,KRTX20210727_133221_V06,43,0.055,352.97,75.395447,2.498032,-122.62,46.724797,1249.015808,20210727_063221
1,KRTX20210727_122507_V06,-24,0.079,556.77,210.608337,12.464310,-121.30,46.105113,6232.154846,20210727_052507
2,KRTX20210727_124124_V06,-8,0.175,296.22,350.958344,29.327496,-122.99,45.485752,14663.747787,20210727_054124
3,KRTX20210727_131034_V06,21,0.093,350.31,83.490356,11.886848,-122.64,46.688439,5943.424225,20210727_061034
1,KRTX20210728_124617_V06,-5,0.400,345.45,311.070587,11.603668,-122.67,45.664825,5801.834106,20210728_054617
1,KRTX20210728_130309_V06,12,0.232,356.24,314.491763,20.387978,-122.60,45.649237,10193.988852,20210728_060309
4,KRTX20210728_133856_V06,47,0.112,492.06,377.264526,6.691071,-121.74,45.360804,3345.535278,20210728_063856
6,KRTX20210728_134737_V06,56,0.599,479.55,464.955780,20.966368,-121.83,44.967163,10483.183861,20210728_064737
2,KRTX20210729_140330_V06,71,0.056,293.68,390.316895,8.913612,-123.00,45.308679,4456.806183,20210729_070330
