filename,local_time
KDFX20200101_222757_V06,20200101_162757
KDFX20200101_223643_V06,20200101_163643
KDFX20200101_224509_V06,20200101_164509
KDFX20200101_230150_V06,20200101_170150
KDFX20200101_231009_V06,20200101_171009
KDFX20200101_231534_V06,20200101_171534
KDFX20200101_232045_V06,20200101_172045
KDFX20200101_232556_V06,20200101_172556
KDFX20200101_233107_V06,20200101_173107
KDFX20200101_233749_V06,20200101_173749
KDFX20200101_234346_V06,20200101_174346
KDFX20200101_234943_V06,20200101_174943
KDFX20200102_000150_V06,20200101_180150
KDFX20200102_000816_V06,20200101_180816
KDFX20200102_001413_V06,20200101_181413
KDFX20200102_002249_V06,20200101_182249
KDFX20200102_003108_V06,20200101_183108
KDFX20200102_003934_V06,20200101_183934
KDFX20200102_004753_V06,20200101_184753
KDFX20200102_010524_V06,20200101_190524
KDFX20200102_011410_V06,20200101_191410
KDFX20200102_012235_V06,20200101_192235
KDFX20200102_013112_V06,20200101_193112
KDFX20200102_013958_V06,20200101_193958
KDFX20200102_014844_V06,20200101_194844
KDFX20200102_020534_V06,20200101_200534
KDFX20200102_021058_V06,20200101_201058
KDFX20200102_021624_V06,20200101_201624
KDFX20200102_022136_V06,20200101_202136
KDFX20200102_222659_V06,20200102_162659
KDFX20200102_223228_V06,20200102_163228
KDFX20200102_223812_V06,20200102_163812
KDFX20200102_224341_V06,20200102_164341
KDFX20200102_224911_V06,20200102_164911
KDFX20200102_225441_V06,20200102_165441
KDFX20200102_230542_V06,20200102_170542
KDFX20200102_231120_V06,20200102_171120
KDFX20200102_231659_V06,20200102_171659
KDFX20200102_232229_V06,20200102_172229
KDFX20200102_233107_V06,20200102_173107
KDFX20200102_233951_V06,20200102_173951
KDFX20200102_234516_V06,20200102_174516
KDFX20200102_235055_V06,20200102_175055
KDFX20200103_000212_V06,20200102_180212
KDFX20200103_000743_V06,20200102_180743
KDFX20200103_001323_V06,20200102_181323
KDFX20200103_002201_V06,20200102_182201
KDFX20200103_003047_V06,20200102_183047
KDFX20200103_003923_V06,20200102_183923
KDFX20200103_004809_V06,20200102_184809
KDFX20200103_010540_V06,20200102_190540
KDFX20200103_011417_V06,20200102_191417
KDFX20200103_012254_V06,20200102_192254
KDFX20200103_013132_V06,20200102_193132
KDFX20200103_014010_V06,20200102_194010
KDFX20200103_014855_V06,20200102_194855
KDFX20200103_020625_V06,20200102_200625
KDFX20200103_021502_V06,20200102_201502
KDFX20200103_022347_V06,20200102_202347
KDFX20200103_222752_V06,20200103_162752
KDFX20200103_223637_V06,20200103_163637
KDFX20200103_224522_V06,20200103_164522
KDFX20200103_230253_V06,20200103_170253
KDFX20200103_231139_V06,20200103_171139
KDFX20200103_232024_V06,20200103_172024
KDFX20200103_232909_V06,20200103_172909
KDFX20200103_233755_V06,20200103_173755
KDFX20200103_234626_V06,20200103_174626
KDFX20200104_000356_V06,20200103_180356
KDFX20200104_001243_V06,20200103_181243
KDFX20200104_002129_V06,20200103_182129
KDFX20200104_002959_V06,20200103_182959
KDFX20200104_003837_V06,20200103_183837
KDFX20200104_004722_V06,20200103_184722
KDFX20200104_010453_V06,20200103_190453
KDFX20200104_011331_V06,20200103_191331
KDFX20200104_012209_V06,20200103_192209
KDFX20200104_013055_V06,20200103_193055
KDFX20200104_013932_V06,20200103_193932
KDFX20200104_014819_V06,20200103_194819
KDFX20200104_020541_V06,20200103_200541
KDFX20200104_021418_V06,20200103_201418
KDFX20200104_022303_V06,20200103_202303
KDFX20200104_222938_V06,20200104_162938
KDFX20200104_223824_V06,20200104_163824
KDFX20200104_224711_V06,20200104_164711
KDFX20200104_230442_V06,20200104_170442
KDFX20200104_231327_V06,20200104_171327
KDFX20200104_232213_V06,20200104_172213
KDFX20200104_233059_V06,20200104_173059
KDFX20200104_233945_V06,20200104_173945
KDFX20200104_234832_V06,20200104_174832
KDFX20200105_000602_V06,20200104_180602
KDFX20200105_001448_V06,20200104_181448
KDFX20200105_002326_V06,20200104_182326
KDFX20200105_003205_V06,20200104_183205
KDFX20200105_004036_V06,20200104_184036
KDFX20200105_004914_V06,20200104_184914
KDFX20200105_010631_V06,20200104_190631
KDFX20200105_011509_V06,20200104_191509
KDFX20200105_012356_V06,20200104_192356
KDFX20200105_013236_V06,20200104_193236
KDFX20200105_014115_V06,20200104_194115
KDFX20200105_014953_V06,20200104_194953
KDFX20200105_020716_V06,20200104_200716
KDFX20200105_021602_V06,20200104_201602
KDFX20200105_022439_V06,20200104_202439
KDFX20200105_223140_V06,20200105_163140
KDFX20200105_224025_V06,20200105_164025
KDFX20200105_224910_V06,20200105_164910
KDFX20200105_230641_V06,20200105_170641
KDFX20200105_231526_V06,20200105_171526
KDFX20200105_232412_V06,20200105_172412
KDFX20200105_233257_V06,20200105_173257
KDFX20200105_234142_V06,20200105_174142
KDFX20200105_235029_V06,20200105_175029
KDFX20200106_000801_V06,20200105_180801
KDFX20200106_001646_V06,20200105_181646
KDFX20200106_002518_V06,20200105_182518
KDFX20200106_003349_V06,20200105_183349
KDFX20200106_004220_V06,20200105_184220
KDFX20200106_005051_V06,20200105_185051
KDFX20200106_010816_V06,20200105_190816
KDFX20200106_011654_V06,20200105_191654
KDFX20200106_012532_V06,20200105_192532
KDFX20200106_013417_V06,20200105_193417
KDFX20200106_014247_V06,20200105_194247
KDFX20200106_015132_V06,20200105_195132
KDFX20200106_020855_V06,20200105_200855
KDFX20200106_021741_V06,20200105_201741
KDFX20200106_022625_V06,20200105_202625
KDFX20200106_223222_V06,20200106_163222
KDFX20200106_224106_V06,20200106_164106
KDFX20200106_224952_V06,20200106_164952
KDFX20200106_230723_V06,20200106_170723
KDFX20200106_231609_V06,20200106_171609
KDFX20200106_232453_V06,20200106_172453
KDFX20200106_233338_V06,20200106_173338
KDFX20200106_234223_V06,20200106_174223
KDFX20200106_235108_V06,20200106_175108
KDFX20200107_000840_V06,20200106_180840
KDFX20200107_001726_V06,20200106_181726
KDFX20200107_002612_V06,20200106_182612
KDFX20200107_003449_V06,20200106_183449
KDFX20200107_004335_V06,20200106_184335
KDFX20200107_010050_V06,20200106_190050
KDFX20200107_010927_V06,20200106_190927
KDFX20200107_011804_V06,20200106_191804
KDFX20200107_012649_V06,20200106_192649
KDFX20200107_013536_V06,20200106_193536
KDFX20200107_014420_V06,20200106_194420
KDFX20200107_020150_V06,20200106_200150
KDFX20200107_021036_V06,20200106_201036
KDFX20200107_021923_V06,20200106_201923
KDFX20200107_223517_V06,20200107_163517
KDFX20200107_224355_V06,20200107_164355
KDFX20200107_230127_V06,20200107_170127
KDFX20200107_230958_V06,20200107_170958
KDFX20200107_231844_V06,20200107_171844
KDFX20200107_232730_V06,20200107_172730
KDFX20200107_233615_V06,20200107_173615
KDFX20200107_234501_V06,20200107_174501
KDFX20200108_000224_V06,20200107_180224
KDFX20200108_001055_V06,20200107_181055
KDFX20200108_001932_V06,20200107_181932
KDFX20200108_002810_V06,20200107_182810
KDFX20200108_003647_V06,20200107_183647
KDFX20200108_004517_V06,20200107_184517
KDFX20200108_010226_V06,20200107_190226
KDFX20200108_011103_V06,20200107_191103
KDFX20200108_011942_V06,20200107_191942
KDFX20200108_012812_V06,20200107_192812
KDFX20200108_013650_V06,20200107_193650
KDFX20200108_014529_V06,20200107_194529
KDFX20200108_020254_V06,20200107_200254
KDFX20200108_021131_V06,20200107_201131
KDFX20200108_022007_V06,20200107_202007
KDFX20200108_223042_V06,20200108_163042
KDFX20200108_223928_V06,20200108_163928
KDFX20200108_224814_V06,20200108_164814
KDFX20200108_230545_V06,20200108_170545
KDFX20200108_231431_V06,20200108_171431
KDFX20200108_232316_V06,20200108_172316
KDFX20200108_233201_V06,20200108_173201
KDFX20200108_234046_V06,20200108_174046
KDFX20200108_234933_V06,20200108_174933
KDFX20200109_000705_V06,20200108_180705
KDFX20200109_001551_V06,20200108_181551
