filename,local_time
KEWX20070101_222248,20070101_162248
KEWX20070101_223233,20070101_163233
KEWX20070101_224218,20070101_164218
KEWX20070101_225203,20070101_165203
KEWX20070101_230149,20070101_170149
KEWX20070101_231134,20070101_171134
KEWX20070101_232119,20070101_172119
KEWX20070101_233104,20070101_173104
KEWX20070101_234049,20070101_174049
KEWX20070101_235034,20070101_175034
KEWX20070102_000019,20070101_180019
KEWX20070102_001004,20070101_181004
KEWX20070102_001949,20070101_181949
KEWX20070102_002934,20070101_182934
KEWX20070102_003919,20070101_183919
KEWX20070102_004903,20070101_184903
KEWX20070102_005848,20070101_185848
KEWX20070102_010833,20070101_190833
KEWX20070102_011923,20070101_191923
KEWX20070102_012908,20070101_192908
KEWX20070102_013852,20070101_193852
KEWX20070102_014837,20070101_194837
KEWX20070102_015822,20070101_195822
KEWX20070102_020807,20070101_200807
KEWX20070102_222027,20070102_162027
KEWX20070102_223013,20070102_163013
KEWX20070102_223958,20070102_163958
KEWX20070102_224944,20070102_164944
KEWX20070102_225929,20070102_165929
KEWX20070102_230915,20070102_170915
KEWX20070102_231900,20070102_171900
KEWX20070102_232846,20070102_172846
KEWX20070102_233831,20070102_173831
KEWX20070102_234817,20070102_174817
KEWX20070102_235803,20070102_175803
KEWX20070103_000748,20070102_180748
KEWX20070103_001733,20070102_181733
KEWX20070103_002719,20070102_182719
KEWX20070103_003705,20070102_183705
KEWX20070103_004650,20070102_184650
KEWX20070103_005635,20070102_185635
KEWX20070103_010621,20070102_190621
KEWX20070103_011607,20070102_191607
KEWX20070103_012552,20070102_192552
KEWX20070103_013537,20070102_193537
KEWX20070103_014625,20070102_194625
KEWX20070103_015611,20070102_195611
KEWX20070103_020557,20070102_200557
KEWX20070103_221722,20070103_161722
KEWX20070103_222216,20070103_162216
KEWX20070103_222710,20070103_162710
KEWX20070103_223204,20070103_163204
KEWX20070103_223658,20070103_163658
KEWX20070103_224152,20070103_164152
KEWX20070103_224646,20070103_164646
KEWX20070103_225140,20070103_165140
KEWX20070103_225634,20070103_165634
KEWX20070103_230128,20070103_170128
KEWX20070103_230624,20070103_170624
KEWX20070103_231119,20070103_171119
KEWX20070103_231613,20070103_171613
KEWX20070103_232108,20070103_172108
KEWX20070103_232603,20070103_172603
KEWX20070103_233057,20070103_173057
KEWX20070103_233551,20070103_173551
KEWX20070103_234045,20070103_174045
KEWX20070103_234539,20070103_174539
KEWX20070103_235033,20070103_175033
KEWX20070103_235527,20070103_175527
KEWX20070104_000020,20070103_180020
KEWX20070104_000516,20070103_180516
KEWX20070104_001011,20070103_181011
KEWX20070104_001506,20070103_181506
KEWX20070104_002000,20070103_182000
KEWX20070104_002454,20070103_182454
KEWX20070104_002948,20070103_182948
KEWX20070104_003441,20070103_183441
KEWX20070104_003936,20070103_183936
KEWX20070104_004429,20070103_184429
KEWX20070104_004924,20070103_184924
KEWX20070104_005419,20070103_185419
KEWX20070104_005913,20070103_185913
KEWX20070104_010407,20070103_190407
KEWX20070104_010901,20070103_190901
KEWX20070104_011356,20070103_191356
KEWX20070104_011850,20070103_191850
KEWX20070104_012344,20070103_192344
KEWX20070104_012837,20070103_192837
KEWX20070104_013332,20070103_193332
KEWX20070104_013826,20070103_193826
KEWX20070104_014320,20070103_194320
KEWX20070104_014917,20070103_194917
KEWX20070104_015411,20070103_195411
KEWX20070104_015905,20070103_195905
KEWX20070104_020400,20070103_200400
KEWX20070104_020854,20070103_200854
KEWX20070104_021347,20070103_201347
KEWX20070104_222359,20070104_162359
KEWX20070104_223342,20070104_163342
KEWX20070104_224325,20070104_164325
KEWX20070104_225309,20070104_165309
KEWX20070104_230252,20070104_170252
KEWX20070104_231237,20070104_171237
KEWX20070104_232220,20070104_172220
KEWX20070104_233204,20070104_173204
KEWX20070104_234148,20070104_174148
KEWX20070104_235132,20070104_175132
KEWX20070105_000116,20070104_180116
KEWX20070105_001100,20070104_181100
KEWX20070105_002043,20070104_182043
