filename,local_time
KGRK20170101_221720_V06,20170101_161720
KGRK20170101_222704_V06,20170101_162704
KGRK20170101_223649_V06,20170101_163649
KGRK20170101_224635_V06,20170101_164635
KGRK20170101_225621_V06,20170101_165621
KGRK20170101_230605_V06,20170101_170605
KGRK20170101_231551_V06,20170101_171551
KGRK20170101_232536_V06,20170101_172536
KGRK20170101_233521_V06,20170101_173521
KGRK20170101_234506_V06,20170101_174506
KGRK20170101_235451_V06,20170101_175451
KGRK20170102_000436_V06,20170101_180436
KGRK20170102_001420_V06,20170101_181420
KGRK20170102_002405_V06,20170101_182405
KGRK20170102_003350_V06,20170101_183350
KGRK20170102_004335_V06,20170101_184335
KGRK20170102_005320_V06,20170101_185320
KGRK20170102_010307_V06,20170101_190307
KGRK20170102_011252_V06,20170101_191252
KGRK20170102_012237_V06,20170101_192237
KGRK20170102_013437_V06,20170101_193437
KGRK20170102_014422_V06,20170101_194422
KGRK20170102_015407_V06,20170101_195407
KGRK20170102_020353_V06,20170101_200353
KGRK20170102_221211_V06,20170102_161211
KGRK20170102_222155_V06,20170102_162155
KGRK20170102_223139_V06,20170102_163139
KGRK20170102_224122_V06,20170102_164122
KGRK20170102_225106_V06,20170102_165106
KGRK20170102_230050_V06,20170102_170050
KGRK20170102_231033_V06,20170102_171033
KGRK20170102_232016_V06,20170102_172016
KGRK20170102_233000_V06,20170102_173000
KGRK20170102_234155_V06,20170102_174155
KGRK20170102_235138_V06,20170102_175138
KGRK20170103_000121_V06,20170102_180121
KGRK20170103_001105_V06,20170102_181105
KGRK20170103_002050_V06,20170102_182050
KGRK20170103_003034_V06,20170102_183034
KGRK20170103_004017_V06,20170102_184017
KGRK20170103_005001_V06,20170102_185001
KGRK20170103_005945_V06,20170102_185945
KGRK20170103_010928_V06,20170102_190928
KGRK20170103_011912_V06,20170102_191912
KGRK20170103_012857_V06,20170102_192857
KGRK20170103_013842_V06,20170102_193842
KGRK20170103_014827_V06,20170102_194827
KGRK20170103_015809_V06,20170102_195809
KGRK20170103_020754_V06,20170102_200754
KGRK20170103_221205_V06,20170103_161205
KGRK20170103_222151_V06,20170103_162151
KGRK20170103_223137_V06,20170103_163137
KGRK20170103_224122_V06,20170103_164122
KGRK20170103_225108_V06,20170103_165108
KGRK20170103_230053_V06,20170103_170053
KGRK20170103_231038_V06,20170103_171038
KGRK20170103_232023_V06,20170103_172023
KGRK20170103_233007_V06,20170103_173007
KGRK20170103_233953_V06,20170103_173953
KGRK20170103_235149_V06,20170103_175149
KGRK20170104_000134_V06,20170103_180134
KGRK20170104_001119_V06,20170103_181119
KGRK20170104_002104_V06,20170103_182104
KGRK20170104_003050_V06,20170103_183050
KGRK20170104_004036_V06,20170103_184036
KGRK20170104_005021_V06,20170103_185021
KGRK20170104_010006_V06,20170103_190006
KGRK20170104_010952_V06,20170103_190952
KGRK20170104_011938_V06,20170103_191938
KGRK20170104_012923_V06,20170103_192923
KGRK20170104_013909_V06,20170103_193909
KGRK20170104_014855_V06,20170103_194855
KGRK20170104_015841_V06,20170103_195841
KGRK20170104_020826_V06,20170103_200826
KGRK20170104_221517_V06,20170104_161517
KGRK20170104_222504_V06,20170104_162504
KGRK20170104_223451_V06,20170104_163451
KGRK20170104_224437_V06,20170104_164437
KGRK20170104_225424_V06,20170104_165424
KGRK20170104_230410_V06,20170104_170410
KGRK20170104_231357_V06,20170104_171357
KGRK20170104_232343_V06,20170104_172343
KGRK20170104_233330_V06,20170104_173330
KGRK20170104_234317_V06,20170104_174317
KGRK20170104_235509_V06,20170104_175509
KGRK20170105_000457_V06,20170104_180457
KGRK20170105_001443_V06,20170104_181443
KGRK20170105_002429_V06,20170104_182429
KGRK20170105_003415_V06,20170104_183415
KGRK20170105_004401_V06,20170104_184401
KGRK20170105_005348_V06,20170104_185348
KGRK20170105_010336_V06,20170104_190336
KGRK20170105_011322_V06,20170104_191322
KGRK20170105_012309_V06,20170104_192309
KGRK20170105_013256_V06,20170104_193256
KGRK20170105_014243_V06,20170104_194243
KGRK20170105_015231_V06,20170104_195231
KGRK20170105_020218_V06,20170104_200218
KGRK20170105_221922_V06,20170105_161922
KGRK20170105_222909_V06,20170105_162909
KGRK20170105_223856_V06,20170105_163856
KGRK20170105_224842_V06,20170105_164842
KGRK20170105_225830_V06,20170105_165830
KGRK20170105_230817_V06,20170105_170817
KGRK20170105_231803_V06,20170105_171803
KGRK20170105_232750_V06,20170105_172750
KGRK20170105_233737_V06,20170105_173737
KGRK20170105_234724_V06,20170105_174724
KGRK20170105_235927_V06,20170105_175927
KGRK20170106_000914_V06,20170105_180914
KGRK20170106_001901_V06,20170105_181901
KGRK20170106_002847_V06,20170105_182847
KGRK20170106_003833_V06,20170105_183833
KGRK20170106_004820_V06,20170105_184820
KGRK20170106_005807_V06,20170105_185807
KGRK20170106_010753_V06,20170105_190753
KGRK20170106_011740_V06,20170105_191740
KGRK20170106_012727_V06,20170105_192727
KGRK20170106_013714_V06,20170105_193714
KGRK20170106_014700_V06,20170105_194700
KGRK20170106_015647_V06,20170105_195647
KGRK20170106_020634_V06,20170105_200634
KGRK20170106_221830_V06,20170106_161830
KGRK20170106_222819_V06,20170106_162819
KGRK20170106_223810_V06,20170106_163810
KGRK20170106_224800_V06,20170106_164800
KGRK20170106_225749_V06,20170106_165749
KGRK20170106_230739_V06,20170106_170739
KGRK20170106_231729_V06,20170106_171729
KGRK20170106_232718_V06,20170106_172718
KGRK20170106_233708_V06,20170106_173708
KGRK20170106_234658_V06,20170106_174658
KGRK20170106_235648_V06,20170106_175648
KGRK20170107_000910_V06,20170106_180910
KGRK20170107_001900_V06,20170106_181900
KGRK20170107_002850_V06,20170106_182850
KGRK20170107_003840_V06,20170106_183840
KGRK20170107_004830_V06,20170106_184830
KGRK20170107_005819_V06,20170106_185819
KGRK20170107_010809_V06,20170106_190809
KGRK20170107_011759_V06,20170106_191759
KGRK20170107_012749_V06,20170106_192749
KGRK20170107_013738_V06,20170106_193738
KGRK20170107_014727_V06,20170106_194727
KGRK20170107_015717_V06,20170106_195717
KGRK20170107_020707_V06,20170106_200707
KGRK20170107_231144_V06,20170107_171144
KGRK20170107_232134_V06,20170107_172134
KGRK20170109_222225_V06,20170109_162225
KGRK20170109_223428_V06,20170109_163428
KGRK20170109_224414_V06,20170109_164414
KGRK20170109_225401_V06,20170109_165401
KGRK20170109_230347_V06,20170109_170347
KGRK20170109_231333_V06,20170109_171333
KGRK20170109_232319_V06,20170109_172319
KGRK20170109_233305_V06,20170109_173305
KGRK20170109_234250_V06,20170109_174250
KGRK20170109_235237_V06,20170109_175237
KGRK20170110_000224_V06,20170109_180224
KGRK20170110_001211_V06,20170109_181211
KGRK20170110_002157_V06,20170109_182157
KGRK20170110_003143_V06,20170109_183143
KGRK20170110_004129_V06,20170109_184129
KGRK20170110_005115_V06,20170109_185115
KGRK20170110_010101_V06,20170109_190101
KGRK20170110_011047_V06,20170109_191047
KGRK20170110_012033_V06,20170109_192033
KGRK20170110_013019_V06,20170109_193019
KGRK20170110_014006_V06,20170109_194006
