filename,local_time
KSJT20050101_222707,20050101_162707
KSJT20050101_223652,20050101_163652
KSJT20050101_224639,20050101_164639
KSJT20050101_225626,20050101_165626
KSJT20050101_230611,20050101_170611
KSJT20050101_231557,20050101_171557
KSJT20050101_232544,20050101_172544
KSJT20050101_233530,20050101_173530
KSJT20050101_234516,20050101_174516
KSJT20050101_235503,20050101_175503
KSJT20050102_000554,20050101_180554
KSJT20050102_001540,20050101_181540
KSJT20050102_002526,20050101_182526
KSJT20050102_003512,20050101_183512
KSJT20050102_004458,20050101_184458
KSJT20050102_005445,20050101_185445
KSJT20050102_010430,20050101_190430
KSJT20050102_011417,20050101_191417
KSJT20050102_012403,20050101_192403
KSJT20050102_013349,20050101_193349
KSJT20050102_014335,20050101_194335
KSJT20050102_015322,20050101_195322
KSJT20050102_020307,20050101_200307
KSJT20050102_021253,20050101_201253
KSJT20050102_222631,20050102_162631
KSJT20050102_223618,20050102_163618
KSJT20050102_224604,20050102_164604
KSJT20050102_225550,20050102_165550
KSJT20050102_230536,20050102_170536
KSJT20050102_231642,20050102_171642
KSJT20050102_232229,20050102_172229
KSJT20050102_232818,20050102_172818
KSJT20050102_233407,20050102_173407
KSJT20050102_233953,20050102_173953
KSJT20050102_234542,20050102_174542
KSJT20050102_235129,20050102_175129
KSJT20050102_235717,20050102_175717
KSJT20050103_000408,20050102_180408
KSJT20050103_000956,20050102_180956
KSJT20050103_001544,20050102_181544
KSJT20050103_002132,20050102_182132
KSJT20050103_002720,20050102_182720
KSJT20050103_003308,20050102_183308
KSJT20050103_003857,20050102_183857
KSJT20050103_004445,20050102_184445
KSJT20050103_005033,20050102_185033
KSJT20050103_005621,20050102_185621
KSJT20050103_010210,20050102_190210
KSJT20050103_010756,20050102_190756
KSJT20050103_011345,20050102_191345
KSJT20050103_011932,20050102_191932
KSJT20050103_012520,20050102_192520
KSJT20050103_013108,20050102_193108
KSJT20050103_013657,20050102_193657
KSJT20050103_014246,20050102_194246
KSJT20050103_014835,20050102_194835
KSJT20050103_015422,20050102_195422
KSJT20050103_020011,20050102_200011
KSJT20050103_020558,20050102_200558
KSJT20050103_021147,20050102_201147
KSJT20050103_021736,20050102_201736
KSJT20050103_222643,20050103_162643
KSJT20050103_223232,20050103_163232
KSJT20050103_223820,20050103_163820
KSJT20050103_224409,20050103_164409
KSJT20050103_224957,20050103_164957
KSJT20050103_225545,20050103_165545
KSJT20050103_230132,20050103_170132
KSJT20050103_230721,20050103_170721
KSJT20050103_231310,20050103_171310
KSJT20050103_231858,20050103_171858
KSJT20050103_232446,20050103_172446
KSJT20050103_233035,20050103_173035
KSJT20050103_233622,20050103_173622
KSJT20050103_234211,20050103_174211
KSJT20050103_234759,20050103_174759
KSJT20050103_235346,20050103_175346
KSJT20050103_235934,20050103_175934
KSJT20050104_000628,20050103_180628
KSJT20050104_001217,20050103_181217
KSJT20050104_001804,20050103_181804
KSJT20050104_002352,20050103_182352
KSJT20050104_002940,20050103_182940
KSJT20050104_003529,20050103_183529
KSJT20050104_004118,20050103_184118
KSJT20050104_004705,20050103_184705
KSJT20050104_005256,20050103_185256
KSJT20050104_005843,20050103_185843
KSJT20050104_010432,20050103_190432
KSJT20050104_011019,20050103_191019
KSJT20050104_011607,20050103_191607
KSJT20050104_012155,20050103_192155
KSJT20050104_012744,20050103_192744
KSJT20050104_013332,20050103_193332
KSJT20050104_013921,20050103_193921
KSJT20050104_014509,20050103_194509
KSJT20050104_015058,20050103_195058
KSJT20050104_015645,20050103_195645
KSJT20050104_020233,20050103_200233
KSJT20050104_020822,20050103_200822
KSJT20050104_021410,20050103_201410
KSJT20050104_021958,20050103_201958
KSJT20050104_222339,20050104_162339
KSJT20050104_222927,20050104_162927
KSJT20050104_223516,20050104_163516
KSJT20050104_224103,20050104_164103
KSJT20050104_224652,20050104_164652
KSJT20050104_225240,20050104_165240
KSJT20050104_225827,20050104_165827
KSJT20050104_230417,20050104_170417
KSJT20050104_231006,20050104_171006
KSJT20050104_231554,20050104_171554
KSJT20050104_232142,20050104_172142
KSJT20050104_232731,20050104_172731
KSJT20050104_233318,20050104_173318
KSJT20050104_233906,20050104_173906
KSJT20050104_234454,20050104_174454
KSJT20050104_235042,20050104_175042
KSJT20050104_235630,20050104_175630
KSJT20050105_000322,20050104_180322
KSJT20050105_000910,20050104_180910
KSJT20050105_001458,20050104_181458
KSJT20050105_002046,20050104_182046
KSJT20050105_002634,20050104_182634
KSJT20050105_003222,20050104_183222
KSJT20050105_003810,20050104_183810
KSJT20050105_004358,20050104_184358
KSJT20050105_004947,20050104_184947
KSJT20050105_005535,20050104_185535
KSJT20050105_010124,20050104_190124
KSJT20050105_010712,20050104_190712
KSJT20050105_011300,20050104_191300
KSJT20050105_011847,20050104_191847
KSJT20050105_012436,20050104_192436
KSJT20050105_013024,20050104_193024
KSJT20050105_013613,20050104_193613
KSJT20050105_014200,20050104_194200
KSJT20050105_014749,20050104_194749
KSJT20050105_015337,20050104_195337
KSJT20050105_015925,20050104_195925
KSJT20050105_020513,20050104_200513
KSJT20050105_021102,20050104_201102
KSJT20050105_021649,20050104_201649
KSJT20050105_022237,20050104_202237
KSJT20050105_222409,20050105_162409
KSJT20050105_223355,20050105_163355
KSJT20050105_224342,20050105_164342
KSJT20050105_225328,20050105_165328
KSJT20050105_230314,20050105_170314
KSJT20050105_231300,20050105_171300
KSJT20050105_232246,20050105_172246
KSJT20050105_233233,20050105_173233
KSJT20050105_234218,20050105_174218
KSJT20050105_235204,20050105_175204
KSJT20050106_000257,20050105_180257
KSJT20050106_001242,20050105_181242
KSJT20050106_002230,20050105_182230
KSJT20050106_003216,20050105_183216
KSJT20050106_004202,20050105_184202
KSJT20050106_005149,20050105_185149
KSJT20050106_010135,20050105_190135
KSJT20050106_011121,20050105_191121
KSJT20050106_012108,20050105_192108
KSJT20050106_013054,20050105_193054
KSJT20050106_014040,20050105_194040
KSJT20050106_015027,20050105_195027
KSJT20050106_020014,20050105_200014
KSJT20050106_021000,20050105_201000
KSJT20050106_021946,20050105_201946
KSJT20050106_223343,20050106_163343
KSJT20050106_224329,20050106_164329
KSJT20050106_225317,20050106_165317
KSJT20050106_230303,20050106_170303
KSJT20050106_231250,20050106_171250
KSJT20050106_232237,20050106_172237
KSJT20050106_233224,20050106_173224
KSJT20050106_234209,20050106_174209
KSJT20050106_235157,20050106_175157
KSJT20050107_000249,20050106_180249
KSJT20050107_001236,20050106_181236
KSJT20050107_002223,20050106_182223
KSJT20050107_003210,20050106_183210
KSJT20050107_004156,20050106_184156
KSJT20050107_005143,20050106_185143
KSJT20050107_010128,20050106_190128
KSJT20050107_011113,20050106_191113
KSJT20050107_012102,20050106_192102
KSJT20050107_013047,20050106_193047
KSJT20050107_014034,20050106_194034
KSJT20050107_015020,20050106_195020
KSJT20050107_020007,20050106_200007
KSJT20050107_020953,20050106_200953
KSJT20050107_021939,20050106_201939
KSJT20050107_223343,20050107_163343
KSJT20050107_224329,20050107_164329
KSJT20050107_225315,20050107_165315
KSJT20050107_230302,20050107_170302
KSJT20050107_231248,20050107_171248
KSJT20050107_232235,20050107_172235
KSJT20050107_233221,20050107_173221
KSJT20050107_234207,20050107_174207
KSJT20050107_235153,20050107_175153
KSJT20050108_000247,20050107_180247
KSJT20050108_001232,20050107_181232
KSJT20050108_002219,20050107_182219
KSJT20050108_003205,20050107_183205
KSJT20050108_004151,20050107_184151
KSJT20050108_005138,20050107_185138
KSJT20050108_010125,20050107_190125
KSJT20050108_011111,20050107_191111
KSJT20050108_012058,20050107_192058
KSJT20050108_013045,20050107_193045
KSJT20050108_014032,20050107_194032
KSJT20050108_015018,20050107_195018
KSJT20050108_020004,20050107_200004
KSJT20050108_020951,20050107_200951
KSJT20050108_021937,20050107_201937
KSJT20050108_223338,20050108_163338
KSJT20050108_224323,20050108_164323
KSJT20050108_225310,20050108_165310
KSJT20050108_230257,20050108_170257
KSJT20050108_231242,20050108_171242
KSJT20050108_232229,20050108_172229
KSJT20050108_233216,20050108_173216
KSJT20050108_234202,20050108_174202
KSJT20050108_235146,20050108_175146
KSJT20050109_000240,20050108_180240
KSJT20050109_001225,20050108_181225
KSJT20050109_002212,20050108_182212
KSJT20050109_003159,20050108_183159
KSJT20050109_004145,20050108_184145
KSJT20050109_005132,20050108_185132
KSJT20050109_010118,20050108_190118
KSJT20050109_011104,20050108_191104
KSJT20050109_012051,20050108_192051
KSJT20050109_013037,20050108_193037
KSJT20050109_014024,20050108_194024
KSJT20050109_015009,20050108_195009
KSJT20050109_015955,20050108_195955
KSJT20050109_020941,20050108_200941
KSJT20050109_021927,20050108_201927
KSJT20050109_223313,20050109_163313
KSJT20050109_224300,20050109_164300
KSJT20050109_225246,20050109_165246
KSJT20050109_230232,20050109_170232
KSJT20050109_231218,20050109_171218
KSJT20050109_232204,20050109_172204
KSJT20050109_233150,20050109_173150
KSJT20050109_234136,20050109_174136
KSJT20050109_235122,20050109_175122
KSJT20050110_000214,20050109_180214
KSJT20050110_001201,20050109_181201
KSJT20050110_002147,20050109_182147
KSJT20050110_003133,20050109_183133
KSJT20050110_004119,20050109_184119
KSJT20050110_005104,20050109_185104
KSJT20050110_010052,20050109_190052
KSJT20050110_011038,20050109_191038
KSJT20050110_012025,20050109_192025
KSJT20050110_013012,20050109_193012
KSJT20050110_013958,20050109_193958
KSJT20050110_014945,20050109_194945
KSJT20050110_015931,20050109_195931
KSJT20050110_020918,20050109_200918
KSJT20050110_021904,20050109_201904
KSJT20050110_223243,20050110_163243
KSJT20050110_224229,20050110_164229
KSJT20050110_225215,20050110_165215
KSJT20050110_230202,20050110_170202
KSJT20050110_231147,20050110_171147
KSJT20050110_232133,20050110_172133
KSJT20050110_233120,20050110_173120
KSJT20050110_234106,20050110_174106
KSJT20050110_235052,20050110_175052
KSJT20050111_000038,20050110_180038
KSJT20050111_001131,20050110_181131
KSJT20050111_002117,20050110_182117
