track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KDFX20130102_015357_V07,119.491,0.233,309.855,372.649,31.582,-100.230,28.945,15790.924,20130101_195357
1,KDFX20130104_223004_V07,-86.572,0.134,213.097,300.298,32.765,-100.727,29.270,16382.589,20130104_163004
3,KDFX20130104_223004_V07,-86.572,0.083,163.020,376.453,14.172,-100.983,28.926,7086.020,20130104_163004
5,KDFX20130104_231540_V07,-40.972,0.098,282.744,369.261,25.507,-100.369,28.960,12753.323,20130104_171540
3,KDFX20130108_005526_V07,56.502,0.099,317.810,325.987,13.169,-100.189,29.155,6584.389,20130107_185526
1,KDFX20130112_004804_V07,45.939,0.300,251.937,181.211,3.091,-100.529,29.808,1545.364,20130111_184804
1,KDFX20130112_005745_V07,55.623,0.067,252.394,178.838,13.426,-100.527,29.819,6713.047,20130111_185745
1,KDFX20130112_010725_V07,65.289,0.205,257.302,176.744,16.887,-100.501,29.828,8443.318,20130111_190725
1,KDFX20130112_011706_V07,74.973,0.377,256.660,172.154,24.188,-100.505,29.849,12093.909,20130111_191706
4,KDFX20130113_004557_V07,43.004,0.912,259.150,201.386,9.665,-100.491,29.717,4832.497,20130112_184557
4,KDFX20130113_005535_V07,52.638,0.861,258.556,207.905,18.978,-100.494,29.688,9488.824,20130112_185535
4,KDFX20130113_010514_V07,62.288,0.815,259.547,217.942,30.971,-100.489,29.642,15485.493,20130112_190514
4,KDFX20130113_011453_V07,71.938,0.827,257.653,230.309,41.361,-100.499,29.587,20680.423,20130112_191453
4,KDFX20130113_012431_V07,81.571,0.429,256.561,226.860,51.998,-100.504,29.602,25999.137,20130112_192431
1,KDFX20130113_002641_V07,23.738,0.307,218.738,280.898,6.259,-100.699,29.358,3129.429,20130112_182641
3,KDFX20130113_003619_V07,33.371,0.063,373.477,268.897,19.180,-99.902,29.412,9589.840,20130112_183619
1,KDFX20130114_224451_V07,-79.751,0.107,316.646,324.644,5.540,-100.195,29.161,2770.229,20130114_164451
2,KDFX20130114_224451_V07,-79.751,0.052,182.629,279.123,2.656,-100.885,29.365,1327.925,20130114_164451
1,KDFX20130115_225436_V07,-70.836,0.101,315.154,325.235,5.451,-100.202,29.159,2725.643,20130115_165436
1,KDFX20130116_224634_V07,-79.709,0.136,318.487,327.902,8.596,-100.185,29.147,4297.768,20130116_164634
4,KDFX20130121_010652_V07,57.206,0.241,255.590,183.919,4.887,-100.510,29.796,2443.277,20130120_190652
4,KDFX20130121_011631_V07,66.856,0.070,256.401,183.892,12.165,-100.506,29.796,6082.631,20130120_191631
4,KDFX20130121_012610_V07,76.506,0.941,257.468,177.360,12.898,-100.500,29.826,6448.887,20130120_192610
