track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KEWX20170101_235014_V06,6,0.336,206.98,339.875549,5.856228,-98.51,29.522872,2928.113937,20170101_175014
1,KEWX20170101_235930_V06,15,0.600,207.16,338.529380,12.057395,-98.51,29.528947,6028.697274,20170101_175930
1,KEWX20170102_000846_V06,-1417,0.716,205.43,337.012878,12.852077,-98.52,29.535755,6426.038742,20170101_180846
1,KEWX20170102_001802_V06,-1407,0.193,204.80,336.003118,22.030681,-98.52,29.540298,11015.340721,20170101_181802
9,KEWX20170102_004548_V06,-1380,0.056,55.48,370.282776,13.320470,-99.29,29.380590,6660.234928,20170101_184548
9,KEWX20170102_005718_V06,-1368,0.130,58.02,369.909329,20.472638,-99.27,29.382399,10236.318918,20170101_185718
3,KEWX20170101_235930_V06,15,0.057,179.71,320.179626,8.334545,-98.65,29.611130,4167.272568,20170101_175930
3,KEWX20170102_000846_V06,-1417,0.332,184.97,316.141998,6.959198,-98.62,29.629466,3479.598999,20170101_180846
8,KEWX20170103_000335_V06,-1422,0.924,219.39,346.149567,28.224762,-98.44,29.494788,14112.380981,20170102_180335
8,KEWX20170103_001251_V06,-1413,0.728,222.39,349.105463,37.072873,-98.43,29.481502,18536.436507,20170102_181251
8,KEWX20170103_002205_V06,-1403,0.642,227.83,346.648243,44.938415,-98.40,29.492668,22469.207492,20170102_182205
8,KEWX20170103_003121_V06,-1394,0.519,230.53,345.471565,50.122630,-98.39,29.498014,25061.315108,20170102_183121
8,KEWX20170103_004036_V06,-1385,0.501,238.66,343.153015,55.585591,-98.34,29.508579,27792.795422,20170102_184036
8,KEWX20170103_004953_V06,-1376,0.236,244.13,340.060211,60.391224,-98.32,29.522594,30195.611825,20170102_184953
19,KEWX20170103_001251_V06,-1413,0.794,409.83,334.615967,5.958351,-97.46,29.546254,2979.175568,20170102_181251
19,KEWX20170103_002205_V06,-1403,0.950,414.67,335.159790,14.171921,-97.44,29.543692,7085.960273,20170102_182205
19,KEWX20170103_003121_V06,-1394,0.931,419.62,336.516867,20.831708,-97.41,29.537454,10415.854000,20170102_183121
19,KEWX20170103_004036_V06,-1385,0.641,421.55,337.372783,26.558555,-97.40,29.533546,13279.277450,20170102_184036
28,KEWX20170103_002205_V06,-1403,0.663,300.66,239.346619,12.914963,-98.02,29.977194,6457.481384,20170102_182205
28,KEWX20170103_003121_V06,-1394,0.522,301.82,239.609554,19.951608,-98.02,29.976007,9975.803890,20170102_183121
28,KEWX20170103_004036_V06,-1385,0.246,304.09,240.988717,20.098524,-98.01,29.969785,10049.262017,20170102_184036
28,KEWX20170103_004953_V06,-1376,0.151,307.44,240.241022,20.390915,-97.99,29.973154,10195.457477,20170102_184953
10,KEWX20170103_000335_V06,-1422,0.624,190.96,317.681274,6.463005,-98.59,29.622658,3231.502533,20170102_180335
10,KEWX20170103_001251_V06,-1413,0.432,191.24,318.120541,15.033128,-98.59,29.620683,7516.564182,20170102_181251
10,KEWX20170103_002205_V06,-1403,0.620,195.54,316.940136,16.315528,-98.57,29.626100,8157.764110,20170102_182205
13,KEWX20170103_000335_V06,-1422,0.210,181.52,295.813049,4.983410,-98.64,29.721081,2491.704941,20170102_180335
13,KEWX20170103_001251_V06,-1413,0.277,182.49,296.324759,14.673851,-98.64,29.718796,7336.925659,20170102_181251
13,KEWX20170103_002205_V06,-1403,0.130,186.51,295.246466,15.581999,-98.61,29.723753,7790.999611,20170102_182205
26,KEWX20170103_001251_V06,-1413,0.070,317.77,325.143738,6.283669,-97.94,29.590161,3141.834259,20170102_181251
26,KEWX20170103_002205_V06,-1403,0.132,316.85,326.526869,17.077512,-97.94,29.583926,8538.755887,20170102_182205
26,KEWX20170103_003121_V06,-1394,0.160,320.18,328.982526,18.254356,-97.92,29.572836,9127.177778,20170102_183121
35,KEWX20170103_003121_V06,-1394,0.091,352.45,115.105011,2.588783,-97.75,30.537282,1294.391632,20170102_183121
35,KEWX20170103_004036_V06,-1385,-1.000,352.45,115.105011,16.898783,-97.75,30.537282,8449.391632,20170102_184036
35,KEWX20170103_004953_V06,-1376,-1.000,352.45,115.105011,31.208783,-97.75,30.537282,15604.391632,20170102_184953
35,KEWX20170103_005908_V06,-1366,0.140,381.97,112.654486,31.158630,-97.60,30.547927,15579.314910,20170102_185908
35,KEWX20170103_011036_V06,-1355,0.225,383.80,115.053086,35.783291,-97.59,30.537078,17891.645704,20170102_191036
1,KEWX20170102_234504_V06,0,0.778,213.83,340.154541,7.405968,-98.47,29.521737,3702.983856,20170102_174504
1,KEWX20170102_235419_V06,9,0.934,216.39,341.891937,19.851378,-98.46,29.513943,9925.688843,20170102_175419
3,KEWX20170102_234504_V06,0,0.185,377.78,143.201294,2.363838,-97.62,30.410226,1181.919098,20170102_174504
3,KEWX20170102_235419_V06,9,0.279,377.16,142.363968,9.467569,-97.63,30.414012,4733.784508,20170102_175419
3,KEWX20170103_000335_V06,-1422,0.358,380.51,154.269653,16.591171,-97.61,30.360262,8295.585632,20170102_180335
3,KEWX20170103_001251_V06,-1413,0.236,378.08,150.414545,26.419946,-97.62,30.377688,13209.973229,20170102_181251
