track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KGRK20000107_000214,19.520,0.060,482.039,561.341,43.091,-96.444,29.540,21545.284,20000106_180214
1,KGRK20000107_001205,29.370,0.052,485.015,556.894,51.671,-96.428,29.559,25835.581,20000106_181205
2,KGRK20000107_010228,79.753,0.051,322.608,392.323,17.740,-97.265,30.305,8870.052,20000106_190228
2,KGRK20000107_011218,89.587,0.151,327.671,382.997,26.520,-97.239,30.347,13260.097,20000106_191218
3,KGRK20000107_011218,89.587,0.341,374.841,270.959,12.497,-96.992,30.852,6248.341,20000106_191218
1,KGRK20000107_235702,13.532,0.060,105.860,422.778,29.068,-98.390,30.164,14533.890,20000107_175702
1,KGRK20000108_221816,-86.034,0.150,252.990,386.391,8.691,-97.627,30.332,4345.707,20000108_161816
1,KGRK20000110_002724,42.289,0.349,538.073,162.592,22.091,-96.132,31.335,11045.712,20000109_182724
2,KGRK20000110_004704,61.955,0.055,527.598,219.311,16.523,-96.190,31.080,8261.604,20000109_184704
3,KGRK20000110_005654,71.789,0.092,287.847,476.951,12.772,-97.446,29.924,6385.796,20000109_185654
5,KGRK20000111_001638,30.701,0.228,390.424,151.977,20.440,-96.907,31.388,10220.005,20000110_181638
5,KGRK20000111_002629,40.551,0.156,390.411,150.494,31.893,-96.907,31.395,15946.708,20000110_182629
5,KGRK20000111_003619,50.385,0.063,390.895,147.657,31.675,-96.905,31.408,15837.717,20000110_183619
7,KGRK20000111_011539,89.718,0.062,286.958,482.909,16.619,-97.450,29.897,8309.600,20000110_191539
7,KGRK20000111_012530,99.568,0.090,286.809,480.852,24.944,-97.451,29.906,12471.773,20000110_192530
1,KGRK20000110_221729,-88.449,0.153,187.707,348.200,2.617,-97.968,30.503,1308.283,20000110_161729
4,KGRK20000110_234557,0.018,0.072,399.315,147.738,29.251,-96.861,31.407,14625.282,20000110_174557
6,KGRK20000111_005559,70.051,0.182,416.331,463.565,13.521,-96.780,29.983,6760.590,20000110_185559
1,KGRK20000111_223114,-75.528,0.119,183.464,287.511,10.135,-97.991,30.777,5067.425,20000111_163114
2,KGRK20000112_003903,52.288,0.283,74.219,423.048,17.775,-98.555,30.161,8887.711,20000111_183903
3,KGRK20000112_003903,52.288,0.145,247.442,331.069,18.918,-97.657,30.581,9459.076,20000111_183903
1,KGRK20000113_001121,23.750,0.554,249.399,339.983,11.846,-97.646,30.541,5922.808,20000112_181121
1,KGRK20000113_002111,33.583,0.856,255.403,336.241,19.022,-97.615,30.558,9510.983,20000112_182111
