filename,local_time
KDFX20030311_012256,20030310_192256
KDFX20030311_013247,20030310_193247
KDFX20030313_232323,20030313_172323
KDFX20030313_232913,20030313_172913
KDFX20030313_233503,20030313_173503
KDFX20030313_234052,20030313_174052
KDFX20030313_234642,20030313_174642
KDFX20030313_235232,20030313_175232
KDFX20030313_235824,20030313_175824
KDFX20030314_000518,20030313_180518
KDFX20030314_001108,20030313_181108
KDFX20030314_001658,20030313_181658
KDFX20030314_002248,20030313_182248
KDFX20030314_002838,20030313_182838
KDFX20030314_003428,20030313_183428
KDFX20030314_004017,20030313_184017
KDFX20030314_004607,20030313_184607
KDFX20030314_005156,20030313_185156
KDFX20030314_005746,20030313_185746
KDFX20030314_010335,20030313_190335
KDFX20030314_010925,20030313_190925
KDFX20030314_011514,20030313_191514
KDFX20030314_012103,20030313_192103
KDFX20030314_012653,20030313_192653
KDFX20030314_013242,20030313_193242
KDFX20030314_013832,20030313_193832
KDFX20030314_014421,20030313_194421
KDFX20030314_015010,20030313_195010
KDFX20030314_015600,20030313_195600
KDFX20030314_020150,20030313_200150
KDFX20030314_020740,20030313_200740
KDFX20030314_021330,20030313_201330
KDFX20030314_021919,20030313_201919
KDFX20030314_022509,20030313_202509
KDFX20030314_023059,20030313_203059
KDFX20030314_023648,20030313_203648
KDFX20030314_024238,20030313_204238
KDFX20030314_024828,20030313_204828
KDFX20030314_025418,20030313_205418
KDFX20030314_030008,20030313_210008
KDFX20030314_030558,20030313_210558
KDFX20030314_031148,20030313_211148
KDFX20030314_031738,20030313_211738
