filename,local_time
KGRK20050906_232140,20050906_182140
KGRK20050906_232730,20050906_182730
KGRK20050906_233318,20050906_183318
KGRK20050906_233907,20050906_183907
KGRK20050906_234454,20050906_184454
KGRK20050906_235043,20050906_185043
KGRK20050906_235631,20050906_185631
KGRK20050907_000322,20050906_190322
KGRK20050907_000910,20050906_190910
KGRK20050907_001459,20050906_191459
KGRK20050907_002046,20050906_192046
KGRK20050907_002635,20050906_192635
KGRK20050907_003222,20050906_193222
KGRK20050907_003811,20050906_193811
KGRK20050907_004400,20050906_194400
KGRK20050907_004948,20050906_194948
KGRK20050907_005535,20050906_195535
KGRK20050907_010124,20050906_200124
KGRK20050907_010712,20050906_200712
KGRK20050907_011301,20050906_201301
KGRK20050907_011847,20050906_201847
KGRK20050907_012436,20050906_202436
KGRK20050907_013024,20050906_203024
KGRK20050907_013612,20050906_203612
KGRK20050907_014159,20050906_204159
KGRK20050907_014747,20050906_204747
KGRK20050907_015335,20050906_205335
KGRK20050907_015924,20050906_205924
KGRK20050907_020511,20050906_210511
KGRK20050907_021100,20050906_211100
KGRK20050907_021647,20050906_211647
KGRK20050907_022237,20050906_212237
KGRK20050907_022824,20050906_212824
KGRK20050907_023413,20050906_213413
KGRK20050907_024000,20050906_214000
KGRK20050907_024549,20050906_214549
KGRK20050907_025136,20050906_215136
KGRK20050907_025724,20050906_215724
KGRK20050907_030313,20050906_220313
KGRK20050907_030901,20050906_220901
KGRK20050907_031448,20050906_221448
KGRK20050907_231903,20050907_181903
KGRK20050907_232850,20050907_182850
KGRK20050907_233836,20050907_183836
KGRK20050907_234823,20050907_184823
KGRK20050907_235810,20050907_185810
KGRK20050908_000901,20050907_190901
KGRK20050908_001850,20050907_191850
KGRK20050908_002838,20050907_192838
KGRK20050908_003827,20050907_193827
KGRK20050908_004814,20050907_194814
KGRK20050908_005801,20050907_195801
KGRK20050908_010748,20050907_200748
KGRK20050908_011734,20050907_201734
KGRK20050908_012720,20050907_202720
KGRK20050908_013709,20050907_203709
KGRK20050908_014656,20050907_204656
KGRK20050908_015645,20050907_205645
KGRK20050908_020634,20050907_210634
KGRK20050908_021621,20050907_211621
KGRK20050908_022610,20050907_212610
KGRK20050908_023556,20050907_213556
KGRK20050908_024545,20050907_214545
KGRK20050908_025533,20050907_215533
KGRK20050908_030521,20050907_220521
KGRK20050908_232212,20050908_182212
KGRK20050908_233201,20050908_183201
KGRK20050908_234149,20050908_184149
KGRK20050908_235136,20050908_185136
KGRK20050909_000229,20050908_190229
KGRK20050909_001218,20050908_191218
KGRK20050909_002205,20050908_192205
KGRK20050909_003153,20050908_193153
KGRK20050909_004140,20050908_194140
KGRK20050909_005126,20050908_195126
KGRK20050909_010113,20050908_200113
KGRK20050909_011058,20050908_201058
KGRK20050909_012046,20050908_202046
KGRK20050909_013031,20050908_203031
KGRK20050909_014021,20050908_204021
KGRK20050909_015008,20050908_205008
KGRK20050909_015956,20050908_205956
KGRK20050909_020945,20050908_210945
KGRK20050909_021931,20050908_211931
KGRK20050909_022919,20050908_212919
KGRK20050909_023907,20050908_213907
KGRK20050909_024853,20050908_214853
KGRK20050909_025840,20050908_215840
KGRK20050909_030826,20050908_220826
KGRK20050909_231528,20050909_181528
KGRK20050909_232516,20050909_182516
KGRK20050909_233504,20050909_183504
KGRK20050909_234452,20050909_184452
KGRK20050909_235440,20050909_185440
KGRK20050910_000533,20050909_190533
KGRK20050910_001520,20050909_191520
KGRK20050910_002508,20050909_192508
KGRK20050910_003456,20050909_193456
KGRK20050910_004443,20050909_194443
KGRK20050910_005432,20050909_195432
KGRK20050910_010418,20050909_200418
KGRK20050910_011407,20050909_201407
KGRK20050910_012354,20050909_202354
KGRK20050910_013343,20050909_203343
KGRK20050910_014331,20050909_204331
KGRK20050910_015317,20050909_205317
KGRK20050910_020305,20050909_210305
KGRK20050910_021253,20050909_211253
KGRK20050910_022242,20050909_212242
KGRK20050910_023230,20050909_213230
KGRK20050910_024217,20050909_214217
KGRK20050910_025206,20050909_215206
KGRK20050910_030152,20050909_220152
KGRK20050910_031140,20050909_221140
KGRK20050910_231209,20050910_181209
KGRK20050910_231707,20050910_181707
KGRK20050910_232205,20050910_182205
KGRK20050910_232703,20050910_182703
KGRK20050910_233202,20050910_183202
KGRK20050910_233700,20050910_183700
KGRK20050910_234159,20050910_184159
KGRK20050910_234658,20050910_184658
KGRK20050910_235156,20050910_185156
KGRK20050910_235655,20050910_185655
KGRK20050911_000256,20050910_190256
KGRK20050911_000754,20050910_190754
KGRK20050911_001252,20050910_191252
KGRK20050911_001752,20050910_191752
KGRK20050911_002250,20050910_192250
KGRK20050911_002749,20050910_192749
KGRK20050911_003248,20050910_193248
KGRK20050911_003746,20050910_193746
KGRK20050911_004245,20050910_194245
KGRK20050911_004742,20050910_194742
KGRK20050911_005241,20050910_195241
KGRK20050911_005739,20050910_195739
KGRK20050911_010237,20050910_200237
KGRK20050911_010735,20050910_200735
KGRK20050911_011232,20050910_201232
KGRK20050911_011731,20050910_201731
KGRK20050911_012231,20050910_202231
KGRK20050911_012730,20050910_202730
KGRK20050911_013228,20050910_203228
KGRK20050911_013727,20050910_203727
KGRK20050911_014225,20050910_204225
KGRK20050911_014724,20050910_204724
KGRK20050911_015223,20050910_205223
KGRK20050911_015720,20050910_205720
KGRK20050911_020219,20050910_210219
KGRK20050911_020717,20050910_210717
KGRK20050911_021216,20050910_211216
KGRK20050911_021714,20050910_211714
KGRK20050911_022213,20050910_212213
KGRK20050911_022711,20050910_212711
KGRK20050911_023209,20050910_213209
KGRK20050911_023708,20050910_213708
KGRK20050911_024206,20050910_214206
KGRK20050911_024704,20050910_214704
KGRK20050911_025203,20050910_215203
KGRK20050911_025701,20050910_215701
KGRK20050911_030159,20050910_220159
KGRK20050911_030657,20050910_220657
KGRK20050911_231425,20050911_181425
KGRK20050911_231923,20050911_181923
KGRK20050911_232422,20050911_182422
KGRK20050911_232920,20050911_182920
KGRK20050911_233420,20050911_183420
KGRK20050911_233918,20050911_183918
KGRK20050911_234417,20050911_184417
KGRK20050911_234915,20050911_184915
KGRK20050911_235413,20050911_185413
KGRK20050912_000018,20050911_190018
KGRK20050912_000517,20050911_190517
KGRK20050912_001015,20050911_191015
KGRK20050912_001513,20050911_191513
KGRK20050912_002012,20050911_192012
KGRK20050912_002508,20050911_192508
KGRK20050912_003006,20050911_193006
KGRK20050912_003504,20050911_193504
KGRK20050912_004002,20050911_194002
KGRK20050912_004501,20050911_194501
KGRK20050912_004959,20050911_194959
KGRK20050912_005457,20050911_195457
KGRK20050912_005955,20050911_195955
KGRK20050912_010453,20050911_200453
KGRK20050912_010953,20050911_200953
KGRK20050912_011451,20050911_201451
KGRK20050912_011949,20050911_201949
KGRK20050912_012447,20050911_202447
KGRK20050912_012945,20050911_202945
KGRK20050912_013444,20050911_203444
KGRK20050912_013942,20050911_203942
KGRK20050912_014441,20050911_204441
KGRK20050912_014939,20050911_204939
KGRK20050912_015437,20050911_205437
KGRK20050912_015935,20050911_205935
KGRK20050912_020432,20050911_210432
KGRK20050912_020932,20050911_210932
KGRK20050912_021430,20050911_211430
KGRK20050912_021928,20050911_211928
KGRK20050912_022427,20050911_212427
KGRK20050912_022926,20050911_212926
KGRK20050912_023424,20050911_213424
KGRK20050912_023922,20050911_213922
KGRK20050912_024421,20050911_214421
KGRK20050912_024920,20050911_214920
KGRK20050912_025417,20050911_215417
KGRK20050912_025914,20050911_215914
KGRK20050912_030413,20050911_220413
KGRK20050912_030911,20050911_220911
KGRK20050912_230939,20050912_180939
KGRK20050912_231438,20050912_181438
KGRK20050912_231937,20050912_181937
KGRK20050912_232435,20050912_182435
KGRK20050912_232934,20050912_182934
KGRK20050912_233433,20050912_183433
KGRK20050912_233931,20050912_183931
KGRK20050912_234430,20050912_184430
KGRK20050912_234928,20050912_184928
KGRK20050912_235426,20050912_185426
KGRK20050913_000029,20050912_190029
KGRK20050913_000529,20050912_190529
KGRK20050913_001027,20050912_191027
KGRK20050913_001526,20050912_191526
KGRK20050913_002024,20050912_192024
KGRK20050913_002523,20050912_192523
KGRK20050913_003021,20050912_193021
KGRK20050913_003519,20050912_193519
KGRK20050913_004019,20050912_194019
KGRK20050913_004517,20050912_194517
KGRK20050913_005016,20050912_195016
KGRK20050913_005513,20050912_195513
KGRK20050913_010011,20050912_200011
KGRK20050913_010510,20050912_200510
KGRK20050913_011010,20050912_201010
KGRK20050913_011507,20050912_201507
KGRK20050913_012005,20050912_202005
KGRK20050913_012503,20050912_202503
KGRK20050913_013001,20050912_203001
KGRK20050913_013500,20050912_203500
KGRK20050913_013959,20050912_203959
KGRK20050913_014457,20050912_204457
KGRK20050913_014955,20050912_204955
KGRK20050913_015455,20050912_205455
KGRK20050913_015954,20050912_205954
KGRK20050913_020453,20050912_210453
KGRK20050913_020951,20050912_210951
KGRK20050913_021450,20050912_211450
KGRK20050913_021948,20050912_211948
KGRK20050913_022446,20050912_212446
KGRK20050913_022945,20050912_212945
KGRK20050913_023443,20050912_213443
KGRK20050913_023942,20050912_213942
KGRK20050913_024439,20050912_214439
KGRK20050913_024938,20050912_214938
KGRK20050913_025437,20050912_215437
KGRK20050913_025935,20050912_215935
KGRK20050913_030434,20050912_220434
KGRK20050913_230814,20050913_180814
KGRK20050913_231313,20050913_181313
KGRK20050913_231810,20050913_181810
KGRK20050913_232308,20050913_182308
KGRK20050913_232806,20050913_182806
KGRK20050913_233303,20050913_183303
KGRK20050913_233802,20050913_183802
KGRK20050913_234300,20050913_184300
KGRK20050913_234758,20050913_184758
KGRK20050913_235256,20050913_185256
KGRK20050913_235754,20050913_185754
KGRK20050914_000358,20050913_190358
KGRK20050914_000856,20050913_190856
KGRK20050914_001354,20050913_191354
KGRK20050914_001852,20050913_191852
KGRK20050914_002351,20050913_192351
KGRK20050914_002851,20050913_192851
KGRK20050914_003348,20050913_193348
KGRK20050914_003846,20050913_193846
KGRK20050914_004344,20050913_194344
KGRK20050914_004843,20050913_194843
KGRK20050914_005341,20050913_195341
KGRK20050914_005840,20050913_195840
KGRK20050914_010339,20050913_200339
KGRK20050914_010838,20050913_200838
KGRK20050914_011336,20050913_201336
KGRK20050914_011835,20050913_201835
KGRK20050914_012334,20050913_202334
KGRK20050914_012832,20050913_202832
KGRK20050914_013331,20050913_203331
KGRK20050914_013830,20050913_203830
KGRK20050914_014328,20050913_204328
KGRK20050914_014827,20050913_204827
KGRK20050914_015326,20050913_205326
KGRK20050914_015824,20050913_205824
KGRK20050914_020323,20050913_210323
KGRK20050914_020821,20050913_210821
KGRK20050914_021320,20050913_211320
KGRK20050914_021818,20050913_211818
KGRK20050914_022318,20050913_212318
KGRK20050914_022816,20050913_212816
KGRK20050914_023314,20050913_213314
KGRK20050914_023813,20050913_213813
KGRK20050914_024312,20050913_214312
KGRK20050914_024810,20050913_214810
KGRK20050914_025310,20050913_215310
KGRK20050914_025808,20050913_215808
KGRK20050914_030307,20050913_220307
KGRK20050914_231501,20050914_181501
KGRK20050914_232447,20050914_182447
KGRK20050914_233434,20050914_183434
KGRK20050914_234421,20050914_184421
KGRK20050914_235408,20050914_185408
KGRK20050915_000458,20050914_190458
KGRK20050915_001446,20050914_191446
KGRK20050915_002431,20050914_192431
KGRK20050915_003418,20050914_193418
KGRK20050915_004405,20050914_194405
KGRK20050915_005351,20050914_195351
KGRK20050915_010337,20050914_200337
KGRK20050915_011445,20050914_201445
KGRK20050915_012032,20050914_202032
KGRK20050915_012621,20050914_202621
KGRK20050915_013208,20050914_203208
KGRK20050915_013757,20050914_203757
KGRK20050915_014345,20050914_204345
KGRK20050915_014935,20050914_204935
KGRK20050915_015524,20050914_205524
KGRK20050915_020111,20050914_210111
KGRK20050915_020701,20050914_210701
KGRK20050915_021250,20050914_211250
KGRK20050915_021838,20050914_211838
KGRK20050915_022425,20050914_212425
KGRK20050915_023014,20050914_213014
KGRK20050915_023603,20050914_213603
KGRK20050915_024152,20050914_214152
KGRK20050915_024741,20050914_214741
KGRK20050915_025329,20050914_215329
KGRK20050915_025918,20050914_215918
KGRK20050915_030506,20050914_220506
KGRK20050915_230640,20050915_180640
KGRK20050915_231059,20050915_181059
KGRK20050915_231519,20050915_181519
KGRK20050915_231939,20050915_181939
KGRK20050915_232359,20050915_182359
KGRK20050915_232817,20050915_182817
KGRK20050915_233235,20050915_183235
KGRK20050915_233654,20050915_183654
KGRK20050915_234112,20050915_184112
KGRK20050915_234532,20050915_184532
KGRK20050915_234950,20050915_184950
KGRK20050915_235408,20050915_185408
KGRK20050915_235828,20050915_185828
KGRK20050916_000352,20050915_190352
KGRK20050916_000811,20050915_190811
KGRK20050916_001230,20050915_191230
KGRK20050916_001647,20050915_191647
KGRK20050916_002108,20050915_192108
KGRK20050916_002525,20050915_192525
KGRK20050916_002944,20050915_192944
KGRK20050916_003402,20050915_193402
KGRK20050916_003820,20050915_193820
KGRK20050916_004238,20050915_194238
KGRK20050916_004657,20050915_194657
KGRK20050916_005116,20050915_195116
KGRK20050916_005537,20050915_195537
KGRK20050916_005955,20050915_195955
KGRK20050916_010414,20050915_200414
KGRK20050916_010833,20050915_200833
KGRK20050916_011253,20050915_201253
KGRK20050916_011712,20050915_201712
KGRK20050916_012130,20050915_202130
KGRK20050916_012550,20050915_202550
KGRK20050916_013009,20050915_203009
KGRK20050916_013427,20050915_203427
KGRK20050916_013845,20050915_203845
KGRK20050916_014304,20050915_204304
KGRK20050916_014724,20050915_204724
KGRK20050916_015142,20050915_205142
KGRK20050916_015600,20050915_205600
KGRK20050916_020018,20050915_210018
KGRK20050916_020438,20050915_210438
KGRK20050916_020858,20050915_210858
KGRK20050916_021317,20050915_211317
KGRK20050916_021736,20050915_211736
KGRK20050916_022155,20050915_212155
KGRK20050916_022614,20050915_212614
KGRK20050916_023033,20050915_213033
KGRK20050916_023452,20050915_213452
KGRK20050916_023912,20050915_213912
KGRK20050916_024329,20050915_214329
KGRK20050916_024747,20050915_214747
KGRK20050916_025206,20050915_215206
KGRK20050916_025624,20050915_215624
KGRK20050916_030044,20050915_220044
