filename,local_time
KSJT20190101_222839_V06,20190101_162839
KSJT20190101_223823_V06,20190101_163823
KSJT20190101_224808_V06,20190101_164808
KSJT20190101_230738_V06,20190101_170738
KSJT20190101_231721_V06,20190101_171721
KSJT20190101_232705_V06,20190101_172705
KSJT20190101_233650_V06,20190101_173650
KSJT20190101_234633_V06,20190101_174633
KSJT20190102_000602_V06,20190101_180602
KSJT20190102_001547_V06,20190101_181547
KSJT20190102_002532_V06,20190101_182532
KSJT20190102_003517_V06,20190101_183517
KSJT20190102_004501_V06,20190101_184501
KSJT20190102_010428_V06,20190101_190428
KSJT20190102_011413_V06,20190101_191413
KSJT20190102_012355_V06,20190101_192355
KSJT20190102_013339_V06,20190101_193339
KSJT20190102_014323_V06,20190101_194323
KSJT20190102_020251_V06,20190101_200251
KSJT20190102_021234_V06,20190101_201234
KSJT20190102_222157_V06,20190102_162157
KSJT20190102_222551_V06,20190102_162551
KSJT20190102_222946_V06,20190102_162946
KSJT20190102_223341_V06,20190102_163341
KSJT20190102_223735_V06,20190102_163735
KSJT20190102_224129_V06,20190102_164129
KSJT20190102_224523_V06,20190102_164523
KSJT20190102_224923_V06,20190102_164923
KSJT20190102_225325_V06,20190102_165325
KSJT20190102_230116_V06,20190102_170116
KSJT20190102_230511_V06,20190102_170511
KSJT20190102_230905_V06,20190102_170905
KSJT20190102_231300_V06,20190102_171300
KSJT20190102_231654_V06,20190102_171654
KSJT20190102_232048_V06,20190102_172048
KSJT20190102_232442_V06,20190102_172442
KSJT20190102_232836_V06,20190102_172836
KSJT20190102_233230_V06,20190102_173230
KSJT20190102_233625_V06,20190102_173625
KSJT20190102_234020_V06,20190102_174020
KSJT20190102_234415_V06,20190102_174415
KSJT20190102_234811_V06,20190102_174811
KSJT20190102_235206_V06,20190102_175206
KSJT20190102_235600_V06,20190102_175600
KSJT20190103_000351_V06,20190102_180351
KSJT20190103_000747_V06,20190102_180747
KSJT20190103_001142_V06,20190102_181142
KSJT20190103_001535_V06,20190102_181535
KSJT20190103_001930_V06,20190102_181930
KSJT20190103_002326_V06,20190102_182326
KSJT20190103_002722_V06,20190102_182722
KSJT20190103_003118_V06,20190102_183118
KSJT20190103_003512_V06,20190102_183512
KSJT20190103_003907_V06,20190102_183907
KSJT20190103_004301_V06,20190102_184301
KSJT20190103_004655_V06,20190102_184655
KSJT20190103_005056_V06,20190102_185056
KSJT20190103_005504_V06,20190102_185504
KSJT20190103_010326_V06,20190102_190326
KSJT20190103_010742_V06,20190102_190742
KSJT20190103_011207_V06,20190102_191207
KSJT20190103_011632_V06,20190102_191632
KSJT20190103_012057_V06,20190102_192057
KSJT20190103_012512_V06,20190102_192512
KSJT20190103_012936_V06,20190102_192936
KSJT20190103_013401_V06,20190102_193401
KSJT20190103_013826_V06,20190102_193826
KSJT20190103_014250_V06,20190102_194250
KSJT20190103_014715_V06,20190102_194715
KSJT20190103_015139_V06,20190102_195139
KSJT20190103_020028_V06,20190102_200028
KSJT20190103_020453_V06,20190102_200453
KSJT20190103_020848_V06,20190102_200848
KSJT20190103_021242_V06,20190102_201242
KSJT20190103_021636_V06,20190102_201636
KSJT20190103_022031_V06,20190102_202031
KSJT20190103_222748_V06,20190103_162748
KSJT20190103_223728_V06,20190103_163728
KSJT20190103_224708_V06,20190103_164708
KSJT20190103_230629_V06,20190103_170629
KSJT20190103_231610_V06,20190103_171610
KSJT20190103_232549_V06,20190103_172549
KSJT20190103_233529_V06,20190103_173529
KSJT20190103_234509_V06,20190103_174509
KSJT20190104_000429_V06,20190103_180429
KSJT20190104_001409_V06,20190103_181409
KSJT20190104_002350_V06,20190103_182350
KSJT20190104_003330_V06,20190103_183330
KSJT20190104_004310_V06,20190103_184310
KSJT20190104_010232_V06,20190103_190232
KSJT20190104_011213_V06,20190103_191213
KSJT20190104_012153_V06,20190103_192153
KSJT20190104_013135_V06,20190103_193135
KSJT20190104_014115_V06,20190103_194115
KSJT20190104_020035_V06,20190103_200035
KSJT20190104_021014_V06,20190103_201014
KSJT20190104_021954_V06,20190103_201954
KSJT20190104_223057_V06,20190104_163057
KSJT20190104_224036_V06,20190104_164036
KSJT20190104_225017_V06,20190104_165017
KSJT20190104_230937_V06,20190104_170937
KSJT20190104_231917_V06,20190104_171917
KSJT20190104_232857_V06,20190104_172857
KSJT20190104_233836_V06,20190104_173836
KSJT20190104_234816_V06,20190104_174816
KSJT20190105_000735_V06,20190104_180735
KSJT20190105_001714_V06,20190104_181714
KSJT20190105_002654_V06,20190104_182654
KSJT20190105_003633_V06,20190104_183633
KSJT20190105_004614_V06,20190104_184614
KSJT20190105_010534_V06,20190104_190534
KSJT20190105_011513_V06,20190104_191513
KSJT20190105_012453_V06,20190104_192453
KSJT20190105_013431_V06,20190104_193431
KSJT20190105_014410_V06,20190104_194410
KSJT20190105_020329_V06,20190104_200329
KSJT20190105_021309_V06,20190104_201309
KSJT20190105_222437_V06,20190105_162437
KSJT20190105_223621_V06,20190105_163621
KSJT20190105_224600_V06,20190105_164600
KSJT20190105_230519_V06,20190105_170519
KSJT20190105_231458_V06,20190105_171458
KSJT20190105_232436_V06,20190105_172436
KSJT20190105_233415_V06,20190105_173415
KSJT20190105_234354_V06,20190105_174354
KSJT20190106_000312_V06,20190105_180312
KSJT20190106_001251_V06,20190105_181251
KSJT20190106_002231_V06,20190105_182231
KSJT20190106_003210_V06,20190105_183210
KSJT20190106_004148_V06,20190105_184148
KSJT20190106_010106_V06,20190105_190106
KSJT20190106_011045_V06,20190105_191045
KSJT20190106_012025_V06,20190105_192025
KSJT20190106_013004_V06,20190105_193004
KSJT20190106_013943_V06,20190105_193943
KSJT20190106_014923_V06,20190105_194923
KSJT20190106_020840_V06,20190105_200840
KSJT20190106_021818_V06,20190105_201818
KSJT20190106_222534_V06,20190106_162534
KSJT20190106_223512_V06,20190106_163512
KSJT20190106_224649_V06,20190106_164649
KSJT20190106_230605_V06,20190106_170605
KSJT20190106_231544_V06,20190106_171544
KSJT20190106_232523_V06,20190106_172523
KSJT20190106_232931_V06,20190106_172931
KSJT20190106_233325_V06,20190106_173325
KSJT20190106_233719_V06,20190106_173719
KSJT20190106_234114_V06,20190106_174114
KSJT20190106_234508_V06,20190106_174508
KSJT20190106_234902_V06,20190106_174902
KSJT20190106_235304_V06,20190106_175304
KSJT20190107_000051_V06,20190106_180051
KSJT20190107_000451_V06,20190106_180451
KSJT20190107_000851_V06,20190106_180851
KSJT20190107_001246_V06,20190106_181246
KSJT20190107_001641_V06,20190106_181641
KSJT20190107_002035_V06,20190106_182035
KSJT20190107_002429_V06,20190106_182429
KSJT20190107_002823_V06,20190106_182823
KSJT20190107_003217_V06,20190106_183217
KSJT20190107_003642_V06,20190106_183642
KSJT20190107_004105_V06,20190106_184105
KSJT20190107_004531_V06,20190106_184531
KSJT20190107_004956_V06,20190106_184956
KSJT20190107_005410_V06,20190106_185410
KSJT20190107_010241_V06,20190106_190241
KSJT20190107_010657_V06,20190106_190657
KSJT20190107_011121_V06,20190106_191121
KSJT20190107_011545_V06,20190106_191545
KSJT20190107_012009_V06,20190106_192009
KSJT20190107_012432_V06,20190106_192432
KSJT20190107_012847_V06,20190106_192847
KSJT20190107_013253_V06,20190106_193253
KSJT20190107_013714_V06,20190106_193714
KSJT20190107_014114_V06,20190106_194114
KSJT20190107_014514_V06,20190106_194514
KSJT20190107_014914_V06,20190106_194914
KSJT20190107_015327_V06,20190106_195327
KSJT20190107_020141_V06,20190106_200141
KSJT20190107_020548_V06,20190106_200548
KSJT20190107_020942_V06,20190106_200942
KSJT20190107_021336_V06,20190106_201336
KSJT20190107_021729_V06,20190106_201729
KSJT20190107_022123_V06,20190106_202123
KSJT20190107_222934_V06,20190107_162934
KSJT20190107_223913_V06,20190107_163913
KSJT20190107_230032_V06,20190107_170032
KSJT20190107_231011_V06,20190107_171011
KSJT20190107_231951_V06,20190107_171951
KSJT20190107_232928_V06,20190107_172928
KSJT20190107_233905_V06,20190107_173905
KSJT20190107_234843_V06,20190107_174843
KSJT20190108_000800_V06,20190107_180800
