track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KDFX20080103_005125,-1384,0.276,196.77,229.360992,10.436478,-100.81,29.590083,5218.238831,20080102_185125
1,KDFX20080106_004141,-1396,0.060,261.26,524.128845,12.482544,-100.48,28.261234,6241.271973,20080105_184141
1,KDFX20080106_005123,-1386,0.202,264.85,522.368438,20.846060,-100.46,28.269202,10423.030200,20080105_185123
1,KDFX20080106_010104,-1376,0.141,260.52,525.649775,31.226353,-100.48,28.254367,15613.176575,20080105_190104
1,KDFX20080106_011046,-1367,0.085,263.12,524.298263,39.747285,-100.47,28.260483,19873.642661,20080105_191046
1,KDFX20080107_014752,-1331,0.059,26.03,248.073914,24.501232,-101.69,29.499267,12250.616074,20080106_194752
1,KDFX20080108_004735,-1392,0.344,33.43,511.900757,40.872536,-101.64,28.309644,20436.267853,20080107_184735
1,KDFX20080108_005716,-1382,0.647,40.74,504.051883,50.874323,-101.60,28.345424,25437.161528,20080107_185716
1,KDFX20080108_010657,-1373,0.135,48.38,481.742355,54.158157,-101.56,28.446443,27079.078624,20080107_190657
1,KDFX20080108_011638,-1363,0.146,63.63,465.440855,56.302788,-101.49,28.520704,28151.394143,20080107_191638
1,KDFX20080108_012619,-1353,0.072,91.52,448.575897,46.056488,-101.35,28.597994,23028.244019,20080107_192619
2,KDFX20080108_004735,-1392,0.133,494.45,281.974060,13.327042,-99.28,29.350064,6663.520813,20080107_184735
2,KDFX20080108_005716,-1382,0.135,495.04,280.186241,23.080107,-99.28,29.358105,11540.053293,20080107_185716
2,KDFX20080108_010657,-1373,0.088,497.00,277.835205,19.796814,-99.27,29.368634,9898.406982,20080107_190657
2,KDFX20080108_011638,-1363,0.189,496.01,276.456995,29.323503,-99.27,29.374889,14661.751312,20080107_191638
2,KDFX20080108_012619,-1353,0.112,498.37,274.635315,26.032318,-99.26,29.383013,13016.159058,20080107_192619
3,KDFX20080108_005716,-1382,0.106,308.09,522.580505,17.486839,-100.24,28.268359,8743.419647,20080107_185716
3,KDFX20080108_010657,-1373,0.094,306.81,524.501302,31.636527,-100.25,28.259695,15818.263555,20080107_190657
6,KDFX20080109_005821,-1381,0.417,242.68,215.516907,17.980911,-100.58,29.653264,8990.455627,20080108_185821
6,KDFX20080109_010803,-1371,0.247,239.21,209.281564,35.997994,-100.59,29.681349,17998.997077,20080108_190803
