track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
5,KEWX20160102_012123_V06,-1343,0.136,24.60,312.223083,27.144405,-99.45,29.640841,13572.202682,20160101_192123
2,KEWX20160103_223945_V06,-66,0.566,326.29,150.663635,4.964905,-97.89,30.377117,2482.452393,20160103_163945
2,KEWX20160103_224901_V06,-56,0.493,326.76,153.540681,12.446543,-97.89,30.364138,6223.271653,20160103_164901
2,KEWX20160103_225817_V06,-47,0.277,322.24,158.473311,13.869002,-97.91,30.341913,6934.501021,20160103_165817
2,KEWX20160103_230734_V06,-38,0.426,325.43,155.760577,19.683326,-97.90,30.354133,9841.662933,20160103_170734
2,KEWX20160103_231651_V06,-29,0.124,326.55,160.041988,21.315960,-97.89,30.334817,10657.979763,20160103_171651
2,KEWX20160103_232607_V06,-19,-1.000,327.94,163.789692,23.758288,-97.88,30.317906,11879.143809,20160103_172607
2,KEWX20160103_233523_V06,-10,0.058,328.97,170.333807,25.578207,-97.88,30.288384,12789.103392,20160103_173523
6,KEWX20160106_001228_V06,-1415,0.127,394.35,389.973145,24.637215,-97.54,29.296865,12318.607330,20160105_181228
6,KEWX20160106_002145_V06,-1406,0.514,394.78,384.615324,29.371232,-97.54,29.321026,14685.616169,20160105_182145
3,KEWX20160105_231650_V06,-30,0.122,308.64,130.261322,32.974800,-97.98,30.469199,16487.400055,20160105_171650
3,KEWX20160108_003135_V06,-1398,0.132,162.90,202.961792,16.089550,-98.74,30.139395,8044.775009,20160107_183135
3,KEWX20160108_004050_V06,-1389,0.054,166.07,204.407313,25.558793,-98.72,30.132963,12779.396359,20160107_184050
3,KEWX20160108_005005_V06,-1379,0.517,172.13,204.024904,30.496914,-98.69,30.134849,15248.456870,20160107_185005
3,KEWX20160108_005921_V06,-1370,0.490,175.79,200.299682,39.234007,-98.67,30.151744,19617.003503,20160107_185921
3,KEWX20160108_010837_V06,-1361,0.443,180.31,207.651763,42.624967,-98.65,30.118697,21312.483260,20160107_190837
3,KEWX20160108_011754_V06,-1352,0.112,178.64,192.998472,61.909661,-98.66,30.184746,30954.830440,20160107_191754
2,KEWX20160108_002220_V06,-1407,0.618,359.36,163.602020,11.082588,-97.72,30.318473,5541.294098,20160107_182220
2,KEWX20160108_003135_V06,-1398,0.868,358.94,162.967195,13.954195,-97.72,30.321341,6977.097461,20160107_183135
1,KEWX20160107_235432_V06,6,0.084,211.07,337.529236,6.482704,-98.49,29.533530,3241.352081,20160107_175432
5,KEWX20160108_004050_V06,-1389,0.631,246.42,330.166016,24.086979,-98.30,29.567250,12043.489456,20160107_184050
7,KEWX20160108_005921_V06,-1370,0.327,357.39,170.661072,5.303482,-97.73,30.286658,2651.741028,20160107_185921
6,KEWX20160109_012234_V06,-1347,0.085,37.63,453.700195,42.091282,-99.37,29.003436,21045.640945,20160108_192234
6,KEWX20160109_012537_V06,-1344,0.096,38.03,452.526329,46.285119,-99.37,29.008752,23142.559298,20160108_192537
6,KEWX20160109_012840_V06,-1341,0.091,39.96,452.314567,49.206901,-99.36,29.009807,24603.450620,20160108_192840
6,KEWX20160109_013143_V06,-1338,0.071,46.29,445.922949,50.813503,-99.33,29.038960,25406.751350,20160108_193143
11,KEWX20160109_014356_V06,-1326,0.094,21.69,266.489868,29.263237,-99.47,29.846934,14631.618500,20160108_194356
11,KEWX20160109_014700_V06,-1322,0.219,22.21,265.416426,34.652580,-99.47,29.851804,17326.290088,20160108_194700
11,KEWX20160109_015003_V06,-1319,0.159,24.44,263.766895,36.215957,-99.45,29.859368,18107.978603,20160108_195003
12,KEWX20160109_020824_V06,-1301,0.088,31.37,169.267883,60.124672,-99.42,30.285919,30062.335968,20160108_200824
12,KEWX20160109_021127_V06,-1298,0.072,31.37,168.634480,64.049919,-99.42,30.288776,32024.959683,20160108_201127
12,KEWX20160109_021430_V06,-1295,0.114,35.07,166.754655,70.002554,-99.41,30.297454,35001.276825,20160108_201430
1,KEWX20160109_002634_V06,-1403,0.130,22.06,200.598877,30.655781,-99.47,30.144109,15327.890396,20160108_182634
1,KEWX20160109_002949_V06,-1400,-1.000,22.06,200.598877,35.425781,-99.47,30.144109,17712.890396,20160108_182949
1,KEWX20160109_003302_V06,-1396,0.152,25.13,199.179983,39.142866,-99.45,30.150681,19571.433151,20160108_183302
2,KEWX20160109_002949_V06,-1400,0.310,27.05,218.629028,44.583149,-99.44,30.063077,22291.574478,20160108_182949
5,KEWX20160109_011020_V06,-1359,0.096,27.08,263.205505,37.705696,-99.44,29.862046,18852.848053,20160108_191020
7,KEWX20160109_012840_V06,-1341,0.053,20.53,185.523315,18.409302,-99.48,30.212008,9204.650879,20160108_192840
7,KEWX20160109_013143_V06,-1338,0.094,22.71,196.574707,28.396154,-99.47,30.162293,14198.077202,20160108_193143
10,KEWX20160109_013750_V06,-1332,0.064,26.12,136.345764,31.829708,-99.45,30.434093,15914.854050,20160108_193750
1,KEWX20160109_223237_V06,-77,0.066,260.67,44.290283,11.791019,-98.23,30.856780,5895.509720,20160109_163237
1,KEWX20160109_224153_V06,-68,0.251,266.49,50.166218,18.258011,-98.20,30.830324,9129.005608,20160109_164153
1,KEWX20160109_225314_V06,-56,-1.000,273.72,57.460481,27.601863,-98.17,30.797472,13800.931538,20160109_165314
1,KEWX20160109_230229_V06,-47,-1.000,279.14,62.931178,34.609752,-98.14,30.772825,17304.875986,20160109_170229
1,KEWX20160109_231146_V06,-38,0.177,279.55,68.106406,32.230035,-98.13,30.749487,16115.017409,20160109_171146
1,KEWX20160109_232103_V06,-28,0.128,287.00,74.735848,35.844041,-98.10,30.719614,17922.020616,20160109_172103
1,KEWX20160109_233018_V06,-19,0.147,295.86,87.806072,36.544497,-98.05,30.660682,18272.248396,20160109_173018
