track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KGRK20160101_223206_V06,-67,0.078,301.06,212.268433,10.172287,-97.38,31.117327,5086.143494,20160101_163206
2,KGRK20160101_223206_V06,-67,0.063,399.28,317.588440,10.562836,-96.86,30.641313,5281.417847,20160101_163206
3,KGRK20160101_230926_V06,-30,0.103,401.74,325.900208,13.464706,-96.85,30.603775,6732.353210,20160101_170926
6,KGRK20160103_005420_V06,-1366,0.056,24.50,202.131409,37.568233,-98.83,31.155006,18784.116745,20160102_185420
6,KGRK20160103_005921_V06,-1361,0.081,24.96,201.475144,44.215060,-98.83,31.157992,22107.529835,20160102_185921
6,KGRK20160103_010421_V06,-1356,0.211,26.15,204.419962,45.952579,-98.82,31.144783,22976.289556,20160102_190421
3,KGRK20160102_224916_V06,-50,0.455,398.69,320.427917,8.523735,-96.87,30.628519,4261.867523,20160102_164916
1,KGRK20160103_224456_V06,-56,0.431,196.39,379.234772,8.808212,-97.92,30.363192,4404.106140,20160103_164456
1,KGRK20160103_225442_V06,-46,0.810,194.84,382.336654,14.129398,-97.93,30.349169,7064.699018,20160103_165442
1,KGRK20160103_230429_V06,-36,0.067,203.32,385.409412,15.422837,-97.89,30.335488,7711.418354,20160103_170429
1,KGRK20160103_231415_V06,-26,0.085,202.30,385.379883,18.684869,-97.89,30.335601,9342.434497,20160103_171415
5,KGRK20160103_233345_V06,-7,0.102,403.96,325.487335,16.283516,-96.84,30.605589,8141.757965,20160103_173345
5,KGRK20160103_233659_V06,-4,0.134,404.25,325.472725,20.285258,-96.84,30.605649,10142.629092,20160103_173659
5,KGRK20160103_234013_V06,0,0.168,407.18,321.645649,24.795785,-96.82,30.622844,12397.892492,20160103_174013
3,KGRK20160103_224456_V06,-56,0.088,298.38,213.491608,8.696114,-97.39,31.111811,4348.056793,20160103_164456
1,KGRK20160105_224900_V06,-53,0.196,430.48,238.413940,8.678467,-96.70,30.997621,4339.233398,20160105_164900
2,KGRK20160105_230835_V06,-34,0.101,401.58,372.553619,7.766830,-96.85,30.393369,3883.415222,20160105_170835
6,KGRK20160108_000302_V06,-1421,0.865,244.33,342.646362,7.833717,-97.67,30.529008,3916.858673,20160107_180302
6,KGRK20160108_001247_V06,-1412,0.884,244.13,335.563799,17.002075,-97.67,30.560949,8501.037256,20160107_181247
6,KGRK20160108_002231_V06,-1402,0.852,243.86,329.499691,23.640228,-97.68,30.588295,11820.114167,20160107_182231
6,KGRK20160108_003216_V06,-1392,0.436,245.08,324.221390,32.080803,-97.67,30.612115,16040.401371,20160107_183216
2,KGRK20160107_233708_V06,-6,0.303,293.35,104.814514,9.516937,-97.42,31.601892,4758.468628,20160107_173708
2,KGRK20160107_234021_V06,-3,0.100,293.16,104.413123,13.757060,-97.42,31.603702,6878.529778,20160107_174021
3,KGRK20160107_235633_V06,13,0.188,244.21,347.689178,2.880157,-97.67,30.506263,1440.078735,20160107_175633
3,KGRK20160107_235947_V06,16,0.614,244.12,347.059245,8.115439,-97.67,30.509103,4057.719610,20160107_175947
8,KGRK20160108_001247_V06,-1412,0.062,240.86,390.414124,3.665989,-97.69,30.313525,1832.994461,20160107_181247
8,KGRK20160108_002231_V06,-1402,0.099,239.51,387.769111,17.636467,-97.70,30.325438,8818.233251,20160107_182231
8,KGRK20160108_003216_V06,-1392,-1.000,238.25,385.273817,31.716162,-97.70,30.336676,15858.081167,20160107_183216
8,KGRK20160108_004202_V06,-1382,0.277,236.09,384.018585,17.262051,-97.72,30.342310,8631.025314,20160107_184202
8,KGRK20160108_005148_V06,-1373,0.682,234.94,384.057477,21.356042,-97.72,30.342119,10678.020867,20160107_185148
1,KGRK20160107_233708_V06,-6,0.395,293.96,50.283386,8.576958,-97.41,31.847790,4288.478851,20160107_173708
4,KGRK20160109_002129_V06,-1404,0.054,248.89,346.510681,8.358166,-97.65,30.511630,4179.082870,20160108_182129
4,KGRK20160109_002537_V06,-1400,0.207,249.89,345.452620,15.016630,-97.64,30.516413,7508.314778,20160108_182537
4,KGRK20160109_002945_V06,-1396,0.275,250.57,345.774880,17.319876,-97.64,30.514966,8659.937927,20160108_182945
4,KGRK20160109_003346_V06,-1392,-1.000,251.25,345.827232,20.679710,-97.64,30.514737,10339.855092,20160108_183346
4,KGRK20160109_003754_V06,-1388,0.372,251.88,340.418121,20.322764,-97.63,30.539139,10161.382119,20160108_183754
4,KGRK20160109_004201_V06,-1383,0.570,252.65,340.183635,20.674635,-97.63,30.540205,10337.317574,20160108_184201
4,KGRK20160109_004608_V06,-1379,0.230,253.65,339.081989,23.137766,-97.62,30.545183,11568.882955,20160108_184608
7,KGRK20160109_011027_V06,-1355,0.055,27.01,408.753052,52.292984,-98.80,30.223429,26146.492004,20160108_191027
7,KGRK20160109_011428_V06,-1351,0.122,26.61,407.564786,57.213475,-98.80,30.228766,28606.737639,20160108_191428
7,KGRK20160109_011836_V06,-1347,0.118,25.78,401.560489,56.605056,-98.81,30.255796,28302.527761,20160108_191836
2,KGRK20160109_000506_V06,-1420,0.130,244.98,350.454102,3.253727,-97.67,30.493802,1626.863480,20160108_180506
2,KGRK20160109_000926_V06,-1416,-1.000,244.98,350.454102,9.613727,-97.67,30.493802,4806.863480,20160108_180926
2,KGRK20160109_001328_V06,-1412,0.065,245.73,353.172908,12.360911,-97.67,30.481548,6180.455747,20160108_181328
13,KGRK20160110_005017_V06,-1376,0.087,161.01,397.533417,16.388859,-98.11,30.279769,8194.429398,20160109_185017
13,KGRK20160110_010004_V06,-1366,0.196,166.10,405.644254,23.680011,-98.08,30.243333,11840.005677,20160109_190004
13,KGRK20160110_010952_V06,-1357,0.218,159.43,413.226760,34.945090,-98.11,30.208944,17472.544773,20160109_190952
13,KGRK20160110_011940_V06,-1347,0.385,164.71,421.248731,39.895036,-98.09,30.172915,19947.518135,20160109_191940
13,KGRK20160110_012927_V06,-1337,0.435,173.93,431.570980,43.794967,-98.04,30.126609,21897.483460,20160109_192927
13,KGRK20160110_013915_V06,-1327,0.586,182.17,444.756436,43.108088,-97.99,30.067347,21554.043954,20160109_193915
13,KGRK20160110_014902_V06,-1317,0.161,184.94,451.425760,45.128968,-97.98,30.037333,22564.483927,20160109_194902
13,KGRK20160110_015850_V06,-1308,0.088,200.99,462.817474,38.870068,-97.90,29.986307,19435.033798,20160109_195850
11,KGRK20160110_004031_V06,-1386,0.195,94.38,378.786621,18.039248,-98.45,30.361926,9019.623756,20160109_184031
11,KGRK20160110_005017_V06,-1376,-1.000,94.38,378.786621,33.939248,-98.45,30.361926,16969.623756,20160109_185017
11,KGRK20160110_010004_V06,-1366,0.398,102.87,392.790892,33.020193,-98.41,30.299125,16510.096257,20160109_190004
11,KGRK20160110_010952_V06,-1357,0.271,111.14,403.590885,34.709314,-98.36,30.250749,17354.657194,20160109_190952
11,KGRK20160110_011940_V06,-1347,0.288,121.72,416.454143,35.428249,-98.31,30.193139,17714.124724,20160109_191940
3,KGRK20160109_224625_V06,-59,0.083,85.83,199.752258,25.838190,-98.51,31.168914,12919.095039,20160109_164625
3,KGRK20160109_225612_V06,-49,0.054,90.94,200.907255,38.383177,-98.48,31.163934,19191.588467,20160109_165612
6,KGRK20160109_232534_V06,-20,0.274,125.32,248.226013,22.898134,-98.30,30.951949,11449.067116,20160109_172534
6,KGRK20160109_232849_V06,-17,0.097,126.02,249.253944,26.791992,-98.29,30.947339,13395.995814,20160109_172849
8,KGRK20160110_002057_V06,-1406,0.106,54.16,335.578247,34.604961,-98.66,30.554887,17302.480698,20160109_182057
8,KGRK20160110_003044_V06,-1396,0.153,62.66,341.072312,42.128646,-98.62,30.530541,21064.323183,20160109_183044
1,KGRK20160109_223639_V06,-69,0.117,396.84,349.896240,62.151539,-96.88,30.495654,31075.769424,20160109_163639
1,KGRK20160109_224625_V06,-59,0.098,386.26,319.280853,17.120415,-96.93,30.633933,8560.207367,20160109_164625
4,KGRK20160109_231546_V06,-30,0.087,120.22,235.801453,26.146614,-98.32,31.007787,13073.307037,20160109_171546
5,KGRK20160109_231546_V06,-30,0.082,402.78,320.354736,20.278717,-96.85,30.628763,10139.358521,20160109_171546
7,KGRK20160110_000122_V06,-1425,0.052,249.43,198.485992,47.852600,-97.65,31.179211,23926.300049,20160109_180122
9,KGRK20160110_002057_V06,-1406,0.050,377.85,329.645447,23.016167,-96.98,30.587333,11508.083344,20160109_182057
12,KGRK20160110_004031_V06,-1386,0.097,342.89,216.177307,57.684631,-97.16,31.099505,28842.315674,20160109_184031
1,KGRK20160110_221637_V06,-90,0.060,298.54,302.853607,18.940582,-97.39,30.708800,9470.291138,20160110_161637
2,KGRK20160111_011918_V06,-1347,0.068,155.84,180.191101,2.710743,-98.14,31.259781,1355.371475,20160110_191918
1,KGRK20160112_232529_V06,-22,0.055,282.67,181.988831,8.701584,-97.47,31.253847,4350.791931,20160112_172529
1,KGRK20160113_231753_V06,-31,0.092,283.52,181.897888,1.994987,-97.47,31.254260,997.493744,20160113_171753
3,KGRK20160113_233725_V06,-11,0.085,421.66,372.576569,22.204609,-96.75,30.392798,11102.304459,20160113_173725
1,KGRK20160115_000454_V06,-1426,0.578,245.24,344.944550,5.167423,-97.67,30.518653,2583.711624,20160114_180454
1,KGRK20160115_001440_V06,-1416,0.860,248.92,338.886794,12.586564,-97.65,30.546015,6293.282168,20160114_181440
1,KGRK20160115_002427_V06,-1406,0.915,253.70,331.670889,20.830687,-97.62,30.578608,10415.343702,20160114_182427
1,KGRK20160115_003414_V06,-1396,0.061,254.09,328.156040,31.187563,-97.62,30.594464,15593.781326,20160114_183414
1,KGRK20160115_004401_V06,-1386,-1.000,254.65,324.491111,41.456045,-97.62,30.610999,20728.022517,20160114_184401
1,KGRK20160115_005348_V06,-1377,0.749,252.44,317.732180,38.484986,-97.63,30.641460,19242.493214,20160114_185348
3,KGRK20160115_001440_V06,-1416,0.187,398.50,296.096497,7.064423,-96.87,30.738256,3532.211304,20160114_181440
3,KGRK20160115_002427_V06,-1406,0.145,397.80,293.044422,18.307874,-96.87,30.752035,9153.936872,20160114_182427
4,KGRK20160115_002427_V06,-1406,0.070,238.47,392.571259,7.952953,-97.70,30.303766,3976.476669,20160114_182427
3,KGRK20160116_000800_V06,-1423,0.724,243.36,347.237976,9.642975,-97.68,30.508288,4821.487427,20160115_180800
3,KGRK20160116_001115_V06,-1420,0.062,243.37,347.228490,14.670032,-97.68,30.508331,7335.015907,20160115_181115
3,KGRK20160116_002100_V06,-1410,0.898,243.47,343.814266,16.857664,-97.68,30.523730,8428.831847,20160115_182100
3,KGRK20160116_003045_V06,-1401,0.837,244.55,341.364401,22.962122,-97.67,30.534792,11481.060915,20160115_183045
3,KGRK20160116_004030_V06,-1391,0.339,245.08,345.672629,29.289820,-97.67,30.515368,14644.909898,20160115_184030
3,KGRK20160116_005015_V06,-1381,0.103,246.02,342.401055,39.784964,-97.66,30.530134,19892.482217,20160115_185015
3,KGRK20160116_010001_V06,-1371,0.057,246.05,335.687365,42.835832,-97.66,30.560413,21417.916213,20160115_190001
1,KGRK20160115_222350_V06,-87,0.089,379.38,45.062866,32.295097,-96.96,31.870658,16147.548676,20160115_162350
2,KGRK20160115_232228_V06,-28,0.116,284.67,168.373260,14.742966,-97.46,31.315255,7371.482849,20160115_172228
5,KGRK20160116_001115_V06,-1420,0.112,244.66,391.485901,6.934349,-97.67,30.308737,3467.174530,20160115_181115
8,KGRK20160116_002100_V06,-1410,0.063,397.21,305.659882,9.091606,-96.88,30.695153,4545.803070,20160115_182100
1,KGRK20160117_005835_V06,-1373,0.112,288.47,194.401550,2.069427,-97.44,31.197888,1034.713745,20160116_185835
4,KGRK20160120_004435_V06,-1390,0.075,247.51,335.249603,17.349316,-97.66,30.562404,8674.657822,20160119_184435
4,KGRK20160120_005422_V06,-1380,0.757,248.97,334.513976,19.614059,-97.65,30.565738,9807.029488,20160119_185422
4,KGRK20160120_010409_V06,-1370,-1.000,250.35,333.819989,22.650609,-97.64,30.568882,11325.304646,20160119_190409
4,KGRK20160120_011355_V06,-1361,0.765,248.94,334.854792,23.531474,-97.65,30.564200,11765.737228,20160119_191355
4,KGRK20160120_012342_V06,-1351,-1.000,248.71,335.173537,25.437725,-97.65,30.562760,12718.862689,20160119_192342
4,KGRK20160120_013329_V06,-1341,0.083,239.21,356.115358,31.404657,-97.70,30.468199,15702.328522,20160119_193329
2,KGRK20160120_002501_V06,-1409,0.760,399.01,289.274170,9.413437,-96.87,30.769013,4706.718445,20160119_182501
2,KGRK20160120_003448_V06,-1400,0.051,399.42,288.054854,17.352755,-96.86,30.774504,8676.377576,20160119_183448
1,KGRK20160119_235541_V06,2,0.131,296.17,153.653992,1.665398,-97.40,31.381656,832.698822,20160119_175541
8,KGRK20160120_014316_V06,-1331,0.084,252.73,154.447784,1.741821,-97.63,31.377840,870.910645,20160119_194316
1,KGRK20160123_223549_V06,-82,0.083,265.15,181.403748,6.290070,-97.57,31.256388,3145.034790,20160123_163549
