track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
3,KSJT20120102_015519_V03,-1315,0.153,266.16,360.316284,14.712753,-100.67,31.098982,7356.376648,20120101_195519
3,KSJT20120102_020506_V03,-1305,0.192,265.64,361.465414,21.252232,-100.67,31.093796,10626.115927,20120101_200506
1,KSJT20120101_235815_V03,9,0.069,264.96,359.794434,13.975731,-100.68,31.101327,6987.865448,20120101_175815
2,KSJT20120102_011619_V03,-1354,0.077,266.93,359.925690,12.367340,-100.67,31.100749,6183.670044,20120101_191619
3,KSJT20120103_013936_V03,-1332,0.084,266.80,358.306610,13.331593,-100.67,31.108050,6665.796280,20120102_193936
3,KSJT20120103_014922_V03,-1322,0.269,265.48,359.797089,11.971748,-100.67,31.101319,5985.874176,20120102_194922
1,KSJT20120103_222233_V03,-89,0.233,264.91,359.979828,12.398666,-100.68,31.100491,6199.333191,20120103_162233
2,KSJT20120103_235121_V03,0,0.067,265.47,361.452728,14.206360,-100.67,31.093852,7103.179932,20120103_175121
3,KSJT20120104_003022_V03,-1402,0.408,265.63,358.937408,11.999619,-100.67,31.105197,5999.809265,20120103_183022
1,KSJT20120104_223336_V03,-79,0.162,503.30,343.014679,10.127666,-99.43,31.172698,5063.833237,20120104_163336
1,KSJT20120104_224322_V03,-69,0.054,502.61,347.592912,20.557335,-99.43,31.152083,10278.667747,20120104_164322
1,KSJT20120104_225307_V03,-59,-1.000,501.97,351.912000,31.296646,-99.43,31.132635,15648.322946,20120104_165307
1,KSJT20120104_230252_V03,-50,0.050,494.52,360.077576,18.146244,-99.47,31.096130,9073.122025,20120104_170252
1,KSJT20120104_231237_V03,-40,0.078,490.97,363.198162,25.120445,-99.49,31.082204,12560.222721,20120104_171237
3,KSJT20120105_003043_V03,-1402,0.116,511.99,327.787781,18.686676,-99.38,31.240972,9343.338013,20120104_183043
4,KSJT20120105_010056_V03,-1372,0.116,507.71,341.619324,15.883835,-99.40,31.178795,7941.917419,20120104_190056
1,KSJT20120105_235919_V03,7,0.124,265.59,359.669159,12.145550,-100.67,31.101897,6072.774887,20120105_175919
2,KSJT20120106_015716_V03,-1316,0.080,265.54,360.255859,14.227318,-100.67,31.099250,7113.658905,20120105_195716
1,KSJT20120106_223623_V03,-77,0.385,263.03,360.476807,14.087437,-100.69,31.098235,7043.718338,20120106_163623
2,KSJT20120106_223623_V03,-77,0.111,360.84,235.962738,8.029495,-100.17,31.659482,4014.747620,20120106_163623
6,KSJT20120109_001301_V03,-1423,0.067,345.59,415.264221,6.532974,-100.25,30.851078,3266.487122,20120108_181301
6,KSJT20120109_002247_V03,-1414,-1.000,345.59,415.264221,20.842974,-100.25,30.851078,10421.487122,20120108_182247
6,KSJT20120109_003232_V03,-1404,-1.000,345.59,415.264221,36.742974,-100.25,30.851078,18371.487122,20120108_183232
6,KSJT20120109_004218_V03,-1394,-1.000,345.59,415.264221,52.642974,-100.25,30.851078,26321.487122,20120108_184218
6,KSJT20120109_005203_V03,-1384,0.052,350.58,423.346821,53.381078,-100.23,30.814575,26690.539118,20120108_185203
6,KSJT20120109_010148_V03,-1375,0.056,341.09,413.357512,52.161705,-100.28,30.859719,26080.852437,20120108_190148
1,KSJT20120108_230442_V03,-51,0.053,402.66,502.746613,15.411366,-99.96,30.455635,7705.682755,20120108_170442
1,KSJT20120108_231427_V03,-41,0.084,401.61,499.819642,25.170329,-99.96,30.468859,12585.164520,20120108_171427
