filename,local_time
KDFX20100101_212943_V04,20100101_152943
KDFX20100101_213953_V04,20100101_153953
KDFX20100101_215001_V04,20100101_155001
KDFX20100101_220113_V04,20100101_160113
KDFX20100101_221122_V04,20100101_161122
KDFX20100101_222133_V04,20100101_162133
KDFX20100101_223142_V04,20100101_163142
KDFX20100101_224152_V04,20100101_164152
KDFX20100101_225202_V04,20100101_165202
KDFX20100101_230209_V04,20100101_170209
KDFX20100101_231220_V04,20100101_171220
KDFX20100101_232229_V04,20100101_172229
KDFX20100101_233238_V04,20100101_173238
KDFX20100101_234248_V04,20100101_174248
KDFX20100101_235257_V04,20100101_175257
KDFX20100102_000307_V04,20100101_180307
KDFX20100102_001315_V04,20100101_181315
KDFX20100102_002323_V04,20100101_182323
KDFX20100102_003333_V04,20100101_183333
KDFX20100102_004343_V04,20100101_184343
KDFX20100102_005352_V04,20100101_185352
KDFX20100102_010401_V04,20100101_190401
KDFX20100102_011409_V04,20100101_191409
KDFX20100102_012419_V04,20100101_192419
KDFX20100102_013427_V04,20100101_193427
KDFX20100102_014438_V04,20100101_194438
KDFX20100102_015447_V04,20100101_195447
KDFX20100102_020455_V04,20100101_200455
KDFX20100102_021505_V04,20100101_201505
KDFX20100102_212639_V04,20100102_152639
KDFX20100102_213648_V04,20100102_153648
KDFX20100102_214658_V04,20100102_154658
KDFX20100102_215709_V04,20100102_155709
KDFX20100102_220718_V04,20100102_160718
KDFX20100102_221728_V04,20100102_161728
KDFX20100102_222839_V04,20100102_162839
KDFX20100102_223850_V04,20100102_163850
KDFX20100102_224900_V04,20100102_164900
KDFX20100102_225910_V04,20100102_165910
KDFX20100102_230919_V04,20100102_170919
KDFX20100102_231928_V04,20100102_171928
KDFX20100102_232939_V04,20100102_172939
KDFX20100102_233948_V04,20100102_173948
KDFX20100102_234957_V04,20100102_174957
KDFX20100103_000007_V04,20100102_180007
KDFX20100103_001017_V04,20100102_181017
KDFX20100103_002027_V04,20100102_182027
KDFX20100103_003037_V04,20100102_183037
KDFX20100103_004045_V04,20100102_184045
KDFX20100103_005056_V04,20100102_185056
KDFX20100103_010104_V04,20100102_190104
KDFX20100103_011114_V04,20100102_191114
KDFX20100103_012123_V04,20100102_192123
KDFX20100103_013133_V04,20100102_193133
KDFX20100103_014142_V04,20100102_194142
KDFX20100103_015151_V04,20100102_195151
KDFX20100103_020201_V04,20100102_200201
KDFX20100103_021210_V04,20100102_201210
KDFX20100103_022219_V04,20100102_202219
