filename,local_time
KEWX20120101_211941_V03,20120101_151941
KEWX20120101_212923_V03,20120101_152923
KEWX20120101_213905_V03,20120101_153905
KEWX20120101_214847_V03,20120101_154847
KEWX20120101_215829_V03,20120101_155829
KEWX20120101_220812_V03,20120101_160812
KEWX20120101_221754_V03,20120101_161754
KEWX20120101_222736_V03,20120101_162736
KEWX20120101_223718_V03,20120101_163718
KEWX20120101_224700_V03,20120101_164700
KEWX20120101_225641_V03,20120101_165641
KEWX20120101_230623_V03,20120101_170623
KEWX20120101_231605_V03,20120101_171605
KEWX20120101_232546_V03,20120101_172546
KEWX20120101_233528_V03,20120101_173528
KEWX20120101_234510_V03,20120101_174510
KEWX20120101_235452_V03,20120101_175452
KEWX20120102_000433_V03,20120101_180433
KEWX20120102_001415_V03,20120101_181415
KEWX20120102_002357_V03,20120101_182357
KEWX20120102_003339_V03,20120101_183339
KEWX20120102_004320_V03,20120101_184320
KEWX20120102_005358_V03,20120101_185358
KEWX20120102_010340_V03,20120101_190340
KEWX20120102_011323_V03,20120101_191323
KEWX20120102_012304_V03,20120101_192304
KEWX20120102_013246_V03,20120101_193246
KEWX20120102_014227_V03,20120101_194227
KEWX20120102_015209_V03,20120101_195209
KEWX20120102_020151_V03,20120101_200151
KEWX20120102_021134_V03,20120101_201134
KEWX20120102_211914_V03,20120102_151914
KEWX20120102_212856_V03,20120102_152856
KEWX20120102_213839_V03,20120102_153839
KEWX20120102_214822_V03,20120102_154822
KEWX20120102_215804_V03,20120102_155804
KEWX20120102_220746_V03,20120102_160746
KEWX20120102_221729_V03,20120102_161729
KEWX20120102_222712_V03,20120102_162712
KEWX20120102_223655_V03,20120102_163655
KEWX20120102_224637_V03,20120102_164637
KEWX20120102_225619_V03,20120102_165619
KEWX20120102_230602_V03,20120102_170602
KEWX20120102_231544_V03,20120102_171544
KEWX20120102_232527_V03,20120102_172527
KEWX20120102_233509_V03,20120102_173509
KEWX20120102_234452_V03,20120102_174452
KEWX20120102_235434_V03,20120102_175434
KEWX20120103_000417_V03,20120102_180417
KEWX20120103_001359_V03,20120102_181359
KEWX20120103_002341_V03,20120102_182341
KEWX20120103_003324_V03,20120102_183324
KEWX20120103_004306_V03,20120102_184306
KEWX20120103_005248_V03,20120102_185248
KEWX20120103_010231_V03,20120102_190231
KEWX20120103_011309_V03,20120102_191309
KEWX20120103_012251_V03,20120102_192251
KEWX20120103_013234_V03,20120102_193234
KEWX20120103_014216_V03,20120102_194216
KEWX20120103_015159_V03,20120102_195159
KEWX20120103_020141_V03,20120102_200141
KEWX20120103_021123_V03,20120102_201123
KEWX20120103_212503_V03,20120103_152503
KEWX20120103_213446_V03,20120103_153446
KEWX20120103_214428_V03,20120103_154428
KEWX20120103_215411_V03,20120103_155411
KEWX20120103_220354_V03,20120103_160354
KEWX20120103_221336_V03,20120103_161336
KEWX20120103_222319_V03,20120103_162319
KEWX20120103_223302_V03,20120103_163302
KEWX20120103_224244_V03,20120103_164244
KEWX20120103_225227_V03,20120103_165227
KEWX20120103_230209_V03,20120103_170209
KEWX20120103_231152_V03,20120103_171152
KEWX20120103_232135_V03,20120103_172135
KEWX20120103_233118_V03,20120103_173118
KEWX20120103_234100_V03,20120103_174100
KEWX20120103_235044_V03,20120103_175044
KEWX20120104_000026_V03,20120103_180026
KEWX20120104_001009_V03,20120103_181009
KEWX20120104_001952_V03,20120103_181952
KEWX20120104_002934_V03,20120103_182934
KEWX20120104_003917_V03,20120103_183917
KEWX20120104_004859_V03,20120103_184859
KEWX20120104_005841_V03,20120103_185841
KEWX20120104_010824_V03,20120103_190824
KEWX20120104_011806_V03,20120103_191806
KEWX20120104_012844_V03,20120103_192844
KEWX20120104_013827_V03,20120103_193827
KEWX20120104_014810_V03,20120103_194810
KEWX20120104_015752_V03,20120103_195752
KEWX20120104_020734_V03,20120103_200734
KEWX20120104_212517_V03,20120104_152517
KEWX20120104_213459_V03,20120104_153459
KEWX20120104_214442_V03,20120104_154442
KEWX20120104_215424_V03,20120104_155424
KEWX20120104_220407_V03,20120104_160407
KEWX20120104_221348_V03,20120104_161348
KEWX20120104_222331_V03,20120104_162331
KEWX20120104_223313_V03,20120104_163313
KEWX20120104_224255_V03,20120104_164255
KEWX20120104_225238_V03,20120104_165238
KEWX20120104_230220_V03,20120104_170220
KEWX20120104_231201_V03,20120104_171201
KEWX20120104_232143_V03,20120104_172143
KEWX20120104_233125_V03,20120104_173125
KEWX20120104_234107_V03,20120104_174107
KEWX20120104_235049_V03,20120104_175049
KEWX20120105_000031_V03,20120104_180031
KEWX20120105_001013_V03,20120104_181013
KEWX20120105_001954_V03,20120104_181954
KEWX20120105_002935_V03,20120104_182935
KEWX20120105_003917_V03,20120104_183917
KEWX20120105_004858_V03,20120104_184858
KEWX20120105_005839_V03,20120104_185839
