filename,local_time
KGRK20110101_211713_V03,20110101_151713
KGRK20110101_212656_V03,20110101_152656
KGRK20110101_213639_V03,20110101_153639
KGRK20110101_214621_V03,20110101_154621
KGRK20110101_215604_V03,20110101_155604
KGRK20110101_220547_V03,20110101_160547
KGRK20110101_221530_V03,20110101_161530
KGRK20110101_222512_V03,20110101_162512
KGRK20110101_223455_V03,20110101_163455
KGRK20110101_224438_V03,20110101_164438
KGRK20110101_225421_V03,20110101_165421
KGRK20110101_230404_V03,20110101_170404
KGRK20110101_231347_V03,20110101_171347
KGRK20110101_232329_V03,20110101_172329
KGRK20110101_233312_V03,20110101_173312
KGRK20110101_234256_V03,20110101_174256
KGRK20110101_235238_V03,20110101_175238
KGRK20110102_000221_V03,20110101_180221
KGRK20110102_001203_V03,20110101_181203
KGRK20110102_002146_V03,20110101_182146
KGRK20110102_003129_V03,20110101_183129
KGRK20110102_004111_V03,20110101_184111
KGRK20110102_005054_V03,20110101_185054
KGRK20110102_010037_V03,20110101_190037
KGRK20110102_011020_V03,20110101_191020
KGRK20110102_012003_V03,20110101_192003
KGRK20110102_012945_V03,20110101_192945
KGRK20110102_013929_V03,20110101_193929
KGRK20110102_014912_V03,20110101_194912
KGRK20110102_015855_V03,20110101_195855
KGRK20110102_020838_V03,20110101_200838
KGRK20110102_211726_V03,20110102_151726
KGRK20110102_212710_V03,20110102_152710
KGRK20110102_213654_V03,20110102_153654
KGRK20110102_214638_V03,20110102_154638
KGRK20110102_215623_V03,20110102_155623
KGRK20110102_220606_V03,20110102_160606
KGRK20110102_221550_V03,20110102_161550
KGRK20110102_222534_V03,20110102_162534
KGRK20110102_223518_V03,20110102_163518
KGRK20110102_224502_V03,20110102_164502
KGRK20110102_225446_V03,20110102_165446
KGRK20110102_230429_V03,20110102_170429
KGRK20110102_231413_V03,20110102_171413
KGRK20110102_232357_V03,20110102_172357
KGRK20110102_233341_V03,20110102_173341
KGRK20110102_234325_V03,20110102_174325
KGRK20110102_235308_V03,20110102_175308
KGRK20110103_000252_V03,20110102_180252
KGRK20110103_001235_V03,20110102_181235
KGRK20110103_002219_V03,20110102_182219
KGRK20110103_003203_V03,20110102_183203
KGRK20110103_004146_V03,20110102_184146
KGRK20110103_005130_V03,20110102_185130
KGRK20110103_010113_V03,20110102_190113
KGRK20110103_011057_V03,20110102_191057
KGRK20110103_012041_V03,20110102_192041
KGRK20110103_013024_V03,20110102_193024
KGRK20110103_014008_V03,20110102_194008
KGRK20110103_014951_V03,20110102_194951
KGRK20110103_015935_V03,20110102_195935
KGRK20110103_020918_V03,20110102_200918
KGRK20110107_214220_V03,20110107_154220
KGRK20110107_214816_V03,20110107_154816
KGRK20110107_215800_V03,20110107_155800
KGRK20110107_220743_V03,20110107_160743
KGRK20110107_221727_V03,20110107_161727
KGRK20110107_222710_V03,20110107_162710
KGRK20110107_223653_V03,20110107_163653
KGRK20110107_224636_V03,20110107_164636
KGRK20110107_225619_V03,20110107_165619
KGRK20110107_230601_V03,20110107_170601
KGRK20110107_231544_V03,20110107_171544
KGRK20110107_232527_V03,20110107_172527
KGRK20110107_233509_V03,20110107_173509
KGRK20110107_234451_V03,20110107_174451
KGRK20110107_235434_V03,20110107_175434
KGRK20110108_000416_V03,20110107_180416
KGRK20110108_001358_V03,20110107_181358
KGRK20110108_002340_V03,20110107_182340
KGRK20110108_003322_V03,20110107_183322
KGRK20110108_004305_V03,20110107_184305
KGRK20110108_005246_V03,20110107_185246
KGRK20110108_010228_V03,20110107_190228
KGRK20110108_011210_V03,20110107_191210
KGRK20110108_012152_V03,20110107_192152
KGRK20110108_013134_V03,20110107_193134
KGRK20110108_014115_V03,20110107_194115
KGRK20110108_015057_V03,20110107_195057
KGRK20110108_020039_V03,20110107_200039
KGRK20110108_021021_V03,20110107_201021
KGRK20110108_211630_V03,20110108_151630
KGRK20110108_212613_V03,20110108_152613
KGRK20110108_213556_V03,20110108_153556
KGRK20110108_214538_V03,20110108_154538
KGRK20110108_215522_V03,20110108_155522
KGRK20110108_220504_V03,20110108_160504
KGRK20110108_221447_V03,20110108_161447
KGRK20110108_222430_V03,20110108_162430
KGRK20110108_223413_V03,20110108_163413
KGRK20110108_224355_V03,20110108_164355
KGRK20110108_225338_V03,20110108_165338
KGRK20110108_230320_V03,20110108_170320
KGRK20110108_231304_V03,20110108_171304
KGRK20110108_232246_V03,20110108_172246
KGRK20110108_233229_V03,20110108_173229
KGRK20110108_234212_V03,20110108_174212
KGRK20110108_235154_V03,20110108_175154
KGRK20110109_000137_V03,20110108_180137
KGRK20110109_001119_V03,20110108_181119
KGRK20110109_002101_V03,20110108_182101
KGRK20110109_003044_V03,20110108_183044
KGRK20110109_004026_V03,20110108_184026
KGRK20110109_005009_V03,20110108_185009
KGRK20110109_005951_V03,20110108_185951
KGRK20110109_010934_V03,20110108_190934
KGRK20110109_011916_V03,20110108_191916
KGRK20110109_012859_V03,20110108_192859
KGRK20110109_013400_V03,20110108_193400
KGRK20110109_013903_V03,20110108_193903
KGRK20110109_014405_V03,20110108_194405
KGRK20110109_014906_V03,20110108_194906
KGRK20110109_015407_V03,20110108_195407
KGRK20110109_015909_V03,20110108_195909
KGRK20110109_020410_V03,20110108_200410
KGRK20110109_020912_V03,20110108_200912
KGRK20110109_021414_V03,20110108_201414
KGRK20110109_211725_V03,20110109_151725
KGRK20110109_212708_V03,20110109_152708
KGRK20110109_213651_V03,20110109_153651
KGRK20110109_214635_V03,20110109_154635
KGRK20110109_215618_V03,20110109_155618
KGRK20110109_220601_V03,20110109_160601
KGRK20110109_221545_V03,20110109_161545
KGRK20110109_222529_V03,20110109_162529
KGRK20110109_223512_V03,20110109_163512
KGRK20110109_224456_V03,20110109_164456
KGRK20110109_225439_V03,20110109_165439
KGRK20110109_230423_V03,20110109_170423
KGRK20110109_231407_V03,20110109_171407
KGRK20110109_232351_V03,20110109_172351
KGRK20110109_233335_V03,20110109_173335
KGRK20110109_234319_V03,20110109_174319
KGRK20110109_235302_V03,20110109_175302
KGRK20110110_000245_V03,20110109_180245
KGRK20110110_001229_V03,20110109_181229
KGRK20110110_002213_V03,20110109_182213
KGRK20110110_003157_V03,20110109_183157
KGRK20110110_004140_V03,20110109_184140
KGRK20110110_005124_V03,20110109_185124
KGRK20110110_010108_V03,20110109_190108
KGRK20110110_011052_V03,20110109_191052
KGRK20110110_012036_V03,20110109_192036
KGRK20110110_013019_V03,20110109_193019
KGRK20110110_014003_V03,20110109_194003
KGRK20110110_014947_V03,20110109_194947
KGRK20110110_015932_V03,20110109_195932
KGRK20110110_020915_V03,20110109_200915
KGRK20110110_211835_V03,20110110_151835
KGRK20110110_212820_V03,20110110_152820
KGRK20110110_213805_V03,20110110_153805
KGRK20110110_214848_V03,20110110_154848
KGRK20110110_215832_V03,20110110_155832
KGRK20110110_220817_V03,20110110_160817
KGRK20110110_221802_V03,20110110_161802
KGRK20110110_222747_V03,20110110_162747
KGRK20110110_223731_V03,20110110_163731
KGRK20110110_224716_V03,20110110_164716
KGRK20110110_225700_V03,20110110_165700
KGRK20110110_230645_V03,20110110_170645
KGRK20110110_231630_V03,20110110_171630
KGRK20110110_232615_V03,20110110_172615
KGRK20110110_233600_V03,20110110_173600
KGRK20110110_234545_V03,20110110_174545
KGRK20110110_235529_V03,20110110_175529
KGRK20110111_000514_V03,20110110_180514
KGRK20110111_001459_V03,20110110_181459
KGRK20110111_002443_V03,20110110_182443
KGRK20110111_003428_V03,20110110_183428
KGRK20110111_005027_V03,20110110_185027
KGRK20110111_010015_V03,20110110_190015
KGRK20110111_011002_V03,20110110_191002
KGRK20110111_011950_V03,20110110_191950
KGRK20110111_012938_V03,20110110_192938
KGRK20110111_013926_V03,20110110_193926
KGRK20110111_014914_V03,20110110_194914
KGRK20110111_015902_V03,20110110_195902
KGRK20110111_020850_V03,20110110_200850
KGRK20110111_212351_V03,20110111_152351
KGRK20110111_213337_V03,20110111_153337
KGRK20110111_214321_V03,20110111_154321
KGRK20110111_215306_V03,20110111_155306
KGRK20110111_220251_V03,20110111_160251
KGRK20110111_221236_V03,20110111_161236
KGRK20110111_222221_V03,20110111_162221
KGRK20110111_223206_V03,20110111_163206
KGRK20110111_224151_V03,20110111_164151
KGRK20110111_225136_V03,20110111_165136
KGRK20110111_230120_V03,20110111_170120
KGRK20110111_231104_V03,20110111_171104
KGRK20110111_232050_V03,20110111_172050
KGRK20110111_233035_V03,20110111_173035
KGRK20110111_234019_V03,20110111_174019
KGRK20110111_235004_V03,20110111_175004
KGRK20110111_235949_V03,20110111_175949
KGRK20110112_000934_V03,20110111_180934
KGRK20110112_001918_V03,20110111_181918
