track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KDFX20080101_213002,-143.877,0.314,250.604,441.114,7.204,-100.533,28.636,3601.767,20080101_153002
1,KDFX20080101_213946,-134.144,0.134,250.339,441.742,14.793,-100.534,28.633,7396.424,20080101_153946
2,KDFX20080101_213002,-143.877,0.175,179.245,327.307,4.962,-100.901,29.148,2480.833,20080101_153002
1,KDFX20080103_005125,56.802,0.276,196.767,229.361,10.436,-100.813,29.590,5218.239,20080102_185125
1,KDFX20080103_214206,-133.233,0.194,183.462,505.068,11.506,-100.875,28.346,5752.928,20080103_154206
1,KDFX20080103_215151,-123.483,0.299,175.048,501.371,19.158,-100.918,28.363,9579.160,20080103_155151
1,KDFX20080103_220137,-113.716,0.108,180.411,509.755,29.371,-100.890,28.325,14685.366,20080103_160137
4,KDFX20080104_214659,-129.082,0.088,333.293,444.500,27.352,-100.110,28.621,13675.851,20080104_154659
4,KDFX20080104_215642,-119.365,0.194,334.872,443.318,35.296,-100.102,28.626,17647.839,20080104_155642
4,KDFX20080104_220625,-109.648,0.142,330.850,431.267,28.280,-100.122,28.680,14139.894,20080104_160625
1,KDFX20080104_212732,-148.532,0.663,423.122,319.242,11.180,-99.647,29.184,5589.752,20080104_152732
3,KDFX20080104_213715,-138.815,0.061,185.190,282.952,13.714,-100.871,29.348,6856.781,20080104_153715
4,KDFX20080106_004141,44.873,0.060,261.260,524.129,12.483,-100.478,28.261,6241.272,20080105_184141
4,KDFX20080106_005123,54.573,0.202,264.764,522.412,20.821,-100.460,28.269,10410.340,20080105_185123
4,KDFX20080106_010104,64.257,0.141,260.549,525.630,31.208,-100.481,28.254,15604.168,20080105_190104
4,KDFX20080106_011046,73.957,0.085,263.181,524.263,39.846,-100.468,28.261,19922.810,20080105_191046
1,KDFX20080105_212743,-149.093,0.057,497.777,295.059,10.758,-99.263,29.291,5379.173,20080105_152743
2,KDFX20080105_214707,-129.693,0.050,351.572,416.560,35.667,-100.016,28.746,17833.736,20080105_154707
3,KDFX20080105_222554,-90.910,0.052,331.432,408.271,35.041,-100.119,28.784,17520.576,20080105_162554
1,KDFX20080107_014752,110.300,0.059,26.034,248.074,24.501,-101.693,29.499,12250.628,20080106_194752
1,KDFX20080108_004735,49.248,0.344,33.431,511.901,40.873,-101.639,28.310,20436.264,20080107_184735
1,KDFX20080108_005716,58.931,0.647,40.626,504.175,50.833,-101.603,28.345,25416.253,20080107_185716
1,KDFX20080108_010657,68.615,0.135,48.468,481.386,54.169,-101.564,28.448,27084.413,20080107_190657
1,KDFX20080108_011638,78.298,0.146,63.533,465.523,56.283,-101.488,28.520,28141.704,20080107_191638
1,KDFX20080108_012619,87.981,0.072,91.519,448.576,46.056,-101.346,28.598,23028.244,20080107_192619
2,KDFX20080108_004735,49.248,0.133,494.451,281.974,13.327,-99.279,29.350,6663.521,20080107_184735
2,KDFX20080108_005716,58.931,0.135,495.026,280.235,23.014,-99.276,29.358,11506.864,20080107_185716
2,KDFX20080108_010657,68.615,0.088,496.997,277.835,19.797,-99.266,29.369,9898.407,20080107_190657
2,KDFX20080108_011638,78.298,0.189,496.033,276.494,29.265,-99.271,29.375,14632.685,20080107_191638
2,KDFX20080108_012619,87.981,0.112,498.373,274.635,26.032,-99.259,29.383,13016.159,20080107_192619
3,KDFX20080108_005716,58.931,0.106,308.092,522.581,17.487,-100.239,28.268,8743.418,20080107_185716
3,KDFX20080108_010657,68.615,0.094,306.723,524.636,32.145,-100.246,28.259,16072.695,20080107_190657
6,KDFX20080109_005821,59.236,0.417,242.684,215.517,17.981,-100.576,29.653,8990.456,20080108_185821
6,KDFX20080109_010803,68.936,0.247,239.291,209.432,35.741,-100.594,29.681,17870.276,20080108_190803
6,KDFX20080109_011744,78.619,0.111,232.448,208.162,46.649,-100.629,29.686,23324.503,20080108_191744
1,KDFX20080109_000948,10.686,0.176,245.560,441.563,9.052,-100.559,28.634,4525.894,20080108_180948
1,KDFX20080109_001929,20.369,0.219,246.305,441.131,22.271,-100.555,28.636,11135.366,20080108_181929
5,KDFX20080109_001929,20.369,0.073,369.206,316.302,7.176,-99.924,29.198,3587.833,20080108_181929
7,KDFX20080109_012725,88.302,0.142,299.663,410.847,21.466,-100.282,28.772,10733.082,20080108_192725
