track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
1,KEWX20100102_213106_V03,-133.887,0.180,205.715,237.801,2.903,-98.517,29.983,1451.643,20100102_153106
3,KEWX20100103_221825_V03,-87.297,0.238,448.023,98.985,57.413,-97.256,30.608,28706.272,20100103_161825
3,KEWX20100103_222810_V03,-77.547,0.157,448.721,102.984,63.130,-97.253,30.590,31565.144,20100103_162810
3,KEWX20100103_223756_V03,-67.780,0.323,455.457,113.451,52.123,-97.218,30.543,26061.344,20100103_163756
6,KEWX20100103_233632_V03,-9.180,0.053,421.432,272.052,26.580,-97.400,29.828,13289.989,20100103_173632
6,KEWX20100103_234617_V03,0.570,0.060,424.127,274.876,34.766,-97.386,29.815,17382.985,20100103_174617
9,KEWX20100104_013342_V03,107.986,0.061,323.302,415.541,20.581,-97.908,29.182,10290.512,20100103_193342
9,KEWX20100104_014328_V03,117.753,0.053,328.008,417.607,28.007,-97.884,29.173,14003.747,20100103_194328
9,KEWX20100104_015313_V03,127.503,0.093,333.202,426.535,17.936,-97.857,29.133,8968.027,20100103_195313
1,KEWX20100103_211952_V03,-145.847,0.112,283.398,518.005,29.747,-98.113,28.720,14873.344,20100103_151952
2,KEWX20100103_211952_V03,-145.847,0.095,519.741,110.942,15.228,-96.883,30.551,7614.059,20100103_151952
5,KEWX20100103_233632_V03,-9.180,0.059,457.010,152.605,48.303,-97.211,30.366,24151.535,20100103_173632
5,KEWX20100103_234617_V03,0.570,-1.000,457.010,152.605,63.806,-97.211,30.366,31902.785,20100103_174617
5,KEWX20100103_235603_V03,10.336,0.056,448.684,179.470,31.295,-97.256,30.245,15647.255,20100103_175603
8,KEWX20100104_001536_V03,29.886,0.206,373.770,363.093,10.536,-97.648,29.418,5268.002,20100103_181536
1,KEWX20100104_213329_V03,-132.971,0.057,175.282,380.029,4.788,-98.670,29.341,2394.220,20100104_153329
2,KEWX20100105_010912_V03,82.746,0.224,291.033,189.965,40.220,-98.075,30.200,20110.134,20100104_190912
2,KEWX20100105_011858_V03,92.512,-1.000,291.033,189.965,55.749,-98.075,30.200,27874.634,20100104_191858
2,KEWX20100105_012844_V03,102.279,0.083,298.401,201.546,43.470,-98.036,30.148,21734.945,20100104_192844
1,KEWX20100106_212315_V03,-144.724,0.121,506.935,400.689,18.935,-96.964,29.245,9467.251,20100106_152315
