track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
2,KGRK20200101_213545_V06,-123.301,0.088,21.786,503.211,34.181,-98.822,29.797,17090.502,20200101_153545
2,KGRK20200101_214233_V06,-116.501,0.268,26.587,501.191,44.852,-98.797,29.807,22425.907,20200101_154233
8,KGRK20200102_001427_V06,35.399,0.130,23.726,521.538,35.759,-98.810,29.715,17879.436,20200101_181427
8,KGRK20200102_001756_V06,38.882,0.218,24.580,520.775,40.993,-98.806,29.718,20496.374,20200101_181756
8,KGRK20200102_002112_V06,42.149,0.369,37.340,505.663,44.487,-98.741,29.787,22243.725,20200101_182112
8,KGRK20200102_002428_V06,45.415,0.367,37.819,506.463,48.653,-98.738,29.783,24326.456,20200101_182428
8,KGRK20200102_002840_V06,49.615,0.108,47.023,482.343,58.482,-98.692,29.893,29241.110,20200101_182840
8,KGRK20200102_003155_V06,52.865,0.055,47.871,480.355,63.257,-98.688,29.902,31628.639,20200101_183155
4,KGRK20200101_230106_V06,-37.951,0.377,25.600,481.040,34.841,-98.803,29.897,17420.496,20200101_170106
14,KGRK20200102_013633_V06,117.499,0.082,26.313,449.538,33.246,-98.802,30.039,16622.990,20200101_193633
4,KGRK20200103_215126_V06,-109.072,0.213,347.278,114.425,62.064,-97.134,31.558,31031.921,20200103_155126
4,KGRK20200103_220501_V06,-95.489,0.811,351.660,134.975,60.032,-97.111,31.466,30016.078,20200103_160501
4,KGRK20200103_221159_V06,-88.522,0.644,358.159,145.862,58.792,-97.077,31.416,29396.179,20200103_161159
4,KGRK20200103_221849_V06,-81.689,0.685,360.603,153.666,58.687,-97.064,31.381,29343.521,20200103_161849
4,KGRK20200103_222554_V06,-74.606,0.805,366.113,160.587,61.108,-97.035,31.350,30554.176,20200103_162554
4,KGRK20200103_223259_V06,-67.522,0.674,371.412,168.680,58.754,-97.008,31.313,29377.052,20200103_163259
4,KGRK20200103_223949_V06,-60.689,0.427,376.651,173.853,60.626,-96.980,31.290,30312.966,20200103_163949
4,KGRK20200103_224640_V06,-53.839,0.560,384.722,183.487,58.079,-96.938,31.246,29039.331,20200103_164640
4,KGRK20200103_230013_V06,-40.289,0.225,390.926,194.995,60.759,-96.906,31.194,30379.290,20200103_170013
3,KGRK20200103_213721_V06,-123.156,0.201,337.505,102.179,62.454,-97.185,31.614,31226.955,20200103_153721
3,KGRK20200103_214421_V06,-116.156,0.191,337.888,105.782,70.286,-97.183,31.597,35143.007,20200103_154421
1,KGRK20200103_213034_V06,-129.939,0.080,92.454,184.952,32.518,-98.472,31.236,16259.144,20200103_153034
2,KGRK20200103_213034_V06,-129.939,0.065,312.806,116.819,75.198,-97.315,31.548,37598.824,20200103_153034
6,KGRK20200104_000813_V06,27.711,0.077,413.169,342.301,34.910,-96.793,30.530,17455.200,20200103_180813
1,KGRK20200104_211555_V06,-145.338,0.061,300.016,417.424,2.055,-97.383,30.192,1027.351,20200104_151555
2,KGRK20200106_002351_V06,41.833,0.130,248.423,338.156,10.404,-97.652,30.549,5201.933,20200105_182351
2,KGRK20200106_003036_V06,48.583,0.119,248.200,337.045,18.869,-97.653,30.554,9434.478,20200105_183036
2,KGRK20200106_003728_V06,55.450,0.433,248.239,333.886,18.810,-97.653,30.569,9405.148,20200105_183728
2,KGRK20200106_004434_V06,62.550,0.663,247.361,327.927,24.012,-97.657,30.595,12005.783,20200105_184434
2,KGRK20200106_005129_V06,69.466,0.228,247.348,323.502,28.769,-97.657,30.615,14384.563,20200105_185129
1,KGRK20200105_211648_V06,-145.217,0.080,255.338,391.462,2.339,-97.615,30.309,1169.636,20200105_151648
4,KGRK20200106_011856_V06,96.916,0.183,249.819,337.339,16.358,-97.644,30.553,8178.967,20200105_191856
8,KGRK20200106_220124_V06,-101.392,0.346,231.727,161.184,11.835,-97.742,31.347,5917.679,20200106_160124
8,KGRK20200106_220811_V06,-94.609,0.505,232.909,161.114,17.676,-97.735,31.348,8838.012,20200106_160811
8,KGRK20200106_221518_V06,-87.492,0.094,236.998,156.707,19.200,-97.714,31.367,9600.199,20200106_161518
18,KGRK20200107_012414_V06,101.441,0.560,298.507,224.806,8.878,-97.391,31.061,4438.942,20200106_192414
18,KGRK20200107_013109_V06,108.358,0.617,298.167,226.769,16.417,-97.392,31.052,8208.458,20200106_193109
18,KGRK20200107_013801_V06,115.225,0.088,298.656,231.616,19.551,-97.390,31.030,9775.698,20200106_193801
