track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,local_time
2,KSJT20090102_000221_V03,11.866,0.129,214.880,291.844,11.461,-100.940,31.407,5730.360,20090101_180221
2,KSJT20090102_001209_V03,21.666,0.502,217.588,291.039,23.933,-100.926,31.411,11966.736,20090101_181209
1,KSJT20090101_222431_V03,-85.968,0.127,266.227,344.841,5.159,-100.669,31.169,2579.704,20090101_162431
4,KSJT20090102_002155_V03,31.432,0.152,309.820,250.171,40.928,-100.440,31.596,20463.799,20090101_182155
1,KSJT20090103_212443_V03,-147.259,0.440,371.100,170.891,5.562,-100.116,31.953,2780.827,20090103_152443
1,KSJT20090103_213429_V03,-137.492,0.124,371.715,171.194,15.852,-100.113,31.951,7926.150,20090103_153429
12,KSJT20090105_235309_V03,-0.374,0.246,334.502,340.709,33.568,-100.311,31.187,16783.909,20090105_175309
12,KSJT20090106_000256_V03,9.410,0.213,345.280,337.536,40.954,-100.255,31.202,20477.151,20090105_180256
12,KSJT20090106_001243_V03,19.193,0.083,360.656,321.806,44.224,-100.174,31.272,22111.909,20090105_181243
12,KSJT20090106_002232_V03,29.010,-1.000,375.351,307.808,48.148,-100.096,31.335,24074.185,20090105_182232
12,KSJT20090106_003219_V03,38.793,0.130,356.468,279.763,5.373,-100.195,31.462,2686.253,20090105_183219
2,KSJT20090105_225625_V03,-57.107,0.217,312.849,120.185,23.116,-100.424,32.182,11557.892,20090105_165625
2,KSJT20090105_230612_V03,-47.324,0.230,324.678,115.682,32.237,-100.361,32.202,16118.599,20090105_170612
5,KSJT20090105_230612_V03,-47.324,0.164,219.046,409.601,37.446,-100.915,30.876,18722.799,20090105_170612
5,KSJT20090105_231601_V03,-37.507,0.132,225.337,403.097,50.555,-100.883,30.906,25277.502,20090105_171601
5,KSJT20090105_232548_V03,-27.724,0.118,264.547,381.667,37.841,-100.678,31.003,18920.738,20090105_172548
6,KSJT20090105_230612_V03,-47.324,0.127,17.652,362.554,12.128,-101.972,31.080,6064.214,20090105_170612
6,KSJT20090105_231601_V03,-37.507,0.122,29.839,356.828,19.089,-101.908,31.107,9544.536,20090105_171601
10,KSJT20090105_234126_V03,-12.090,0.058,302.187,357.602,38.405,-100.481,31.111,19202.356,20090105_174126
10,KSJT20090105_234716_V03,-6.257,0.050,306.794,354.358,44.226,-100.457,31.126,22113.206,20090105_174716
1,KSJT20090105_213444_V03,-138.790,0.063,35.347,440.113,36.880,-101.874,30.732,18440.002,20090105_153444
